"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"meox1",0.00232661718987264,-1.13929354575478,0.031,0.07,1,"Epithelial_Fibroblast"
"yap1",0.178731443943869,-0.0467583781852035,0.688,0.742,1,"Epithelial_Fibroblast"
"adamts14",0.182559966566102,-0.705896489915435,0.048,0.066,1,"Epithelial_Fibroblast"
"adamts3",0.186964487443021,-0.744274899296506,0.126,0.151,1,"Epithelial_Fibroblast"
"en1a",0.199477678952047,-1.70493533743067,0.009,0.017,1,"Epithelial_Fibroblast"
"svep1",0.242031111435655,-0.214890751691416,0.235,0.266,1,"Epithelial_Fibroblast"
"ccbe1",0.272868612729929,0.53614432960074,0.094,0.078,1,"Epithelial_Fibroblast"
"prox1a",0.295652000383763,0.124343967728274,0.078,0.062,1,"Epithelial_Fibroblast"
"cxcl12a",0.368673242306839,-0.402985811541914,0.348,0.368,1,"Epithelial_Fibroblast"
"vegfc",0.453451440973004,0.740526433417476,0.039,0.031,1,"Epithelial_Fibroblast"
"en1b",0.63773039419156,-1.01702129433432,0.028,0.033,1,"Epithelial_Fibroblast"
