"rank","index","confect","effect","AveExpr","name","group"
1,3,0.019,0.224241176754301,16.5626239784652,"ccbe1","Epithelial_Fibroblast"
2,11,NA,0.158736772747694,16.5248013695771,"prox1a","Epithelial_Fibroblast"
3,4,NA,0.155466154462019,16.4264462047998,"vegfc","Epithelial_Fibroblast"
4,10,NA,0.111681969819235,16.4342629894879,"en1b","Epithelial_Fibroblast"
5,9,NA,0.0861927873489584,16.3772323311589,"en1a","Epithelial_Fibroblast"
6,1,NA,0.0779367535951258,18.4721042456496,"yap1","Epithelial_Fibroblast"
7,6,NA,0.0666699102770702,16.4646253305427,"adamts14","Epithelial_Fibroblast"
8,7,NA,-0.049330812402182,17.7371924447595,"cxcl12a","Epithelial_Fibroblast"
9,8,NA,0.0239166368798343,16.9723664137446,"svep1","Epithelial_Fibroblast"
10,5,NA,0.0145754745692617,16.6520523950068,"adamts3","Epithelial_Fibroblast"
11,2,NA,-0.000671856547044168,16.4670016305824,"meox1","Epithelial_Fibroblast"
