"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"kdrl",2.82682344269094e-69,-0.767229789034754,0.987,0.994,6.8160366850164e-65,"hmVEC__mVEC"
"rpl37.1",1.37259547427445e-67,-0.541900987432473,0.994,0.997,3.30960220757056e-63,"hmVEC__mVEC"
"gpm6ab",5.74025941274851e-48,-1.22407714675795,0.571,0.813,1.38409134960192e-43,"hmVEC__mVEC"
"rgcc",2.65849507317169e-42,1.08350000533282,0.811,0.598,6.41016332043158e-38,"hmVEC__mVEC"
"ptn",9.45517859215201e-42,-1.53899282592928,0.257,0.533,2.27983266213969e-37,"hmVEC__mVEC"
"plvapb",2.28302114682088e-37,0.617072303870715,0.951,0.907,5.5048205892145e-33,"hmVEC__mVEC"
"icn",3.13113005593607e-36,1.18868270719375,0.338,0.089,7.54978079087306e-32,"hmVEC__mVEC"
"LO018188.1",6.69157454516204e-33,-1.71476043821914,0.227,0.463,1.61347245432947e-28,"hmVEC__mVEC"
"zgc:153409",3.74308306638491e-32,-0.660316437800051,0.814,0.895,9.02532188966729e-28,"hmVEC__mVEC"
"cebpb",4.98913608835727e-32,1.27249901506725,0.631,0.402,1.20298049362471e-27,"hmVEC__mVEC"
"bmp6",5.39546722931025e-32,-1.21001263515105,0.636,0.789,1.30095505833129e-27,"hmVEC__mVEC"
"cpn1.1",5.29001903039786e-29,0.582206743533837,0.939,0.871,1.27552938860953e-24,"hmVEC__mVEC"
"cdh6",6.59306735079918e-29,-1.50889296648423,0.194,0.421,1.5897203996247e-24,"hmVEC__mVEC"
"si:dkey-151g10.6",3.46324654118359e-28,-0.306621217833293,1,0.999,8.35058006010188e-24,"hmVEC__mVEC"
"lyve1a",2.59651417274716e-27,-1.34492490944703,0.419,0.621,6.26071497332795e-23,"hmVEC__mVEC"
"CABZ01021592.1",6.83927344912867e-26,0.362842309214207,0.928,0.831,1.6490856140539e-21,"hmVEC__mVEC"
"foxp4",3.78091131343213e-25,-0.610707316644724,0.761,0.881,9.11653335894756e-21,"hmVEC__mVEC"
"mrc1b",4.30977706305431e-25,1.23817839394432,0.416,0.201,1.03917344544366e-20,"hmVEC__mVEC"
"nkain4",5.15076017391778e-24,-1.27779627097127,0.346,0.542,1.24195129313505e-19,"hmVEC__mVEC"
"ablim1b",3.62358290968964e-23,-2.10196287571627,0.053,0.204,8.73718311184367e-19,"hmVEC__mVEC"
"cldn11a",6.86997141022386e-23,-1.34844897126906,0.167,0.362,1.65648750643318e-18,"hmVEC__mVEC"
"nhsl2",3.41707769409043e-22,-0.949237363738132,0.471,0.648,8.23925773599084e-18,"hmVEC__mVEC"
"tagln2",8.54893679392187e-22,0.529689526136619,0.865,0.761,2.06131963975044e-17,"hmVEC__mVEC"
"sdk1a",1.45236437061191e-21,-1.34715148829317,0.197,0.386,3.50194097041943e-17,"hmVEC__mVEC"
