"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"meox1",6.77683554790256e-15,-1.29101435952331,0.122,0.259,1.63403058731027e-10,"hmVEC__mVEC"
"ccn2a",1.60136273124277e-08,-0.92482438785314,0.2,0.31,0.000386120581757258,"hmVEC__mVEC"
"amotl2a",4.74226825578175e-08,-0.700684582098512,0.355,0.461,0.00114345572183409,"hmVEC__mVEC"
"cavin2a",0.00402629607115909,-0.687956162745077,0.03,0.057,1,"hmVEC__mVEC"
"yap1",0.00539746110041025,-0.259738226890415,0.426,0.492,1,"hmVEC__mVEC"
"wwtr1",0.0115102213239159,-0.346636435213412,0.328,0.373,1,"hmVEC__mVEC"
"ccn1",0.0951102343863513,-0.366232416131558,0.151,0.175,1,"hmVEC__mVEC"
"amotl2b",0.145629506962837,0.298514385793777,0.102,0.082,1,"hmVEC__mVEC"
"ccn1l2",0.166819095321075,0.089410936417921,0.358,0.322,1,"hmVEC__mVEC"
"cavin2b",0.313611612704306,-0.0677777920069176,0.586,0.605,1,"hmVEC__mVEC"
"ccn2b",0.327825133380023,0.848229087622537,0.001,0,1,"hmVEC__mVEC"
"bmp4",0.699215358114658,0.443109445107734,0.01,0.009,1,"hmVEC__mVEC"
"cavin1b",0.90168608443707,-0.102647006699281,0.121,0.122,1,"hmVEC__mVEC"
"meox1",8.40493179721011e-08,-2.58180116920834,0.062,0.199,0.0020265971549433,"LEC__pre_muLEC"
"ccn2a",0.00131297996288795,-0.777907041832697,0.136,0.227,1,"LEC__pre_muLEC"
"cavin2b",0.0123959530541932,-0.423519324028376,0.312,0.395,1,"LEC__pre_muLEC"
"ccn1",0.0149943166653228,-1.17391904416532,0.17,0.24,1,"LEC__pre_muLEC"
"cavin2a",0.121168351494761,-0.18924572070781,0.009,0.025,1,"LEC__pre_muLEC"
"amotl2b",0.247045791792659,-0.225924181654585,0.056,0.077,1,"LEC__pre_muLEC"
"cavin1b",0.248570675357538,-1.06220485981398,0.037,0.055,1,"LEC__pre_muLEC"
"yap1",0.276614527978692,0.17405652131895,0.568,0.55,1,"LEC__pre_muLEC"
"wwtr1",0.306794844594245,-0.167961445236821,0.565,0.602,1,"LEC__pre_muLEC"
"bmp4",0.341527013816276,1.26250927028735,0.012,0.006,1,"LEC__pre_muLEC"
"ccn1l2",0.586592614893387,0.0810698474169418,0.09,0.077,1,"LEC__pre_muLEC"
"amotl2a",0.675335296975054,-0.0225995352332423,0.315,0.337,1,"LEC__pre_muLEC"
"ccn2b",1,0.159995884198581,0,0,1,"LEC__pre_muLEC"
