"rank","index","confect","effect","AveExpr","name","group"
1,2,-0.193,-0.327129282677398,16.8325346571296,"meox1","hmVEC__mVEC"
2,4,-0.106,-0.231880097569787,17.0786211416428,"ccn2a","hmVEC__mVEC"
3,6,-0.029,-0.139787044451209,17.3598202805099,"amotl2a","hmVEC__mVEC"
4,9,NA,0.0985339014667762,17.1509808287401,"ccn1l2","hmVEC__mVEC"
5,7,NA,0.0603328131748089,16.5985140825653,"amotl2b","hmVEC__mVEC"
6,12,NA,0.067557813822351,17.9445339550403,"cavin2b","hmVEC__mVEC"
7,3,NA,-0.047702205882534,17.1888771902176,"wwtr1","hmVEC__mVEC"
8,1,NA,-0.0412513891912805,17.4357933493055,"yap1","hmVEC__mVEC"
9,11,NA,-0.0233353272939612,16.5080417203769,"cavin2a","hmVEC__mVEC"
10,8,NA,-0.027350251995422,16.780370941147,"ccn1","hmVEC__mVEC"
11,13,NA,0.0176250699883794,16.4443938486228,"bmp4","hmVEC__mVEC"
12,5,NA,0.0169008405678885,16.4285397088138,"ccn2b","hmVEC__mVEC"
13,10,NA,0.0199387206780159,16.6990370780155,"cavin1b","hmVEC__mVEC"
1,2,-0.038,-0.271532814832836,16.8517939285129,"meox1","LEC__pre_muLEC"
2,9,NA,0.166577261146724,16.690149437211,"ccn1l2","LEC__pre_muLEC"
3,1,NA,0.197094027060103,17.8948896674943,"yap1","LEC__pre_muLEC"
4,13,NA,0.131722572368938,16.5320598692988,"bmp4","LEC__pre_muLEC"
5,5,NA,0.120876356667976,16.5151789127939,"ccn2b","LEC__pre_muLEC"
6,11,NA,0.09600224592593,16.547726714446,"cavin2a","LEC__pre_muLEC"
7,4,NA,-0.0993775291948606,16.9679674171816,"ccn2a","LEC__pre_muLEC"
8,7,NA,0.0864014483624057,16.6433757751091,"amotl2b","LEC__pre_muLEC"
9,6,NA,0.0903992404472352,17.2398856011166,"amotl2a","LEC__pre_muLEC"
10,10,NA,0.0856713371479485,16.6107853397967,"cavin1b","LEC__pre_muLEC"
11,8,NA,-0.0701317131341812,17.023569219636,"ccn1","LEC__pre_muLEC"
12,3,NA,0.086274842678094,18.0632476249605,"wwtr1","LEC__pre_muLEC"
13,12,NA,-0.0373795014623945,17.4153180485498,"cavin2b","LEC__pre_muLEC"
