"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"yap1",4.53755560066609e-11,-1.39150368202325,0.085,0.159,9.89323247613229e-07,"LEC__preLEC"
"wwtr1",0.00669641072902134,0.352272326837128,0.025,0.012,1,"LEC__preLEC"
"ccn1l2",0.0181003708013192,0.0775343564730369,0.107,0.078,1,"LEC__preLEC"
"meox1",0.0666849248618327,-0.0315216803923667,0.281,0.234,1,"LEC__preLEC"
"bmp4",0.0772280949022587,-1.83878323061329,0.002,0.006,1,"LEC__preLEC"
"ccn1",0.0855106182726657,-1.11591276395062,0.029,0.04,1,"LEC__preLEC"
"cavin1b",0.149492949181131,-0.470791817803065,0.063,0.075,1,"LEC__preLEC"
"cavin2b",0.209854532976982,-0.407938782870171,0.418,0.382,1,"LEC__preLEC"
"ccn2a",0.230565780066763,-0.64812006423448,0.127,0.136,1,"LEC__preLEC"
"cavin2a",0.653304538926727,-0.496254098200767,0.016,0.018,1,"LEC__preLEC"
"amotl2b",0.774170070696817,-0.503050521165961,0.041,0.039,1,"LEC__preLEC"
"amotl2a",0.814048249912916,-0.407256678965227,0.217,0.193,1,"LEC__preLEC"
"ccn2b",0.934805312945295,-1.40296794524996,0.002,0.002,1,"LEC__preLEC"
"yap1",8.87035636523621e-08,-1.2864873109068,0.118,0.175,0.00193400379831245,"cVEC__hmVEC__mVEC"
"meox1",9.28651403729845e-07,-0.702481098977115,0.255,0.316,0.0202473865555218,"cVEC__hmVEC__mVEC"
"cavin1b",2.0948184956347e-05,-0.695018567491107,0.216,0.264,0.456733276603233,"cVEC__hmVEC__mVEC"
"cavin2a",0.00195597705820177,0.182015606244335,0.056,0.033,1,"cVEC__hmVEC__mVEC"
"cavin2b",0.00268360633943873,-0.264593877365569,0.616,0.581,1,"cVEC__hmVEC__mVEC"
"ccn1l2",0.00617334961081933,0.00446090353701023,0.316,0.25,1,"cVEC__hmVEC__mVEC"
"wwtr1",0.00982682065215123,0.383695203818113,0.021,0.01,1,"cVEC__hmVEC__mVEC"
"ccn1",0.216791227263579,-0.750823395776255,0.108,0.118,1,"cVEC__hmVEC__mVEC"
"amotl2a",0.296141889225301,-0.328305089011117,0.457,0.414,1,"cVEC__hmVEC__mVEC"
"amotl2b",0.324884707518623,-0.536025665043038,0.134,0.138,1,"cVEC__hmVEC__mVEC"
"bmp4",0.566209501304723,-0.203731018779712,0.012,0.01,1,"cVEC__hmVEC__mVEC"
"ccn2a",0.798206571186171,-0.145504309305813,0.454,0.437,1,"cVEC__hmVEC__mVEC"
"ccn2b",1,0.703825003325731,0,0,1,"cVEC__hmVEC__mVEC"
