"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006397","mRNA processing","55/1162","334/18773",0.164670658682635,2.66038061570491,7.86463431782788,2.45443138843103e-11,6.16798607912719e-08,5.65552664134267e-08,"rbm5/arglu1b/hnrnpl2/hnrnpl/srrt/rbm22/srpk1a/rbm6/luc7l/puf60a/sf1/hnrnpua/thoc7/zgc:77262/snrpb2/tra2b/prpf6/lsm3/arglu1a/paxbp1/ptbp2b/trnau1apb/rbfox2/wdr83/cstf3/xrn2/sf3b1/syf2/ssu72/srsf5b/coil/ncbp3/hnrnpa1a/lsm6/casc3/rprd2b/pnn/ptbp1b/prpf4ba/pan3/srrm1/rbmx2/rbm24a/cmtr1/srrm2/ptbp3/dhx8/ythdc1/sympk/zmat2/hnrnpub/lsm1/rbm15/phf5a/mettl3",55
"GO:0016071","mRNA metabolic process","66/1162","474/18773",0.139240506329114,2.24953702695048,7.07768044396158,4.7459107075338e-10,5.96323680401621e-07,5.46778870462709e-07,"rbm5/arglu1b/hnrnpl2/hnrnpl/exosc8/srrt/rbm22/srpk1a/rbm6/luc7l/puf60a/sf1/hnrnpua/thoc7/rida/zgc:77262/snrpb2/tra2b/prpf6/lsm3/arglu1a/paxbp1/ptbp2b/trnau1apb/rbfox2/wdr83/cstf3/xrn2/sf3b1/syf2/ssu72/srsf5b/coil/ncbp3/ythdf2/hnrnpa1a/lsm6/casc3/rprd2b/nbas/dcp2/pnn/ptbp1b/prpf4ba/pan3/srrm1/rbmx2/rbm24a/cmtr1/srrm2/igf2bp3/ptbp3/zfp36l1b/edc4/dhx8/tnrc6a/ythdc1/pde12/sympk/zmat2/zc3h14/hnrnpub/lsm1/rbm15/phf5a/mettl3",66
"GO:0032446","protein modification by small protein conjugation","59/1162","472/18773",0.125,2.01947074010327,5.76201895529319,2.00007856875181e-07,0.000132275996053539,0.000121286009743522,"ube2d1a/ndfip1/cul1a/uba2/ube2a/ube2d3/dcun1d1/nedd8l/lnx2b/rnf144ab/rnf20/arih2/uba52/anapc10/rnf168/rchy1/fbxw7/spsb4a/mycbp2/uba5/ube2al/trim71/ube2g1a/zbtb16a/ndfip2/ube2f/peli1b/rnft1/ube2q1/cblb/ube2e3/fbxl14b/spopla/n4bp1/ube2kb/uba3/trim33/fbxo45/pef1/ube2d2l/birc2/ube2z/fbxw11b/dda1/nedd4l/ube2q2/herc2/phf23b/trim35-28/rnf6/asb7/znf598/aktip/fzr1a/rnf2/ube2s/rnf220a/dcun1d4/ercc8",59
"GO:0008380","RNA splicing","45/1162","320/18773",0.140625,2.27190458261618,5.89470883942053,2.10546750582633e-07,0.000132275996053539,0.000121286009743522,"rbm5/arglu1b/hnrnpl2/hnrnpl/rbm22/srpk1a/rbm6/luc7l/puf60a/sf1/hnrnpua/thoc7/zgc:77262/snrpb2/tra2b/prpf6/lsm3/arglu1a/paxbp1/acin1b/ptbp2b/trnau1apb/rbfox2/wdr83/sf3b1/syf2/srsf5b/coil/hnrnpa1a/lsm6/casc3/pnn/ptbp1b/prpf4ba/srrm1/rbmx2/rbm24a/ptbp3/dhx8/ythdc1/zmat2/clk2a/hnrnpub/rbm15/phf5a",45
"GO:0006325","chromatin organization","49/1162","375/18773",0.130666666666667,2.11102008032129,5.58236929338175,5.86933953182991e-07,0.000294993004869771,0.000270483878635277,"hdgfl2/chd2/yeats4/rnf20/npm1b/hdac3/ino80/ing4/pbrm1l/cbx1b/rnf168/pole3/glyr1/kmt5b/hells/hat1/setd1a/mbd1a/eed/vps72a/kdm4b/dmap1/hdac8/brd4/cbx1a/ehmt1b/cxxc1b/brd3b/setd7/kmt2ca/kmt2ba/baz1b/nap1l4b/chaf1b/brd9/kmt2bb/smarca2/phf2/znf644a/smyd2a/arid1b/ppm1da/aebp2/brd2a/suz12b/rnf2/ing2/kmt2e/ing1",49
"GO:0006352","DNA-templated transcription initiation","16/1162","64/18773",0.25,4.03894148020654,6.25537521284145,1.21424881283852e-06,0.000458012865947279,0.000419959437685548,"gtf2a1/gtf2a2/tfam/dr1/vps72a/gtf2f2a/med18/tbpl1/gtf2e2/ccnh/mdc1/phf2/taf1/taf8/snapc5/zgc:162472",16
"GO:0000375","RNA splicing, via transesterification reactions","35/1162","238/18773",0.147058823529412,2.37584792953326,5.4869240182413,1.64031667072245e-06,0.000458012865947279,0.000419959437685548,"arglu1b/rbm22/srpk1a/rbm6/luc7l/puf60a/sf1/hnrnpua/zgc:77262/snrpb2/tra2b/prpf6/lsm3/arglu1a/paxbp1/trnau1apb/rbfox2/wdr83/sf3b1/syf2/srsf5b/coil/hnrnpa1a/lsm6/casc3/prpf4ba/srrm1/rbmx2/rbm24a/dhx8/ythdc1/zmat2/hnrnpub/rbm15/phf5a",35
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","35/1162","238/18773",0.147058823529412,2.37584792953326,5.4869240182413,1.64031667072245e-06,0.000458012865947279,0.000419959437685548,"arglu1b/rbm22/srpk1a/rbm6/luc7l/puf60a/sf1/hnrnpua/zgc:77262/snrpb2/tra2b/prpf6/lsm3/arglu1a/paxbp1/trnau1apb/rbfox2/wdr83/sf3b1/syf2/srsf5b/coil/hnrnpa1a/lsm6/casc3/prpf4ba/srrm1/rbmx2/rbm24a/dhx8/ythdc1/zmat2/hnrnpub/rbm15/phf5a",35
"GO:0000398","mRNA splicing, via spliceosome","35/1162","238/18773",0.147058823529412,2.37584792953326,5.4869240182413,1.64031667072245e-06,0.000458012865947279,0.000419959437685548,"arglu1b/rbm22/srpk1a/rbm6/luc7l/puf60a/sf1/hnrnpua/zgc:77262/snrpb2/tra2b/prpf6/lsm3/arglu1a/paxbp1/trnau1apb/rbfox2/wdr83/sf3b1/syf2/srsf5b/coil/hnrnpa1a/lsm6/casc3/prpf4ba/srrm1/rbmx2/rbm24a/dhx8/ythdc1/zmat2/hnrnpub/rbm15/phf5a",35
"GO:0016567","protein ubiquitination","51/1162","429/18773",0.118881118881119,1.92061552904926,4.95480137952427,5.76158087664295e-06,0.00144788527430037,0.00132758953041804,"ube2d1a/ndfip1/cul1a/ube2a/ube2d3/lnx2b/rnf144ab/rnf20/arih2/uba52/anapc10/rnf168/rchy1/fbxw7/spsb4a/mycbp2/ube2al/trim71/ube2g1a/zbtb16a/ndfip2/peli1b/rnft1/ube2q1/cblb/ube2e3/fbxl14b/spopla/n4bp1/ube2kb/trim33/fbxo45/pef1/ube2d2l/birc2/ube2z/fbxw11b/dda1/nedd4l/ube2q2/herc2/phf23b/trim35-28/rnf6/asb7/znf598/fzr1a/rnf2/ube2s/rnf220a/ercc8",51
