"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001946","lymphangiogenesis","10/508","51/18773",0.196078431372549,7.24602439400957,7.44886209963948,9.09181555507047e-07,0.0014273534307271,0.00135581284513705,"lyve1a/nfatc1/itga9/notch1b/lpar1/arap3/prox1a/iqsec1b/adamts3/kdrl",10
"GO:0036303","lymph vessel morphogenesis","10/508","54/18773",0.185185185185185,6.84346748323126,7.17139229227793,1.58330940735119e-06,0.0014273534307271,0.00135581284513705,"lyve1a/nfatc1/itga9/notch1b/lpar1/arap3/prox1a/iqsec1b/adamts3/kdrl",10
"GO:0001945","lymph vessel development","11/508","78/18773",0.141025641025641,5.21156369876842,6.21591734530539,7.73578047491575e-06,0.00464920406542437,0.0044161806430484,"lyve1a/nfatc1/itga9/notch1b/lpar1/arap3/prox1a/iqsec1b/cpt1ab/adamts3/kdrl",11
"GO:0098609","cell-cell adhesion","27/508","452/18773",0.0597345132743363,2.20747247578566,4.33360337217063,0.000112492045763075,0.0406066805600536,0.0385714273119113,"celsr1b/itga9/notch1b/neo1b/fat1a/kirrel1b/itga5/si:ch211-132g1.3/cxadr/tie1/cdh6/celsr1a/prtgb/plpp3/icam3/gna12a/kirrel3a/igsf9b/pcdh1gc5/lrrc4.1/itga10/nrarpb/gpr183a/pcdh1a/podxl/palld/dspa",27
"GO:0021696","cerebellar cortex morphogenesis","5/508","19/18773",0.263157894736842,9.72492747617074,6.34554547724635,0.000120791981971522,0.0406066805600536,0.0385714273119113,"cfdp1/stub1/hgfb/klf8/agtpbp1",5
"GO:0001525","angiogenesis","23/508","360/18773",0.0638888888888889,2.36099628171479,4.3483370822235,0.000135130384559247,0.0406066805600536,0.0385714273119113,"calcrlb/ldb2a/kdr/notch1b/abca1a/ptprb/lpar1/itga5/hspg2/gas6/spns2/iqsec1b/tie1/hoxd4a/vegfab/nrarpb/htatip2/rcan1a/efnb2a/arhgef9b/kdrl/ramp2/angptl1a",23
"GO:0021695","cerebellar cortex development","5/508","21/18773",0.238095238095238,8.79874390701162,5.96331567961195,0.00020213332977068,0.0468661232180001,0.0445171395485222,"cfdp1/stub1/hgfb/klf8/agtpbp1",5
"GO:0048738","cardiac muscle tissue development","11/508","112/18773",0.0982142857142857,3.6294818616423,4.65467137689353,0.0002287214865188,0.0468661232180001,0.0445171395485222,"mef2cb/klf2b/tbx1/cav1/sgcd/npr1a/icam3/pbx2/mef2ca/itgb1b/lrrc39",11
"GO:0048514","blood vessel morphogenesis","26/508","448/18773",0.0580357142857143,2.14469382733408,4.08962650576929,0.00023612149250477,0.0468661232180001,0.0445171395485222,"calcrlb/ldb2a/kdr/notch1b/ets1/abca1a/ptprb/lpar1/itga5/hspg2/gas6/spns2/iqsec1b/tie1/vezf1b/sh3gl3b/hoxd4a/vegfab/nrarpb/htatip2/rcan1a/efnb2a/arhgef9b/kdrl/ramp2/angptl1a",26
"GO:0035051","cardiocyte differentiation","9/508","80/18773",0.1125,4.15740649606299,4.71968788279626,0.000305546919218224,0.0468661232180001,0.0445171395485222,"sema3d/mef2cb/itga5/glrx2/tbx1/icam3/pbx2/mef2ca/itgb1b",9
