"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016071","mRNA metabolic process","104/2035","474/18773",0.219409282700422,2.02406411014006,7.87387173655663,1.15734827400268e-12,3.34357916359375e-09,2.93844635462576e-09,"cpsf6/ik/cdc40/isy1/bcas2/pelo/trnau1apb/dhx38/patl1/exosc8/u2af2a/exosc6/fxr1/rbm5/prpf8/sb:cb81/hnrnpa0a/cnot2/sde2/khdrbs1b/txnl4a/cdk12/zgc:158803/upf3b/pus3/tnrc6c1/pum1/cnot6a/yju2/snrpg/pqbp1/hnrnpul1/cstf3/prkrip1/ddx46/rbm4.2/cnot9/hnrnpk/cnot6b/thoc1/rprd2a/gemin8/srsf10b/dcps/samd4a/cnot3a/crnkl1/tssc4/fmr1/srsf2b/mettl16/ssu72/sltm/cfap410/rbm4.3/exosc5/sf3b5/prpf18/rest/si:ch211-107m4.1/cwc25/dhx16/igf2bp2b/nsrp1/bud13/prpf39/sf3b6/ptbp2b/cnot3b/srsf5b/sf3a1/slbp/pum2/srrm2/dicer1/ddx23/paxbp1/rbm6/virma/lsm3/srsf1b/cstf2/pnrc2/srek1ip1/celf1/tra2b/nudt21/ago3b/usp39/hnrnpub/zgc:77262/hnrnpul1l/scaf11/prpf4bb/larp7/casc3/dhx37/cstf1/arglu1a/lsm4/zfp36l1b/zcrb1/qkia/dhx9",104
"GO:0006397","mRNA processing","79/2035","334/18773",0.236526946107784,2.1819756065265,7.59974049298458,1.28606178114635e-11,1.8577162428659e-08,1.6326215874342e-08,"cpsf6/ik/cdc40/isy1/bcas2/trnau1apb/dhx38/u2af2a/rbm5/prpf8/sde2/khdrbs1b/txnl4a/cdk12/zgc:158803/yju2/snrpg/pqbp1/hnrnpul1/cstf3/prkrip1/ddx46/rbm4.2/hnrnpk/thoc1/rprd2a/gemin8/srsf10b/dcps/crnkl1/tssc4/fmr1/srsf2b/mettl16/ssu72/sltm/cfap410/rbm4.3/sf3b5/prpf18/rest/si:ch211-107m4.1/cwc25/dhx16/nsrp1/bud13/prpf39/sf3b6/ptbp2b/srsf5b/sf3a1/slbp/srrm2/ddx23/paxbp1/rbm6/virma/lsm3/srsf1b/cstf2/srek1ip1/celf1/tra2b/nudt21/usp39/hnrnpub/zgc:77262/hnrnpul1l/scaf11/prpf4bb/larp7/casc3/dhx37/cstf1/arglu1a/lsm4/zcrb1/qkia/dhx9",79
"GO:0008380","RNA splicing","75/2035","320/18773",0.234375,2.16212377149877,7.31104708608879,6.73043592355692e-11,6.48140979438531e-08,5.69607419214712e-08,"mbnl2/ik/cdc40/isy1/rtraf/bcas2/trnau1apb/dhx38/rtcb/u2af2a/rbm5/prpf8/tsen2/sde2/khdrbs1b/txnl4a/cdk12/zgc:158803/yju2/snrpg/pqbp1/hnrnpul1/prkrip1/ddx46/rbm4.2/hnrnpk/thoc1/gemin8/srsf10b/tsen34/hmga1a/crnkl1/tssc4/fmr1/srsf2b/mettl16/cfap410/rbm4.3/sf3b5/prpf18/rest/si:ch211-107m4.1/cwc25/dhx16/nsrp1/bud13/prpf39/sf3b6/ptbp2b/srsf5b/sf3a1/ddx23/paxbp1/rbm6/virma/lsm3/srsf1b/hnrnph1l/srek1ip1/celf1/zbtb8os/tra2b/usp39/hnrnpub/zgc:77262/hnrnpul1l/scaf11/prpf4bb/larp7/casc3/dhx37/arglu1a/lsm4/zcrb1/qkia",75
"GO:0048193","Golgi vesicle transport","50/2035","186/18773",0.268817204301075,2.47985522179071,7.07223608280806,7.48346112573489e-10,5.40492979806202e-07,4.75002848296646e-07,"snx12/cog4/ap1ar/exoc6/tfg/rab41/exoc1/tmed7/gosr2/copb1/sec23a/dop1b/snx1a/trappc3/kdelr2a/uso1/tex261/tmed2/trappc2l/sec22a/ap1g1/rabggtb/pef1/arcn1b/ccdc93/mia2/tmed3/cnstb/vps51/arfgap2/ankfy1/trappc4/snx3/stx5al/lman1/stx18/mia3/copa/rabif/exoc4/ap3s2/cog2/kdelr3/trappc2/rab14/trip11/ergic3/zgc:63863/golga7/blzf1",50
"GO:0000375","RNA splicing, via transesterification reactions","58/2035","238/18773",0.243697478991597,2.2481242128301,6.75671638140569,2.05216152549436e-09,8.46956378164746e-07,7.44332872104121e-07,"ik/cdc40/isy1/bcas2/trnau1apb/dhx38/u2af2a/prpf8/sde2/khdrbs1b/txnl4a/zgc:158803/yju2/snrpg/pqbp1/hnrnpul1/ddx46/rbm4.2/hnrnpk/gemin8/srsf10b/crnkl1/tssc4/srsf2b/mettl16/cfap410/rbm4.3/sf3b5/prpf18/rest/si:ch211-107m4.1/cwc25/nsrp1/bud13/prpf39/sf3b6/srsf5b/sf3a1/ddx23/paxbp1/rbm6/lsm3/srsf1b/celf1/tra2b/usp39/hnrnpub/zgc:77262/hnrnpul1l/scaf11/prpf4bb/larp7/casc3/dhx37/arglu1a/lsm4/zcrb1/qkia",58
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","58/2035","238/18773",0.243697478991597,2.2481242128301,6.75671638140569,2.05216152549436e-09,8.46956378164746e-07,7.44332872104121e-07,"ik/cdc40/isy1/bcas2/trnau1apb/dhx38/u2af2a/prpf8/sde2/khdrbs1b/txnl4a/zgc:158803/yju2/snrpg/pqbp1/hnrnpul1/ddx46/rbm4.2/hnrnpk/gemin8/srsf10b/crnkl1/tssc4/srsf2b/mettl16/cfap410/rbm4.3/sf3b5/prpf18/rest/si:ch211-107m4.1/cwc25/nsrp1/bud13/prpf39/sf3b6/srsf5b/sf3a1/ddx23/paxbp1/rbm6/lsm3/srsf1b/celf1/tra2b/usp39/hnrnpub/zgc:77262/hnrnpul1l/scaf11/prpf4bb/larp7/casc3/dhx37/arglu1a/lsm4/zcrb1/qkia",58
"GO:0000398","mRNA splicing, via spliceosome","58/2035","238/18773",0.243697478991597,2.2481242128301,6.75671638140569,2.05216152549436e-09,8.46956378164746e-07,7.44332872104121e-07,"ik/cdc40/isy1/bcas2/trnau1apb/dhx38/u2af2a/prpf8/sde2/khdrbs1b/txnl4a/zgc:158803/yju2/snrpg/pqbp1/hnrnpul1/ddx46/rbm4.2/hnrnpk/gemin8/srsf10b/crnkl1/tssc4/srsf2b/mettl16/cfap410/rbm4.3/sf3b5/prpf18/rest/si:ch211-107m4.1/cwc25/nsrp1/bud13/prpf39/sf3b6/srsf5b/sf3a1/ddx23/paxbp1/rbm6/lsm3/srsf1b/celf1/tra2b/usp39/hnrnpub/zgc:77262/hnrnpul1l/scaf11/prpf4bb/larp7/casc3/dhx37/arglu1a/lsm4/zcrb1/qkia",58
"GO:0019941","modification-dependent protein catabolic process","80/2035","424/18773",0.188679245283019,1.74057762737008,5.37815127492531,5.02089806372846e-07,0.000181317181326394,0.000159347449075172,"sirt2/anapc11/ndfip1l/rnf25/chfr/rnf13/psmd11b/elocb/rnf213a/psmd4a/trim3a/cdc34a/trpc4apa/fbxo22/psmc6/ufd1l/psmc5/ube2a/ube2h/psmd6/cul2/cdc26/spoplb/ube2l3a/styx/vps36/hecw2a/klhl4/spop/hectd1/trip12/rnf144ab/trim71/rnf4/psmd11a/fbxo45/cul1a/cul3b/psma8/rnf168/usp25/cul5a/gsk3ab/psmc3/ecrg4b/psmc2/ubb/rffl/tnfaip1/rnf167/amn1/ube2d2l/crbn/pdcd7/ndfip1/arih1l/psma1/psmd4b/vps25/klhl41b/itchb/klhl20/rnf6/fzr1a/stam/rbx1/psma6b/ube2r2/ndfip2/ube3a/vps28/nedd8/psmc1a/psmb3/fbxl3a/fbxl15/mylipa/ube2d3/psmc1b/rnf144b",80
"GO:0043632","modification-dependent macromolecule catabolic process","80/2035","426/18773",0.187793427230047,1.73240590141999,5.33162753100608,6.11415820083654e-07,0.000196264478246853,0.000172483620823599,"sirt2/anapc11/ndfip1l/rnf25/chfr/rnf13/psmd11b/elocb/rnf213a/psmd4a/trim3a/cdc34a/trpc4apa/fbxo22/psmc6/ufd1l/psmc5/ube2a/ube2h/psmd6/cul2/cdc26/spoplb/ube2l3a/styx/vps36/hecw2a/klhl4/spop/hectd1/trip12/rnf144ab/trim71/rnf4/psmd11a/fbxo45/cul1a/cul3b/psma8/rnf168/usp25/cul5a/gsk3ab/psmc3/ecrg4b/psmc2/ubb/rffl/tnfaip1/rnf167/amn1/ube2d2l/crbn/pdcd7/ndfip1/arih1l/psma1/psmd4b/vps25/klhl41b/itchb/klhl20/rnf6/fzr1a/stam/rbx1/psma6b/ube2r2/ndfip2/ube3a/vps28/nedd8/psmc1a/psmb3/fbxl3a/fbxl15/mylipa/ube2d3/psmc1b/rnf144b",80
"GO:0006511","ubiquitin-dependent protein catabolic process","78/2035","414/18773",0.188405797101449,1.73805505109853,5.29480675481837,7.37687734783797e-07,0.000208521268688123,0.000183255287779691,"sirt2/anapc11/ndfip1l/rnf25/chfr/rnf13/psmd11b/elocb/rnf213a/psmd4a/trim3a/cdc34a/trpc4apa/fbxo22/psmc6/ufd1l/psmc5/ube2a/ube2h/psmd6/cul2/cdc26/spoplb/ube2l3a/styx/vps36/hecw2a/klhl4/spop/hectd1/trip12/rnf144ab/trim71/rnf4/psmd11a/fbxo45/cul1a/cul3b/psma8/rnf168/usp25/cul5a/gsk3ab/psmc3/ecrg4b/psmc2/rffl/tnfaip1/rnf167/amn1/ube2d2l/crbn/pdcd7/ndfip1/arih1l/psma1/psmd4b/vps25/klhl41b/itchb/klhl20/rnf6/fzr1a/stam/rbx1/psma6b/ube2r2/ndfip2/ube3a/vps28/psmc1a/psmb3/fbxl3a/fbxl15/mylipa/ube2d3/psmc1b/rnf144b",78
