"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048514","blood vessel morphogenesis","50/890","448/18773",0.111607142857143,2.35415830658106,6.47167264362755,1.73052554374292e-08,4.24497915880137e-05,3.90370130551691e-05,"bcar1/kdrl/yap1/nme2b.1/marcksl1a/marcksl1b/rack1/ptenb/tnfrsf19/fermt2/hs6st2/egfl7/hmga2/plekhg5a/map3k7/nrp1a/tspan18b/ppp4ca/yy1a/wnk1b/plcg1/thbs1b/calcrlb/eif3i/eif4e2/hapln1b/adgrg6/iars1/smad5/vhl/ptena/smo/lmo2/sirt1/fmnl3/ephb4a/plk2b/kdr/adgra2/sox11b/peak1/bmpr2b/isl2a/trim33l/ldb2a/colec12/cxxc5a/ephb4b/gdf6a/notch1b",50
"GO:0009968","negative regulation of signal transduction","48/890","470/18773",0.102127659574468,2.15420511594549,5.65328489220626,4.91820004983396e-07,0.000522107205936052,0.000480132058412239,"uacaa/slc25a5/cyp26b1/lgals3b/zmynd11/rack1/ptk7a/otud5a/arhgap29b/cnot9/smad6a/nck1b/dusp1/stk3/nlk1/chac1/tle3b/lmbr1l/churc1/ptpn2b/socs6b/tcf7l1a/axin1/sufu/tollip/usp4/chd8/eya1/sulf2b/vhl/phactr4b/nkiras2/gpatch3/skia/uri1/tnfaip8l1/cptp/chp1/si:ch211-121a2.2/sox11b/socs3b/jupa/rnf2/aida/ldb2a/spry4/gdf6a/mdm2",48
"GO:0022603","regulation of anatomical structure morphogenesis","35/890","301/18773",0.116279069767442,2.45270446825189,5.66804967809899,9.35517112081895e-07,0.000522107205936052,0.000480132058412239,"bcar1/nme2b.1/cxcl12a/rack1/ptenb/rhogc/pak2b/pard6gb/si:dkey-40c11.2/fermt2/palm1b/nrp1a/dbnlb/tspan18b/mief1/plcg1/churc1/thbs1b/parvaa/rhogb/adgrg6/myh10/iars1/arhgap35b/vhl/ptena/cfap20/sirt1/myh9b/ptk2ab/fmnl3/casp3a/kdr/sox11b/rnf2",35
"GO:0010648","negative regulation of cell communication","48/890","484/18773",0.0991735537190083,2.09189339771567,5.42922735568242,1.14718231047387e-06,0.000522107205936052,0.000480132058412239,"uacaa/slc25a5/cyp26b1/lgals3b/zmynd11/rack1/ptk7a/otud5a/arhgap29b/cnot9/smad6a/nck1b/dusp1/stk3/nlk1/chac1/tle3b/lmbr1l/churc1/ptpn2b/socs6b/tcf7l1a/axin1/sufu/tollip/usp4/chd8/eya1/sulf2b/vhl/phactr4b/nkiras2/gpatch3/skia/uri1/tnfaip8l1/cptp/chp1/si:ch211-121a2.2/sox11b/socs3b/jupa/rnf2/aida/ldb2a/spry4/gdf6a/mdm2",48
"GO:0023057","negative regulation of signaling","48/890","484/18773",0.0991735537190083,2.09189339771567,5.42922735568242,1.14718231047387e-06,0.000522107205936052,0.000480132058412239,"uacaa/slc25a5/cyp26b1/lgals3b/zmynd11/rack1/ptk7a/otud5a/arhgap29b/cnot9/smad6a/nck1b/dusp1/stk3/nlk1/chac1/tle3b/lmbr1l/churc1/ptpn2b/socs6b/tcf7l1a/axin1/sufu/tollip/usp4/chd8/eya1/sulf2b/vhl/phactr4b/nkiras2/gpatch3/skia/uri1/tnfaip8l1/cptp/chp1/si:ch211-121a2.2/sox11b/socs3b/jupa/rnf2/aida/ldb2a/spry4/gdf6a/mdm2",48
"GO:0001525","angiogenesis","39/890","360/18773",0.108333333333333,2.28510299625468,5.49233473455415,1.37435203087745e-06,0.000522107205936052,0.000480132058412239,"bcar1/kdrl/nme2b.1/rack1/ptenb/tnfrsf19/fermt2/hs6st2/hmga2/plekhg5a/nrp1a/tspan18b/ppp4ca/yy1a/wnk1b/plcg1/thbs1b/calcrlb/eif3i/eif4e2/hapln1b/adgrg6/iars1/vhl/ptena/sirt1/fmnl3/ephb4a/plk2b/kdr/adgra2/sox11b/peak1/bmpr2b/trim33l/ldb2a/cxxc5a/ephb4b/notch1b",39
"GO:0016071","mRNA metabolic process","47/890","474/18773",0.0991561181434599,2.0915256246148,5.36957009063437,1.48991049390639e-06,0.000522107205936052,0.000480132058412239,"cirbpb/pnrc2/ybx1/zgc:77262/zgc:162730/snrpb2/arglu1b/dis3l2/hnrnpub/rbpms2a/cnot9/ptbp1b/cstf3/sart1/hnrnpk/cnot3b/paxbp1/syf2/lsm5/sf3b4/larp7/fxr2/strap/pnn/igf2bp2b/cnot2/ythdf1/pcf11/bud31/smg6/rbm4.1/pan3/rbm7/arglu1a/thoc1/ssu72/rbm22/rbmx/sf1/luc7l3/zcrb1/zc3h14/cdk12/trnau1apb/cdc40/scaf11/zmat2",47
"GO:0032446","protein modification by small protein conjugation","46/890","472/18773",0.0974576271186441,2.05569891449248,5.18207568487834,3.07467882289656e-06,0.000942773394070658,0.000866978515456228,"uba52/anapc11/ube3a/ube2d3/rnf40/ube2ia/ube2e2/rnf20/mylipa/rnf170/ube2d1a/dcun1d5/zbtb16a/mkrn1/socs6b/rnf144b/tmem129/ube2q2/anapc13/fbxo45/anapc10/pias2/zgc:101783/mkrn4/asb8/dda1/vhl/n4bp1/fbxl14b/spopla/fzr1a/fbxl14a/ube2h/cnot4b/ube2f/sh3rf1/socs3b/ercc8/ube2z/rnf2/xiap/trim33l/rnf169/kbtbd8/wdr32/keap1b",46
"GO:0006397","mRNA processing","36/890","334/18773",0.107784431137725,2.27352486039158,5.23892361407878,3.90694211862486e-06,0.0010648587796652,0.000979248767276384,"cirbpb/ybx1/zgc:77262/snrpb2/arglu1b/hnrnpub/rbpms2a/ptbp1b/cstf3/sart1/hnrnpk/paxbp1/syf2/lsm5/sf3b4/larp7/strap/pnn/pcf11/bud31/rbm4.1/pan3/rbm7/arglu1a/thoc1/ssu72/rbm22/rbmx/sf1/luc7l3/zcrb1/cdk12/trnau1apb/cdc40/scaf11/zmat2",36
"GO:0033108","mitochondrial respiratory chain complex assembly","13/890","63/18773",0.206349206349206,4.3525771357232,5.94623744748625,6.46907777588385e-06,0.00157904268799625,0.0014520945267346,"uqcc1/uqcc2/aifm1/ndufb2/ndufaf1/chchd7/sdhaf4/pet100/cox20/sco1/zgc:193742/tmem223/ndufs8a",13
"GO:0016567","protein ubiquitination","42/890","429/18773",0.0979020979020979,2.06507425159111,4.9784207566528,7.34691594973083e-06,0.00157904268799625,0.0014520945267346,"uba52/anapc11/ube3a/ube2d3/rnf40/ube2e2/rnf20/mylipa/rnf170/ube2d1a/zbtb16a/mkrn1/socs6b/rnf144b/tmem129/ube2q2/anapc13/fbxo45/anapc10/zgc:101783/mkrn4/asb8/dda1/vhl/n4bp1/fbxl14b/spopla/fzr1a/fbxl14a/ube2h/cnot4b/sh3rf1/socs3b/ercc8/ube2z/rnf2/xiap/trim33l/rnf169/kbtbd8/wdr32/keap1b",42
