"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","180/4405","319/18773",0.564263322884012,2.40474809546006,14.0113055766423,2.85990387916685e-37,8.84568269826308e-34,7.28522882903556e-34,"rpf2/fbl/npm1a/gnl3/pes/denr/eif3jb/sf3a2/mcts1/ncl/nop2/wdr43/tma16/mphosph6/abt1/snrpg/xpo1b/nop10/ebna1bp2/trmt112/ptges3b/pwp2h/eif5/dkc1/nop56/gar1/pwp1/puf60a/prpf39/znf622/exosc8/eif2s2/eif6/isy1/dhx37/nhp2/prpf6/snrpd3l/c1qbp/u2af2b/nol11/utp3/bud23/rrp1/wdr3/utp11/lsm6/pin4/prpf8/sf3b1/snrpe/sde2/eif3s10/ltv1/ftsj3/exosc9/snrpd2/sbds/nat10/puf60b/prpf31/snrnp200/rrp36/tsr1/snrpd1/eif3c/ppan/nup88/ddx18/gnl2/usp39/zgc:158803/bxdc2/znf593/snu13b/imp3/nsun5/pak1ip1/snrpc/luc7l/sart3/ddx52/ddx10/rpf1/clns1a/mak16/srpk1b/tarbp2/nom1/noc4l/celf1/imp4/nop16/lsm4/u2af2a/riok2/exosc3/gemin8/pdcd11/polr1c/gemin2/wdr75/khdc4/ddx27/bms1/tsr2/dcaf13/snrpf/exosc2/wdr18/srpk1a/ruvbl1/ngdn/aar2/nvl/utp15/trnau1apa/utp25/ddx46/sdad1/utp23/yju2/utp6/tfb2m/ddx51/crnkl1/wdr36/mtg2/mphosph10/tssc4/mettl5/rexo1/mdn1/eif2d/rexo4/drosha/fcf1/srfbp1/prpf18/mpv17l2/wdr55/lsg1/noc2l/heatr3/ddx49/nob1/rrs1/rrp15/nip7/prmt7/coil/eif3ba/wdr12/celf2/nop14/exosc10/sfswap/emg1/ddx28/rrp8/wbp11/riok1/bop1/heatr1/rpusd4/krr1/utp4/riok3/ybey/mrto4/rcl1/ddx54/nsun3/snu13a/exosc7/dimt1l/eral1/nol9/rbm34/shq1",180
"GO:0016071","mRNA metabolic process","234/4405","474/18773",0.493670886075949,2.10390091811664,13.4783166851741,1.59000563657813e-35,2.45894371696808e-32,2.02516507395741e-32,"etf1b/srrm1/hnrnpul1/txnl4a/srsf1b/zfp36l1a/safb/prpf40a/sf3a2/hnrpkl/sf3a1/rida/rbm4.2/hnrnpl/rbm25b/pqbp1/magoh/igf2bp1/sf3b2/snrpg/ddx39ab/hnrnpa1b/nbas/syncrip/edc4/edc3/rbm39b/cnot6a/sf3a3/cnot3a/dkc1/lsm7/snrnp70/nudt21/puf60a/larp1b/prpf39/exosc8/srsf2a/isy1/dhx37/prpf6/snrpd3l/hnrnpa0a/srsf7a/khdrbs1b/u2af2b/fip1l1b/phf5a/ddx23/lsm6/prpf8/dcp2/rbm6/prpf19/snd1/sf3b1/snrpe/sde2/srsf1a/hnrnpa0b/exosc9/snrpd2/ilf3b/fmr1/sltm/puf60b/prpf31/dhx9/eif4a3/tnrc6c2/snrnp200/cnot1/lsm8/snrnp27/snrpd1/dhx38/cpsf1/snrpb/gpkow/parn/upf1/srsf9/tdrd3/dhx16/rbm4.3/papola/slu7/sb:cb81/qki2/usp39/wtap/ddx39aa/zgc:158803/pum1/thoc2/srsf10b/pelo/snu13b/thoc7/nsrp1/hnrnpua/snrpc/luc7l/sart3/sf3b6/cpsf2/lgals3a/clns1a/fastk/mfap1/srrm2/srpk1b/syncripl/cirbpa/bcas2/celf1/papolg/sf3b5/lsm4/patl1/u2af2a/exosc3/gemin8/virma/rprd2b/prpf38a/rbm8a/gemin2/hnrnpa1a/hnrnpl2/rbm47/ncbp2/khdc4/srrt/hnrnpul1l/supv3l1/upf3b/dicer1/snrpf/eftud2/exosc2/rc3h2/aqr/u2af1/rbfox3a/cactin/srpk1a/cstf2/dbr1/snrnp25/aar2/snip1/slbp/cpsf6/dhx8/casc3/trnau1apa/ptbp2b/fam50a/ddx46/rprd1b/ptbp1a/tnrc6a/yju2/dhx34/snw1/rbm15/crnkl1/cpsf3/tra2b/tssc4/rbm39a/thoc5/cript/exosc5/ik/sf3b3/smu1a/smndc1/smg1/xrn2/igf2bp3/thoc6/prpf18/prpf4bb/pabpc1b/ptbp3/gpatch1/cnot7/smg7/dcps/ddx39b/tbp/prmt7/znf326/coil/htatsf1/rngtt/cwc22/prpf4ba/angel2/prpf38b/celf2/exosc10/sympk/zmat5/sfswap/cwf19l2/wbp11/rbmx2/rbm17/rpusd4/srsf2b/rnmt/ythdf3/smg5/fastkd1/dazap1/mrto4/rc3h1a/cnot6b/cnot10/rsrc1/zrsr2/cnot8/snu13a/exosc7/mettl14/qkia/rnps1/ago3b/scnm1/ppwd1",234
"GO:0006397","mRNA processing","179/4405","334/18773",0.535928143712575,2.28399070191059,13.109813078564,3.80381251195103e-33,3.92173069982151e-30,3.22990395751631e-30,"srrm1/hnrnpul1/txnl4a/srsf1b/safb/prpf40a/sf3a2/hnrpkl/sf3a1/rbm4.2/hnrnpl/rbm25b/pqbp1/magoh/sf3b2/snrpg/ddx39ab/hnrnpa1b/rbm39b/sf3a3/lsm7/snrnp70/nudt21/puf60a/prpf39/srsf2a/isy1/dhx37/prpf6/snrpd3l/srsf7a/khdrbs1b/u2af2b/fip1l1b/phf5a/ddx23/lsm6/prpf8/rbm6/prpf19/sf3b1/snrpe/sde2/srsf1a/snrpd2/ilf3b/fmr1/sltm/puf60b/prpf31/dhx9/eif4a3/snrnp200/lsm8/snrnp27/snrpd1/dhx38/snrpb/gpkow/srsf9/tdrd3/dhx16/rbm4.3/papola/slu7/qki2/usp39/wtap/ddx39aa/zgc:158803/thoc2/srsf10b/snu13b/thoc7/nsrp1/hnrnpua/snrpc/luc7l/sart3/sf3b6/cpsf2/lgals3a/clns1a/mfap1/srrm2/srpk1b/cirbpa/bcas2/celf1/papolg/sf3b5/lsm4/u2af2a/gemin8/virma/rprd2b/prpf38a/rbm8a/gemin2/hnrnpa1a/hnrnpl2/rbm47/ncbp2/khdc4/srrt/hnrnpul1l/snrpf/eftud2/aqr/u2af1/rbfox3a/cactin/srpk1a/cstf2/dbr1/snrnp25/aar2/snip1/slbp/cpsf6/dhx8/casc3/trnau1apa/ptbp2b/fam50a/ddx46/rprd1b/ptbp1a/yju2/snw1/rbm15/crnkl1/cpsf3/tra2b/tssc4/rbm39a/thoc5/cript/ik/sf3b3/smu1a/smndc1/xrn2/thoc6/prpf18/prpf4bb/pabpc1b/ptbp3/gpatch1/dcps/ddx39b/prmt7/znf326/coil/htatsf1/rngtt/cwc22/prpf4ba/prpf38b/celf2/sympk/zmat5/sfswap/cwf19l2/wbp11/rbmx2/rbm17/rpusd4/srsf2b/rnmt/dazap1/rsrc1/zrsr2/snu13a/mettl14/qkia/rnps1/scnm1/ppwd1",179
"GO:0008380","RNA splicing","172/4405","320/18773",0.5375,2.29068955732123,12.8941691775883,4.2334512821118e-32,3.27351620389295e-29,2.69604002702909e-29,"srrm1/hnrnpul1/txnl4a/srsf1b/prpf40a/sf3a2/hnrpkl/sf3a1/rbm4.2/hnrnpl/rbm25b/pqbp1/magoh/sf3b2/snrpg/ddx39ab/hnrnpa1b/hnrnph1l/trpt1/sf3a3/lsm7/tsen34/snrnp70/puf60a/prpf39/srsf2a/isy1/dhx37/prpf6/snrpd3l/srsf7a/khdrbs1b/u2af2b/srsf11/phf5a/ddx23/lsm6/prpf8/rbm6/prpf19/sf3b1/snrpe/sde2/srsf1a/snrpd2/ilf3b/fmr1/puf60b/prpf31/eif4a3/snrnp200/lsm8/snrnp27/snrpd1/rtraf/dhx38/snrpb/gpkow/srsf9/dhx16/rbm4.3/slu7/qki2/usp39/wtap/ddx39aa/zgc:158803/srsf10b/snu13b/thoc7/nsrp1/hnrnpua/snrpc/luc7l/sart3/sf3b6/lgals3a/clns1a/mfap1/srpk1b/cirbpa/bcas2/celf1/dyrk1ab/sf3b5/lsm4/u2af2a/gemin8/virma/prpf38a/rbm8a/gemin2/hnrnpa1a/hnrnpl2/rbm47/ncbp2/khdc4/hnrnpul1l/snrpf/eftud2/aqr/u2af1/rbfox3a/cactin/srpk1a/dbr1/snrnp25/acin1b/aar2/snip1/dhx8/casc3/trnau1apa/ptbp2b/fam50a/ddx46/ptbp1a/yju2/snw1/rbm15/crnkl1/usb1/tra2b/tssc4/mbnl2/thoc5/cript/ik/clk2a/sf3b3/smu1a/smndc1/acin1a/thoc6/prpf18/prpf4bb/ptbp3/zbtb8os/ddx39b/prmt7/znf326/coil/htatsf1/cwc22/prpf4ba/hnrnph3/prpf38b/celf2/zmat5/rtcb/sfswap/cwf19l2/wbp11/rbmx2/hnrnph1/rbm17/rpusd4/rbm12/srsf2b/clk2b/tsen15/grsf1/dazap1/rsrc1/zrsr2/snu13a/mettl14/dyrk1aa/qkia/rnps1/scnm1/ppwd1",172
"GO:0016072","rRNA metabolic process","109/4405","179/18773",0.608938547486033,2.59514264516579,11.8732523281984,7.21365255450067e-27,4.46236547021411e-24,3.67516614355613e-24,"rpf2/fbl/rnaset2/gnl3/pes/ncl/nop2/wdr43/mphosph6/abt1/nop10/ebna1bp2/trmt112/polr2eb/pwp2h/dkc1/nop56/gar1/pwp1/exosc8/eif6/dhx37/nhp2/nol11/utp3/bud23/rrp1/wdr3/utp11/lsm6/pin4/sde2/ltv1/ftsj3/exosc9/nat10/rrp36/tsr1/ppan/ddx18/gnl2/bxdc2/pelo/snu13b/imp3/nsun5/pak1ip1/ddx52/ddx10/rpf1/mak16/imp4/riok2/exosc3/pdcd11/wdr75/ddx27/bms1/tsr2/dcaf13/exosc2/wdr18/ngdn/utp15/utp25/utp23/utp6/tfb2m/ddx51/polr1e/wdr36/mphosph10/mettl5/rexo1/exosc5/rexo4/chd7/drosha/fcf1/srfbp1/wdr55/ddx49/nob1/rrs1/rrp15/wdr12/exosc10/emg1/rrp8/wbp11/riok1/bop1/heatr1/rpusd4/krr1/utp4/riok3/kdm2bb/ybey/mrto4/rcl1/ddx54/nsun3/snu13a/exosc7/dimt1l/macroh2a1/nol9/rbm34",109
"GO:0006364","rRNA processing","101/4405","161/18773",0.627329192546584,2.6735189402218,11.8080210165906,1.80612265512988e-26,9.31056228719452e-24,7.66809969370931e-24,"rpf2/fbl/gnl3/pes/ncl/nop2/wdr43/mphosph6/abt1/nop10/ebna1bp2/trmt112/pwp2h/dkc1/nop56/gar1/pwp1/exosc8/eif6/dhx37/nhp2/nol11/utp3/bud23/rrp1/wdr3/utp11/lsm6/pin4/sde2/ltv1/ftsj3/exosc9/nat10/rrp36/tsr1/ppan/ddx18/gnl2/bxdc2/snu13b/imp3/nsun5/pak1ip1/ddx52/ddx10/rpf1/mak16/imp4/riok2/exosc3/pdcd11/wdr75/ddx27/bms1/tsr2/dcaf13/exosc2/wdr18/ngdn/utp15/utp25/utp23/utp6/tfb2m/ddx51/wdr36/mphosph10/mettl5/rexo1/rexo4/drosha/fcf1/srfbp1/wdr55/ddx49/nob1/rrs1/rrp15/wdr12/exosc10/emg1/rrp8/wbp11/riok1/bop1/heatr1/rpusd4/krr1/utp4/riok3/ybey/mrto4/rcl1/ddx54/nsun3/snu13a/exosc7/dimt1l/nol9/rbm34",101
"GO:0000375","RNA splicing, via transesterification reactions","131/4405","238/18773",0.550420168067227,2.34575205791738,11.5687731575382,4.86398102928253e-26,1.67158814706343e-23,1.37670574162149e-23,"srrm1/hnrnpul1/txnl4a/srsf1b/prpf40a/sf3a2/hnrpkl/sf3a1/rbm4.2/rbm25b/pqbp1/magoh/sf3b2/snrpg/ddx39ab/hnrnpa1b/sf3a3/lsm7/snrnp70/puf60a/prpf39/srsf2a/isy1/dhx37/prpf6/snrpd3l/srsf7a/khdrbs1b/u2af2b/phf5a/ddx23/lsm6/prpf8/rbm6/prpf19/sf3b1/snrpe/sde2/srsf1a/snrpd2/ilf3b/puf60b/prpf31/eif4a3/snrnp200/lsm8/snrpd1/dhx38/snrpb/gpkow/srsf9/rbm4.3/slu7/qki2/usp39/wtap/ddx39aa/zgc:158803/srsf10b/snu13b/nsrp1/hnrnpua/snrpc/luc7l/sart3/sf3b6/clns1a/mfap1/srpk1b/cirbpa/bcas2/celf1/sf3b5/lsm4/u2af2a/gemin8/prpf38a/rbm8a/gemin2/hnrnpa1a/ncbp2/khdc4/hnrnpul1l/snrpf/eftud2/aqr/u2af1/rbfox3a/cactin/srpk1a/dbr1/snrnp25/aar2/snip1/dhx8/casc3/trnau1apa/fam50a/ddx46/yju2/snw1/rbm15/crnkl1/tra2b/tssc4/ik/sf3b3/smu1a/prpf18/prpf4bb/ddx39b/prmt7/coil/htatsf1/cwc22/prpf4ba/prpf38b/celf2/sfswap/cwf19l2/rbmx2/rbm17/srsf2b/dazap1/rsrc1/zrsr2/snu13a/mettl14/qkia/rnps1/scnm1",131
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","131/4405","238/18773",0.550420168067227,2.34575205791738,11.5687731575382,4.86398102928253e-26,1.67158814706343e-23,1.37670574162149e-23,"srrm1/hnrnpul1/txnl4a/srsf1b/prpf40a/sf3a2/hnrpkl/sf3a1/rbm4.2/rbm25b/pqbp1/magoh/sf3b2/snrpg/ddx39ab/hnrnpa1b/sf3a3/lsm7/snrnp70/puf60a/prpf39/srsf2a/isy1/dhx37/prpf6/snrpd3l/srsf7a/khdrbs1b/u2af2b/phf5a/ddx23/lsm6/prpf8/rbm6/prpf19/sf3b1/snrpe/sde2/srsf1a/snrpd2/ilf3b/puf60b/prpf31/eif4a3/snrnp200/lsm8/snrpd1/dhx38/snrpb/gpkow/srsf9/rbm4.3/slu7/qki2/usp39/wtap/ddx39aa/zgc:158803/srsf10b/snu13b/nsrp1/hnrnpua/snrpc/luc7l/sart3/sf3b6/clns1a/mfap1/srpk1b/cirbpa/bcas2/celf1/sf3b5/lsm4/u2af2a/gemin8/prpf38a/rbm8a/gemin2/hnrnpa1a/ncbp2/khdc4/hnrnpul1l/snrpf/eftud2/aqr/u2af1/rbfox3a/cactin/srpk1a/dbr1/snrnp25/aar2/snip1/dhx8/casc3/trnau1apa/fam50a/ddx46/yju2/snw1/rbm15/crnkl1/tra2b/tssc4/ik/sf3b3/smu1a/prpf18/prpf4bb/ddx39b/prmt7/coil/htatsf1/cwc22/prpf4ba/prpf38b/celf2/sfswap/cwf19l2/rbmx2/rbm17/srsf2b/dazap1/rsrc1/zrsr2/snu13a/mettl14/qkia/rnps1/scnm1",131
"GO:0000398","mRNA splicing, via spliceosome","131/4405","238/18773",0.550420168067227,2.34575205791738,11.5687731575382,4.86398102928253e-26,1.67158814706343e-23,1.37670574162149e-23,"srrm1/hnrnpul1/txnl4a/srsf1b/prpf40a/sf3a2/hnrpkl/sf3a1/rbm4.2/rbm25b/pqbp1/magoh/sf3b2/snrpg/ddx39ab/hnrnpa1b/sf3a3/lsm7/snrnp70/puf60a/prpf39/srsf2a/isy1/dhx37/prpf6/snrpd3l/srsf7a/khdrbs1b/u2af2b/phf5a/ddx23/lsm6/prpf8/rbm6/prpf19/sf3b1/snrpe/sde2/srsf1a/snrpd2/ilf3b/puf60b/prpf31/eif4a3/snrnp200/lsm8/snrpd1/dhx38/snrpb/gpkow/srsf9/rbm4.3/slu7/qki2/usp39/wtap/ddx39aa/zgc:158803/srsf10b/snu13b/nsrp1/hnrnpua/snrpc/luc7l/sart3/sf3b6/clns1a/mfap1/srpk1b/cirbpa/bcas2/celf1/sf3b5/lsm4/u2af2a/gemin8/prpf38a/rbm8a/gemin2/hnrnpa1a/ncbp2/khdc4/hnrnpul1l/snrpf/eftud2/aqr/u2af1/rbfox3a/cactin/srpk1a/dbr1/snrnp25/aar2/snip1/dhx8/casc3/trnau1apa/fam50a/ddx46/yju2/snw1/rbm15/crnkl1/tra2b/tssc4/ik/sf3b3/smu1a/prpf18/prpf4bb/ddx39b/prmt7/coil/htatsf1/cwc22/prpf4ba/prpf38b/celf2/sfswap/cwf19l2/rbmx2/rbm17/srsf2b/dazap1/rsrc1/zrsr2/snu13a/mettl14/qkia/rnps1/scnm1",131
"GO:0042254","ribosome biogenesis","125/4405","226/18773",0.553097345132743,2.35716151195845,11.3652498607783,3.64466423042807e-25,1.1272946464714e-22,9.28430256593256e-23,"rpf2/fbl/npm1a/gnl3/pes/ncl/nop2/wdr43/tma16/mphosph6/abt1/xpo1b/nop10/ebna1bp2/trmt112/pwp2h/dkc1/nop56/gar1/pwp1/znf622/exosc8/eif6/dhx37/nhp2/c1qbp/nol11/utp3/bud23/rrp1/wdr3/utp11/lsm6/pin4/sde2/ltv1/ftsj3/exosc9/sbds/nat10/rrp36/tsr1/ppan/nup88/ddx18/gnl2/bxdc2/znf593/snu13b/imp3/nsun5/pak1ip1/ddx52/ddx10/rpf1/mak16/nom1/noc4l/imp4/nop16/riok2/exosc3/pdcd11/polr1c/wdr75/ddx27/bms1/tsr2/dcaf13/exosc2/wdr18/ngdn/nvl/utp15/utp25/sdad1/utp23/utp6/tfb2m/ddx51/wdr36/mtg2/mphosph10/mettl5/rexo1/mdn1/rexo4/drosha/fcf1/srfbp1/mpv17l2/wdr55/lsg1/noc2l/heatr3/ddx49/nob1/rrs1/rrp15/nip7/wdr12/nop14/exosc10/emg1/ddx28/rrp8/wbp11/riok1/bop1/heatr1/rpusd4/krr1/utp4/riok3/ybey/mrto4/rcl1/ddx54/nsun3/snu13a/exosc7/dimt1l/eral1/nol9/rbm34",125
