"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016197","endosomal transport","63/2285","178/18773",0.353932584269663,2.90782337176997,9.52060309484919,7.32550771422207e-16,2.17347813880969e-12,1.87687218699121e-12,"vps26b/ezrb/zgc:153184/washc2c/snx7/ankfy1/coro1ca/vps25/chmp1b/snx8a/vps28/chmp5b/tbc1d10aa/rab11a/ap5m1/snx17/bloc1s1/gripap1/bloc1s2/tbc1d5/rab7a/itsn1/vps35l/chmp2bb/vti1a/arl1/itsn2b/tmem50a/plekha3/vcp/stam/arhgap1/vps35/vti1b/vps4a/vps4b/ap5s1/wash1/ptpn23b/snx5/ehd2b/chmp7/zfyve16/snx12/chmp2a/rab11fip3/snx1a/eps15/hgs/nf2b/vps36/snx3/snx27b/scrib/mvb12a/ap3d1/wdr81/rab8b/rab8a/zfyve9a/map2k2b/dennd10/vps16",63
"GO:0048193","Golgi vesicle transport","64/2285","186/18773",0.344086021505376,2.82692642526058,9.32153137833641,2.07416402317126e-15,3.07702232837456e-12,2.65711328020992e-12,"kdelr2a/copa/lman2/ankfy1/ergic3/tmed3/tmed2/snx8a/gosr2/copg2/bcap31/ap1ar/tfg/tmed10/nbas/lman1/yipf6/trappc2l/tmed7/vti1a/cog2/kdelr3/llgl2/golga5/arcn1b/blzf1/ap3s2/cog8/rabggtb/rer1/trappc2/arcn1a/pef1/vti1b/cope/stx5a/creb3l2/rabggta/exoc6/copz2/uso1/copb2/scfd1/trappc5/gosr1/ergic2/stx18/snx12/snx1a/snx3/sec24b/ap3d1/yipf4/copb1/mia3/cnstb/golga4/dop1b/exoc8/tex261/cog4/stxbp5b/ccdc93/exoc2",64
"GO:0043632","modification-dependent macromolecule catabolic process","105/2285","426/18773",0.246478873239437,2.02501001633433,7.96644870235146,5.6945844749828e-13,5.63194404575799e-10,4.86337495161689e-10,"uchl3/trib3/cul3a/vps25/fbxo9/vps28/dis3l2/psmc4/edn1/nedd8l/rnf111/rnf144ab/fbxl14a/hectd1/hsp90ab1/mylipa/ubb/maea/ccdc22/klhl4/ube2a/psma8/fzr1b/psmc2/tnfaip1/psmc1b/ankib1a/vcp/stam/rnf145b/ubr4/rad23aa/ube2d2l/psmb5/rnf213a/trip12/ufd1l/uba1/uba52/kbtbd2/vps37c/spsb3a/psma5/trim3b/otud7b/ube2al/fem1c/rnf146/psmd8/cul3b/gid8b/nub1/psmd14/klhl20/ptpn23b/zgc:66427/wwp2/cul4b/ubqln4/armc8/bag6l/axin2/usp14/cop1/nedd4l/shrprbck1r/ndfip1l/psmd4b/psma6b/psmd3/vps36/ube4b/ube2d3/hectd3/ube2l3b/itchb/fbxo11a/ddb1/fbxl7/trim71/psmc1a/psma4/wdr81/cdc34a/cdc27/rnf11b/nsfl1c/kctd10/psmc3/psma3/znrf2a/gsk3ba/keap1a/anapc10/rnf6/psmc6/klhl22/rnf144b/vps37a/eloca/agap3/znrf2b/psmb7/rnf144aa/rnf14",105
"GO:0019941","modification-dependent protein catabolic process","104/2285","424/18773",0.245283018867925,2.01518516989389,7.87111718823344,1.01673259668073e-12,7.54161403587933e-10,6.51243984294974e-10,"uchl3/trib3/cul3a/vps25/fbxo9/vps28/psmc4/edn1/nedd8l/rnf111/rnf144ab/fbxl14a/hectd1/hsp90ab1/mylipa/ubb/maea/ccdc22/klhl4/ube2a/psma8/fzr1b/psmc2/tnfaip1/psmc1b/ankib1a/vcp/stam/rnf145b/ubr4/rad23aa/ube2d2l/psmb5/rnf213a/trip12/ufd1l/uba1/uba52/kbtbd2/vps37c/spsb3a/psma5/trim3b/otud7b/ube2al/fem1c/rnf146/psmd8/cul3b/gid8b/nub1/psmd14/klhl20/ptpn23b/zgc:66427/wwp2/cul4b/ubqln4/armc8/bag6l/axin2/usp14/cop1/nedd4l/shrprbck1r/ndfip1l/psmd4b/psma6b/psmd3/vps36/ube4b/ube2d3/hectd3/ube2l3b/itchb/fbxo11a/ddb1/fbxl7/trim71/psmc1a/psma4/wdr81/cdc34a/cdc27/rnf11b/nsfl1c/kctd10/psmc3/psma3/znrf2a/gsk3ba/keap1a/anapc10/rnf6/psmc6/klhl22/rnf144b/vps37a/eloca/agap3/znrf2b/psmb7/rnf144aa/rnf14",104
"GO:0006511","ubiquitin-dependent protein catabolic process","101/2285","414/18773",0.243961352657005,2.00432668421442,7.69245646313028,3.06887438592212e-12,1.79773211547272e-09,1.55240273501875e-09,"uchl3/trib3/cul3a/vps25/fbxo9/vps28/psmc4/edn1/rnf111/rnf144ab/fbxl14a/hectd1/hsp90ab1/mylipa/maea/ccdc22/klhl4/ube2a/psma8/fzr1b/psmc2/tnfaip1/psmc1b/ankib1a/vcp/stam/rnf145b/ubr4/rad23aa/ube2d2l/psmb5/rnf213a/trip12/ufd1l/uba1/kbtbd2/vps37c/spsb3a/psma5/trim3b/otud7b/ube2al/fem1c/rnf146/psmd8/cul3b/gid8b/nub1/psmd14/klhl20/ptpn23b/zgc:66427/wwp2/cul4b/ubqln4/armc8/bag6l/axin2/usp14/cop1/nedd4l/shrprbck1r/ndfip1l/psmd4b/psma6b/psmd3/vps36/ube4b/ube2d3/hectd3/ube2l3b/itchb/fbxo11a/ddb1/fbxl7/trim71/psmc1a/psma4/wdr81/cdc34a/cdc27/rnf11b/nsfl1c/kctd10/psmc3/psma3/znrf2a/gsk3ba/keap1a/anapc10/rnf6/psmc6/klhl22/rnf144b/vps37a/eloca/agap3/znrf2b/psmb7/rnf144aa/rnf14",101
"GO:0033365","protein localization to organelle","88/2285","342/18773",0.257309941520468,2.11399541889004,7.73991861184868,3.63545422744737e-12,1.79773211547272e-09,1.55240273501875e-09,"ezrb/tram1/spcs3/kpna4/insig1/zgc:153184/ssr3/washc2c/kdelr2a/vps25/nup50/vps28/wdr83os/bcap31/timm17a/lmnb2/spcs2/emc3/timm13/hspd1/sgta/vrk1/arl1/dclk2a/lmnl3/kpna3/kdelr3/lmbrd1/zfand6/sec61b/ccdc47/emc10/glmp/vcp/rer1/stam/lmnb1/get1/emc2/vps8/get4/agk/vps13c/ddrgk1/srp54/tomm40l/romo1/nkd1/nipblb/vps37c/ptpn23b/gas8/entr1/tasorb/mapre1a/bag6l/myo7aa/emc6/dnajc15/gnptab/rab11fip3/tomm34/dnajc19/kdelr2b/grpel1/nf2b/ran/vps36/nipbla/mmgt1/pex10/sgtb/lamtor4/srp19/scrib/ap3d1/tomm70a/pttg1ipb/rab3gap2/zgc:113278/nup35/vps37a/efcab7/pex3/nup107/tomm5/get3/srp72",88
"GO:0006886","intracellular protein transport","96/2285","388/18773",0.247422680412371,2.03276410476212,7.65243353544737,4.47997743530743e-12,1.89887043579388e-09,1.63973910940425e-09,"vps26b/tram1/kpna4/copa/vps25/tmed3/rab32a/tmed2/nup50/snx8a/vps28/copg2/snx11/arf1/bcap31/ap3b1a/rab11a/cltca/chm/xpo7/ap1s2/snx17/gripap1/tmed10/tomm22/timm13/tomm20a/arf5/tmed7/vti1a/arl1/sh3tc2/kpna3/sec61b/vps18/ap3s2/vcp/stam/clta/rabl3/rab18a/rab43/vps8/vps35/agk/vps13c/vti1b/srp54/stx5a/oaz1a/stxbp2/exoc6/romo1/nkd1/vps37c/kif13a/copz2/uso1/copb2/scfd1/ptpn23b/rab5ab/vps33b/stx18/dnajc27/gnptab/vps26c/sytl1/ran/vps36/rab18b/rilpl2/pex10/snx27b/rab3aa/os9/cltb/rab1ba/scrib/sec24b/ap3d1/arf2a/tomm70a/copb1/pttg1ipb/si:ch211-266g18.9/zgc:113278/nup35/ap3m1/napaa/vps37a/fam91a1/pex3/nup107/arl4d/vps16",96
"GO:0034976","response to endoplasmic reticulum stress","46/2285","135/18773",0.340740740740741,2.79944241834833,7.81123259617466,2.61749352536622e-11,9.70762911220199e-09,8.38286742202815e-09,"hspa5/hsp90b1/calr3b/calr/canx/p4hb/ufc1/pdia6/atf6/pdia4/calr3a/atf4a/usp19/herpud2/ppp1r15a/rnf121/pdia3/ufm1/tmtc4/vcp/eif2ak3/jkamp/ddrgk1/derl1/creb3l2/serp1/ufd1l/bag6l/parp16/usp14/tmub1/uggt1/sigmar1/nck1a/ube2g2/ube4b/ptpn1/os9/sel1l/trappc11/mia3/edem1/psmc6/ern1/clgn/parp6b",46
"GO:0006457","protein folding","49/2285","156/18773",0.314102564102564,2.58058968748247,7.37973861091728,1.60459167947873e-10,5.28980390334821e-08,4.56792531912425e-08,"hspa5/hsp90b1/dnajb11/calr3b/calr/canx/p4hb/hsp90aa1.2/ptges3b/erp44/pdia4/hspe1/dnajc3a/tbcb/st13/calr3a/ppid/ppig/hsp90ab1/hspd1/fkbp11/dnajc3b/hspa4b/ppih/pdia3/fkbp16/pdia5/nudc/clpxa/dnaja1/ero1b/hspa9/nudcd3/hspa14/cwc27/tbca/grpel1/ppifb/dnajb12a/ppiaa/ppil2/ttc4/hspa13/zgc:122979/hspa4a/cdc37l1/tor2a/clgn/dnajb2",49
"GO:0010498","proteasomal protein catabolic process","81/2285","333/18773",0.243243243243243,1.99842687326276,6.84340599286568,5.0903540728004e-10,1.51030805339988e-07,1.30420229612591e-07,"hspa5/hsp90b1/calr3b/calr/canx/trib3/fbxo9/ddi2/psmc4/edn1/fbxl14a/calr3a/hectd1/hsp90ab1/usp19/maea/klhl4/rnf121/ube2a/psma8/fzr1b/psmc2/tnfaip1/psmc1b/vcp/jkamp/rnf145b/rad23aa/psmb5/derl1/ufd1l/rhbdf1a/kbtbd2/spsb3a/psma5/trim3b/ube2al/fem1c/psmd8/gid8b/psmd14/klhl20/zgc:66427/wwp2/armc8/bag6l/axin2/usp14/cop1/shrprbck1r/psmd4b/tmub1/uggt1/psma6b/ube2g2/ube4b/hectd3/itchb/ddb1/os9/fbxl7/trim71/sel1l/psmc1a/psma4/cdc27/nsfl1c/kctd10/psmc3/psma3/znrf2a/gsk3ba/keap1a/anapc10/edem1/psmc6/klhl22/clgn/agap3/znrf2b/psmb7",81
"GO:0051604","protein maturation","84/2285","355/18773",0.236619718309859,1.94400961568096,6.6847280804105,1.03254402397802e-09,2.78505283558436e-07,2.40498770752393e-07,"hspa5/hsp90b1/dnajb11/calr3b/calr/canx/p4hb/hsp90aa1.2/spcs3/dpm1/ptges3b/erp44/atg4da/f13a1b/ciao2a/ddi2/pdia4/hspe1/dnajc3a/lgmn/spcs2/tbcb/st13/calr3a/ppid/ppig/sec11a/hsp90ab1/hspd1/cfd/fkbp11/dnajc3b/ciao2b/furina/zmpste24/lmf2b/hspa4b/naa20/ppih/pdia3/fkbp16/pigp/dpm2/tll1/pdia5/nudc/tmem208/pigc/atg4b/clpxa/pcsk7/dnaja1/psen2/ero1b/hspa9/nudcd3/hspa14/cwc27/naa35/chac1/pmm2/tbca/grpel1/isca1/ppifb/pigo/pigs/dnajb12a/ppiaa/ppil2/ttc4/hspa13/zgc:122979/bola3/hspa4a/zgc:110329/cdc37l1/nfu1/fnta/tor2a/clgn/dnajb2/zgc:114200/atg4c",84
"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","33/2285","89/18773",0.370786516853933,3.04629115137806,7.20347222338297,1.3997662168962e-09,3.46092197127584e-07,2.98862365958363e-07,"copa/lman2/ergic3/tmed3/tmed2/copg2/bcap31/tfg/tmed10/lman1/yipf6/trappc2l/tmed7/arcn1b/rabggtb/trappc2/arcn1a/pef1/cope/stx5a/creb3l2/rabggta/uso1/copb2/scfd1/trappc5/gosr1/ergic2/sec24b/yipf4/copb1/mia3/tex261",33
"GO:0007034","vacuolar transport","36/2285","103/18773",0.349514563106796,2.8715259926494,7.09017087869386,1.67669245872318e-09,3.75378382191651e-07,3.24151981357912e-07,"arl8ba/ankfy1/vps25/chmp1b/vps28/atp6v0d1/chmp5b/rab7a/chmp2bb/vti1a/tmem50a/uevld/vps18/ap3s2/vcp/stam/mcoln1a/vps8/vps13c/vti1b/vps37c/ptpn23b/ndfip1l/chmp7/sybl1/chmp2a/gnptab/vps36/plekhf2/zgc:100918/mvb12a/ap3d1/pikfyve/igf2r/mgrn1a/vps37a",36
"GO:0070972","protein localization to endoplasmic reticulum","20/2285","38/18773",0.526315789473684,4.32408153863872,7.63573773990387,1.77124952837314e-09,3.75378382191651e-07,3.24151981357912e-07,"tram1/spcs3/insig1/ssr3/kdelr2a/bcap31/spcs2/sgta/kdelr3/sec61b/rer1/ddrgk1/srp54/kdelr2b/sgtb/srp19/rab3gap2/zgc:113278/get3/srp72",20
"GO:0016071","mRNA metabolic process","102/2285","474/18773",0.215189873417722,1.76794726200039,6.30407358955346,4.60932320433099e-09,9.1172412981667e-07,7.87304749427483e-07,"cirbpb/sf3b1/rida/igf2bp1/srrm1/rprd2b/edc3/cnot6a/dis3l2/hnrnpul1/prpf40a/rbm39b/rbm47/exosc8/hnrnpa0a/rbm4.2/zfp36l1a/nbas/srsf2a/ybx1/upf1/srrm2/rbm25b/cpsf2/safb/dhx37/lsm7/cpsf1/sf3b2/ythdf1/snd1/zgc:77262/hnrnpl/syf2/prpf4ba/srsf1b/rprd1b/mettl14/parn/arglu1b/nsrp1/igf2bp3/rbm15/igf2bp2b/txnl4a/sf3a2/khdrbs1a/ythdf3/upf3b/dhx34/cnot10/patl1/srpk1b/prpf8/edc4/fip1l1b/snrpd1/cnot1/prpf19/nudt21/paxbp1/ddx23/thoc1/ptcd2/gli2a/u2af2a/sde2/srsf7a/si:ch211-107m4.1/hnrnpa1a/srsf1a/snrpd3l/tnrc6c2/usp39/prpf18/sf3a3/thoc6/cstf2/hnrpkl/khdc4/lgals3a/wdr83/tnrc6a/cnot6b/sltm/fastkd1/zrsr2/larp1b/znf326/u2af2b/prpf38b/rbm15b/papola/dicer1/syncrip/thoc7/snrpc/supv3l1/tent5ab/tfip11/snrnp70/rbm6",102
"GO:0006487","protein N-linked glycosylation","22/2285","49/18773",0.448979591836735,3.68870629214487,7.01546517142727,1.26303652305629e-08,2.34214335244252e-06,2.02252032705199e-06,"ddost/mgat5/dpm1/mogs/tmem258/krtcap2/alg12/si:ch73-91k6.2/mgat1b/rpn1/alg9/dad1/tmem165/rpn2/gfpt1/uggt1/pmm2/tusc3/dolpp1/zgc:92907/trappc11/alg6",22
"GO:0010256","endomembrane system organization","67/2285","279/18773",0.240143369175627,1.97295906762978,6.095307645891,2.69677001249209e-08,4.70665683944943e-06,4.06435802501904e-06,"tram1/dysf/coro1ca/tmed3/tmed2/gorasp2/pdcd10a/jagn1b/wdr83os/lmnb2/emc3/surf4l/tmed10/tmed7/vrk1/vti1a/arl1/lmnl3/atl3/ist1/cog2/tmem33/snap29/golga5/blzf1/ccdc47/emc10/vps18/plk3/mtss1/plekha3/lmnb1/get1/reep3a/emc2/dag1/get4/vti1b/golga2/plekhm2/uso1/copb2/bin2b/bag6l/chmp7/emc6/chmp2a/mmgt1/dtnbp1a/plekhf2/vmp1/vapb/trappc11/usp8/ap3d1/cdk5rap2/yipf4/nsfl1c/baiap2a/map2k2b/zgc:158689/zgc:113278/tjap1/cog4/arv1/lnpk/get3",67
"GO:0090150","establishment of protein localization to membrane","40/2285","133/18773",0.300751879699248,2.47090373636498,6.33725967666736,2.94966883868269e-08,4.86203746909531e-06,4.19853447564542e-06,"tram1/ssr3/wdr83os/rab11a/gripap1/emc3/timm13/sgta/blzf1/sec61b/ccdc47/emc10/get1/emc2/get4/agk/zdhhc24/srp54/romo1/vps37c/bag6l/emc6/zdhhc12a/rilpl2/mmgt1/sgtb/srp19/scrib/tomm70a/zdhhc23b/rab8a/rab3gap2/zdhhc21/cnstb/zgc:113278/vps37a/pex3/get3/atad1b/srp72",40
"GO:0007033","vacuole organization","36/2285","114/18773",0.31578947368421,2.59444892318323,6.35672231775421,3.56620610174097e-08,5.56891237045551e-06,4.80894495935597e-06,"rraga/atp6v0ca/rab32a/atg4da/atg3/tmem39a/atp2a2a/rab7a/atp6v1f/cln5/vps18/rab43/rb1cc1/si:ch211-260e23.9/atg4b/vps4a/vps4b/atp6v1e1b/zgc:92606/tmem251/emc6/atp2a2b/gnptab/ambra1b/vmp1/zgc:100918/rab1ba/pikfyve/snx4/nsfl1c/si:dkey-28b4.8/phf23b/wdr45b/atg4c/vps16/atg16l1",36
"GO:0051668","localization within membrane","73/2285","317/18773",0.230283911671924,1.89195618110155,5.96236756062713,4.19609240175349e-08,6.2249030780013e-06,5.37541521361474e-06,"tram1/atp6ap1b/ssr3/snx7/wdr83os/lmnb2/rab11a/snx17/gripap1/emc3/timm13/tm9sf3/vps35l/sgta/lmnl3/rnf121/llgl2/blzf1/sec61b/camk2g2/ccdc47/emc10/lmnb1/get1/emc2/arhgap1/dag1/get4/agk/vti1b/zdhhc24/srp54/exoc6/romo1/vps37c/gphna/wash1/ptpn23b/tm9sf4/bag6l/ehd2b/emc6/snx12/rab11fip3/hgs/zdhhc12a/rilpl2/snx3/mmgt1/snx27b/sgtb/srp19/agrn/scrib/rab8b/tomm70a/zdhhc23b/rab8a/rab3gap2/zdhhc21/cnstb/zgc:113278/exoc8/zgc:110329/vps37a/efcab7/pex3/stxbp5b/ccdc93/exoc2/get3/atad1b/srp72",73
"GO:0072594","establishment of protein localization to organelle","50/2285","189/18773",0.264550264550265,2.1734801384692,6.03603059875906,6.26614871116305e-08,8.8531729647718e-06,7.64501552028615e-06,"tram1/spcs3/kpna4/ssr3/vps25/nup50/vps28/timm17a/spcs2/timm13/hspd1/sgta/kpna3/zfand6/sec61b/stam/vps8/agk/vps13c/srp54/tomm40l/romo1/nkd1/nipblb/vps37c/ptpn23b/dnajc15/gnptab/tomm34/dnajc19/grpel1/ran/vps36/nipbla/pex10/sgtb/srp19/scrib/ap3d1/tomm70a/pttg1ipb/rab3gap2/zgc:113278/nup35/vps37a/pex3/nup107/tomm5/get3/srp72",50
"GO:0006986","response to unfolded protein","22/2285","54/18773",0.407407407407407,3.34715941324256,6.43002305584709,1.07899923156198e-07,1.45517760002018e-05,1.25659527733103e-05,"hspa5/atf6/dnajc3a/atf4a/herpud2/hspd1/tmtc4/eif2ak3/jkamp/ddrgk1/derl1/creb3l2/serp1/parp16/chac1/nck1a/ptpn1/vapb/os9/edem1/ern1/parp6b",22
"GO:0009894","regulation of catabolic process","69/2285","303/18773",0.227722772277228,1.87091448751002,5.68954801878105,1.54169032438088e-07,1.98878051845133e-05,1.71737951924167e-05,"trib3/igf2bp1/rraga/cnot6a/dis3l2/tmem39a/edn1/hnrnpa0a/zfp36l1a/hsp90ab1/nbas/ybx1/hspd1/cisd2/dap/upf1/ccdc22/rnf121/etfa/fzr1b/oaz2a/ctns/vcp/wdr41/tmem59/ythdf1/ddrgk1/mettl14/psmd2/oaz1a/parn/rhbdf1a/igf2bp3/igf2bp2b/psen2/nub1/ythdf3/dhx34/bag6l/patl1/axin2/usp14/timp2a/cnot1/dram2b/psmd3/gli2a/asah1b/ambra1b/tnrc6c2/sesn1/ap3d1/snx4/stk35l/tnrc6a/cnot6b/fastkd1/pnpla2/larp1b/scocb/gsk3ba/keap1a/depdc5/phf23b/dicer1/syncrip/supv3l1/cpt1ab/tent5ab",69
"GO:0006914","autophagy","57/2285","235/18773",0.242553191489362,1.9927575771684,5.70111876529601,2.01156480510838e-07,2.38732511070262e-05,2.06153630974054e-05,"ufc1/arl8ba/tex264a/snx7/rraga/atg4da/atg3/tmem39a/atp2a2a/hspd1/cisd2/dap/vti1a/ctns/ufm1/vcp/tmem208/wdr41/tmem59/mcoln1a/rab43/spns1/vti1b/ddrgk1/rb1cc1/si:ch211-260e23.9/atg4b/rnf213a/fnbp1l/psen2/zgc:92606/emc6/atp2a2b/dram2b/asah1b/ambra1b/retreg3/vmp1/tp53/sesn1/rab1ba/ap3d1/wdr81/snx4/stk35l/nsfl1c/si:dkey-28b4.8/rab3gap2/si:ch211-266g18.9/scocb/gsk3ba/keap1a/depdc5/phf23b/wdr45b/atg4c/atg16l1",57
"GO:0061919","process utilizing autophagic mechanism","57/2285","235/18773",0.242553191489362,1.9927575771684,5.70111876529601,2.01156480510838e-07,2.38732511070262e-05,2.06153630974054e-05,"ufc1/arl8ba/tex264a/snx7/rraga/atg4da/atg3/tmem39a/atp2a2a/hspd1/cisd2/dap/vti1a/ctns/ufm1/vcp/tmem208/wdr41/tmem59/mcoln1a/rab43/spns1/vti1b/ddrgk1/rb1cc1/si:ch211-260e23.9/atg4b/rnf213a/fnbp1l/psen2/zgc:92606/emc6/atp2a2b/dram2b/asah1b/ambra1b/retreg3/vmp1/tp53/sesn1/rab1ba/ap3d1/wdr81/snx4/stk35l/nsfl1c/si:dkey-28b4.8/rab3gap2/si:ch211-266g18.9/scocb/gsk3ba/keap1a/depdc5/phf23b/wdr45b/atg4c/atg16l1",57
"GO:0045048","protein insertion into ER membrane","13/2285","22/18773",0.590909090909091,4.8547642729262,6.7345926845409,2.12908727722578e-07,2.42961613520342e-05,2.09805604565488e-05,"tram1/wdr83os/emc3/ccdc47/emc10/get1/emc2/get4/bag6l/emc6/mmgt1/zgc:113278/get3",13
"GO:0071985","multivesicular body sorting pathway","15/2285","29/18773",0.517241379310345,4.24952840866219,6.51932429297669,2.64613899930695e-07,2.90781274479397e-05,2.51099505821175e-05,"vps25/chmp1b/vps28/chmp5b/chmp2bb/tmem50a/vcp/stam/pdcd6ip/ptpn23b/chmp7/chmp2a/vps36/mvb12a/dennd10",15
"GO:0007030","Golgi organization","26/2285","75/18773",0.346666666666667,2.84812837345004,5.97007207346077,3.59320022057071e-07,3.72216217737793e-05,3.21421344960811e-05,"tmed3/tmed2/gorasp2/pdcd10a/surf4l/tmed10/tmed7/vrk1/vti1a/arl1/cog2/golga5/blzf1/plk3/vti1b/golga2/plekhm2/uso1/vmp1/trappc11/cdk5rap2/yipf4/nsfl1c/map2k2b/tjap1/cog4",26
"GO:0016236","macroautophagy","37/2285","129/18773",0.286821705426357,2.35645683849846,5.7550045719119,3.63810930717762e-07,3.72216217737793e-05,3.21421344960811e-05,"ufc1/arl8ba/tex264a/snx7/atg4da/atg3/tmem39a/atp2a2a/vti1a/ufm1/vcp/rab43/spns1/vti1b/ddrgk1/rb1cc1/si:ch211-260e23.9/atg4b/rnf213a/zgc:92606/emc6/atp2a2b/ambra1b/retreg3/vmp1/sesn1/rab1ba/wdr81/snx4/nsfl1c/si:dkey-28b4.8/rab3gap2/scocb/phf23b/wdr45b/atg4c/atg16l1",37
"GO:0035966","response to topologically incorrect protein","23/2285","62/18773",0.370967741935484,3.04778005223407,6.01236086255645,4.21035317322937e-07,4.16403928832385e-05,3.59578934162817e-05,"hspa5/atf6/dnajc3a/atf4a/herpud2/hspd1/tmtc4/eif2ak3/jkamp/ddrgk1/derl1/creb3l2/serp1/parp16/chac1/nck1a/ptpn1/vapb/os9/dnajb12a/edem1/ern1/parp6b",23
