"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048514","blood vessel morphogenesis","111/2121","448/18773",0.247767857142857,2.19299669125076,9.12113031134839,4.81489319271504e-16,1.39343008997173e-12,1.19307985006855e-12,"kdrl/fn1a/meis1a/plekhg5a/aplnrb/mcamb/nme2b.1/abca1a/prcp/hexb/sox11b/calcrla/dll4/meis1b/calcrlb/notch1b/amotl2a/igfbp2a/kremen1/pdgfab/plk2b/dlc/nrp2b/bmpr2b/hlx1/angpt1/sat1b/rab13/ackr3b/bcar1/cemip2/rasip1/tp53/igf2b/msna/hdac9b/sox18/hapln1b/ctsz/plekhg5b/egfl7/gas6/lpar6a/ramp2/insra/fbn2b/marcksl1b/serpinf1/cxcl12b/ptena/sdc2/igfbp7/flt4/prkcz/wnt5b/elmo1/unc5b/cxxc5a/snx5/scube2/ephb3a/lpar1/si:ch73-334d15.2/ell/vash2/fmnl3/mtdha/yap1/nrp2a/rspo3/hoxc9a/plxnb2a.1/ptprb/wnk1b/hars/perp/ecscr/s1pr1/cxcr4a/f3a/hspa12b/sema3e/lgals2b/rtn4a/tspan18a/wwtr1/sox7/tnfrsf19/tnfrsf21/utp15/hhex/hmga2/itgb1a/reck/rcan1a/sdf4/plcg1/pald1a/fbxw7/amot/nfkb2/hs6st2/aplnra/kdr/smo/pkma/sulf1/tbx16l/srpx2/acvrl1/ndst1b",111
"GO:0001525","angiogenesis","94/2121","360/18773",0.261111111111111,2.31109801456336,8.96430324495062,2.77749804672254e-15,4.01903967360752e-12,3.44117389578151e-12,"kdrl/fn1a/meis1a/plekhg5a/aplnrb/mcamb/nme2b.1/abca1a/prcp/hexb/sox11b/calcrla/dll4/meis1b/calcrlb/notch1b/amotl2a/igfbp2a/kremen1/pdgfab/plk2b/nrp2b/bmpr2b/hlx1/angpt1/sat1b/rab13/ackr3b/bcar1/cemip2/rasip1/tp53/igf2b/hdac9b/sox18/hapln1b/ctsz/plekhg5b/gas6/lpar6a/ramp2/insra/serpinf1/cxcl12b/ptena/sdc2/igfbp7/flt4/prkcz/wnt5b/elmo1/unc5b/cxxc5a/scube2/ephb3a/lpar1/si:ch73-334d15.2/vash2/fmnl3/mtdha/nrp2a/rspo3/plxnb2a.1/ptprb/wnk1b/hars/s1pr1/cxcr4a/f3a/hspa12b/sema3e/lgals2b/rtn4a/tspan18a/tnfrsf19/tnfrsf21/utp15/hhex/hmga2/itgb1a/reck/rcan1a/sdf4/plcg1/pald1a/fbxw7/amot/nfkb2/hs6st2/aplnra/kdr/pkma/srpx2/acvrl1",94
"GO:0015986","proton motive force-driven ATP synthesis","18/2121","27/18773",0.666666666666667,5.9006757818639,9.09443981285803,1.44113539474073e-11,1.39021527745989e-08,1.19032726990164e-08,"atp5mc3b/atp5l/atp5pd/atp5mc1/atp5mc3a/atp5f1b/atp5f1e/atp5fa1/atp5if1a/atp5meb/atp5pf/atp5mf/atp5mea/atp5if1b/atp5po/atp5f1c/atp5f1d/atp5pb",18
"GO:0006119","oxidative phosphorylation","32/2121","79/18773",0.40506329113924,3.5852207282211,8.21774123479754,2.4756345525111e-11,1.63401548548065e-08,1.39907338334174e-08,"cox6a1/cox8a/ndufa8/atp5f1b/atp5f1e/ndufb8/cox4i1/atp5if1a/cox7a2a/cox7c/uqcrh/atp5mf/cox5ab/ndufc2/ndufb9/pgk1/ndufb6/cox6c/cox5aa/cyc1/atp5if1b/cox7b/sdhc/atp5po/sdhb/ndufa10/uqcc2/sdhdb/sdha/ndufs2/uqcrfs1/cox8b",32
"GO:0009060","aerobic respiration","38/2121","106/18773",0.358490566037736,3.17300490156832,8.00698068291048,2.82310899357403e-11,1.63401548548065e-08,1.39907338334174e-08,"cox6a1/cox8a/ndufa8/atp5f1b/atp5f1e/ndufb8/cox4i1/idh2/atp5if1a/cox7a2a/cox7c/uqcrh/atp5mf/cox5ab/ndufc2/ndufb9/pgk1/mdh1aa/ndufb6/cox6c/cox5aa/cyc1/atp5if1b/cox7b/sdhc/atp5po/sdhb/aco2/ndufa10/suclg1/uqcc2/sdhdb/sdha/mtfr1l/ndufs2/uqcrfs1/cox8b/mdh2",38
"GO:0002040","sprouting angiogenesis","46/2121","146/18773",0.315068493150685,2.7886755407439,7.74335097970652,4.23414048756628e-11,2.04226709516947e-08,1.74862573819843e-08,"kdrl/fn1a/aplnrb/abca1a/sox11b/dll4/plk2b/bmpr2b/hlx1/bcar1/cemip2/rasip1/igf2b/hapln1b/gas6/insra/cxcl12b/sdc2/igfbp7/flt4/prkcz/cxxc5a/scube2/fmnl3/rspo3/plxnb2a.1/hars/s1pr1/cxcr4a/f3a/hspa12b/sema3e/lgals2b/rtn4a/tspan18a/tnfrsf19/tnfrsf21/hhex/hmga2/itgb1a/reck/rcan1a/sdf4/aplnra/pkma/srpx2",46
"GO:0040007","growth","91/2121","406/18773",0.224137931034483,1.98384789217838,7.15260544921381,8.39461858470004e-11,3.47057516916028e-08,2.97156874411788e-08,"fn1a/slit2/dkk1a/cthrc1a/cxcl12a/lef1/gata4/pcdh17/zeb2b/lfng/hspd1/notch1b/igfbp2a/gpc4/tmem108/akap12b/bmpr2b/sema3d/vwa1/epha4a/col4a5/smad2/kdm6bb/igf2b/hapln1b/dnph1/ruvbl1/klf6a/ewsr1a/plxnb1a/gdpd5b/insra/tgif1/igfbp7/robo3/lamtor2/dcn/flt4/rap1aa/wnt5b/rbb4l/junbb/slit3/lin28b/extl3/htt/hnrnpr/ppp1cb/nrxn2a/prdx5/gemin5/yap1/mdka/insm1a/epha4b/eaf2/col4a6/clns1a/col1a1a/ruvbl2/stim1a/myo10l1/cebpd/acvr1ba/becn1/casp3a/grnb/ssna1/hhex/llph/ctsba/fcho2/vdac2/smc3/wt1b/lgmn/sdcbp2/plcg1/dusp6/igf1rb/asah1b/faf1/dvl3a/wwc1/vasna/gap43/fus/sema5ba/wfdc1/tax1bp3/ist1",91
"GO:0045333","cellular respiration","41/2121","129/18773",0.317829457364341,2.81311287274907,7.37466938668589,3.53645777265362e-10,1.27931359925745e-07,1.09537126274034e-07,"cox6a1/cox8a/ndufa8/atp5f1b/atp5f1e/ndufb8/cox4i1/idh2/atp5if1a/cox7a2a/cox7c/uqcrh/atp5mf/cox5ab/ndufc2/etfdh/ndufb9/pgk1/mdh1aa/ndufb6/sigmar1/cox6c/cox5aa/cyc1/atp5if1b/cox7b/sdhc/atp5po/ndufa5/sdhb/aco2/ndufa10/suclg1/uqcc2/sdhdb/sdha/mtfr1l/ndufs2/uqcrfs1/cox8b/mdh2",41
"GO:0006754","ATP biosynthetic process","18/2121","31/18773",0.580645161290323,5.1392982616234,8.23174686905061,4.05301447101686e-10,1.30109477072389e-07,1.11402069264323e-07,"atp5mc3b/atp5l/atp5pd/atp5mc1/atp5mc3a/atp5f1b/atp5f1e/atp5fa1/atp5if1a/atp5meb/atp5pf/atp5mf/atp5mea/atp5if1b/atp5po/atp5f1c/atp5f1d/atp5pb",18
"GO:0048589","developmental growth","85/2121","381/18773",0.223097112860892,1.97463559629304,6.8593455800075,4.49583542060778e-10,1.30109477072389e-07,1.11402069264323e-07,"fn1a/slit2/dkk1a/cthrc1a/cxcl12a/lef1/gata4/pcdh17/zeb2b/lfng/hspd1/notch1b/igfbp2a/gpc4/tmem108/akap12b/bmpr2b/sema3d/vwa1/epha4a/col4a5/smad2/kdm6bb/igf2b/hapln1b/ruvbl1/klf6a/ewsr1a/plxnb1a/gdpd5b/insra/tgif1/robo3/dcn/flt4/rap1aa/wnt5b/rbb4l/junbb/slit3/extl3/htt/hnrnpr/ppp1cb/nrxn2a/prdx5/gemin5/yap1/mdka/insm1a/epha4b/eaf2/col4a6/clns1a/col1a1a/ruvbl2/stim1a/myo10l1/cebpd/acvr1ba/becn1/casp3a/grnb/ssna1/hhex/llph/ctsba/fcho2/vdac2/smc3/wt1b/lgmn/sdcbp2/plcg1/dusp6/igf1rb/asah1b/faf1/dvl3a/wwc1/gap43/fus/sema5ba/tax1bp3/ist1",85
