"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009060","aerobic respiration","36/1254","106/18773",0.339622641509434,5.08431885889681,11.2819635767815,8.12844477646527e-17,2.08494608516334e-13,1.90804545805448e-13,"cox6a1/cox8a/ndufa8/atp5f1b/ndufb8/cox4i1/idh2/atp5if1a/cox7a2a/uqcrh/atp5mf/cox5ab/ndufc2/ndufb9/pgk1/mdh1aa/ndufb6/cox6c/cox5aa/cyc1/atp5if1b/cox7b/sdhc/atp5po/sdhb/aco2/ndufa10/suclg1/uqcc2/sdhdb/sdha/mtfr1l/ndufs2/uqcrfs1/cox8b/mdh2",36
"GO:0045333","cellular respiration","39/1254","129/18773",0.302325581395349,4.52596342865621,10.7510899688522,3.84654199481318e-16,4.9331901083479e-13,4.51462560443862e-13,"cox6a1/cox8a/ndufa8/atp5f1b/ndufb8/cox4i1/idh2/atp5if1a/cox7a2a/uqcrh/atp5mf/cox5ab/ndufc2/etfdh/ndufb9/pgk1/mdh1aa/ndufb6/sigmar1/cox6c/cox5aa/cyc1/atp5if1b/cox7b/sdhc/atp5po/ndufa5/sdhb/aco2/ndufa10/suclg1/uqcc2/sdhdb/sdha/mtfr1l/ndufs2/uqcrfs1/cox8b/mdh2",39
"GO:0006119","oxidative phosphorylation","30/1254","79/18773",0.379746835443038,5.68499788020108,11.1640355278013,9.0483801521593e-16,7.7363650300962e-13,7.07996061028605e-13,"cox6a1/cox8a/ndufa8/atp5f1b/ndufb8/cox4i1/atp5if1a/cox7a2a/uqcrh/atp5mf/cox5ab/ndufc2/ndufb9/pgk1/ndufb6/cox6c/cox5aa/cyc1/atp5if1b/cox7b/sdhc/atp5po/sdhb/ndufa10/uqcc2/sdhdb/sdha/ndufs2/uqcrfs1/cox8b",30
"GO:0022613","ribonucleoprotein complex biogenesis","61/1254","319/18773",0.191222570532915,2.86269642473239,8.97721340053628,6.02616038158604e-14,3.86427534469205e-11,3.53640464498338e-11,"snrpd1/snrpe/snu13b/snrpf/snrpg/snrpd2/ran/lsm6/ptges3b/denr/npm1a/nhp2/ruvbl1/riok2/pin4/tsr2/dkc1/u2af2b/polr1d/nop2/mpv17l2/trmt112/eif2s2/fbl/wdr3/nop10/tfb1m/ebna1bp2/abt1/clns1a/xpo1b/ruvbl2/utp3/luc7l3/znhit3/utp15/wdr75/exosc10/gar1/mak16/eif3c/srfbp1/sf3a2/imp4/trnau1apa/sbds/tma16/nop56/npm1b/snu13a/snrnp200/nol11/rcl1/tsr1/tsr3/eif6/zgc:158803/kri1/ddx10/si:dkey-86e18.1/nop16",61
"GO:0006091","generation of precursor metabolites and energy","52/1254","251/18773",0.207171314741036,3.10145701087198,8.96732305112898,1.66972640645184e-13,8.56569646509792e-11,7.83892607660546e-11,"cox6a1/gapdhs/cox8a/ndufa8/atp5f1b/ndufb8/cox4i1/idh2/atp5if1a/cox7a2a/uqcrh/atp5mf/cox5ab/ndufc2/etfdh/hk1/ndufb9/pgk1/mdh1aa/insra/ndufb6/sigmar1/cox6c/cox5aa/cyc1/atp5if1b/pgam1a/ndufb3/tpi1b/tpi1a/cox7b/sdhc/atp5po/ndufa5/gpia/fdx2/sdhb/aco2/ndufa10/suclg1/pgls/uqcc2/sdhdb/sdha/mtfr1l/ndufs2/uqcrfs1/aldocb/cox8b/wdr45b/mdh2/pkma",52
"GO:0009141","nucleoside triphosphate metabolic process","34/1254","122/18773",0.278688524590164,4.17210500169948,9.40428525172053,4.16116864961808e-13,1.71186893158519e-10,1.56662263975991e-10,"gapdhs/atp5mc3b/atp5l/atp5pd/nme2b.1/atp5mc1/atp5mc3a/atp5f1b/dut/atp5fa1/atp5if1a/atp5meb/ran/atp5pf/atp5mf/dtymk/hk1/pgk1/insra/ak1/atp5if1b/pgam1a/tpi1b/tpi1a/atp6v1ab/atp5po/gpia/nme2b.2/atp5f1c/si:ch211-243j20.2/atp5f1d/aldocb/atp5pb/pkma",34
"GO:0009205","purine ribonucleoside triphosphate metabolic process","31/1254","103/18773",0.300970873786408,4.50568278595872,9.54483563681712,4.67176706475489e-13,1.71186893158519e-10,1.56662263975991e-10,"gapdhs/atp5mc3b/atp5l/atp5pd/nme2b.1/atp5mc1/atp5mc3a/atp5f1b/atp5fa1/atp5if1a/atp5meb/ran/atp5pf/atp5mf/hk1/pgk1/insra/ak1/atp5if1b/pgam1a/tpi1b/tpi1a/atp6v1ab/atp5po/gpia/nme2b.2/atp5f1c/atp5f1d/aldocb/atp5pb/pkma",31
"GO:0015986","proton motive force-driven ATP synthesis","16/1254","27/18773",0.592592592592593,8.87140409947427,10.9503794641642,9.25526323177098e-13,2.74409150642379e-10,2.51126461858009e-10,"atp5mc3b/atp5l/atp5pd/atp5mc1/atp5mc3a/atp5f1b/atp5fa1/atp5if1a/atp5meb/atp5pf/atp5mf/atp5if1b/atp5po/atp5f1c/atp5f1d/atp5pb",16
"GO:0009199","ribonucleoside triphosphate metabolic process","32/1254","112/18773",0.285714285714286,4.27728411938938,9.30689969096107,9.62839125060978e-13,2.74409150642379e-10,2.51126461858009e-10,"gapdhs/atp5mc3b/atp5l/atp5pd/nme2b.1/atp5mc1/atp5mc3a/atp5f1b/atp5fa1/atp5if1a/atp5meb/ran/atp5pf/atp5mf/hk1/pgk1/insra/ak1/atp5if1b/pgam1a/tpi1b/tpi1a/atp6v1ab/atp5po/gpia/nme2b.2/atp5f1c/si:ch211-243j20.2/atp5f1d/aldocb/atp5pb/pkma",32
"GO:0019646","aerobic electron transport chain","23/1254","59/18773",0.389830508474576,5.83595545103128,9.95346673668597,1.07549016325144e-12,2.75863226873993e-10,2.52457164636916e-10,"cox6a1/cox8a/ndufa8/ndufb8/cox4i1/cox7a2a/uqcrh/cox5ab/ndufc2/ndufb9/ndufb6/cox6c/cox5aa/cyc1/cox7b/sdhc/sdhb/ndufa10/sdhdb/sdha/ndufs2/uqcrfs1/cox8b",23
"GO:0046034","ATP metabolic process","28/1254","88/18773",0.318181818181818,4.76333913295636,9.46711224281118,1.36887591077665e-12,3.09492012185621e-10,2.8323266119788e-10,"gapdhs/atp5mc3b/atp5l/atp5pd/atp5mc1/atp5mc3a/atp5f1b/atp5fa1/atp5if1a/atp5meb/atp5pf/atp5mf/hk1/pgk1/insra/ak1/atp5if1b/pgam1a/tpi1b/tpi1a/atp6v1ab/atp5po/gpia/atp5f1c/atp5f1d/aldocb/atp5pb/pkma",28
"GO:0009144","purine nucleoside triphosphate metabolic process","31/1254","107/18773",0.289719626168224,4.33724604629671,9.26198066447711,1.44791584648244e-12,3.09492012185621e-10,2.8323266119788e-10,"gapdhs/atp5mc3b/atp5l/atp5pd/nme2b.1/atp5mc1/atp5mc3a/atp5f1b/atp5fa1/atp5if1a/atp5meb/ran/atp5pf/atp5mf/hk1/pgk1/insra/ak1/atp5if1b/pgam1a/tpi1b/tpi1a/atp6v1ab/atp5po/gpia/nme2b.2/atp5f1c/atp5f1d/aldocb/atp5pb/pkma",31
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","23/1254","60/18773",0.383333333333333,5.73868952684742,9.83584228401868,1.63461213048815e-12,3.22521547284777e-10,2.95156684290573e-10,"cox6a1/cox8a/ndufa8/ndufb8/cox4i1/cox7a2a/uqcrh/cox5ab/ndufc2/ndufb9/ndufb6/cox6c/cox5aa/cyc1/cox7b/sdhc/sdhb/ndufa10/sdhdb/sdha/ndufs2/uqcrfs1/cox8b",23
