"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016071","mRNA metabolic process","191/3469","474/18773",0.40295358649789,2.18064216757708,12.39506266604,3.24578649575967e-29,6.56202429177288e-26,5.46749785373318e-26,"nudt21/etf1b/txnl4a/phf5a/srrm1/magoh/ddx39ab/rbm25b/srsf1b/sf3a1/cirbpa/eif4a3/snrnp70/isy1/lsm6/rbm4.2/u2af2b/dcp2/syncrip/prpf40a/pqbp1/snrpf/exosc3/sf3a2/snrpb/snd1/hnrnpul1/zgc:158803/wtap/ilf3b/cnot6a/hnrnpul1l/cnot3a/rbm6/u2af1/gpkow/hnrpkl/rida/igf2bp1/dhx37/rngtt/lsm7/prpf6/sf3b2/safb/srrt/pelo/snrnp200/ncbp2/sf3a3/sf3b5/papola/exosc9/zfp36l1a/srsf1a/snrpd2/bcas2/fmr1/cnot1/ddx39aa/ptbp2b/upf1/rbm8a/clns1a/cstf3/rpusd4/srsf10b/rbpms2a/puf60b/larp1b/rbm4.1/dhx9/dhx8/ptbp1b/syncripl/htatsf1/puf60a/snrpe/cnot7/exosc8/sart1/thoc7/crnkl1/snrpb2/hnrnpl/prpf39/eftud2/prpf31/virma/tra2b/hnrnpa0b/hnrnpa1b/cactin/slu7/dhx16/sltm/lsm8/lgals3a/snrnp27/cnot9/rbm4.3/hnrnpa0a/edc4/snrpc/gemin2/srsf9/snrpg/lsm4/rbfox3a/sb:cb81/thoc2/ddx39b/snrnp25/khdrbs1b/sde2/snip1/lsm1/snw1/smg8/hnrnpua/snrpd1/slbp/edc3/cript/aqr/pabpc1b/parn/hnrnpk/ptbp1a/pum1/rbm39b/srsf7a/prpf8/zgc:77262/smndc1/hnrnpa1a/rc3h1a/dicer1/thoc5/tnrc6a/nbas/tdrd3/gemin8/rnmt/cwc22/fastk/fip1l1b/dkc1/prmt7/txnl4b/pabpc1a/exosc2/srsf2a/qki2/rnps1/srpk1a/cnot3b/yju2/syf2/snu13b/sympk/dbr1/snrpd3l/dcps/ddx23/zcrb1/bud31/usp39/pan3/wdr33/zfp36l1b/igf2bp2b/zrsr2/dhx38/tnrc6c2/nsrp1/larp7/rbm7/cpsf6/nova2/gpatch1/supv3l1/prpf38a/wbp11/prpf19/luc7l3/hbs1l/celf1/rbmx2/khdrbs1a/tent5c",191
"GO:0006397","mRNA processing","150/3469","334/18773",0.449101796407186,2.43037994348576,12.557723237945,4.33566190404551e-29,6.56202429177288e-26,5.46749785373318e-26,"nudt21/txnl4a/phf5a/srrm1/magoh/ddx39ab/rbm25b/srsf1b/sf3a1/cirbpa/eif4a3/snrnp70/isy1/lsm6/rbm4.2/u2af2b/prpf40a/pqbp1/snrpf/sf3a2/snrpb/hnrnpul1/zgc:158803/wtap/ilf3b/hnrnpul1l/rbm6/u2af1/gpkow/hnrpkl/dhx37/rngtt/lsm7/prpf6/sf3b2/safb/srrt/snrnp200/ncbp2/sf3a3/sf3b5/papola/srsf1a/snrpd2/bcas2/fmr1/ddx39aa/ptbp2b/rbm8a/clns1a/cstf3/rpusd4/srsf10b/rbpms2a/puf60b/rbm4.1/dhx9/dhx8/ptbp1b/htatsf1/puf60a/snrpe/sart1/thoc7/crnkl1/snrpb2/hnrnpl/prpf39/eftud2/prpf31/virma/tra2b/hnrnpa1b/cactin/slu7/dhx16/sltm/lsm8/lgals3a/snrnp27/rbm4.3/snrpc/gemin2/srsf9/snrpg/lsm4/rbfox3a/thoc2/ddx39b/snrnp25/khdrbs1b/sde2/snip1/lsm1/snw1/hnrnpua/snrpd1/slbp/cript/aqr/pabpc1b/hnrnpk/ptbp1a/rbm39b/srsf7a/prpf8/zgc:77262/smndc1/hnrnpa1a/thoc5/tdrd3/gemin8/rnmt/cwc22/fip1l1b/prmt7/txnl4b/pabpc1a/srsf2a/qki2/rnps1/srpk1a/yju2/syf2/snu13b/sympk/dbr1/snrpd3l/dcps/ddx23/zcrb1/bud31/usp39/pan3/wdr33/zrsr2/dhx38/nsrp1/larp7/rbm7/cpsf6/nova2/gpatch1/prpf38a/wbp11/prpf19/luc7l3/celf1/rbmx2/khdrbs1a",150
"GO:0008380","RNA splicing","143/3469","320/18773",0.446875,2.41832930959931,12.1835407468568,1.64088335328542e-27,1.65565130346499e-24,1.37949351384978e-24,"txnl4a/trpt1/phf5a/srrm1/magoh/ddx39ab/rbm25b/srsf1b/sf3a1/cirbpa/eif4a3/snrnp70/isy1/lsm6/rbm4.2/u2af2b/prpf40a/pqbp1/snrpf/sf3a2/snrpb/hnrnpul1/srsf11/zgc:158803/wtap/ilf3b/hnrnpul1l/rbm6/u2af1/gpkow/hnrpkl/dhx37/lsm7/prpf6/sf3b2/snrnp200/ncbp2/hmga1a/sf3a3/sf3b5/srsf1a/snrpd2/bcas2/fmr1/ddx39aa/ptbp2b/rbm8a/clns1a/rpusd4/srsf10b/rbpms2a/puf60b/zbtb8os/rbm4.1/rtcb/dhx8/ptbp1b/htatsf1/puf60a/snrpe/sart1/thoc7/crnkl1/snrpb2/hnrnpl/usb1/prpf39/eftud2/prpf31/virma/tra2b/hnrnpa1b/cactin/slu7/dhx16/lsm8/lgals3a/snrnp27/rbm4.3/snrpc/gemin2/srsf9/snrpg/lsm4/rbfox3a/rtraf/rp9/ddx39b/hnrnph1l/snrnp25/khdrbs1b/sde2/snip1/snw1/hnrnpua/snrpd1/cript/aqr/hnrnpk/ptbp1a/srsf7a/prpf8/zgc:77262/smndc1/hnrnpa1a/thoc5/hnrnph1/gemin8/cwc22/mbnl2/prmt7/txnl4b/tsen34/srsf2a/qki2/rnps1/srpk1a/yju2/syf2/snu13b/dbr1/snrpd3l/ddx23/zcrb1/bud31/clk2a/usp39/zrsr2/acin1b/dhx38/grsf1/nsrp1/larp7/rbm7/nova2/prpf38a/wbp11/prpf19/luc7l3/celf1/rbmx2/khdrbs1a/dyrk1aa",143
"GO:0022613","ribonucleoprotein complex biogenesis","139/3469","319/18773",0.435736677115987,2.35805264903385,11.6472027237223,1.89765241366586e-25,1.43604846404164e-22,1.19651978503774e-22,"mcts1/eif6/denr/fbl/rpf2/xpo1b/trmt112/eif3c/isy1/lsm6/u2af2b/utp11/snrpf/exosc3/sf3a2/ebna1bp2/eif3jb/zgc:158803/gnl3/abt1/bud23/dhx37/mak16/nhp2/prpf6/ptges3b/snrnp200/pak1ip1/exosc9/snrpd2/eif3i/eif3ba/eif3s10/fcf1/clns1a/rpusd4/puf60b/ncl/pop5/nop16/pin4/puf60a/nup88/snrpe/pop7/wdr43/exosc8/rrp1/sart1/crnkl1/eif3ja/prpf39/prpf31/ftsj3/znf622/pwp2h/rrp36/pdcd11/ltv1/nol11/rpf1/tma16/gar1/mettl5/snrpc/gemin2/pes/mdn1/snrpg/lsm4/nat10/tsr1/nop2/ddx51/sde2/npm1a/sbds/snrpd1/mphosph6/riok2/tsr2/ppan/eri1/prpf8/mphosph10/noc4l/gnl2/gemin8/c1qbp/wdr75/dkc1/prmt7/eif2s2/ddx52/exosc2/ran/nop56/bms1/bxdc2/c1d/nvl/srpk1a/rexo1/yju2/dcaf13/wdr3/snu13b/nom1/snrpd3l/tfb2m/lsg1/usp39/sdad1/urb1/utp3/wdr18/pop4/wdr46/nip7/ngdn/imp4/bysl/polr1c/rrp7a/mtg2/wbp11/noc2l/heatr3/heatr1/ddx27/emg1/luc7l3/celf1/eif3g/rcl1/nop14/krr1/ddx18/eif5",139
"GO:0000375","RNA splicing, via transesterification reactions","112/3469","238/18773",0.470588235294118,2.54665694470351,11.4324977211999,4.30626990391463e-24,1.86215414273565e-21,1.55155228417736e-21,"txnl4a/phf5a/srrm1/magoh/ddx39ab/rbm25b/srsf1b/sf3a1/cirbpa/eif4a3/snrnp70/isy1/lsm6/rbm4.2/u2af2b/prpf40a/pqbp1/snrpf/sf3a2/snrpb/hnrnpul1/zgc:158803/wtap/ilf3b/hnrnpul1l/rbm6/u2af1/gpkow/hnrpkl/dhx37/lsm7/prpf6/sf3b2/snrnp200/ncbp2/sf3a3/sf3b5/srsf1a/snrpd2/bcas2/ddx39aa/rbm8a/clns1a/srsf10b/rbpms2a/puf60b/rbm4.1/dhx8/htatsf1/puf60a/snrpe/sart1/crnkl1/snrpb2/prpf39/eftud2/prpf31/tra2b/hnrnpa1b/cactin/slu7/lsm8/rbm4.3/snrpc/gemin2/srsf9/snrpg/lsm4/rbfox3a/ddx39b/snrnp25/khdrbs1b/sde2/snip1/snw1/hnrnpua/snrpd1/aqr/hnrnpk/srsf7a/prpf8/zgc:77262/hnrnpa1a/gemin8/cwc22/prmt7/txnl4b/srsf2a/qki2/rnps1/srpk1a/yju2/syf2/snu13b/dbr1/snrpd3l/ddx23/zcrb1/bud31/usp39/zrsr2/dhx38/nsrp1/larp7/rbm7/nova2/prpf38a/prpf19/luc7l3/celf1/rbmx2/khdrbs1a",112
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","112/3469","238/18773",0.470588235294118,2.54665694470351,11.4324977211999,4.30626990391463e-24,1.86215414273565e-21,1.55155228417736e-21,"txnl4a/phf5a/srrm1/magoh/ddx39ab/rbm25b/srsf1b/sf3a1/cirbpa/eif4a3/snrnp70/isy1/lsm6/rbm4.2/u2af2b/prpf40a/pqbp1/snrpf/sf3a2/snrpb/hnrnpul1/zgc:158803/wtap/ilf3b/hnrnpul1l/rbm6/u2af1/gpkow/hnrpkl/dhx37/lsm7/prpf6/sf3b2/snrnp200/ncbp2/sf3a3/sf3b5/srsf1a/snrpd2/bcas2/ddx39aa/rbm8a/clns1a/srsf10b/rbpms2a/puf60b/rbm4.1/dhx8/htatsf1/puf60a/snrpe/sart1/crnkl1/snrpb2/prpf39/eftud2/prpf31/tra2b/hnrnpa1b/cactin/slu7/lsm8/rbm4.3/snrpc/gemin2/srsf9/snrpg/lsm4/rbfox3a/ddx39b/snrnp25/khdrbs1b/sde2/snip1/snw1/hnrnpua/snrpd1/aqr/hnrnpk/srsf7a/prpf8/zgc:77262/hnrnpa1a/gemin8/cwc22/prmt7/txnl4b/srsf2a/qki2/rnps1/srpk1a/yju2/syf2/snu13b/dbr1/snrpd3l/ddx23/zcrb1/bud31/usp39/zrsr2/dhx38/nsrp1/larp7/rbm7/nova2/prpf38a/prpf19/luc7l3/celf1/rbmx2/khdrbs1a",112
"GO:0000398","mRNA splicing, via spliceosome","112/3469","238/18773",0.470588235294118,2.54665694470351,11.4324977211999,4.30626990391463e-24,1.86215414273565e-21,1.55155228417736e-21,"txnl4a/phf5a/srrm1/magoh/ddx39ab/rbm25b/srsf1b/sf3a1/cirbpa/eif4a3/snrnp70/isy1/lsm6/rbm4.2/u2af2b/prpf40a/pqbp1/snrpf/sf3a2/snrpb/hnrnpul1/zgc:158803/wtap/ilf3b/hnrnpul1l/rbm6/u2af1/gpkow/hnrpkl/dhx37/lsm7/prpf6/sf3b2/snrnp200/ncbp2/sf3a3/sf3b5/srsf1a/snrpd2/bcas2/ddx39aa/rbm8a/clns1a/srsf10b/rbpms2a/puf60b/rbm4.1/dhx8/htatsf1/puf60a/snrpe/sart1/crnkl1/snrpb2/prpf39/eftud2/prpf31/tra2b/hnrnpa1b/cactin/slu7/lsm8/rbm4.3/snrpc/gemin2/srsf9/snrpg/lsm4/rbfox3a/ddx39b/snrnp25/khdrbs1b/sde2/snip1/snw1/hnrnpua/snrpd1/aqr/hnrnpk/srsf7a/prpf8/zgc:77262/hnrnpa1a/gemin8/cwc22/prmt7/txnl4b/srsf2a/qki2/rnps1/srpk1a/yju2/syf2/snu13b/dbr1/snrpd3l/ddx23/zcrb1/bud31/usp39/zrsr2/dhx38/nsrp1/larp7/rbm7/nova2/prpf38a/prpf19/luc7l3/celf1/rbmx2/khdrbs1a",112
"GO:0042254","ribosome biogenesis","98/3469","226/18773",0.433628318584071,2.34664295900224,9.6967185990801,3.75412552792902e-18,1.42046724663014e-15,1.18353746906815e-15,"eif6/fbl/rpf2/xpo1b/trmt112/lsm6/utp11/exosc3/ebna1bp2/gnl3/abt1/bud23/dhx37/mak16/nhp2/pak1ip1/exosc9/fcf1/rpusd4/ncl/pop5/nop16/pin4/nup88/pop7/wdr43/exosc8/rrp1/sart1/ftsj3/znf622/pwp2h/rrp36/pdcd11/ltv1/nol11/rpf1/tma16/gar1/mettl5/pes/mdn1/nat10/tsr1/nop2/ddx51/sde2/npm1a/sbds/mphosph6/riok2/tsr2/ppan/eri1/mphosph10/noc4l/gnl2/c1qbp/wdr75/dkc1/ddx52/exosc2/ran/nop56/bms1/bxdc2/c1d/nvl/rexo1/dcaf13/wdr3/snu13b/nom1/tfb2m/lsg1/sdad1/urb1/utp3/wdr18/pop4/wdr46/nip7/ngdn/imp4/bysl/polr1c/rrp7a/mtg2/wbp11/noc2l/heatr3/heatr1/ddx27/emg1/rcl1/nop14/krr1/ddx18",98
"GO:0006364","rRNA processing","77/3469","161/18773",0.478260869565217,2.58817852532367,9.63542065902472,1.68741712722875e-17,5.67534627124603e-15,4.72871513080711e-15,"eif6/fbl/rpf2/trmt112/lsm6/utp11/exosc3/ebna1bp2/gnl3/abt1/bud23/dhx37/mak16/nhp2/pak1ip1/exosc9/fcf1/rpusd4/ncl/pop5/pin4/pop7/wdr43/exosc8/rrp1/sart1/ftsj3/pwp2h/rrp36/pdcd11/ltv1/nol11/rpf1/gar1/mettl5/pes/nat10/tsr1/nop2/ddx51/sde2/mphosph6/riok2/tsr2/ppan/eri1/mphosph10/gnl2/wdr75/dkc1/ddx52/exosc2/nop56/bms1/bxdc2/c1d/rexo1/dcaf13/wdr3/snu13b/tfb2m/urb1/utp3/wdr18/pop4/wdr46/ngdn/imp4/bysl/rrp7a/wbp11/heatr1/ddx27/emg1/rcl1/krr1/ddx18",77
"GO:0048193","Golgi vesicle transport","84/3469","186/18773",0.451612903225806,2.44396916467514,9.42246832080545,4.76465486426684e-17,1.44226102741357e-14,1.20169611102983e-14,"copb1/tmed2/sar1b/ykt6/trappc2l/tmed10/tmed9/copz2/tmed7/lman2/sec31b/zw10/bet1/sec23a/exoc2/snx3/bcap31/copa/snx12/yif1b/ier3ip1/sec13/ap3s2/tmed3/snx8a/ap1g1/rab41/blzf1/cog4/yipf4/mia3/exoc4/ap1ar/trappc3/scfd1/sec31a/dop1b/sec24c/copb2/exoc6/golga5/trappc1/rab14/ergic2/stx5a/preb/kdelr2a/exoc6b/trappc5/ccdc93/nbas/tex261/cope/exoc1/vps51/tfg/cux1b/cnstb/golt1bb/zgc:63863/gosr2/trappc6bl/mppe1/bnip1b/tmem115/lman1/yif1a/gosr1/gga1/kdelr3/trip11/llgl2/bcap29/tmed5/trappc6b/stx6/cog3/cog8/sec22ba/ergic3/copz1/rint1/rabif/exoc8",84
