"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","31/577","319/18773",0.0971786833855799,3.16175983223136,6.93446150459794,1.69753986403273e-08,3.40526496724965e-05,3.18601429217932e-05,"u2af2b/celf2/imp3/snrpg/emg1/npm1a/ran/srfbp1/snrpd2/utp4/pih1d1/rpf1/abt1/eif3c/snu13b/eif3s6ip/nhp2/lsm6/pak1ip1/snrpc/nop10/snrpf/snrpe/exosc6/znf593/eif3jb/zgc:158803/ncl/polr1d/nsa2/utp3",31
"GO:0006119","oxidative phosphorylation","12/577","79/18773",0.151898734177215,4.94210560954742,6.25238765099215,4.96539185430535e-06,0.00389630743987659,0.00364544060728339,"cox8a/ndufb6/ndufc2/uqcrb/uqcc2/cox6a1/uqcrfs1/cox5aa/cox7c/atp5f1b/uqcc3/cox4i1",12
"GO:0008380","RNA splicing","26/577","320/18773",0.08125,2.64351169844021,5.28043271746835,7.02253012155652e-06,0.00389630743987659,0.00364544060728339,"cirbpb/u2af2b/celf2/snrpg/snrpb/cdc5l/nova2/sf3b6/snrpd2/srsf11/rbm47/snu13b/lsm6/hnrnpul1/snrpc/snrpf/clk4b/snrpe/zgc:158803/rbm8a/ythdc1/lsm3/lsm7/rbm12/sf3b3/hmga1a",26
"GO:0019646","aerobic electron transport chain","10/577","59/18773",0.169491525423729,5.51449637223511,6.18453735296322,1.12640303013024e-05,0.00389630743987659,0.00364544060728339,"cox8a/ndufb6/ndufc2/uqcrb/cox6a1/uqcrfs1/cox5aa/cox7c/uqcc3/cox4i1",10
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","10/577","60/18773",0.166666666666667,5.42258809936453,6.10992141749706,1.3149361733518e-05,0.00389630743987659,0.00364544060728339,"cox8a/ndufb6/ndufc2/uqcrb/cox6a1/uqcrfs1/cox5aa/cox7c/uqcc3/cox4i1",10
"GO:0000375","RNA splicing, via transesterification reactions","21/577","238/18773",0.0882352941176471,2.87078193495769,5.1721435043212,1.55386139177531e-05,0.00389630743987659,0.00364544060728339,"cirbpb/u2af2b/celf2/snrpg/snrpb/cdc5l/nova2/sf3b6/snrpd2/snu13b/lsm6/hnrnpul1/snrpc/snrpf/snrpe/zgc:158803/rbm8a/ythdc1/lsm3/lsm7/sf3b3",21
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","21/577","238/18773",0.0882352941176471,2.87078193495769,5.1721435043212,1.55386139177531e-05,0.00389630743987659,0.00364544060728339,"cirbpb/u2af2b/celf2/snrpg/snrpb/cdc5l/nova2/sf3b6/snrpd2/snu13b/lsm6/hnrnpul1/snrpc/snrpf/snrpe/zgc:158803/rbm8a/ythdc1/lsm3/lsm7/sf3b3",21
"GO:0000398","mRNA splicing, via spliceosome","21/577","238/18773",0.0882352941176471,2.87078193495769,5.1721435043212,1.55386139177531e-05,0.00389630743987659,0.00364544060728339,"cirbpb/u2af2b/celf2/snrpg/snrpb/cdc5l/nova2/sf3b6/snrpd2/snu13b/lsm6/hnrnpul1/snrpc/snrpf/snrpe/zgc:158803/rbm8a/ythdc1/lsm3/lsm7/sf3b3",21
"GO:0015980","energy derivation by oxidation of organic compounds","18/577","186/18773",0.0967741935483871,3.1485995415665,5.24399799104334,1.81464407662936e-05,0.00393656430690978,0.00368310550412979,"cox8a/ndufb6/ndufc2/uqcrb/ppp1caa/uqcc2/slc25a18/cox6a1/uqcrfs1/cox5aa/cox7c/atp5f1b/uqcc3/cox4i1/ppp1cbl/akt1/gyg1b/atg12",18
"GO:0042773","ATP synthesis coupled electron transport","10/577","63/18773",0.158730158730159,5.16436961844241,5.89573379034963,2.05222027479912e-05,0.00393656430690978,0.00368310550412979,"cox8a/ndufb6/ndufc2/uqcrb/cox6a1/uqcrfs1/cox5aa/cox7c/uqcc3/cox4i1",10
"GO:0042254","ribosome biogenesis","20/577","226/18773",0.0884955752212389,2.87925031824665,5.06124349182704,2.36175182118976e-05,0.00393656430690978,0.00368310550412979,"imp3/emg1/npm1a/ran/srfbp1/utp4/pih1d1/rpf1/abt1/snu13b/nhp2/lsm6/pak1ip1/nop10/exosc6/znf593/ncl/polr1d/nsa2/utp3",20
"GO:0022904","respiratory electron transport chain","11/577","78/18773",0.141025641025641,4.58834377638537,5.65501583323381,2.53043787644058e-05,0.00393656430690978,0.00368310550412979,"cox8a/ndufb6/ndufc2/uqcrb/slc25a18/cox6a1/uqcrfs1/cox5aa/cox7c/uqcc3/cox4i1",11
"GO:0009260","ribonucleotide biosynthetic process","14/577","123/18773",0.113821138211382,3.703230897127,5.35613476333695,2.55111345911401e-05,0.00393656430690978,0.00368310550412979,"atp5mea/cmpk/atp5f1d/atp5pd/atp5meb/ampd2a/adcy2b/atic/atp5f1b/hprt1/uqcc3/nme6/umps/atp5mc3b",14
"GO:0046390","ribose phosphate biosynthetic process","14/577","126/18773",0.111111111111111,3.61505873290969,5.24466133682605,3.34905598350416e-05,0.00449299952289899,0.00420371419915459,"atp5mea/cmpk/atp5f1d/atp5pd/atp5meb/ampd2a/adcy2b/atic/atp5f1b/hprt1/uqcc3/nme6/umps/atp5mc3b",14
"GO:0006754","ATP biosynthetic process","7/577","31/18773",0.225806451612903,7.34673226365517,6.29764641746852,3.45582477812617e-05,0.00449299952289899,0.00420371419915459,"atp5mea/atp5f1d/atp5pd/atp5meb/atp5f1b/uqcc3/atp5mc3b",7
"GO:0006364","rRNA processing","16/577","161/18773",0.0993788819875776,3.23334445676394,5.06789189703514,3.79035378872001e-05,0.00449299952289899,0.00420371419915459,"imp3/emg1/srfbp1/utp4/pih1d1/rpf1/abt1/snu13b/nhp2/lsm6/pak1ip1/nop10/exosc6/ncl/nsa2/utp3",16
