"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","27/338","319/18773",0.0846394984326019,4.70099794105099,9.02736450816982,2.8860612040621e-11,4.56574882482625e-08,4.11643466474121e-08,"u2af2b/imp3/snrpg/emg1/npm1a/ran/srfbp1/snrpd2/utp4/pih1d1/abt1/eif3c/snu13b/eif3s6ip/nhp2/lsm6/pak1ip1/snrpc/nop10/snrpf/snrpe/exosc6/znf593/zgc:158803/ncl/polr1d/utp3",27
"GO:0008380","RNA splicing","22/338","320/18773",0.06875,3.8184726331361,6.88568850969624,9.00056291689672e-08,6.57280011634744e-05,5.92597255815476e-05,"cirbpb/u2af2b/snrpg/snrpb/cdc5l/sf3b6/snrpd2/srsf11/snu13b/lsm6/hnrnpul1/snrpc/snrpf/clk4b/snrpe/zgc:158803/rbm8a/lsm3/lsm7/rbm12/sf3b3/hmga1a",22
"GO:0042254","ribosome biogenesis","18/338","226/18773",0.079646017699115,4.42365292977955,7.01130996671486,1.56356132361115e-07,6.57280011634744e-05,5.92597255815476e-05,"imp3/emg1/npm1a/ran/srfbp1/utp4/pih1d1/abt1/snu13b/nhp2/lsm6/pak1ip1/nop10/exosc6/znf593/ncl/polr1d/utp3",18
"GO:0006119","oxidative phosphorylation","11/338","79/18773",0.139240506329114,7.73361545951614,8.12087432619045,1.66189636317255e-07,6.57280011634744e-05,5.92597255815476e-05,"cox8a/ndufb6/ndufc2/uqcrb/uqcc2/cox6a1/uqcrfs1/cox5aa/atp5f1b/uqcc3/cox4i1",11
"GO:0000375","RNA splicing, via transesterification reactions","18/338","238/18773",0.0756302521008403,4.20061160558898,6.72848379777974,3.38312946492869e-07,7.64587259073885e-05,6.89344424808779e-05,"cirbpb/u2af2b/snrpg/snrpb/cdc5l/sf3b6/snrpd2/snu13b/lsm6/hnrnpul1/snrpc/snrpf/snrpe/zgc:158803/rbm8a/lsm3/lsm7/sf3b3",18
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","18/338","238/18773",0.0756302521008403,4.20061160558898,6.72848379777974,3.38312946492869e-07,7.64587259073885e-05,6.89344424808779e-05,"cirbpb/u2af2b/snrpg/snrpb/cdc5l/sf3b6/snrpd2/snu13b/lsm6/hnrnpul1/snrpc/snrpf/snrpe/zgc:158803/rbm8a/lsm3/lsm7/sf3b3",18
"GO:0000398","mRNA splicing, via spliceosome","18/338","238/18773",0.0756302521008403,4.20061160558898,6.72848379777974,3.38312946492869e-07,7.64587259073885e-05,6.89344424808779e-05,"cirbpb/u2af2b/snrpg/snrpb/cdc5l/sf3b6/snrpd2/snu13b/lsm6/hnrnpul1/snrpc/snrpf/snrpe/zgc:158803/rbm8a/lsm3/lsm7/sf3b3",18
"GO:0016072","rRNA metabolic process","15/338","179/18773",0.0837988826815642,4.65430894846451,6.65177293176577,8.98570492423495e-07,0.000176337212935391,0.000158983913452295,"imp3/emg1/srfbp1/utp4/pih1d1/abt1/snu13b/nhp2/lsm6/pak1ip1/nop10/exosc6/ncl/polr1d/utp3",15
"GO:0019646","aerobic electron transport chain","9/338","59/18773",0.152542372881356,8.47242001805235,7.78387799943284,1.01730231999691e-06,0.000176337212935391,0.000158983913452295,"cox8a/ndufb6/ndufc2/uqcrb/cox6a1/uqcrfs1/cox5aa/uqcc3/cox4i1",9
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","9/338","60/18773",0.15,8.33121301775148,7.7014377073952,1.17805760304685e-06,0.000176337212935391,0.000158983913452295,"cox8a/ndufb6/ndufc2/uqcrb/cox6a1/uqcrfs1/cox5aa/uqcc3/cox4i1",9
"GO:0022904","respiratory electron transport chain","10/338","78/18773",0.128205128205128,7.12069488696708,7.33461545517112,1.33257608124585e-06,0.000176337212935391,0.000158983913452295,"cox8a/ndufb6/ndufc2/uqcrb/slc25a18/cox6a1/uqcrfs1/cox5aa/uqcc3/cox4i1",10
"GO:0006364","rRNA processing","14/338","161/18773",0.0869565217391304,4.82968870594289,6.60802902718037,1.33757683642522e-06,0.000176337212935391,0.000158983913452295,"imp3/emg1/srfbp1/utp4/pih1d1/abt1/snu13b/nhp2/lsm6/pak1ip1/nop10/exosc6/ncl/utp3",14
"GO:0015980","energy derivation by oxidation of organic compounds","15/338","186/18773",0.0806451612903226,4.47914678373735,6.4567894756024,1.45988501614449e-06,0.000177656776580044,0.000160173619180225,"cox8a/ndufb6/ndufc2/uqcrb/uqcc2/slc25a18/cox6a1/uqcrfs1/cox5aa/atp5f1b/uqcc3/cox4i1/ppp1cbl/akt1/gyg1b",15
"GO:0042773","ATP synthesis coupled electron transport","9/338","63/18773",0.142857142857143,7.93448858833474,7.4651728982076,1.79873666924591e-06,0.000203257243624788,0.000183254750889339,"cox8a/ndufb6/ndufc2/uqcrb/cox6a1/uqcrfs1/cox5aa/uqcc3/cox4i1",9
"GO:0022900","electron transport chain","10/338","84/18773",0.119047619047619,6.61207382361228,6.98010632735882,2.65778897279146e-06,0.000280308143663739,0.000252723091798767,"cox8a/ndufb6/ndufc2/uqcrb/slc25a18/cox6a1/uqcrfs1/cox5aa/uqcc3/cox4i1",10
"GO:0009060","aerobic respiration","11/338","106/18773",0.10377358490566,5.76373227643184,6.65970614759173,3.31845386010549e-06,0.00032811212541793,0.000295822696081772,"cox8a/ndufb6/ndufc2/uqcrb/uqcc2/cox6a1/uqcrfs1/cox5aa/atp5f1b/uqcc3/cox4i1",11
"GO:0045333","cellular respiration","12/338","129/18773",0.0930232558139535,5.1666437319389,6.42989273139011,3.7936520999866e-06,0.000353032801304635,0.000318290934704758,"cox8a/ndufb6/ndufc2/uqcrb/uqcc2/slc25a18/cox6a1/uqcrfs1/cox5aa/atp5f1b/uqcc3/cox4i1",12
