"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"osr2",607.120034638548,8,0,0,1.60042773254253
"sparc",502.699170760616,8,0,0,2.1865846614463
"mafa",492.119938727051,8,0,0,2.41640215728893
"ebf3a.1",479.709686564951,8,0,0,1.33626609093494
"glula",445.502279546685,8,0,0,2.54882993346329
"pxk",385.934586632181,8,0,0,1.12933443133083
"eya2",364.656363173262,8,0,0,3.259925521083
"colec12",348.581883975315,8,0,0,2.76206158839377
"zeb2b",340.948369988449,8,0,0,1.47560596320126
"six2a",337.589526622021,8,0,0,4.74966960147387
"h3f3b.1",336.461093612719,8,0,0,0.503683435093106
"vav3b.1",333.718515623066,8,0,0,5.65532563465531
"cdh6",311.765697430817,8,0,0,2.32644277324026
"hmgb2a",310.835902181812,8,0,0,0.722462675849401
"hist1h4l.11",304.911297885654,8,0,0,1.05955082568998
"hmga1a",293.99539219836,8,0,0,0.608210389352866
"tubb2b",289.427948030026,8,0,0,0.529272272430208
"npl",286.177473876428,8,0,0,1.04719406782275
"CABZ01058261.1",281.65569341668,8,0,0,0.989994871199536
"selenop",281.193579471675,8,0,0,1.02859347815876
"celsr1b",280.745838941261,8,0,0,1.38585902902523
"tlx2",265.218804045418,8,0,0,56.6770107128195
"hist1h4l.6",262.98784223231,8,0,0,0.863889242550336
"mki67",261.010342842849,8,0,0,1.13869258140639
"tuba8l",250.352648584074,8,0,0,0.520356012516071
"nfatc1",249.828527131425,8,0,0,1.67254711577999
"lbr",248.359373446782,8,0,0,0.700060331099551
"dut",246.182183269894,8,0,0,1.21231458632125
"hist1h4l.16",240.812131574728,8,0,0,0.923869948032196
"rbpjb",240.487468408042,8,0,0,0.663668096503371
"stmn1a",232.736825567224,8,0,0,0.675723894972078
"cldn5b",229.759254232891,8,0,0,0.997811666447147
"tubb4b",228.883830578618,8,0,0,0.361639416441436
"top2a",222.226801304091,8,0,0,1.27889854304834
"gdpd5b",218.986773955803,8,0,0,0.668643610935335
"tbx1",218.174688777397,8,0,0,4.94518933079441
"traf4a",206.834182018932,8,0,0,1.23614639241645
"si:ch73-281n10.2",203.423175190832,8,0,0,0.508575891386014
"UNC13B",201.4216560977,8,0,0,1.96314034587901
"diaph3",198.905723287874,8,0,0,1.10515184033581
"eya1",191.363997105957,8,0,0,1.71469449689445
"gpc4",190.337102706538,8,0,0,2.04919336763577
"smc2",187.463273341857,8,0,0,1.03978614748811
"wnt9a",181.745148747552,8,0,0,3.01489170952823
"ube2c",178.97680435717,8,0,0,1.06123340647122
"si:ch211-113a14.12",177.948286527825,8,0,0,1.10617910209459
"ncapd2",177.914727671568,8,0,0,0.995586541200878
"meis2a.1",174.851060130094,8,0,0,0.769944249894839
"si:ch211-113a14.19.2",174.562395693695,8,0,0,1.08814592737931
"cdk1",173.472556732895,8,0,0,1.16968149893804
"si:ch211-222l21.1",171.340910388363,8,0,0,0.412068038503818
"zgc:110425",169.125809578385,8,0,0,0.699286183346384
"prex2",168.383539237357,8,0,0,0.850576181493888
"hmgn2",167.914457163154,8,0,0,0.541258145172315
"plecb",167.895358002523,8,0,0,0.869620923254838
"nid1b",167.286351369926,8,0,0,1.40980495775115
"cenpf",165.262103083438,8,0,0,1.08225244485834
