"Gene","waldStat","df","pvalue","FDR"
"icn",129.545873025024,5,0,0
"meox1",96.6235284521459,4,0,0
"gpm6ab",86.4564337937355,5,0,0
"ptn",77.7400274498474,5,2.44249065417534e-15,1.19926291120009e-12
"rgcc",63.2049701984778,5,2.63999933025616e-12,1.03699173692462e-09
"si:dkey-251i10.2",60.2584965420028,5,1.07477360344888e-11,3.51809226195599e-09
"bmp6",59.3404329283818,5,1.66341385110513e-11,4.66706400510069e-09
"slc29a1a",58.7645267378054,5,2.18732809642574e-11,5.3698904767252e-09
"igfbp1a",53.3932938791593,5,2.79259504409879e-10,6.09406296290002e-08
"tubb2b",52.4539443926368,5,4.35362079720392e-10,8.55051124570849e-08
"cdh6",49.0580435091035,5,2.15944928605438e-09,3.85559854346437e-07
"hspa5",47.2278078108333,5,5.10518771701385e-09,8.35549056351266e-07
"col4a1",46.2806536326297,5,7.96229082666855e-09,1.20291839873669e-06
"pclaf",45.114982512874,5,1.37484224005391e-08,1.92870725676134e-06
"ace",43.8768993404022,5,2.45339498716746e-08,3.21231183653126e-06
"cebpb",43.6071421957253,5,2.78295569922093e-08,3.4160781207937e-06
"sesn1",41.4911911959049,5,7.46556076958171e-08,8.6249184420344e-06
"mrc1b",40.9330850589188,5,9.6794047332871e-08,1.0561306053431e-05
"eya1",40.7725410547242,5,1.04297132708098e-07,1.07810299283528e-05
"nfatc1",40.154148860674,5,1.39020142064794e-07,1.36517779507628e-05
"dnajb1b",30.6199042232155,2,2.24373870483241e-07,2.09842991251945e-05
"pcna",37.2627491105655,5,5.30520861685702e-07,4.6787780384636e-05
"sgk1",37.1928637298367,5,5.47922071714169e-07,4.6787780384636e-05
"mical2a",36.7100123142307,5,6.84705010356446e-07,5.60316933475025e-05
"selenop",36.070537270265,5,9.1944691560375e-07,7.22317496898306e-05
"nhsl2",35.9828828487526,5,9.57328479933572e-07,7.2315120561136e-05
"nkain4",35.7050177133958,5,1.08798267339782e-06,7.91406655760492e-05
"si:ch211-147k10.5",35.2684032304587,5,1.3300090451196e-06,9.32906344505316e-05
"hapln3",35.0081748103793,5,1.49900904145017e-06,0.000101519095083039
"LO018188.1",34.7426894447715,5,1.69344190958931e-06,0.000110863997014447
"aqp1a.1",34.6712442754872,5,1.74992048507239e-06,0.000110865930086522
"kif26ab",33.5296044870094,5,2.95358959689906e-06,0.00018127656150968
"calcrla",32.4509867754093,5,4.83635192860543e-06,0.000287836217811547
"tmsb1",31.8326464248924,5,6.41224264896767e-06,0.000370401310663897
"ptmaa",31.3995606657705,5,7.81043004505211e-06,0.000428318619203671
"bsg",31.3881629570015,5,7.8510541198229e-06,0.000428318619203671
"kif26aa",31.162043282279,5,8.70182097156835e-06,0.000461902064544871
"actb1",30.7331485216403,5,1.05749516923215e-05,0.000546558029571563
"cldn11a",30.6138174369549,5,1.11638995717867e-05,0.000562202532281769
"sox11b",29.8558043227832,5,1.57443752571984e-05,0.000764641586131478
"arid5b",29.8254330172201,5,1.59624771035594e-05,0.000764641586131478
"dut",29.0050621549042,5,2.31346245098685e-05,0.0010818191080329
"unc5b",28.4399957814687,5,2.98543528182149e-05,0.0013635802077901
"sumo3b",27.973889911624,5,3.68290407515293e-05,0.00161860989760763
"col1a2",27.9584243779872,5,3.70862756580159e-05,0.00161860989760763
"magi2a",27.7245963936264,5,4.11997832314714e-05,0.00175905161449152
"col5a1",19.7157847387813,2,5.23325311685419e-05,0.00218683172797907
"podxl",27.1307736743571,5,5.3792953631393e-05,0.00220102835275116
"meis1a",26.811118104164,5,6.20821061020349e-05,0.00248835217111013
"meox2a",24.2616917861582,4,7.07837019375823e-05,0.00278038381210823
"CABZ01021592.1",26.2107771821256,5,8.12164295549422e-05,0.00312762877737072
"add3a",26.0829170017005,5,8.5991664218521e-05,0.00324783901009952
"sox11a",25.9428476054795,5,9.15424930534314e-05,0.00339225389352716
"tuba1b",25.7997104024215,5,9.75814639355699e-05,0.00354907398461962
"hapln1b",25.4789918784176,5,0.000112582371542658,0.00402021414017781
"mylipa",18.1414972906065,2,0.00011498042686009,0.004032527827736
"ch25h",25.3411387041759,5,0.000119711800574018,0.00406579377152698
"hmgn2",25.3344425801083,5,0.000120069266165257,0.00406579377152698
"zgc:162730",25.2959217130745,5,0.000122146281225421,0.00406602197163945
"CABZ01065684.1",25.1735182362154,5,0.000128985121539804,0.00422211297840292
"plpp3",25.0992353398646,5,0.000133318792281845,0.00429242800068103
"cndp2",25.0509366578229,5,0.000136213535698704,0.00431489329213313
"ackr3b",24.9807172641352,5,0.00014053337350306,0.00438107215174619
"emid1",24.666232085133,5,0.000161603891343787,0.00495921941561245
"hist2h2l",24.3640105309791,5,0.000184787895607275,0.00558343733804134
"socs3a",24.3040688567723,5,0.000189762765719248,0.00564687987685762
"abcc2",17.0005635264747,2,0.000203411047180246,0.00590219817902063
"sox4a.1",24.1368397650267,5,0.000204353093774645,0.00590219817902063
"zfpm1",23.001665184487,5,0.000337318714869306,0.00960136168120749
"pbx1a",22.9555040805657,5,0.000344242137335304,0.00965845082466483
"mgat4b",22.5676509289281,5,0.000408237848381621,0.0112926638622747
"itga4",22.5259048557985,5,0.000415789925069521,0.0113418251782853
"hoxb8a",22.4813720803146,5,0.000423998189056252,0.0114072937439244
"npl",22.2946959948668,5,0.000460182303468115,0.0122134870812348
"hmgb2b",22.2138422249597,5,0.000476784965657395,0.0124854089673483
"hist1h4l.16",22.061569092793,5,0.00050967364280663,0.0131710399272661
"h2ax1",21.9020951909437,5,0.000546517443129169,0.0139397436143596
"bnc2",21.7671128892772,5,0.000579746643441847,0.0145977231758947
"lgmn",21.6724199966344,5,0.000604239034217913,0.0150218413063795
"tp53inp2",21.6416954529395,5,0.000612403094759073,0.0150344959763352
"atp11a",21.4342529822452,5,0.000670442610521627,0.016256164037833
"zbtb16a",21.2985015068671,5,0.000711325383286221,0.0170371103996846
"edn2",20.9620318280146,5,0.000823548726812895,0.0194873457766328
"pdgfab",14.1202596153901,2,0.000858666625204285,0.0200764434750145
"hyal2b",20.831133323665,5,0.0008717720276048,0.0201430619084215
"rgs4",16.3750943112253,3,0.000949858281929061,0.0216921123919614
"tuba8l4",20.4843044965924,5,0.00101340055774068,0.0228772263839391
"ARF5",13.6769452495997,2,0.00107173909787828,0.0239192680481015
"thrab",20.0426272782123,5,0.00122691936632857,0.0270749397243743
"hsp70.2",13.2906082958001,2,0.00130011293150389,0.0283713533052628
"krt4",19.8497490172816,5,0.001333510521771,0.0287803809314092
"krt18b",19.8141623426109,5,0.00135414883098173,0.0289081337396534
"hmgb2a",19.7052233739578,5,0.00141929927298978,0.0299731588403434
"mmp17a",13.0025111788318,2,0.00150155267523311,0.0313728665335939
"zbtb46",19.5172404615655,5,0.00153904272932825,0.0318176833726389
"adma",19.3610875499251,5,0.0016460150894384,0.0336747253714273
"sema3d",19.2505030141171,5,0.00172615579264856,0.0345204895213902
"si:ch211-107n13.1",19.2422171599068,5,0.00173231259531481,0.0345204895213902
"si:ch211-286o17.1",19.2189042095549,5,0.00174975123027643,0.0345204895213902
"cachd1",19.2084032626975,5,0.00175766239925612,0.0345204895213902
"kpna2",19.0542564486483,5,0.00187791660357062,0.0361127821738149
"ctsba",19.0427223097104,5,0.00188723279285907,0.0361127821738149
"LO017938.1",19.0285055862043,5,0.0018987781732418,0.0361127821738149
"nr5a2",18.9651251930792,5,0.00195109862419107,0.0361127821738149
"krtt1c19e",18.9600329716797,5,0.00195536314804823,0.0361127821738149
"zfp36l2",18.947243663543,5,0.00196611405222136,0.0361127821738149
"fosl2",12.4620361078585,2,0.00196744790865488,0.0361127821738149
"col4a5",12.4362056818106,2,0.00199302271404389,0.0362434871331685
"si:dkey-16p21.8",16.8550435794316,4,0.00206239257022633,0.0371609083295828
"he1.1",12.347978795646,2,0.00208290984737869,0.0371894085477431
"ccn2a",18.7053496713218,5,0.00218073169825761,0.0385851986970986
"dlc",18.6773910075357,5,0.00220697327153152,0.0387008527257849
"h3f3b.1",18.4704552755586,5,0.00241107017735964,0.041905679896764
"hspg2",18.4366040321244,5,0.00244617389410873,0.0421428555090311
"syne1b",18.3764217418898,5,0.0025098244939582,0.0423485157166716
"pkdcca",18.3697718348716,5,0.00251695648500716,0.0423485157166716
"eya2",18.3612775759998,5,0.00252609543958637,0.0423485157166716
"nasp",18.3443905150118,5,0.00254436092391408,0.0423485157166716
"cxcl14",16.3545047642583,4,0.00257855909318516,0.0425570593194593
"pdlim4",18.2822535599877,5,0.00261269133353359,0.0427545322805007
"RALGDS",11.8784560285585,2,0.002634062324817,0.0427545322805007
"rapgef5b",18.1548900442293,5,0.00275841920453679,0.0444060271943463
"klf6a",18.0353804109964,5,0.00290238839553902,0.0463438277141353
"rhbdf1b",11.6380087905254,2,0.00297056117779759,0.047049856074149
"p3h2",17.8877483886775,5,0.00309042744365107,0.0485567959946456
"fabp11a",17.8015089365895,5,0.00320573740896812,0.0499687958032809
"nrip1a",11.4264380885712,2,0.00330202605023655,0.0510644028556267
"SEMA4F",17.6897899745606,5,0.00336139583762085,0.0514733928631391
"igfbp3",17.6761570827122,5,0.00338088985710028,0.0514733928631391
"bub1bb",17.6512358423009,5,0.00341681179733322,0.0516201413074034
"chaf1a",17.5864144972109,5,0.00351200495069526,0.052653265062332
"dll4",17.5039991751476,5,0.00363678977508464,0.054111023623229
"mcm3",17.4274322174743,5,0.00375660044000081,0.055473408001215
"exoc3l2b",17.4058593373894,5,0.00379104879935899,0.0555643271786646
"atrnl1a",17.3257349675603,5,0.00392172000021129,0.0567514035310271
"cd82a",11.0743192150941,2,0.00393769556978485,0.0567514035310271
"glula",17.3035166171191,5,0.00395872825038224,0.0567514035310271
"fgf10b",13.1749829900055,3,0.00427307735186544,0.0608139414424907
"iqsec1b",17.0695848059837,5,0.00436970073787923,0.0613021661590915
"ube2c",17.0695265081161,5,0.00436980817834665,0.0613021661590915
"map1sb",10.8351518026159,2,0.00443789150626717,0.0618157370092817
"lrrc15",16.986826101259,5,0.00452484952063759,0.0625831299896635
"kif21b",16.856156251294,5,0.00478083639181892,0.065548676731282
"man2a1",16.8436759978715,5,0.0048060129578944,0.065548676731282
"doc2b",16.7522635009397,5,0.00499440887746616,0.0676484071403003
"kif20a",16.6837905409153,5,0.00514023181135348,0.0687227129922216
"junbb",16.6821823680246,5,0.00514370611499826,0.0687227129922216
"pbk",16.5934207449331,5,0.00533906286761643,0.0706570253809762
"postnb",16.5839026696318,5,0.00536043624326143,0.0706570253809762
"prox1a",16.4313957376221,5,0.00571450197366519,0.0747730339468405
"si:ch73-335l21.4",10.3175132396643,2,0.0057488432413304,0.0747730339468405
"stmn1a",16.3511885275829,5,0.00590976360770146,0.0763603666153004
"pdlim2",16.3097928534218,5,0.00601306986241079,0.0767476194840983
"nrp2a",10.2260375919809,2,0.0060178886968183,0.0767476194840983
"lhfpl6",16.2215842385849,5,0.0062391079976496,0.0786000667891515
"lyve1a",16.2200229637401,5,0.00624318249445399,0.0786000667891515
"adcy2b",16.1035623162815,5,0.00655453539013795,0.0818063131735273
"AL954137.2",10.047088632157,2,0.00658115961375627,0.0818063131735273
"mtss1lb",15.9967340887957,5,0.00685340443355997,0.084654630864854
"irs2b",15.9764407367965,5,0.00691165955157447,0.0848406209955766
"lbr",15.929756289764,5,0.00704751077112797,0.0856626960295124
"elavl4",15.9235166294921,5,0.00706586392911457,0.0856626960295124
"zgc:153184",15.900336082495,5,0.00713445495015519,0.0856736803920457
"arpp19b",15.8937657746757,5,0.00715401404495697,0.0856736803920457
"plvapb",15.8584122515884,5,0.0072601570689359,0.0864178695963037
"aebp1",15.82531783073,5,0.00736090564402003,0.0870892691858756
"mad2l1",15.7722251015489,5,0.00752538343517994,0.0885021141718168
"myca",15.5213138875474,5,0.00835231991121832,0.097642597057338
"tuba8l3",15.4028488226526,5,0.0087728260892499,0.101951659404064
"hmcn2.1",15.3815209305229,5,0.00885068672702338,0.10225146312867
