"Gene","waldStat","df","pvalue","FDR"
"icn",205.507308821964,5,0,0
"zgc:153409",167.518801733468,5,0,0
"ptn",141.44722825567,5,0,0
"hapln3",132.093780366077,5,0,0
"gpm6ab",129.049848800168,5,0,0
"lyve1a",127.903964287048,5,0,0
"si:dkey-251i10.2",126.558358699538,5,0,0
"meox1",125.197232199963,5,0,0
"bmp6",98.257786898865,5,0,0
"rgcc",93.749152850716,5,0,0
"cdh6",86.4102757833063,5,0,0
"loxl1",75.3660774049728,5,7.7715611723761e-15,1.28554574393055e-12
"LO018188.1",73.0506863807462,5,2.37587727269783e-14,3.62778183561939e-12
"dut",72.8117679874605,5,2.66453525910038e-14,3.77793034951018e-12
"nkain4",70.4632645803356,5,8.20454815197991e-14,1.08573520544534e-11
"kif26aa",69.913135499012,5,1.0680345496894e-13,1.32503036320841e-11
"ace",68.4147807275441,5,2.18935980456081e-13,2.55639953650189e-11
"nhsl2",67.9093227192818,5,2.78888023785839e-13,3.07551515119384e-11
"kif26ab",67.6786733003509,5,3.11417558407356e-13,3.25349396546633e-11
"nfatc1",61.8667623602568,5,4.99678076693044e-12,4.95930491117846e-10
"cebpb",60.5419390566427,5,9.39126554300174e-12,8.87698195374212e-10
"tubb2b",60.1877464660209,5,1.1115774967152e-11,1.00294605953621e-09
"cldn11a",54.5786400542054,5,1.59366742025213e-10,1.37540427356543e-08
"ch25h",53.2528958593233,5,2.98430280487594e-10,2.46826711153281e-08
"pclaf",51.7565133398686,5,6.05207217674320e-10,4.8053453083341e-08
"cycsb",51.1657378778605,5,7.99825872199733e-10,6.1063629089095e-08
"eya1",50.0712889065141,5,1.34002020590884e-09,9.85163003232983e-08
"prox1a",49.1087754628837,5,2.10849793180756e-09,1.49477442665643e-07
"zgc:162730",48.928960670953,5,2.29469632184731e-09,1.5706800685748e-07
"rapgef4",48.0286666157195,5,3.50438411622633e-09,2.27733475930127e-07
"mgat4b",47.9972342230385,5,3.55654294903474e-09,2.27733475930127e-07
"arhgap36",47.719967263807,5,4.05150102356089e-09,2.51319672867761e-07
"ddx39ab",47.4485827327009,5,4.60239324429068e-09,2.76840926967182e-07
"sema3d",47.0904286847732,5,5.44532963164812e-09,3.17911156435927e-07
"rgs4",42.9737222513773,4,1.04786085364239e-08,5.94286798422899e-07
"notum1a",45.5669751314024,5,1.11254664370009e-08,6.13445857706853e-07
"atrnl1a",45.3895454144327,5,1.20896639366208e-08,6.48594132816008e-07
"arid5b",44.8081011967043,5,1.58722343046591e-08,8.2911539723022e-07
"col4a2",44.466610203999,5,1.86219922815312e-08,9.47811658431778e-07
"si:ch211-147k10.5",44.3908903236127,5,1.92933233833514e-08,9.57431172898815e-07
"svild",44.2154892316345,5,2.09425438102429e-08,1.01392559666664e-06
"tshz2",43.8429645199477,5,2.49261228324471e-08,1.17805604339065e-06
"adam8a",43.759299427754,5,2.59199103291863e-08,1.19653539542872e-06
"add3a",43.6319343822788,5,2.75091033286046e-08,1.24103568425637e-06
"CABZ01021592.1",43.139788403728,5,3.46168265163982e-08,1.5269866807789e-06
"dnajb1b",33.8461942177198,2,4.47087274979552e-08,1.92927878442263e-06
"sh3gl3a",42.1909723751852,5,5.38883239142862e-08,2.27592176531613e-06
"ackr3b",42.0094576447856,5,5.86450668027538e-08,2.42521786673888e-06
"tuba1b",41.6371354968825,5,6.97511189917677e-08,2.82563206527875e-06
"snu13b",40.9383355281094,5,9.65579646239334e-08,3.78769395801108e-06
"h3f3b.1",40.9215205198221,5,9.73160664274886e-08,3.78769395801108e-06
