"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"yap1",9.12977206038905e-05,-1.45355196958421,0.084,0.156,1,"mVEC"
"ccn1l2",0.00441593555757747,0.124886920929995,0.349,0.248,1,"mVEC"
"cavin1b",0.0296354101885132,-0.846638247432927,0.178,0.213,1,"mVEC"
"cavin2b",0.126027987407023,-0.214710140722793,0.591,0.558,1,"mVEC"
"ccn2a",0.284244412285779,-0.184129522119715,0.202,0.221,1,"mVEC"
"amotl2a",0.478058303318321,-0.298182818625164,0.341,0.32,1,"mVEC"
"meox1",0.53925459987417,-0.246621736899555,0.555,0.51,1,"mVEC"
"amotl2b",0.654547545512211,-0.144855939236449,0.12,0.106,1,"mVEC"
"cavin2a",0.756413206328283,-0.375325568649158,0.017,0.014,1,"mVEC"
"ccn1",0.779397546449203,-0.388581332027814,0.046,0.049,1,"mVEC"
"bmp4",0.83154573972854,-0.0289582965045803,0.007,0.006,1,"mVEC"
"wwtr1",0.994019580714025,-0.542398843601989,0.007,0.007,1,"mVEC"
"ccn2b",1,1.21991313727399,0,0,1,"mVEC"
"yap1",1.19996248213667e-07,-1.3748435573342,0.077,0.141,0.00261627819980258,"preLEC"
"ccn1l2",0.0180204957108625,0.130481388634504,0.122,0.088,1,"preLEC"
"wwtr1",0.030937650462483,0.321254054162262,0.021,0.01,1,"preLEC"
"meox1",0.0418345923686812,0.0299519464607969,0.33,0.269,1,"preLEC"
"cavin2b",0.0448553335235616,-0.437760029357686,0.43,0.411,1,"preLEC"
"cavin1b",0.0955089373588373,-0.496496851133732,0.069,0.086,1,"preLEC"
"ccn1",0.122355826577112,-1.05879715675645,0.035,0.047,1,"preLEC"
"bmp4",0.185335020389582,-1.50011927762664,0.002,0.005,1,"preLEC"
"ccn2a",0.293452049303716,-0.58219773593485,0.153,0.161,1,"preLEC"
"cavin2a",0.533668230247451,-0.0032007422229472,0.016,0.013,1,"preLEC"
"amotl2b",0.842298453908976,-0.631026246030166,0.043,0.044,1,"preLEC"
"amotl2a",0.897256544404086,-0.372470144112223,0.219,0.197,1,"preLEC"
"ccn2b",0.979901992423675,-1.32795790108159,0.002,0.002,1,"preLEC"
"yap1",1.05287441437748e-05,-1.49335310660508,0.111,0.231,0.229558208566723,"LEC"
"cavin2b",0.0329173400304662,0.0846756341813687,0.377,0.262,1,"LEC"
"cavin2a",0.0664252855459733,-2.12005843003168,0.016,0.04,1,"LEC"
"amotl2b",0.129568144856007,0.762009085863435,0.036,0.017,1,"LEC"
"wwtr1",0.153030586905917,0.295209841157578,0.039,0.02,1,"LEC"
"bmp4",0.187793584040187,-2.98093047994259,0,0.006,1,"LEC"
"meox1",0.199313540455795,-0.079014964261116,0.121,0.085,1,"LEC"
"ccn1l2",0.287016855913628,0.0750536862332125,0.056,0.037,1,"LEC"
"cavin1b",0.343353458107788,0.329510025490706,0.043,0.028,1,"LEC"
"ccn2a",0.488067127936979,-0.60401081458902,0.043,0.031,1,"LEC"
"amotl2a",0.721277603312943,-0.47311542196332,0.213,0.179,1,"LEC"
"ccn1",0.838162460100579,-0.780115012394786,0.01,0.011,1,"LEC"
"ccn2b",1,0.202661787854312,0,0,1,"LEC"
"cavin1b",9.29884078742074e-09,-1.73285120436528,0.091,0.206,0.000202742625688134,"hmVEC"
"ccn2a",1.24330778419763e-06,-0.643897020047732,0.595,0.668,0.027107839618861,"hmVEC"
"yap1",1.4838472258084e-06,-1.57055193310797,0.123,0.213,0.0323523210643005,"hmVEC"
"amotl2a",1.62724105973192e-05,-0.550536590388458,0.605,0.619,0.35478736825335,"hmVEC"
"amotl2b",0.000730791900671158,-1.08288779019118,0.129,0.194,1,"hmVEC"
"meox1",0.00402574887945363,-1.43746948930784,0.073,0.118,1,"hmVEC"
"wwtr1",0.00809763219572149,0.708461130599046,0.04,0.015,1,"hmVEC"
"ccn1",0.0187987083228252,-0.927146815500676,0.21,0.251,1,"hmVEC"
"cavin2a",0.0235172965745219,0.1030893234637,0.117,0.074,1,"hmVEC"
"cavin2b",0.0272979801994457,-0.232633767676436,0.738,0.673,1,"hmVEC"
"ccn1l2",0.930384802546679,-0.212003234616354,0.28,0.251,1,"hmVEC"
"bmp4",0.97082522416656,-0.193577762996854,0.01,0.01,1,"hmVEC"
"ccn2b",1,0.523561956057014,0,0,1,"hmVEC"
"cavin1b",0.00101824579998196,-0.647387472023082,0.43,0.495,1,"cVEC"
"amotl2a",0.0114593103549025,0.102316971166063,0.389,0.276,1,"cVEC"
"cavin2a",0.0447414303088033,1.47530952585706,0.016,0.003,1,"cVEC"
"ccn1l2",0.0698922405980639,0.129348775240246,0.329,0.251,1,"cVEC"
"meox1",0.11634316144091,-0.515239293828959,0.159,0.198,1,"cVEC"
"amotl2b",0.196403691523334,-0.169806780002903,0.156,0.116,1,"cVEC"
"cavin2b",0.248766417990051,-0.353951574422616,0.479,0.47,1,"cVEC"
"yap1",0.591170931372306,-0.760474311890684,0.151,0.153,1,"cVEC"
"ccn1",0.613925158060819,-0.985823449635331,0.041,0.048,1,"cVEC"
"wwtr1",0.62708050808859,0.0546803731824541,0.011,0.008,1,"cVEC"
"ccn2a",0.826125829087803,0.00642216939716933,0.551,0.55,1,"cVEC"
"bmp4",0.890311861528407,-0.628356127371899,0.019,0.018,1,"cVEC"
"ccn2b",1,0.12487196677627,0,0,1,"cVEC"
