"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"lyve1b",1.52036372542477e-54,-1.10294719666344,0.82,0.928,3.31484903054362e-50,"mVEC"
"rpl37.1",7.15314391786321e-24,-0.371039311391666,0.995,0.998,1.55959996841172e-19,"mVEC"
"si:dkey-151g10.6",5.80703166803606e-19,-0.281477267242788,1,1,1.2661071145819e-14,"mVEC"
"krt8",5.17774539378546e-18,-0.427581246351197,0.995,0.987,1.12890382820704e-13,"mVEC"
"hsp90b1",2.54382463823056e-14,1.06060553644132,0.454,0.243,5.5463008587341e-10,"mVEC"
"calr3b",1.0659545917821e-13,0.875778909288793,0.502,0.277,2.32410079646252e-09,"mVEC"
"calr",1.32462333866686e-13,0.937062455408407,0.483,0.273,2.88807626529535e-09,"mVEC"
"dnajb11",1.72341194244321e-13,0.866773742150245,0.382,0.178,3.75755505810894e-09,"mVEC"
"f13a1b",2.04407504655045e-13,0.946289968179013,0.365,0.17,4.45669682399395e-09,"mVEC"
"canx",2.27968184131435e-11,0.728935442439602,0.517,0.294,4.97039031861768e-07,"mVEC"
"nfyba",2.40890066773261e-11,1.03033204500577,0.284,0.126,5.25212612585741e-07,"mVEC"
"zgc:171772",2.78425810004032e-11,-0.244651856682021,0.993,0.998,6.07051793551792e-07,"mVEC"
"manf",5.29630560109823e-11,1.06733844387473,0.264,0.118,1.15475351020745e-06,"mVEC"
"mt-co1",5.69418889426994e-11,-0.35346704098089,0.969,0.953,1.24150400461767e-06,"mVEC"
"hspd1",1.38487282196511e-10,1.04311820623054,0.221,0.088,3.01943821373053e-06,"mVEC"
"prkcsh",1.49301125987242e-10,0.729330261803453,0.416,0.229,3.25521244989983e-06,"mVEC"
"polr2l",1.57556743656346e-10,0.61054163543673,0.409,0.217,3.43520968193931e-06,"mVEC"
"rpf2",2.10069152167436e-10,1.15175623479347,0.166,0.056,4.5801377247066e-06,"mVEC"
"hspe1",3.4885568567053e-10,0.888060002320598,0.296,0.141,7.60610051467457e-06,"mVEC"
"rpn1",3.51883754112656e-10,0.62771566940389,0.454,0.251,7.67212149091823e-06,"mVEC"
"seta",3.7794807893462e-10,0.550263615880067,0.726,0.544,8.24040196501152e-06,"mVEC"
"cd276",4.65674619115979e-10,0.752999577968183,0.377,0.2,1.01531037205857e-05,"mVEC"
"sec61a1l",6.23878020318261e-10,1.6397406794858,0.108,0.027,1.3602412476999e-05,"mVEC"
"lyz",8.81085634015473e-10,-1.74678531182381,0.101,0.234,1.92103100784394e-05,"mVEC"
"nolc1",1.09509937506443e-09,1.2827052056373,0.149,0.05,2.38764516745297e-05,"mVEC"
"ptmaa",1.1369272001352e-09,0.443009401074914,0.875,0.715,2.47884237445477e-05,"mVEC"
"hspa5",1.8059819171349e-09,0.681258519519823,0.447,0.262,3.93758237392923e-05,"mVEC"
"fbl",2.11213549876214e-09,0.802639709928176,0.274,0.129,4.60508902795109e-05,"mVEC"
"tmed9",2.9216197608898e-09,0.557440959565058,0.486,0.282,6.37000756466802e-05,"mVEC"
"abcf1",2.95152206474555e-09,0.781152731972352,0.346,0.181,6.43520355776473e-05,"mVEC"
"si:ch211-145b13.6",2.95852921658142e-09,-0.383404934628443,0.875,0.918,6.45048125091246e-05,"mVEC"
"nop10",2.96909149781708e-09,0.932323422537797,0.238,0.107,6.47351019269059e-05,"mVEC"
"calr3a",3.40160390180285e-09,0.644233915156925,0.534,0.343,7.41651698710076e-05,"mVEC"
"setb",3.56517960325595e-09,0.612468519185861,0.587,0.392,7.77316108897895e-05,"mVEC"
"hnrnpa0b",4.17664337227095e-09,0.441265158559894,0.827,0.674,9.10633554456234e-05,"mVEC"
"cnbpa",5.38020926281336e-09,0.725325373748504,0.445,0.267,0.00011730470255712,"mVEC"
"npm1a",5.99259678531552e-09,0.865583733707586,0.389,0.238,0.000130656587710234,"mVEC"
"ccser2a",6.30108445822177e-09,1.48496179208291,0.137,0.046,0.000137382544442609,"mVEC"
"prdx1",6.97098158671333e-09,0.58025515095106,0.567,0.367,0.000151988311535111,"mVEC"
"yars1",7.57697960579868e-09,1.14538862697054,0.132,0.043,0.000165200886345229,"mVEC"
"creld2",1.08292756057325e-08,1.74551982080057,0.077,0.015,0.000236110696031787,"mVEC"
"uso1",1.36755870310559e-08,1.18378068690513,0.166,0.065,0.000298168824038111,"mVEC"
"hnrnph1l",1.46725747731731e-08,0.617752385367822,0.421,0.246,0.000319906147779494,"mVEC"
"ncl",1.5562980710387e-08,0.508935536055531,0.553,0.359,0.000339319668428568,"mVEC"
"hmgb2b",1.7201696226868e-08,0.459023868277769,0.851,0.729,0.000375048582834402,"mVEC"
"tomm20a",1.72147922982882e-08,0.771557228706168,0.216,0.095,0.000375334116479577,"mVEC"
"krt18a.1",1.87567826306274e-08,-0.255363046161642,1,0.997,0.00040895413169557,"mVEC"
"snrpg",2.07530542779539e-08,0.575894322591245,0.442,0.257,0.000452478842422228,"mVEC"
"actb2",2.29224271495187e-08,-0.20401242860144,1,1,0.000499777679140957,"mVEC"
"mt-atp6",2.30374215743506e-08,0.351625781882273,0.981,0.954,0.000502284902585567,"mVEC"
"ndufab1b",2.61350112969832e-08,0.592752872465692,0.363,0.199,0.000569821651308125,"mVEC"
"kars1",2.63213563099621e-08,0.55964984793435,0.325,0.168,0.000573884531626104,"mVEC"
"hmgb2a",2.66272369688311e-08,0.400600230836391,0.923,0.826,0.000580553647631425,"mVEC"
"psmd12",2.94525593676933e-08,0.56173954917406,0.394,0.224,0.000642154151893817,"mVEC"
"ndufs2",3.09075808022397e-08,0.567803897600774,0.356,0.191,0.000673877984231233,"mVEC"
"api5",3.23055370938728e-08,0.599574491267963,0.291,0.148,0.000704357625257709,"mVEC"
"tnfaip8l3",3.26994132477918e-08,6.78457949342532,0.031,0,0.000712945307041606,"mVEC"
"tmed2",3.5531896077974e-08,0.496075293425155,0.603,0.394,0.000774701930188068,"mVEC"
"ppm1g",3.90296672533355e-08,0.800281740492777,0.291,0.155,0.000850963835124473,"mVEC"
"tmem88a",4.01249677409902e-08,0.34611894578466,0.873,0.708,0.00087484467165681,"mVEC"
"hnrnpa1b",4.2802649840174e-08,0.602994097121115,0.514,0.326,0.000933226174465313,"mVEC"
"nmt1a",4.64423562767191e-08,0.930034447119423,0.195,0.086,0.00101258269390131,"mVEC"
"nrp2a",5.15689064669123e-08,0.696839554197279,0.236,0.112,0.00112435686769809,"mVEC"
"CR383676.2",5.32668041921538e-08,-0.175463614484645,0.998,1,0.00116137613180153,"mVEC"
"si:ch211-11k18.4",5.69516458365674e-08,0.779417155368783,0.212,0.096,0.00124171673417468,"mVEC"
"adma",5.90903186219343e-08,1.16768867007746,0.214,0.102,0.00128834621691403,"mVEC"
"cand1",7.51780547419611e-08,0.767189596305536,0.274,0.14,0.00163910712753898,"mVEC"
"wdr43",7.6271005306367e-08,0.88733261630466,0.178,0.075,0.00166293672869472,"mVEC"
"zgc:153867",7.74014252249737e-08,-0.314982618702045,0.964,0.96,0.0016875832741801,"mVEC"
"tspan31",8.05560761614561e-08,0.622990081041956,0.332,0.18,0.00175636412854823,"mVEC"
"atp6v0e1",8.66684775722936e-08,0.35121490630422,0.82,0.64,0.00188963281650872,"mVEC"
"lyn",8.98921328876091e-08,0.941981827039472,0.163,0.067,0.00195991817334854,"mVEC"
"ppdpfb",1.03799556127862e-07,-0.357554412786447,0.865,0.883,0.00226314172225577,"mVEC"
"actb1",1.04638336198092e-07,0.202355519143517,0.998,0.999,0.00228142964412699,"mVEC"
"pa2g4a",1.17957558131518e-07,0.832522068340014,0.264,0.139,0.00257182863994149,"mVEC"
"hm13",1.20223936202841e-07,0.874045864536882,0.192,0.086,0.00262124248103054,"mVEC"
"pwp1",1.23653048856155e-07,0.94100042504328,0.127,0.045,0.00269600742421075,"mVEC"
"RPS17",1.30893141370656e-07,-0.193742063391156,0.998,0.992,0.00285386316130442,"mVEC"
"ssr3",1.36961443759644e-07,0.38522001614359,0.712,0.501,0.00298617035829152,"mVEC"
"kdrl",1.38125044341046e-07,-0.410909782718224,0.853,0.85,0.00301154034176782,"mVEC"
"rad21a",1.42077046980232e-07,0.466103919584865,0.567,0.373,0.00309770585530999,"mVEC"
"fam114a2",1.66368244843478e-07,0.977562490394416,0.142,0.055,0.00362732684232236,"mVEC"
"pik3r6a",1.72158687696441e-07,1.20732218471833,0.13,0.049,0.0037535758678455,"mVEC"
"zgc:112185",1.91814900298464e-07,1.60441992044843,0.067,0.014,0.00418214027120741,"mVEC"
"eef1a1l1",2.00561004862286e-07,-0.16023215630278,1,1,0.00437283158901243,"mVEC"
"aimp1a",2.10765282290742e-07,0.57422657745355,0.339,0.192,0.00459531544978504,"mVEC"
"ssb",2.11042752543091e-07,0.831104912590227,0.188,0.085,0.00460136513369702,"mVEC"
"h2az2b",2.23805117722677e-07,0.314425000713944,0.906,0.844,0.00487962298170752,"mVEC"
"suclg1",2.2720220404142e-07,0.442507272691219,0.478,0.292,0.00495368965471509,"mVEC"
"si:dkey-286j15.1",2.31725311736213e-07,0.579170809580028,0.37,0.216,0.00505230697178466,"mVEC"
"eif4bb",2.37529626243378e-07,0.498932562218468,0.409,0.24,0.00517885844098436,"mVEC"
"pes",2.54687590493588e-07,0.967004838800996,0.147,0.059,0.00555295353553171,"mVEC"
"ube2l3b",2.5738917287192e-07,0.466880614604945,0.368,0.211,0.00561185613612647,"mVEC"
"mtdhb",2.63419058984981e-07,0.761203798074478,0.221,0.108,0.00574332574304955,"mVEC"
"utp3",2.90864805755019e-07,1.34311551208643,0.111,0.038,0.00634172535987668,"mVEC"
