"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.42213543522371e-177,-0.706310810304206,0.968,0.99,3.10068188941825e-173,"preLEC","krt8"
1.53676639506129e-176,-1.04553309411329,0.644,0.87,3.35061177115213e-172,"preLEC","aplnra"
3.98857796594495e-156,0.729921993832573,0.927,0.839,8.69629653914978e-152,"preLEC","cirbpa"
3.72395123169937e-154,0.867698922888827,0.918,0.796,8.11933087047415e-150,"preLEC","ptmaa"
1.56675471063703e-143,1.65623584842122,0.576,0.313,3.41599529560192e-139,"preLEC","npm1a"
2.68105888820457e-139,-3.1990339472136,0.089,0.364,5.84551269395242e-135,"preLEC","edn1"
1.20501216562989e-134,1.97696464857716,0.386,0.132,2.62728802472285e-130,"preLEC","hells"
4.92336954912275e-134,1.52532211711214,0.542,0.271,1.07344226279523e-129,"preLEC","pcna"
5.94074488779977e-130,0.867641655753466,0.829,0.679,1.29526060788698e-125,"preLEC","hnrnpabb"
1.13577036018495e-128,-0.524493695108844,0.982,0.998,2.47632011631125e-124,"preLEC","krt18a.1"
4.5793924470411e-122,0.761702690135702,0.884,0.73,9.98444935228372e-118,"preLEC","hmgb2b"
3.37564836244475e-121,1.65198161974449,0.457,0.206,7.35992612463829e-117,"preLEC","nasp"
2.77879218337356e-120,-1.35197608503298,0.489,0.72,6.05860059740938e-116,"preLEC","selenop"
9.40708757408209e-119,1.38390457368754,0.555,0.287,2.05102730377712e-114,"preLEC","slc29a1a"
4.2310988654669e-118,1.8691247925646,0.353,0.122,9.22506485637748e-114,"preLEC","mcm5"
8.13804768861908e-116,0.69127356187948,0.932,0.841,1.77433853754962e-111,"preLEC","hmga1a"
7.79337419902019e-114,-1.43305757975574,0.368,0.618,1.69918937661237e-109,"preLEC","socs3a"
1.693362786341e-103,1.00122781389744,0.686,0.494,3.69203888305927e-99,"preLEC","setb"
7.91655702055131e-103,-1.52581054959384,0.297,0.536,1.7260469271908e-98,"preLEC","rgcc"
8.07149613178589e-101,1.86806297797298,0.306,0.102,1.75982830161328e-96,"preLEC","cdca7a"
4.87793921102639e-100,1.19336735195096,0.64,0.439,1.06353708618008e-95,"preLEC","ncl"
2.33501288820569e-99,1.65054173552201,0.371,0.153,5.09102860015486e-95,"preLEC","mcm2"
3.90174145214298e-98,1.70761699432564,0.367,0.153,8.50696688810734e-94,"preLEC","dkc1"
3.44004720876094e-96,1.72391070795682,0.322,0.117,7.50033492926148e-92,"preLEC","mcm6"
6.71548394023265e-96,-2.85852401431489,0.077,0.287,1.46417696348893e-91,"preLEC","adma"
8.80633956550951e-96,-3.20459900059578,0.049,0.246,1.92004621546804e-91,"preLEC","cfd"
3.09069439984291e-94,-4.61479433526247,0.028,0.208,6.7386409999775e-90,"preLEC","edn2"
3.83568188008674e-94,0.339871921189535,0.993,0.99,8.36293720315313e-90,"preLEC","ybx1"
5.1971848417403e-93,1.94060066401443,0.27,0.085,1.13314221104464e-88,"preLEC","mcm3"
2.11017650121729e-92,0.535322402449773,0.915,0.849,4.60081782560405e-88,"preLEC","h3f3b.1"
4.033661146903e-92,0.692619010771858,0.826,0.71,8.79459139859261e-88,"preLEC","hnrnpa0b"
4.32184375524603e-92,0.473535790207154,0.978,0.959,9.42291593956292e-88,"preLEC","ptmab"
2.18830173123645e-89,-3.73607419366614,0.023,0.194,4.77115426461484e-85,"preLEC","igfbp2a"
4.42881402778993e-89,-2.2087218682225,0.158,0.376,9.65614322479039e-85,"preLEC","ccn2a"
1.08729068497369e-87,-1.04465643673684,0.366,0.594,2.37061988044813e-83,"preLEC","arl4aa"
7.84978495429766e-87,-0.785464563476632,0.881,0.946,1.71148861358552e-82,"preLEC","ctsla"
3.16156997008966e-86,-0.457181273780513,0.909,0.968,6.89317100578649e-82,"preLEC","cdh5"
8.30622069399034e-86,0.768581705194903,0.751,0.617,1.81100529791071e-81,"preLEC","seta"
1.27584847852972e-84,1.62714991468183,0.304,0.116,2.78173243773834e-80,"preLEC","mcm4"
1.98897939307002e-81,-1.20536802966793,0.399,0.594,4.33657177071057e-77,"preLEC","il13ra2"
5.49549394026704e-80,0.519396432022374,0.924,0.849,1.19818254379642e-75,"preLEC","h2az2b"
4.54235901315576e-79,0.64839208140324,0.822,0.71,9.90370535638351e-75,"preLEC","tubb2b"
1.26972745694002e-78,-0.857085519874772,0.493,0.689,2.76838677436633e-74,"preLEC","spns2"
1.83935821217267e-78,0.39799139554588,0.961,0.938,4.01035271000007e-74,"preLEC","hnrnpa0l.1"
2.55028412013034e-78,-1.26808227054548,0.514,0.654,5.56038446712019e-74,"preLEC","postnb"
2.25151192382531e-77,1.423521636444,0.377,0.186,4.90897144751633e-73,"preLEC","chaf1a"
2.45745168949318e-77,-0.952888695266137,0.411,0.621,5.35798191860198e-73,"preLEC","dap1b"
6.97548603971e-77,1.19195815660557,0.478,0.283,1.52086522123797e-72,"preLEC","prmt1"
5.59260024676067e-76,-1.81503171242593,0.148,0.348,1.21935463180123e-71,"preLEC","cebpb"
1.74519681856347e-74,1.24603344108818,0.403,0.208,3.80505262351393e-70,"preLEC","rbbp4"
2.08717954850173e-74,0.462784218756493,0.92,0.864,4.55067756959832e-70,"preLEC","khdrbs1a"
2.4996131577017e-74,1.16245639386888,0.469,0.271,5.44990656773703e-70,"preLEC","sumo3b"
5.70485311729956e-74,0.857152796177372,0.642,0.471,1.24382912516482e-69,"preLEC","cbx5"
2.67165492570727e-72,-2.2753946262184,0.067,0.239,5.82500923451956e-68,"preLEC","mrc1b"
2.70977553996598e-72,1.59107471709432,0.276,0.108,5.90812360978783e-68,"preLEC","fen1"
4.41017568547942e-72,0.434287126644285,0.918,0.851,9.61550604705077e-68,"preLEC","hmgb2a"
2.55703989822712e-70,-1.490900021833,0.176,0.372,5.57511409010459e-66,"preLEC","bmp6"
9.17830497537474e-70,-1.28227231120195,0.221,0.421,2.00114583378095e-65,"preLEC","hapln3"
2.99358261835547e-69,1.18163221301167,0.451,0.264,6.52690818280042e-65,"preLEC","nop58"
3.0460503431629e-69,0.873880592922714,0.592,0.418,6.64130356319807e-65,"preLEC","anp32b"
3.77939379574222e-69,0.839382920887751,0.633,0.468,8.24021229285675e-65,"preLEC","snrpd1"
6.69743632676106e-69,1.26361660319831,0.41,0.226,1.46024204232371e-64,"preLEC","ppm1g"
7.93609131767327e-69,-1.80346531120522,0.158,0.342,1.7303059899923e-64,"preLEC","krt94"
3.80418801800755e-68,-0.733100518249858,0.58,0.756,8.29427113566185e-64,"preLEC","btg2"
4.71320603904367e-68,1.32148879403626,0.369,0.189,1.02762031269269e-63,"preLEC","fbl"
2.63711369749771e-67,1.09458299560414,0.46,0.271,5.74969899465426e-63,"preLEC","abcf1"
3.1560628087114e-67,0.65194175725211,0.751,0.625,6.88116374183345e-63,"preLEC","snrpf"
7.54873446512392e-67,0.427603433547911,0.921,0.877,1.64585057543097e-62,"preLEC","hnrnpaba"
5.55530408342806e-66,0.425954858098014,0.98,0.953,1.21122294930982e-61,"preLEC","hmgn2"
1.28615810132657e-63,-2.02288313518172,0.104,0.271,2.80421050832233e-59,"preLEC","nkd1"
1.79922043001064e-62,-0.938984542580874,0.284,0.493,3.92284030355219e-58,"preLEC","tmem176"
2.28643298131661e-62,1.66609058070978,0.233,0.087,4.9851098291646e-58,"preLEC","lig1"
4.84502799405815e-62,-1.05717662242655,0.228,0.429,1.0563614535445e-57,"preLEC","col4a2"
1.1260686830136e-61,0.749122502417758,0.667,0.519,2.45516754957455e-57,"preLEC","cbx3a"
2.29886538251274e-61,1.20452635891203,0.39,0.215,5.01221619349252e-57,"preLEC","pa2g4a"
3.88677844488289e-61,0.418257937504826,0.932,0.892,8.47434304337817e-57,"preLEC","tuba8l4"
9.00720932773643e-61,-2.06273855423537,0.071,0.226,1.96384184972637e-56,"preLEC","si:ch211-39k3.2"
6.39382005100386e-60,0.950589804951834,0.487,0.311,1.39404458572037e-55,"preLEC","cbx1a"
7.41813617886286e-60,-1.30470800623946,0.206,0.392,1.61737623107747e-55,"preLEC","amotl2a"
9.74517101303563e-60,-3.78442007659535,0.03,0.159,2.12473963597216e-55,"preLEC","dnase1l4.1"
1.62004279795009e-59,0.941596592288329,0.525,0.352,3.53217931237057e-55,"preLEC","cnbpa"
3.48911088211744e-59,-0.939829315341175,0.381,0.558,7.60730845628064e-55,"preLEC","igf2b"
7.24501407232651e-59,1.22842382498056,0.359,0.192,1.57963041818935e-54,"preLEC","snu13b"
9.82152132742644e-59,-2.89722031977322,0.049,0.186,2.14138629501879e-54,"preLEC","fn1a"
4.40558853566715e-58,-0.493926220044896,0.74,0.865,9.6055046843151e-54,"preLEC","kdrl"
1.1608346786309e-57,1.49281776192466,0.234,0.092,2.53096784981896e-53,"preLEC","meox2a"
1.25918997575055e-57,-2.38627799784166,0.033,0.163,2.74541190412892e-53,"preLEC","hoxb9a"
3.3938506590343e-57,0.590829459700476,0.744,0.626,7.39961259189249e-53,"preLEC","snrpb"
9.00070498850734e-57,0.478888854096223,0.847,0.799,1.96242370864425e-52,"preLEC","atp5f1b"
9.70567289748191e-57,0.515853889293634,0.797,0.706,2.11612786183798e-52,"preLEC","hmgn7"
3.08883117067828e-56,-2.47564385233075,0.058,0.197,6.73457860142986e-52,"preLEC","id2b"
7.22791407304927e-56,1.45970529224662,0.229,0.089,1.57590210534693e-51,"preLEC","si:ch211-156b7.4"
1.06961545978394e-55,-1.40394637532198,0.123,0.288,2.33208258696693e-51,"preLEC","cox4i2"
1.79776111104206e-55,-1.25994774877057,0.531,0.671,3.91965855040501e-51,"preLEC","ifi30"
2.28870212873212e-55,0.981894306911031,0.444,0.271,4.99005725127463e-51,"preLEC","dut"
6.05961630804833e-55,0.63573208056989,0.715,0.59,1.32117814364378e-50,"preLEC","atp5mc1"
2.53455688653456e-54,-1.46672534297342,0.184,0.353,5.52609437971131e-50,"preLEC","eppk1"
6.90406029538553e-54,-1.08327657594311,0.334,0.501,1.50529226620291e-49,"preLEC","efna1b"
6.9115614631134e-54,0.885216878874103,0.508,0.345,1.50692774580261e-49,"preLEC","snrpe"
8.76995405147002e-54,0.83087007100883,0.567,0.416,1.91211308184201e-49,"preLEC","ranbp1"
1.35911079034745e-53,-0.620846435879421,0.598,0.744,2.96326925619455e-49,"preLEC","txnipa"
2.79318407103479e-53,0.482873855270311,0.882,0.814,6.08997923007715e-49,"preLEC","si:ch211-156j16.1"
4.89042151389308e-53,1.36041719183794,0.278,0.131,1.06625860267411e-48,"preLEC","nop2"
3.49409622578898e-52,1.11762527789905,0.336,0.177,7.61817800108772e-48,"preLEC","parp1"
4.53612844405189e-52,-0.563808144369719,0.706,0.804,9.89012084656633e-48,"preLEC","srgn"
9.59554183008159e-52,0.55115731541281,0.757,0.645,2.09211598521269e-47,"preLEC","atp5mc3a"
1.90120506115369e-51,1.30155920828661,0.299,0.151,4.1451973948334e-47,"preLEC","hspd1"
5.34624077452559e-51,0.496093538526821,0.844,0.751,1.16564087606981e-46,"preLEC","tuba8l3"
1.50160876287057e-50,-0.408288296967345,0.929,0.952,3.2739575856867e-46,"preLEC","cpn1.1"
2.70060630647924e-50,-1.18838330679003,0.139,0.303,5.88813193001668e-46,"preLEC","ccng2"
3.49823316451781e-50,1.01986614710415,0.434,0.278,7.62719776859817e-46,"preLEC","nop56"
8.51166255785611e-50,-1.56361545595918,0.128,0.28,1.85579778748937e-45,"preLEC","cebpd"
1.70546718615237e-49,-0.987390890454598,0.252,0.425,3.71843010596801e-45,"preLEC","tob1b"
1.9406889489161e-49,-0.997628589331262,0.275,0.443,4.23128411532177e-45,"preLEC","adipor2"
5.33297422141645e-49,1.36060809248667,0.264,0.125,1.16274836949543e-44,"preLEC","ssrp1a"
5.96734399524707e-49,-0.612427476083927,0.609,0.753,1.30106001128372e-44,"preLEC","histh1l"
