"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"meox1",1.61574609717706e-07,-2.63378242478664,0.078,0.249,0.00389588698951333,"LEC"
"ccn2a",0.00378693311130523,-0.829182228049053,0.156,0.253,1,"LEC"
"cavin2a",0.0413666496889923,-1.6909089049784,0.004,0.028,1,"LEC"
"cavin2b",0.069232389349987,-0.321952052832442,0.385,0.453,1,"LEC"
"ccn1",0.0867065677871451,-1.11357835755071,0.199,0.256,1,"LEC"
"wwtr1",0.117687471102983,-0.239564582825589,0.619,0.67,1,"LEC"
"cavin1b",0.161048238929608,-0.855705031015009,0.03,0.056,1,"LEC"
"ccn1l2",0.36130675906229,0.233612205457404,0.117,0.091,1,"LEC"
"amotl2b",0.381978125606537,-0.48804054165235,0.052,0.07,1,"LEC"
"amotl2a",0.493135329004855,0.222123017160339,0.377,0.354,1,"LEC"
"bmp4",0.494987304331166,1.22879782856218,0.013,0.007,1,"LEC"
"yap1",0.554605546854031,0.0542968286973199,0.606,0.582,1,"LEC"
"ccn2b",1,0.303069067636048,0,0,1,"LEC"
"meox1",5.33476572246356e-24,-1.60438501354255,0.144,0.374,1.28631871100041e-19,"mVEC"
"ccn1l2",0.00636203754975373,0.290039435676566,0.378,0.308,1,"mVEC"
"amotl2a",0.00724583473729616,-0.402430205897126,0.324,0.386,1,"mVEC"
"yap1",0.00885196323553727,-0.214547420299389,0.422,0.505,1,"mVEC"
"wwtr1",0.0164353030848685,-0.427397906390778,0.31,0.364,1,"mVEC"
"cavin2a",0.0756600065407068,-0.960392549785007,0.018,0.032,1,"mVEC"
"ccn2a",0.182371323595279,-0.160508046944681,0.139,0.167,1,"mVEC"
"cavin1b",0.186260303953865,-0.523379221297773,0.124,0.146,1,"mVEC"
"cavin2b",0.210637722145613,-0.0902625929209242,0.58,0.614,1,"mVEC"
"amotl2b",0.226598640670881,0.317738163357941,0.093,0.075,1,"mVEC"
"ccn2b",0.39088633635548,0.470856592741541,0.001,0,1,"mVEC"
"bmp4",0.517701824327529,0.865691669887055,0.01,0.007,1,"mVEC"
"ccn1",0.814146187880109,-0.0397679106307594,0.097,0.092,1,"mVEC"
"wwtr1",0.0966332491955859,0.772112941420165,0.43,0.351,1,"pre_muLEC"
"amotl2a",0.0976152655890484,-0.821446249377578,0.161,0.273,1,"pre_muLEC"
"ccn1",0.110612145115504,-1.12934000204607,0.097,0.182,1,"pre_muLEC"
"yap1",0.178528500169183,0.544429117862748,0.473,0.429,1,"pre_muLEC"
"cavin2b",0.333447902183978,-0.470828710522166,0.129,0.182,1,"pre_muLEC"
"amotl2b",0.352812208691315,-0.154713371992288,0.065,0.104,1,"pre_muLEC"
"ccn2a",0.358953908145704,-0.235063775010442,0.086,0.13,1,"pre_muLEC"
"bmp4",0.369129969196221,0.597341974661646,0.011,0,1,"pre_muLEC"
"meox1",0.680498417475919,1.20320809886186,0.022,0.013,1,"pre_muLEC"
"cavin2a",0.680498417475919,1.03480599941389,0.022,0.013,1,"pre_muLEC"
"ccn1l2",0.844046860474818,-0.414024170618196,0.022,0.026,1,"pre_muLEC"
"cavin1b",0.993563108263431,-1.49492376146787,0.054,0.052,1,"pre_muLEC"
"ccn2b",1,-0.27237227041313,0,0,1,"pre_muLEC"
"ccn1l2",0.01055282443581,-0.783688117529644,0.262,0.347,1,"hmVEC"
"meox1",0.0339044141872698,-2.12921559271974,0.018,0.059,1,"hmVEC"
"amotl2a",0.060770352947369,-0.400278201016259,0.5,0.591,1,"hmVEC"
"amotl2b",0.101943422856074,0.717721954388427,0.143,0.095,1,"hmVEC"
"ccn1",0.120611455790284,0.391358411044987,0.411,0.32,1,"hmVEC"
"ccn2a",0.121820894785119,-0.379556922137414,0.488,0.561,1,"hmVEC"
"cavin1b",0.267588628747405,1.11802854592388,0.107,0.08,1,"hmVEC"
"yap1",0.459833911322399,-0.178748237736151,0.446,0.469,1,"hmVEC"
"cavin2b",0.577846005093796,0.0866084364238202,0.613,0.591,1,"hmVEC"
"wwtr1",0.742910329737252,0.161850840244113,0.411,0.389,1,"hmVEC"
"cavin2a",0.776274840008966,0.332801117218613,0.089,0.101,1,"hmVEC"
"bmp4",0.998624218161408,-0.523157700789608,0.012,0.012,1,"hmVEC"
"ccn2b",1,1.0042873584031,0,0,1,"hmVEC"
