"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"rpl37.1",1.6632196255871e-23,-0.504338340567998,0.996,1,4.0103551612156e-19,"LEC"
"icn",1.01634647501462e-15,2.6814374022824,0.299,0.035,2.45061462055526e-11,"LEC"
"si:dkey-251i10.2",3.67853145711346e-14,-3.62388321642147,0.017,0.263,8.86967504939199e-10,"LEC"
"atp5f1e",4.07967405962818e-12,-0.513990940575109,0.892,0.933,9.83691009257547e-08,"LEC"
"atp5md",4.36666235518805e-12,-0.721390624043359,0.779,0.891,1.05288962708294e-07,"LEC"
"tmsb4x",4.57047252357011e-11,-0.25149948694539,1,1,1.10203233488323e-06,"LEC"
"cox7c",6.85580115247497e-11,-0.517010575646019,0.913,0.965,1.65307077388476e-06,"LEC"
"hapln3",4.10471801756966e-10,-2.76919677839502,0.147,0.368,9.89729608396397e-06,"LEC"
"lyve1a",5.64321217971752e-09,-1.40117693046032,0.117,0.337,0.000136069132077349,"LEC"
"ablim1b",1.0116280047527e-08,-2.58877746105762,0.087,0.277,0.00024392374450597,"LEC"
"loxl1",1.60799584479481e-08,-2.76874786186151,0.108,0.302,0.000387719958096924,"LEC"
"kif26ab",5.70239926971469e-08,-1.36581924895344,0.286,0.484,0.00137496251191361,"LEC"
"nfatc1",6.70578978081439e-08,-1.36574457858331,0.589,0.702,0.00161690003194997,"LEC"
"sh3gl3a",7.02955016145931e-08,-1.28606258534394,0.455,0.632,0.00169496513493107,"LEC"
"si:dkey-151g10.6",8.70211845713961e-08,-0.250752661856117,1,1,0.0020982548023855,"LEC"
"ptn",1.01640384415336e-07,-1.12753910821644,0.398,0.579,0.00245075294902257,"LEC"
"meox1",1.61574609717706e-07,-2.63378242478664,0.078,0.249,0.00389588698951333,"LEC"
"metap2b",1.73405197884912e-07,-0.595349023177343,0.753,0.818,0.004181146131401,"LEC"
"gch2",2.58855963445695e-07,0.723913702566571,0.68,0.435,0.0062415349906026,"LEC"
"fam102aa",3.73858908693693e-07,-1.07167484229778,0.632,0.751,0.00901448600642233,"LEC"
"tshz2",7.68143208881212e-07,-2.37407140229784,0.165,0.34,0.0185214690525438,"LEC"
"sema3d",8.03382284016442e-07,-3.1879167585932,0.061,0.207,0.0193711536322044,"LEC"
"pfn1",8.06557912558524e-07,0.701173699695364,0.818,0.688,0.0194477243876111,"LEC"
"zgc:153409",9.19035298860161e-07,-0.577013587983658,0.931,0.954,0.0221597791261162,"LEC"
"piezo1",9.89104926954841e-07,-1.04200390888662,0.506,0.656,0.0238492979987351,"LEC"
"zgc:153867",1.11862930179379e-06,0.281275316099808,0.978,0.972,0.0269723897248519,"LEC"
"mpp7a",1.19311608333071e-06,-1.19088652021189,0.273,0.456,0.02876841500127,"LEC"
"lmo4a",1.40519999533159e-06,0.798873845939238,0.74,0.593,0.0338821822874353,"LEC"
"ppib",1.40572841975009e-06,0.282918741120412,0.97,0.958,0.0338949236570141,"LEC"
"strbp",2.15993372750391e-06,0.421758323875123,0.844,0.684,0.0520803220375743,"LEC"
"adam8a",2.3508902688066e-06,0.902855560229523,0.623,0.467,0.0566846661614648,"LEC"
"osr2",2.80963020641601e-06,1.21558150693694,0.255,0.098,0.0677458035371028,"LEC"
"ctdspla",2.89184377215879e-06,-0.914183272212886,0.753,0.8,0.0697281370342928,"LEC"
"me3",3.00336956009833e-06,-1.13383052613317,0.446,0.568,0.072417246833091,"LEC"
"CR456627.1",3.26314689708603e-06,1.48825655988467,0.212,0.07,0.0786809979825385,"LEC"
"mt-cyb",6.74241046102275e-06,0.308055907990046,0.991,0.979,0.162573001036181,"LEC"
"eef1b2",7.70742018934076e-06,0.241261171055796,0.991,0.993,0.185841315605384,"LEC"
"rbpjb",7.95106298945315e-06,0.63880822232457,0.701,0.551,0.191716030801694,"LEC"
"mpp2b",1.22448724864918e-05,-2.79134143966034,0.026,0.133,0.29524836539429,"LEC"
"dut",1.26593545031747e-05,0.5966559720156,0.714,0.565,0.305242355780549,"LEC"
"actb1",1.35251135538988e-05,0.276331572793734,0.991,0.989,0.326117538011609,"LEC"
"nr2f2",1.45262788261949e-05,0.502345209263978,0.883,0.733,0.350257635057212,"LEC"
"hoxd9a",1.51973596554589e-05,-3.60938910466324,0.026,0.13,0.366438736012426,"LEC"
"celsr1b",1.73481579658987e-05,-0.692157478975963,0.675,0.758,0.418298784873749,"LEC"
"ugt1b5",1.75143306477564e-05,0.646374629447111,0.662,0.474,0.422305540578703,"LEC"
"mafa",1.97748423780326e-05,1.45150077004463,0.19,0.067,0.476810999419122,"LEC"
"tomm40l",2.34041746071308e-05,0.996905562562106,0.364,0.204,0.564321458127137,"LEC"
"ldb2a",2.87938430639103e-05,-0.51795798687446,0.853,0.916,0.694277143957006,"LEC"
"dhrs11a",2.94399532289142e-05,1.04491229543154,0.359,0.204,0.709856152255578,"LEC"
"nme2b.1",3.04551227712834e-05,0.227185923427554,0.987,0.993,0.734333920261185,"LEC"
"pard3ba",3.18956478745359e-05,-1.32703187555776,0.221,0.372,0.769067861550809,"LEC"
"cldn11a",3.33626615375321e-05,-0.644833667723127,0.481,0.635,0.804440494992975,"LEC"
"h2az2b",3.38223794333545e-05,0.278332691425363,0.961,0.968,0.815525212897044,"LEC"
"cotl1",3.50010151113477e-05,0.457788439154625,0.823,0.702,0.843944476364815,"LEC"
"mgat4b",3.51617352061497e-05,-1.66076423453431,0.074,0.204,0.847819759290681,"LEC"
"rgs4",3.662174851941e-05,-2.45587701545276,0.03,0.133,0.883023600300015,"LEC"
"lrrc8aa",4.26572287749034e-05,-0.785557755090719,0.303,0.456,1,"LEC"
"klf17",5.3603262030777e-05,-2.08368582678496,0.078,0.2,1,"LEC"
"si:ch211-194e15.5",6.52782003192462e-05,-5.23749491644384,0,0.067,1,"LEC"
"si:ch211-227e10.1",6.89571453185184e-05,-1.00162923207428,0.208,0.361,1,"LEC"
"cox6b2",7.12333304788417e-05,0.226274277859118,0.948,0.972,1,"LEC"
"zgc:171772",7.27029678711577e-05,-0.186766161007679,0.996,1,1,"LEC"
"zgc:92335",7.42902736972013e-05,1.06547678801691,0.234,0.102,1,"LEC"
"EMC4",8.35095163474823e-05,0.929964253862875,0.281,0.14,1,"LEC"
"rapgef4",8.39515959382293e-05,-1.98457940172074,0.087,0.207,1,"LEC"
"krt91",8.88362927956279e-05,1.64617273188038,0.212,0.091,1,"LEC"
"vamp5",8.98932105797771e-05,0.531112807095678,0.745,0.635,1,"LEC"
"dnph1",9.01693858625685e-05,0.697006146813462,0.424,0.253,1,"LEC"
"ptprb",9.16942265423933e-05,-0.774653533021372,0.545,0.67,1,"LEC"
"uck2b",9.20577386410247e-05,0.600947285079159,0.532,0.361,1,"LEC"
"ncor2",9.50619440607624e-05,-0.398421250952267,0.788,0.839,1,"LEC"
"orc4",9.67096964946344e-05,0.884466635062777,0.398,0.242,1,"LEC"
"dynll1",9.82901127212975e-05,0.361491929632149,0.952,0.947,1,"LEC"
"tuba8l4",0.000100844822594615,0.311242186785626,0.97,0.905,1,"LEC"
"mef2cb",0.000113270960126633,-0.257950557660764,0.905,0.965,1,"LEC"
"im:7151449",0.000121156890675968,-1.73630379588275,0.121,0.246,1,"LEC"
"ftr83",0.000123901843526632,0.838889161186533,0.186,0.07,1,"LEC"
"ntn1b",0.000124357356007408,-1.19729236862686,0.203,0.347,1,"LEC"
"kdr",0.000134491429313313,-0.435727181747175,0.727,0.821,1,"LEC"
"mt-nd1",0.000135817341810799,0.361929305791632,0.944,0.916,1,"LEC"
"FAM124A",0.000142465352844619,-1.57624579054233,0.026,0.116,1,"LEC"
"tfpia",0.000166267718153957,0.467807881522305,0.593,0.425,1,"LEC"
"ppp1r9ala",0.000167771238492904,-0.833042859043102,0.277,0.421,1,"LEC"
"rcc2",0.000180477974761594,-0.52754682194438,0.693,0.747,1,"LEC"
"aak1b",0.000182828493113825,-0.973132466347036,0.277,0.428,1,"LEC"
"zic2a",0.000191877290118442,-2.16011211811489,0.039,0.133,1,"LEC"
"psmb6",0.000195113265692891,0.361010715253482,0.866,0.839,1,"LEC"
"anxa1a",0.000200198583355166,4.05091270265193,0.048,0,1,"LEC"
"chmp2a",0.000203086626625767,-0.648367421530406,0.541,0.656,1,"LEC"
"tcima",0.000207202038717885,0.64961557487025,0.571,0.425,1,"LEC"
"pdia4",0.000213398544252989,0.63412244856192,0.476,0.326,1,"LEC"
"zeb2b",0.000219594913531665,0.661033464053451,0.446,0.291,1,"LEC"
"btf3l4",0.000222732273511487,0.479905090572074,0.693,0.568,1,"LEC"
"krtt1c19e",0.000223705623060681,0.984278918321309,0.221,0.102,1,"LEC"
"RASSF5",0.000228918042897922,2.78558243237496,0.113,0.032,1,"LEC"
"cpe",0.000233864558913429,2.07418416660779,0.113,0.032,1,"LEC"
"rfc4",0.000235252977376725,0.736990021315588,0.437,0.277,1,"LEC"
"GARRE1",0.000238087867809193,-0.706235015831131,0.61,0.691,1,"LEC"
"h3f3b.1",0.000245554508611481,0.324878935736544,0.978,0.968,1,"LEC"
"abca1a",0.000251663768740431,-0.796618672967884,0.398,0.551,1,"LEC"
"tmem176",0.000254488521807944,0.738878592668082,0.342,0.189,1,"LEC"
"ndufa1",0.000255950070421441,-0.432759028361609,0.74,0.761,1,"LEC"
"ctss2.1",0.000258995179884447,-4.3591765862653,0,0.056,1,"LEC"
"wasf3b",0.000266776945221315,-0.474878215462884,0.784,0.818,1,"LEC"
"CT027638.1",0.000272850733262596,-0.364457589719337,1,1,1,"LEC"
"si:ch73-375g18.1",0.000292605187493762,-0.862431365637657,0.32,0.453,1,"LEC"
"CABZ01021592.1",0.000293358950663376,-0.49727077447972,0.913,0.811,1,"LEC"
"ube2v2",0.000320908678490814,0.287400225552716,0.939,0.863,1,"LEC"
"rack1",0.000358559978571502,0.167341971649759,0.996,0.996,1,"LEC"
"neo1b",0.000362246256315785,-1.68065550526643,0.091,0.2,1,"LEC"
"sult2st2",0.000367373434113186,-1.73055541478236,0.048,0.14,1,"LEC"
"caprin1a",0.000381839796643781,-0.662511095284964,0.502,0.593,1,"LEC"
"pdgfd",0.000384804245021309,-1.15314878769544,0.268,0.389,1,"LEC"
"pnrc2",0.000385000537700611,-0.261674425944564,0.974,0.982,1,"LEC"
"pik3r2",0.000402808899093688,-1.05410672526743,0.312,0.435,1,"LEC"
"pclaf",0.00041192157584771,0.438522492739438,0.671,0.53,1,"LEC"
"cks1b",0.000415713351479932,0.589933440158577,0.511,0.358,1,"LEC"
"gulp1b",0.000420710206775173,1.33398910681133,0.134,0.046,1,"LEC"
"slc22a16",0.000422229670098223,-1.64047079937018,0.048,0.14,1,"LEC"
"crim1",0.000431478664833184,-0.621116305434751,0.602,0.705,1,"LEC"
"xirp2a",0.000436098738389349,-0.681763033578127,0.701,0.786,1,"LEC"
"ddx6",0.00044885231064599,-0.631500544766313,0.463,0.586,1,"LEC"
"prox1a",0.000457933309775679,-0.77346340841312,0.801,0.846,1,"LEC"
"cenpn",0.000459067448368373,1.07816461709309,0.19,0.084,1,"LEC"
"atm",0.000498575122133679,0.747008959085361,0.351,0.214,1,"LEC"
"farsa",0.000509527266261674,0.739388116502025,0.437,0.295,1,"LEC"
"mical2a",0.000512587498756918,-0.553862816583345,0.385,0.523,1,"LEC"
"gpc6a",0.000515212040269046,0.86604414701954,0.368,0.239,1,"LEC"
"tcp1",0.000519782477282909,0.33700476058895,0.87,0.811,1,"LEC"
"cfdp1",0.00053078055963776,-0.817320669801639,0.364,0.488,1,"LEC"
"tns1b",0.000536260565443105,-0.389722993655584,0.801,0.846,1,"LEC"
"ndufb2",0.000549096659860893,0.341901937637841,0.844,0.74,1,"LEC"
"kdm6al",0.000554060891889982,1.45781398110843,0.152,0.06,1,"LEC"
"ywhaqa",0.000561896800777222,0.311853428080438,0.9,0.814,1,"LEC"
"ndufa4l",0.000564366038834993,0.264363655165341,0.974,0.937,1,"LEC"
"brd7",0.000564690962387635,-0.687687796221017,0.541,0.614,1,"LEC"
"slco2b1",0.000594790540990981,0.909006941001044,0.407,0.274,1,"LEC"
"calcrlb",0.000634277360984802,-0.4887029067094,0.55,0.667,1,"LEC"
