"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.54298446770788,0.995,0.694,0,"mVEC","plvapb"
1.426283409881e-243,-3.75100608066501,0.15,0.772,3.43905455790506e-239,"mVEC","cdh6"
1.93135802886826e-232,3.50526952608996,0.829,0.269,4.65689047920714e-228,"mVEC","rgcc"
2.51404812171495e-220,1.56162658461503,0.987,0.79,6.06187283107908e-216,"mVEC","prcp"
3.75287312945471e-207,1.11119137726202,0.996,0.967,9.04892768974119e-203,"mVEC","cd81a"
2.16797287496819e-176,2.62112920631823,0.763,0.261,5.22741619612329e-172,"mVEC","emid1"
1.1120043477695e-166,2.73048504060077,0.736,0.244,2.68126488334182e-162,"mVEC","hlx1"
1.6961064076526e-141,1.20155070120807,0.956,0.772,4.08965177013196e-137,"mVEC","ednraa"
3.85042932466887e-140,1.31914734591088,0.931,0.66,9.28415518764158e-136,"mVEC","mcamb"
3.18799041135375e-138,1.99243756436011,0.871,0.54,7.68688247985615e-134,"mVEC","cxcl12a"
3.6477002091609e-123,1.76266836330055,0.827,0.538,8.79533474432877e-119,"mVEC","podxl"
2.08409454260706e-118,5.38111790076264,0.42,0.034,5.02516876113414e-114,"mVEC","mrc1b"
5.17228968883556e-117,1.83652643672448,0.749,0.41,1.24714248977203e-112,"mVEC","ehd4"
2.49471455559695e-116,1.50515509695896,0.839,0.48,6.01525573645538e-112,"mVEC","kirrel3l"
2.83803895375013e-115,2.94746787317249,0.632,0.246,6.84307952528231e-111,"mVEC","cebpb"
1.07590075857452e-112,1.81676842526676,0.732,0.382,2.59421190907489e-108,"mVEC","cxcl20"
9.38031049413614e-110,-3.58898032335151,0.256,0.631,2.26178046634611e-105,"mVEC","igfbp1a"
2.78828371570777e-109,1.65819922687152,0.767,0.407,6.72310969531459e-105,"mVEC","il13ra2"
9.39010471066154e-108,-3.68627415922288,0.086,0.453,2.26414204783471e-103,"mVEC","zeb2b"
3.06110790725876e-104,2.15072058356169,0.65,0.285,7.38094338598231e-100,"mVEC","exoc3l2a"
3.52512783644784e-104,0.997177553957544,0.945,0.83,8.49978823924304e-100,"mVEC","fmnl3"
4.46429545566201e-103,1.07501676420905,0.935,0.814,1.07643092026922e-98,"mVEC","plpp3"
