"cat","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes","GOTerm","cluster","direction"
"GO_Biological_Process_2018","embryonic skeletal joint development (GO:0072498)","1 of 8",0.009164652529603337,0.05524833908396084,0.011065462411749155,0.06385131128880266,-4.380529488322367,20.555202314595817,"sema3d","GO:0072498","LEC","downregulated"
"GO_Biological_Process_2018","cardioblast differentiation (GO:0010002)","1 of 10",0.011443231288742015,0.05524833908396084,0.013509160727806495,0.06385131128880266,-4.17206634008385,18.6506254572134,"sema3d","GO:0010002","LEC","downregulated"
"GO_Biological_Process_2018","sclerotome development (GO:0061056)","1 of 8",0.009164652529603337,0.05524833908396084,0.011065462411749155,0.06385131128880266,-3.611182926837983,16.945119500747087,"meox1","GO:0061056","LEC","downregulated"
"GO_Biological_Process_2018","peptidyl-lysine oxidation (GO:0018057)","1 of 10",0.011443231288742015,0.05524833908396084,0.013509160727806495,0.06385131128880266,-3.763517695195371,16.824267212700452,"loxl1","GO:0018057","LEC","downregulated"
"GO_Biological_Process_2018","mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)","1 of 12",0.013716797428168498,0.05524833908396084,0.015947322630571272,0.06385131128880266,-3.805864191948354,16.32386191433108,"cox7c","GO:0006123","LEC","downregulated"
"GO_Biological_Process_2018","inositol phosphate-mediated signaling (GO:0048016)","1 of 12",0.013716797428168498,0.05524833908396084,0.015947322630571272,0.06385131128880266,-3.4377407245223037,14.744930994410028,"nfatc1","GO:0048016","LEC","downregulated"
"GO_Biological_Process_2018","calcineurin-NFAT signaling cascade (GO:0033173)","1 of 11",0.012580640278472248,0.05524833908396084,0.014728933017494162,0.06385131128880266,-3.3454514318456474,14.63834434653366,"nfatc1","GO:0033173","LEC","downregulated"
"GO_Biological_Process_2018","lamellipodium assembly (GO:0030032)","1 of 9",0.010304569146126692,0.05524833908396084,0.012288004334859689,0.06385131128880266,-3.093020257701478,14.15108692189643,"ablim1b","GO:0030032","LEC","downregulated"
"GO_Biological_Process_2018","lamellipodium organization (GO:0097581)","1 of 9",0.010304569146126692,0.05524833908396084,0.012288004334859689,0.06385131128880266,-3.003459880960546,13.74133316329656,"ablim1b","GO:0097581","LEC","downregulated"
"GO_Biological_Process_2018","homeostasis of number of cells (GO:0048872)","1 of 12",0.013716797428168498,0.05524833908396084,0.015947322630571272,0.06385131128880266,-3.195302496094546,13.70508091989022,"piezo1","GO:0048872","LEC","downregulated"
"GO_Biological_Process_2018","stem cell differentiation (GO:0048863)","3 of 72",7.523224167324174e-5,0.006996598475611483,9.245802740980658e-5,0.008598596549112016,-1.4404051670572264,13.676547202583352,"sema3d;metap2b;meox1","GO:0048863","LEC","downregulated"
"GO_Biological_Process_2018","sequestering of actin monomers (GO:0042989)","1 of 9",0.010304569146126692,0.05524833908396084,0.012288004334859689,0.06385131128880266,-2.867874365498836,13.121006668547176,"tmsb4x","GO:0042989","LEC","downregulated"
"GO_Biological_Process_2018","calcineurin-mediated signaling (GO:0097720)","1 of 13",0.01485170405482817,0.05524833908396084,0.017164330991613623,0.06385131128880266,-3.055674321565606,12.863290895739787,"nfatc1","GO:0097720","LEC","downregulated"
"GO_Biological_Process_2018","neuron projection fasciculation (GO:0106030)","1 of 13",0.01485170405482817,0.05524833908396084,0.017164330991613623,0.06385131128880266,-2.997170143654207,12.617009329088775,"sema3d","GO:0106030","LEC","downregulated"
"GO_Biological_Process_2018","peripheral nervous system neuron axonogenesis (GO:0048936)","1 of 12",0.013716797428168498,0.05524833908396084,0.015947322630571272,0.06385131128880266,-2.917450675209098,12.513337198089792,"sema3d","GO:0048936","LEC","downregulated"
"GO_Biological_Process_2018","negative regulation of actin filament polymerization (GO:0030837)","1 of 14",0.015985361472133502,0.05685545365615906,0.018379959524614263,0.06508076777218601,-3.0065587965526728,12.435373370152528,"tmsb4x","GO:0030837","LEC","downregulated"
"GO_Biological_Process_2018","atrioventricular valve morphogenesis (GO:0003181)","1 of 13",0.01485170405482817,0.05524833908396084,0.017164330991613623,0.06385131128880266,-2.936291654792104,12.360732766498474,"tmsb4x","GO:0003181","LEC","downregulated"
"GO_Biological_Process_2018","thymus development (GO:0048538)","1 of 19",0.02163495631602687,0.061705747039799315,0.024437454505484957,0.0693646787365382,-3.007031172561558,11.527288386094211,"sema3d","GO:0048538","LEC","downregulated"
"GO_Biological_Process_2018","hematopoietic stem cell differentiation (GO:0060218)","2 of 47",0.0013251550347369795,0.049991203252428694,0.0015923573458109463,0.05900293476820569,-1.7088248552637646,11.32305937616624,"metap2b;meox1","GO:0060218","LEC","downregulated"
"GO_Biological_Process_2018","axonal fasciculation (GO:0007413)","1 of 15",0.017117770993252197,0.05685545365615906,0.01959420965184095,0.06508076777218601,-2.774128340467985,11.28415017563504,"sema3d","GO:0007413","LEC","downregulated"
"GO_Biological_Process_2018","atrioventricular valve development (GO:0003171)","1 of 15",0.017117770993252197,0.05685545365615906,0.01959420965184095,0.06508076777218601,-2.525910609085186,10.274490270460486,"tmsb4x","GO:0003171","LEC","downregulated"
"GO_Biological_Process_2018","detection of mechanical stimulus (GO:0050982)","1 of 17",0.019378851588059093,0.058136554764177305,0.022018580373005366,0.06605574111901609,-2.587222825118648,10.202901901821548,"piezo1","GO:0050982","LEC","downregulated"
"GO_Biological_Process_2018","peripheral nervous system neuron development (GO:0048935)","1 of 17",0.019378851588059093,0.058136554764177305,0.022018580373005366,0.06605574111901609,-2.4341943995415254,9.599423144910851,"sema3d","GO:0048935","LEC","downregulated"
"GO_Biological_Process_2018","semaphorin-plexin signaling pathway (GO:0071526)","1 of 32",0.03617907021231784,0.07224790356752113,0.040026937630332014,0.07985719772028377,-2.710969728042144,8.998452683915952,"sema3d","GO:0071526","LEC","downregulated"
"GO_Biological_Process_2018","blood vessel endothelial cell migration (GO:0043534)","1 of 20",0.022761145996190793,0.061705747039799315,0.025644833892586063,0.0693646787365382,-2.364772383822054,8.945225252218902,"sema3d","GO:0043534","LEC","downregulated"
"GO_Biological_Process_2018","cardiocyte differentiation (GO:0035051)","1 of 21",0.023886095628309418,0.061705747039799315,0.026850843381885783,0.0693646787365382,-2.369134692394459,8.847435810878267,"sema3d","GO:0035051","LEC","downregulated"
"GO_Biological_Process_2018","embryonic skeletal system morphogenesis (GO:0048704)","2 of 60",0.0021501592796743527,0.049991203252428694,0.0025377606351916432,0.05900293476820569,-1.4095487527675503,8.657749175206165,"sema3d;tshz2","GO:0048704","LEC","downregulated"
"GO_Biological_Process_2018","mitochondrial ATP synthesis coupled electron transport (GO:0042775)","1 of 35",0.03950591290395013,0.07348099800134726,0.043591925779610075,0.08108098195007475,-2.6392947172978958,8.528366017230438,"cox7c","GO:0042775","LEC","downregulated"
"GO_Biological_Process_2018","endothelial cell migration (GO:0043542)","1 of 17",0.019378851588059093,0.058136554764177305,0.022018580373005366,0.06605574111901609,-2.097264205381304,8.270714351295142,"sema3d","GO:0043542","LEC","downregulated"
"GO_Biological_Process_2018","negative regulation of axon guidance (GO:1902668)","1 of 33",0.03728924055097863,0.07224790356752113,0.041216618178210956,0.07985719772028377,-2.464719373794127,8.106586368021302,"sema3d","GO:1902668","LEC","downregulated"
"GO_Biological_Process_2018","hematopoietic progenitor cell differentiation (GO:0002244)","2 of 82",0.003972815969525225,0.05524833908396084,0.004608202773190495,0.06385131128880266,-1.4366567572983022,7.942240995668593,"metap2b;meox1","GO:0002244","LEC","downregulated"
"GO_Biological_Process_2018","regulation of extent of cell growth (GO:0061387)","1 of 12",0.013716797428168498,0.05524833908396084,0.015947322630571272,0.06385131128880266,-1.8081031683672244,7.7551969693856115,"sema3d","GO:0061387","LEC","downregulated"
"GO_Biological_Process_2018","nervous system development (GO:0007399)","3 of 210",0.0017307728763075831,0.049991203252428694,0.0019745000849920066,0.05900293476820569,-1.204514758787911,7.659734861499005,"sema3d;hapln3;ptn","GO:0007399","LEC","downregulated"
"GO_Biological_Process_2018","mesenchymal cell differentiation (GO:0048762)","1 of 21",0.023886095628309418,0.061705747039799315,0.026850843381885783,0.0693646787365382,-2.0155537119212,7.527002220197597,"sema3d","GO:0048762","LEC","downregulated"
"GO_Biological_Process_2018","negative chemotaxis (GO:0050919)","1 of 29",0.03284120706528828,0.07224790356752113,0.03644977221961096,0.07985719772028377,-2.195586303675195,7.500279225005409,"sema3d","GO:0050919","LEC","downregulated"
"GO_Biological_Process_2018","regulation of axon extension (GO:0030516)","1 of 31",0.03506767537445469,0.07224790356752113,0.03883590405320028,0.07985719772028377,-2.1430368916328546,7.1801926060034615,"sema3d","GO:0030516","LEC","downregulated"
"GO_Biological_Process_2018","mesenchyme development (GO:0060485)","1 of 27",0.030609825296055347,0.07224790356752113,0.03405821147495409,0.07985719772028377,-2.0294911641820805,7.075687471299196,"meox1","GO:0060485","LEC","downregulated"
"GO_Biological_Process_2018","muscle cell development (GO:0055001)","1 of 30",0.03395505475740592,0.07224790356752113,0.03764351604960002,0.07985719772028377,-2.0688558835682787,6.998355101156435,"meox1","GO:0055001","LEC","downregulated"
"GO_Biological_Process_2018","enteric nervous system development (GO:0048484)","1 of 28",0.0317261310095335,0.07224790356752113,0.035254671162827475,0.07985719772028377,-2.011907509217828,6.942317456539289,"sema3d","GO:0048484","LEC","downregulated"
"GO_Biological_Process_2018","negative regulation of axon extension involved in axon guidance (GO:0048843)","1 of 33",0.03728924055097863,0.07224790356752113,0.041216618178210956,0.07985719772028377,-2.0918763727293506,6.880286927208642,"sema3d","GO:0048843","LEC","downregulated"
"GO_Biological_Process_2018","peptidyl-lysine modification (GO:0018205)","1 of 33",0.03728924055097863,0.07224790356752113,0.041216618178210956,0.07985719772028377,-2.0838512432926537,6.853891871615361,"loxl1","GO:0018205","LEC","downregulated"
"GO_Biological_Process_2018","regulation of cell migration (GO:0030334)","2 of 113",0.007408214454012107,0.05524833908396084,0.008482877000955668,0.06385131128880266,-1.3103202261157496,6.427338003538672,"sema3d;tmsb4x","GO:0030334","LEC","downregulated"
"GO_Biological_Process_2018","mesenchymal cell development (GO:0014031)","1 of 43",0.048323879515279666,0.08025215705216078,0.05303931392537152,0.0880831463403491,-2.0898090896614057,6.331765105082725,"sema3d","GO:0014031","LEC","downregulated"
"GO_Biological_Process_2018","stem cell development (GO:0048864)","1 of 43",0.048323879515279666,0.08025215705216078,0.05303931392537152,0.0880831463403491,-2.057981355492017,6.235332499068824,"sema3d","GO:0048864","LEC","downregulated"
"GO_Biological_Process_2018","regulation of axon extension involved in axon guidance (GO:0048841)","1 of 40",0.045026255141950605,0.07754521718891495,0.04950661445627647,0.08526139156358727,-1.9441757053293516,6.027935266891371,"sema3d","GO:0048841","LEC","downregulated"
"GO_Biological_Process_2018","negative regulation of axon extension (GO:0030517)","1 of 40",0.045026255141950605,0.07754521718891495,0.04950661445627647,0.08526139156358727,-1.912513592672911,5.929766585437905,"sema3d","GO:0030517","LEC","downregulated"
"GO_Biological_Process_2018","peripheral nervous system development (GO:0007422)","1 of 34",0.0383981876877807,0.07287819295844095,0.04240494709504216,0.08048285877222283,-1.8057236298500376,5.886198602917099,"sema3d","GO:0007422","LEC","downregulated"
"GO_Biological_Process_2018","retinal ganglion cell axon guidance (GO:0031290)","1 of 39",0.04392462026759527,0.07754521718891495,0.048326366047132856,0.08526139156358727,-1.867093556883777,5.835190692847825,"sema3d","GO:0031290","LEC","downregulated"
"GO_Biological_Process_2018","regulation of developmental growth (GO:0048638)","1 of 28",0.0317261310095335,0.07224790356752113,0.035254671162827475,0.07985719772028377,-1.682083289436871,5.804221183184767,"sema3d","GO:0048638","LEC","downregulated"
"GO_Biological_Process_2018","autonomic nervous system development (GO:0048483)","1 of 31",0.03506767537445469,0.07224790356752113,0.03883590405320028,0.07985719772028377,-1.6559635177815517,5.548265199077869,"sema3d","GO:0048483","LEC","downregulated"
"GO_Biological_Process_2018","skeletal system development (GO:0001501)","2 of 137",0.01072564172823217,0.05524833908396084,0.01220922395781816,0.06385131128880266,-1.2068296831894876,5.473114996427718,"sema3d;hapln3","GO:0001501","LEC","downregulated"
"GO_Biological_Process_2018","embryonic organ development (GO:0048568)","2 of 150",0.012750182115555567,0.05524833908396084,0.014479204947775055,0.06385131128880266,-1.2479452247997822,5.443798794524574,"sema3d;loxl1","GO:0048568","LEC","downregulated"
"GO_Biological_Process_2018","respiratory electron transport chain (GO:0022904)","1 of 44",0.04942066514206718,0.08063371681074125,0.05421420311484324,0.08845475245053368,-1.7873070096659869,5.375123185891874,"cox7c","GO:0022904","LEC","downregulated"
"GO_Biological_Process_2018","muscle cell differentiation (GO:0042692)","1 of 33",0.03728924055097863,0.07224790356752113,0.041216618178210956,0.07985719772028377,-1.5503353838132008,5.099131293366845,"meox1","GO:0042692","LEC","downregulated"
"GO_Biological_Process_2018","regulation of axonogenesis (GO:0050770)","1 of 40",0.045026255141950605,0.07754521718891495,0.04950661445627647,0.08526139156358727,-1.6344046108301769,5.067487041930763,"sema3d","GO:0050770","LEC","downregulated"
"GO_Biological_Process_2018","neural crest cell differentiation (GO:0014033)","1 of 53",0.059237477627261975,0.08347099120205102,0.06472823590681928,0.0926111682974491,-1.6908733860820535,4.778747833734849,"sema3d","GO:0014033","LEC","downregulated"
"GO_Biological_Process_2018","transcription from RNA polymerase II promoter (GO:0006366)","1 of 50",0.0559760317894696,0.08347099120205102,0.061235523350020096,0.0926111682974491,-1.6554771063989564,4.772461853844753,"nfatc1","GO:0006366","LEC","downregulated"
"GO_Biological_Process_2018","somite development (GO:0061053)","1 of 49",0.05488648184532434,0.08347099120205102,0.06006863152181466,0.0926111682974491,-1.5829049819055032,4.594363020799539,"meox1","GO:0061053","LEC","downregulated"
"GO_Biological_Process_2018","transcription, DNA-templated (GO:0006351)","1 of 51",0.05706438022521389,0.08347099120205102,0.06240108710950674,0.0926111682974491,-1.5883575901072933,4.5483813575294585,"nfatc1","GO:0006351","LEC","downregulated"
"GO_Biological_Process_2018","positive regulation of cell migration (GO:0030335)","1 of 56",0.06248814399153775,0.08673727449571664,0.06820903288051831,0.0946782098192269,-1.6375060058708537,4.540441342504685,"sema3d","GO:0030335","LEC","downregulated"
"GO_Biological_Process_2018","positive regulation of cell motility (GO:2000147)","1 of 53",0.059237477627261975,0.08347099120205102,0.06472823590681928,0.0926111682974491,-1.5738683176893995,4.44806800772317,"sema3d","GO:2000147","LEC","downregulated"
"GO_Biological_Process_2018","definitive hemopoiesis (GO:0060216)","1 of 53",0.059237477627261975,0.08347099120205102,0.06472823590681928,0.0926111682974491,-1.5537297593060064,4.391152396512223,"metap2b","GO:0060216","LEC","downregulated"
"GO_Biological_Process_2018","epithelium development (GO:0060429)","2 of 139",0.01102690617714905,0.05524833908396084,0.012547173264495701,0.06385131128880266,-0.9193094637263768,4.143711083648103,"sema3d;meox1","GO:0060429","LEC","downregulated"
"GO_Biological_Process_2018","regulation of cell motility (GO:2000145)","1 of 48",0.053795729127734115,0.08347099120205102,0.05890041024379354,0.0926111682974491,-1.4117527769808809,4.125933888878968,"tmsb4x","GO:2000145","LEC","downregulated"
