"rank","index","confect","effect","AveExpr","name","group"
1,7798,-0.89,-1.28434967945563,9.3391112778512,"gpm6ab","hmVEC__mVEC"
2,8531,0.703,1.04636053819864,9.11728154694051,"rgcc","hmVEC__mVEC"
3,2514,-0.63,-1.03794063295754,8.81032872161734,"lyve1a","hmVEC__mVEC"
4,11661,0.587,0.905664275655283,8.42176638764349,"cebpb","hmVEC__mVEC"
5,21337,-0.572,-0.867900579716466,8.9599360885857,"bmp6","hmVEC__mVEC"
6,13474,-0.539,-0.737834001097849,11.1353526664153,"kdrl","hmVEC__mVEC"
7,19775,0.501,0.832508883793247,11.3967009098871,"plvapb","hmVEC__mVEC"
8,49,-0.465,-0.669941094900859,7.79614971094236,"ptn","hmVEC__mVEC"
9,13721,-0.411,-0.627922377937233,7.71824895073591,"LO018188.1","hmVEC__mVEC"
10,3100,-0.376,-0.617884733552664,9.52799397700316,"zgc:153409","hmVEC__mVEC"
11,6304,0.369,0.585568830457697,9.10852616633579,"CABZ01021592.1","hmVEC__mVEC"
12,18123,-0.369,-0.597967158709656,7.97048239037925,"nkain4","hmVEC__mVEC"
13,16715,-0.362,-0.62909171529461,8.97610649904347,"adcy2b","hmVEC__mVEC"
14,19996,-0.361,-0.593658634576686,9.26507916516345,"foxp4","hmVEC__mVEC"
15,2337,-0.35,-0.589391209478198,8.30432146437901,"nhsl2","hmVEC__mVEC"
16,15926,0.319,0.527377778662213,9.63347104280141,"cpn1.1","hmVEC__mVEC"
17,18896,-0.319,-0.518279670663055,12.5624037894809,"rpl37.1","hmVEC__mVEC"
18,6647,-0.313,-0.510681532641431,7.62384888105252,"cdh6","hmVEC__mVEC"
19,6704,0.306,0.525103836784881,7.64928943267263,"mrc1b","hmVEC__mVEC"
20,3318,0.283,0.521570203804673,9.27855076503343,"tagln2","hmVEC__mVEC"
21,9497,0.279,0.456898758947875,7.32039914314796,"icn","hmVEC__mVEC"
22,7604,-0.271,-0.476037721330053,7.94647590281247,"slit2","hmVEC__mVEC"
23,22458,-0.267,-0.477560585774489,9.1580019491241,"bsg","hmVEC__mVEC"
24,14276,0.243,0.577793135296603,9.36906536810824,"cxcl12a","hmVEC__mVEC"
