"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"lyve1b",5.3310210276443e-65,-1.01660237279735,0.739,0.821,1.16232251465729e-60,"LEC__preLEC"
"lyz",2.38733717735183e-40,-2.1914421778741,0.082,0.261,5.20511124778019e-36,"LEC__preLEC"
"rpl37.1",9.54711845076549e-33,-0.307683868760687,0.997,0.996,2.0815582358204e-28,"LEC__preLEC"
"atp6v0e1",6.15490174507591e-32,0.501255971858469,0.872,0.683,1.3419532274789e-27,"LEC__preLEC"
"f13a1b",4.07496371962623e-29,0.781996625390023,0.392,0.19,8.88464339790108e-25,"LEC__preLEC"
"mt-co1",1.24677125405072e-26,-0.373094931731526,0.95,0.944,2.71833536520678e-22,"LEC__preLEC"
"tnfaip8l3",3.30720110159985e-25,5.32102780002845,0.061,0.001,7.21069056181815e-21,"LEC__preLEC"
"lysmd2",1.01652792338243e-24,0.928471203793221,0.224,0.084,2.21633583135071e-20,"LEC__preLEC"
"hsp90b1",1.69615888274204e-24,0.610913218466595,0.622,0.412,3.69813521204247e-20,"LEC__preLEC"
"dnajb11",1.06603212567663e-22,0.546907205777814,0.419,0.224,2.32426984361276e-18,"LEC__preLEC"
"calr3b",4.06205536267533e-22,0.53362140076381,0.584,0.374,8.85649930724103e-18,"LEC__preLEC"
"nfyba",3.00791891188882e-21,0.667073825716034,0.333,0.167,6.55816560359119e-17,"LEC__preLEC"
"dut",4.80912694822292e-21,0.581984785915943,0.512,0.316,1.04853394852104e-16,"LEC__preLEC"
"hspd1",6.44776786209348e-21,0.565660576032701,0.379,0.203,1.40580682697224e-16,"LEC__preLEC"
"krt4",6.76979006818467e-21,-0.803250368077126,0.627,0.663,1.4760173285663e-16,"LEC__preLEC"
"srsf3a",7.92464697082364e-21,0.659755211515464,0.301,0.144,1.72781077904868e-16,"LEC__preLEC"
"hyou1",8.38950659398628e-21,0.737787871255835,0.307,0.15,1.82916412268683e-16,"LEC__preLEC"
"rrm2",1.70223837013193e-20,0.953236661995134,0.19,0.075,3.71139031839864e-16,"LEC__preLEC"
"calr",1.81925652777533e-20,0.559538327780815,0.619,0.418,3.96652500750856e-16,"LEC__preLEC"
"hspa5",1.68544471549589e-19,0.572522843892251,0.577,0.379,3.67477511319569e-15,"LEC__preLEC"
"rab5if",1.0373459262778e-18,0.458009168601167,0.412,0.23,2.26172532306348e-14,"LEC__preLEC"
"snx12",2.29555715708362e-18,0.366569416254733,0.74,0.543,5.00500326958943e-14,"LEC__preLEC"
"zgc:153867",2.45463355229852e-18,-0.27183509510798,0.962,0.963,5.35183753407647e-14,"LEC__preLEC"
"canx",2.6101818814118e-18,0.443125753882406,0.593,0.385,5.69097955604215e-14,"LEC__preLEC"
"CR383676.2",2.90986150897645e-18,-0.199946980601551,1,1,6.34437104802135e-14,"LEC__preLEC"
"actb2",1.22127633169277e-17,-0.220998079901149,1,0.999,2.66274878598975e-13,"LEC__preLEC"
"zgc:171772",1.71313998727831e-17,-0.201198996590889,0.997,0.999,3.7351591142629e-13,"LEC__preLEC"
"alyref",4.94027881708888e-17,0.351528269589469,0.671,0.443,1.07712899048989e-12,"LEC__preLEC"
"slc39a7",5.63035348195809e-17,0.455957267414487,0.392,0.221,1.22758596967132e-12,"LEC__preLEC"
