"rank","index","confect","effect","AveExpr","name","group"
1,1,-0.271,-0.397406694040584,17.3910147073247,"yap1","LEC__preLEC"
2,10,-0.072,-0.16832651809365,17.2681673841066,"cavin1b","LEC__preLEC"
3,4,-0.072,-0.191082865451047,17.4709910000679,"ccn2a","LEC__preLEC"
4,8,-0.065,-0.146130839686675,17.1831270718418,"ccn1","LEC__preLEC"
5,11,-0.055,-0.128325343674714,17.1356143173805,"cavin2a","LEC__preLEC"
6,13,-0.053,-0.120276991212989,17.1057187302897,"bmp4","LEC__preLEC"
7,5,-0.051,-0.115777816875617,17.1005202667136,"ccn2b","LEC__preLEC"
8,7,-0.047,-0.11136948574665,17.1866275573672,"amotl2b","LEC__preLEC"
9,6,-0.034,-0.100670477014056,17.5906409742003,"amotl2a","LEC__preLEC"
10,3,-0.032,-0.0956273946123706,17.1359868995011,"wwtr1","LEC__preLEC"
11,9,-0.016,-0.0924253807582135,17.3059474061196,"ccn1l2","LEC__preLEC"
12,12,NA,-0.0435433344053958,18.2186069808487,"cavin2b","LEC__preLEC"
13,2,NA,-0.00489697714041347,17.781078846283,"meox1","LEC__preLEC"
1,2,-0.144,-0.270465868740399,17.0267674871531,"meox1","cVEC__hmVEC__mVEC"
2,1,-0.144,-0.23104372596541,16.6835896927538,"yap1","cVEC__hmVEC__mVEC"
3,10,-0.144,-0.255759090566621,16.927927851897,"cavin1b","cVEC__hmVEC__mVEC"
4,8,-0.076,-0.156770834532781,16.6561774024448,"ccn1","cVEC__hmVEC__mVEC"
5,5,-0.069,-0.144210456695655,16.4103765463973,"ccn2b","cVEC__hmVEC__mVEC"
6,13,-0.065,-0.138233157582847,16.4289885453638,"bmp4","cVEC__hmVEC__mVEC"
7,7,-0.058,-0.136695720497494,16.6682323827253,"amotl2b","cVEC__hmVEC__mVEC"
8,3,-0.055,-0.123545545194162,16.4344138923798,"wwtr1","cVEC__hmVEC__mVEC"
9,11,-0.034,-0.101714249304286,16.483937542288,"cavin2a","cVEC__hmVEC__mVEC"
10,6,NA,-0.0474092926763983,17.3426132985909,"amotl2a","cVEC__hmVEC__mVEC"
11,4,NA,-0.0362733345147834,17.6693399940703,"ccn2a","cVEC__hmVEC__mVEC"
12,9,NA,-0.00806106839656429,16.9445890721749,"ccn1l2","cVEC__hmVEC__mVEC"
13,12,NA,-0.00950157333772235,17.783769608279,"cavin2b","cVEC__hmVEC__mVEC"
