"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045333","cellular respiration","20/676","129/18773",0.155038759689922,4.30553644328242,7.28102605470498,3.6292823783783e-08,4.28706524145079e-05,3.79788158125636e-05,"ndufb6/atp5f1b/uqcrfs1/idh2/cox5aa/uqcc2/cox4i1/cox8a/suclg1/cox6a1/ndufs6/uqcrh/ndufa5/suclg2/sdhdb/sigmar1/aco2/sdha/ndufs2/ndufb9",20
"GO:0009060","aerobic respiration","18/676","106/18773",0.169811320754717,4.71578095344423,7.41465760134325,4.12813215353952e-08,4.28706524145079e-05,3.79788158125636e-05,"ndufb6/atp5f1b/uqcrfs1/idh2/cox5aa/uqcc2/cox4i1/cox8a/suclg1/cox6a1/ndufs6/uqcrh/suclg2/sdhdb/aco2/sdha/ndufs2/ndufb9",18
"GO:0009201","ribonucleoside triphosphate biosynthetic process","12/676","51/18773",0.235294117647059,6.53428471980508,7.64884382380879,1.88688282442773e-07,0.000130635187544547,0.000115728813231568,"atp5mc1/atp5pd/atp5l/atp5f1b/nme2b.1/atp5meb/atp5f1d/uck2b/atp5mc3a/atp5pb/atp5mc3b/si:ch211-243j20.2",12
"GO:0015986","proton motive force-driven ATP synthesis","9/676","27/18773",0.333333333333333,9.2569033530572,8.29793645087366,2.52738192372283e-07,0.000131234306389308,0.00011625956849125,"atp5mc1/atp5pd/atp5l/atp5f1b/atp5meb/atp5f1d/atp5mc3a/atp5pb/atp5mc3b",9
"GO:0009142","nucleoside triphosphate biosynthetic process","12/676","57/18773",0.210526315789474,5.84646527561507,7.08241453554609,6.89744634717308e-07,0.000228240595726606,0.000202196772333633,"atp5mc1/atp5pd/atp5l/atp5f1b/nme2b.1/atp5meb/atp5f1d/uck2b/atp5mc3a/atp5pb/atp5mc3b/si:ch211-243j20.2",12
"GO:1903047","mitotic cell cycle process","31/676","322/18773",0.0962732919254658,2.6735776765041,5.8544915463056,7.01060724020356e-07,0.000228240595726606,0.000202196772333633,"gcna/atm/swap70b/banf1/spdl1/ran/fbxl15/cdc25b/dchs1b/mad2l1/ranbp1/bub3/cxcr4a/si:ch211-244o22.2/naa50/mastl/cenpf/tmpoa/arl3b/anln/si:ch211-161h7.4/zgc:86764/smc2/aurkb/nuf2/nsl1/snap25a/pafah1b1a/ccna2/nabp1a/znf207b",31
"GO:0006119","oxidative phosphorylation","14/676","79/18773",0.177215189873418,4.92139165605573,6.75037616250632,7.69226851269254e-07,0.000228240595726606,0.000202196772333633,"ndufb6/atp5f1b/uqcrfs1/cox5aa/uqcc2/cox4i1/cox8a/cox6a1/ndufs6/uqcrh/sdhdb/sdha/ndufs2/ndufb9",14
"GO:0006754","ATP biosynthetic process","9/676","31/18773",0.290322580645161,8.06246421072724,7.60596754142796,9.55296000427127e-07,0.000235877529422377,0.000208962279314961,"atp5mc1/atp5pd/atp5l/atp5f1b/atp5meb/atp5f1d/atp5mc3a/atp5pb/atp5mc3b",9
"GO:0019646","aerobic electron transport chain","12/676","59/18773",0.203389830508475,5.6482800120349,6.91130887927413,1.02209810534492e-06,0.000235877529422377,0.000208962279314961,"ndufb6/uqcrfs1/cox5aa/cox4i1/cox8a/cox6a1/ndufs6/uqcrh/sdhdb/sdha/ndufs2/ndufb9",12
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","12/676","60/18773",0.2,5.55414201183432,6.82866508451578,1.23622322472627e-06,0.000235929509258608,0.000209008327894,"ndufb6/uqcrfs1/cox5aa/cox4i1/cox8a/cox6a1/ndufs6/uqcrh/sdhdb/sdha/ndufs2/ndufb9",12
"GO:0140014","mitotic nuclear division","17/676","119/18773",0.142857142857143,3.96724429416737,6.27575709027881,1.24950630806196e-06,0.000235929509258608,0.000209008327894,"gcna/swap70b/banf1/spdl1/ran/mad2l1/ranbp1/bub3/si:ch211-244o22.2/tmpoa/si:ch211-161h7.4/zgc:86764/smc2/aurkb/nuf2/nsl1/znf207b",17
"GO:0042773","ATP synthesis coupled electron transport","12/676","63/18773",0.19047619047619,5.28965905888983,6.59145792872433,2.13561592686527e-06,0.000332586938478273,0.00029463647896005,"ndufb6/uqcrfs1/cox5aa/cox4i1/cox8a/cox6a1/ndufs6/uqcrh/sdhdb/sdha/ndufs2/ndufb9",12
"GO:0009145","purine nucleoside triphosphate biosynthetic process","10/676","43/18773",0.232558139534884,6.45830466492363,6.9254570395594,2.24179929643516e-06,0.000332586938478273,0.00029463647896005,"atp5mc1/atp5pd/atp5l/atp5f1b/nme2b.1/atp5meb/atp5f1d/atp5mc3a/atp5pb/atp5mc3b",10
