"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016071","mRNA metabolic process","281/5295","474/18773",0.592827004219409,2.10182084045533,15.2286709845173,2.08957617634542e-46,6.50694021313963e-43,5.17774980959696e-43,"cirbpb/etf1b/srrm1/hnrnpul1/txnl4a/srsf1b/zfp36l1a/safb/prpf40a/sf3a2/hnrpkl/sf3a1/rida/rbm4.2/hnrnpl/rbm25b/pqbp1/magoh/igf2bp1/sf3b2/snrpg/ddx39ab/hnrnpa1b/nbas/syncrip/edc4/edc3/rbm39b/cnot6a/sf3a3/cnot3a/dkc1/lsm7/snrnp70/pnrc2/nudt21/puf60a/larp1b/prpf39/exosc8/srsf2a/isy1/dhx37/prpf6/snrpd3l/hnrnpa0a/srsf7a/khdrbs1b/u2af2b/fip1l1b/phf5a/ddx23/lsm6/prpf8/dcp2/rbm6/prpf19/snd1/sf3b1/snrpe/sde2/srsf1a/hnrnpa0b/exosc9/snrpd2/ilf3b/fmr1/sltm/puf60b/prpf31/dhx9/eif4a3/tnrc6c2/snrnp200/cnot1/lsm8/snrnp27/snrpd1/dhx38/cpsf1/snrpb/gpkow/parn/upf1/srsf9/tdrd3/dhx16/rbm4.3/papola/slu7/sb:cb81/qki2/usp39/wtap/ddx39aa/zgc:158803/pum1/thoc2/srsf10b/pelo/snu13b/thoc7/nsrp1/hnrnpua/snrpc/luc7l/sart3/sf3b6/cpsf2/lgals3a/clns1a/fastk/mfap1/srrm2/srpk1b/syncripl/cirbpa/bcas2/celf1/papolg/sf3b5/lsm4/patl1/u2af2a/ybx1/exosc3/gemin8/virma/zgc:77262/rprd2b/prpf38a/rbm8a/gemin2/zgc:162730/hnrnpa1a/hnrnpl2/snrpb2/arglu1b/rbm47/ncbp2/khdc4/srrt/hnrnpul1l/supv3l1/dis3l2/hnrnpub/upf3b/dicer1/snrpf/eftud2/exosc2/rc3h2/aqr/u2af1/rbfox3a/cactin/srpk1a/cstf2/dbr1/snrnp25/aar2/snip1/slbp/cpsf6/dhx8/casc3/trnau1apa/ptbp2b/fam50a/ddx46/rprd1b/ptbp1a/tnrc6a/yju2/rbpms2a/dhx34/snw1/rbm15/crnkl1/cpsf3/tra2b/tssc4/rbm39a/thoc5/cnot9/cript/exosc5/ik/sf3b3/smu1a/ptbp1b/cstf3/smndc1/smg1/sart1/xrn2/hnrnpk/igf2bp3/thoc6/prpf18/prpf4bb/pabpc1b/ptbp3/cnot3b/gpatch1/paxbp1/syf2/cnot7/smg7/lsm5/dcps/ddx39b/sf3b4/tbp/prmt7/znf326/larp7/fxr2/coil/htatsf1/strap/rngtt/cwc22/prpf4ba/pnn/igf2bp2b/angel2/cnot2/prpf38b/ythdf1/celf2/pcf11/exosc10/bud31/sympk/zmat5/sfswap/cwf19l2/smg6/wbp11/rbmx2/rbm4.1/rbm17/pan3/rpusd4/rbm7/arglu1a/thoc1/srsf2b/ssu72/rnmt/ythdf3/rbm22/smg5/rbmx/fastkd1/dazap1/mrto4/rc3h1a/cnot6b/cnot10/rsrc1/sf1/zrsr2/cnot8/snu13a/exosc7/mettl14/luc7l3/qkia/zcrb1/zc3h14/cdk12/rnps1/trnau1apb/ago3b/cdc40/scaf11/scnm1/zmat2/ppwd1",281
"GO:0006397","mRNA processing","215/5295","334/18773",0.643712574850299,2.28223157085263,14.819943434634,1.19635652241073e-43,1.86272710539351e-40,1.48222276513414e-40,"cirbpb/srrm1/hnrnpul1/txnl4a/srsf1b/safb/prpf40a/sf3a2/hnrpkl/sf3a1/rbm4.2/hnrnpl/rbm25b/pqbp1/magoh/sf3b2/snrpg/ddx39ab/hnrnpa1b/rbm39b/sf3a3/lsm7/snrnp70/nudt21/puf60a/prpf39/srsf2a/isy1/dhx37/prpf6/snrpd3l/srsf7a/khdrbs1b/u2af2b/fip1l1b/phf5a/ddx23/lsm6/prpf8/rbm6/prpf19/sf3b1/snrpe/sde2/srsf1a/snrpd2/ilf3b/fmr1/sltm/puf60b/prpf31/dhx9/eif4a3/snrnp200/lsm8/snrnp27/snrpd1/dhx38/snrpb/gpkow/srsf9/tdrd3/dhx16/rbm4.3/papola/slu7/qki2/usp39/wtap/ddx39aa/zgc:158803/thoc2/srsf10b/snu13b/thoc7/nsrp1/hnrnpua/snrpc/luc7l/sart3/sf3b6/cpsf2/lgals3a/clns1a/mfap1/srrm2/srpk1b/cirbpa/bcas2/celf1/papolg/sf3b5/lsm4/u2af2a/ybx1/gemin8/virma/zgc:77262/rprd2b/prpf38a/rbm8a/gemin2/hnrnpa1a/hnrnpl2/snrpb2/arglu1b/rbm47/ncbp2/khdc4/srrt/hnrnpul1l/hnrnpub/snrpf/eftud2/aqr/u2af1/rbfox3a/cactin/srpk1a/cstf2/dbr1/snrnp25/aar2/snip1/slbp/cpsf6/dhx8/casc3/trnau1apa/ptbp2b/fam50a/ddx46/rprd1b/ptbp1a/yju2/rbpms2a/snw1/rbm15/crnkl1/cpsf3/tra2b/tssc4/rbm39a/thoc5/cript/ik/sf3b3/smu1a/ptbp1b/cstf3/smndc1/sart1/xrn2/hnrnpk/thoc6/prpf18/prpf4bb/pabpc1b/ptbp3/gpatch1/paxbp1/syf2/lsm5/dcps/ddx39b/sf3b4/prmt7/znf326/larp7/coil/htatsf1/strap/rngtt/cwc22/prpf4ba/pnn/prpf38b/celf2/pcf11/bud31/sympk/zmat5/sfswap/cwf19l2/wbp11/rbmx2/rbm4.1/rbm17/pan3/rpusd4/rbm7/arglu1a/thoc1/srsf2b/ssu72/rnmt/rbm22/rbmx/dazap1/rsrc1/sf1/zrsr2/snu13a/mettl14/luc7l3/qkia/zcrb1/cdk12/rnps1/trnau1apb/cdc40/scaf11/scnm1/zmat2/ppwd1",215
"GO:0008380","RNA splicing","205/5295","320/18773",0.640625,2.27128482058546,14.3767224556987,3.42995729377435e-41,3.56029567093777e-38,2.83302437527888e-38,"cirbpb/srrm1/hnrnpul1/txnl4a/srsf1b/prpf40a/sf3a2/hnrpkl/sf3a1/rbm4.2/hnrnpl/rbm25b/pqbp1/magoh/sf3b2/snrpg/ddx39ab/hnrnpa1b/hnrnph1l/trpt1/sf3a3/lsm7/tsen34/snrnp70/puf60a/prpf39/srsf2a/isy1/dhx37/prpf6/snrpd3l/srsf7a/khdrbs1b/u2af2b/srsf11/phf5a/ddx23/lsm6/prpf8/rbm6/prpf19/sf3b1/snrpe/sde2/srsf1a/snrpd2/ilf3b/fmr1/puf60b/prpf31/eif4a3/snrnp200/lsm8/snrnp27/snrpd1/rtraf/dhx38/snrpb/gpkow/srsf9/dhx16/rbm4.3/slu7/qki2/usp39/wtap/ddx39aa/zgc:158803/srsf10b/snu13b/thoc7/nsrp1/hnrnpua/snrpc/luc7l/sart3/sf3b6/lgals3a/clns1a/mfap1/srpk1b/cirbpa/bcas2/celf1/dyrk1ab/sf3b5/lsm4/u2af2a/ybx1/gemin8/virma/zgc:77262/prpf38a/rbm8a/gemin2/hnrnpa1a/hnrnpl2/snrpb2/arglu1b/rbm47/ncbp2/khdc4/hnrnpul1l/hnrnpub/snrpf/eftud2/aqr/u2af1/rbfox3a/cactin/srpk1a/dbr1/snrnp25/acin1b/aar2/snip1/dhx8/casc3/trnau1apa/ptbp2b/fam50a/ddx46/ptbp1a/yju2/rbpms2a/snw1/rbm15/crnkl1/usb1/tra2b/tssc4/mbnl2/thoc5/cript/ik/clk2a/sf3b3/smu1a/ptbp1b/smndc1/sart1/hnrnpk/acin1a/thoc6/prpf18/prpf4bb/ptbp3/zbtb8os/paxbp1/syf2/lsm5/ddx39b/sf3b4/prmt7/znf326/larp7/coil/htatsf1/strap/cwc22/prpf4ba/hnrnph3/pnn/prpf38b/celf2/bud31/zmat5/rtcb/sfswap/cwf19l2/wbp11/rbmx2/rbm4.1/hnrnph1/rbm17/rpusd4/rbm7/arglu1a/thoc1/rbm12/srsf2b/rp9/rbm22/clk2b/rbmx/tsen15/grsf1/dazap1/rsrc1/sf1/zrsr2/snu13a/mettl14/luc7l3/dyrk1aa/qkia/zcrb1/cdk12/rnps1/trnau1apb/cdc40/scaf11/scnm1/zmat2/ppwd1",205
"GO:0022613","ribonucleoprotein complex biogenesis","200/5295","319/18773",0.626959247648903,2.22283398604587,13.806802511404,3.38369037889521e-38,2.63420295996992e-35,2.09610714524193e-35,"rpf2/fbl/npm1a/gnl3/pes/denr/eif3jb/sf3a2/mcts1/ncl/nop2/wdr43/tma16/mphosph6/abt1/snrpg/xpo1b/nop10/ebna1bp2/trmt112/ptges3b/pwp2h/eif5/dkc1/nop56/gar1/pwp1/puf60a/prpf39/znf622/exosc8/eif2s2/eif6/isy1/dhx37/nhp2/prpf6/snrpd3l/c1qbp/u2af2b/nol11/utp3/bud23/rrp1/wdr3/utp11/lsm6/pin4/prpf8/sf3b1/snrpe/sde2/eif3s10/ltv1/ftsj3/exosc9/snrpd2/sbds/nat10/puf60b/prpf31/snrnp200/rrp36/tsr1/snrpd1/rsl24d1/eif3c/ppan/nup88/eif3m/ddx18/gnl2/usp39/zgc:158803/bxdc2/znf593/snu13b/imp3/nsun5/pak1ip1/snrpc/luc7l/sart3/ddx52/ddx10/rpf1/clns1a/mak16/srpk1b/tarbp2/nom1/noc4l/celf1/imp4/nop16/lsm4/u2af2a/riok2/exosc3/gemin8/pdcd11/polr1c/gemin2/wdr75/khdc4/ddx27/bms1/tsr2/dcaf13/snrpf/exosc2/wdr18/srpk1a/ruvbl1/ngdn/aar2/nvl/utp15/trnau1apa/utp25/ddx46/sdad1/utp23/yju2/utp6/tfb2m/ddx51/crnkl1/wdr36/mtg2/mphosph10/tssc4/mettl5/rexo1/mdn1/ptges3a/eif2d/rexo4/sart1/drosha/fcf1/srfbp1/prpf18/mpv17l2/wdr55/lsg1/noc2l/heatr3/ddx49/nob1/rrs1/rrp15/nip7/prmt7/eif3ja/eif3k/eri1/coil/strap/eif3ba/c1d/wdr12/celf2/nop14/exosc10/sfswap/emg1/ddx28/eif3i/rrp8/wbp11/riok1/bop1/esf1/heatr1/rpusd4/nsa2/krr1/utp4/riok3/mtrex/npm1b/ybey/mrto4/rcl1/ddx54/nsun3/snu13a/exosc7/dimt1l/luc7l3/eral1/kri1/eif3ea/wdr46/trnau1apb/nol9/rbm34/scaf11/shq1",200
"GO:0000375","RNA splicing, via transesterification reactions","159/5295","238/18773",0.668067226890756,2.36857904634942,13.3179567061127,1.86035214554828e-35,8.27590940176761e-33,6.58536684303856e-33,"cirbpb/srrm1/hnrnpul1/txnl4a/srsf1b/prpf40a/sf3a2/hnrpkl/sf3a1/rbm4.2/rbm25b/pqbp1/magoh/sf3b2/snrpg/ddx39ab/hnrnpa1b/sf3a3/lsm7/snrnp70/puf60a/prpf39/srsf2a/isy1/dhx37/prpf6/snrpd3l/srsf7a/khdrbs1b/u2af2b/phf5a/ddx23/lsm6/prpf8/rbm6/prpf19/sf3b1/snrpe/sde2/srsf1a/snrpd2/ilf3b/puf60b/prpf31/eif4a3/snrnp200/lsm8/snrpd1/dhx38/snrpb/gpkow/srsf9/rbm4.3/slu7/qki2/usp39/wtap/ddx39aa/zgc:158803/srsf10b/snu13b/nsrp1/hnrnpua/snrpc/luc7l/sart3/sf3b6/clns1a/mfap1/srpk1b/cirbpa/bcas2/celf1/sf3b5/lsm4/u2af2a/ybx1/gemin8/zgc:77262/prpf38a/rbm8a/gemin2/hnrnpa1a/snrpb2/arglu1b/ncbp2/khdc4/hnrnpul1l/hnrnpub/snrpf/eftud2/aqr/u2af1/rbfox3a/cactin/srpk1a/dbr1/snrnp25/aar2/snip1/dhx8/casc3/trnau1apa/fam50a/ddx46/yju2/rbpms2a/snw1/rbm15/crnkl1/tra2b/tssc4/ik/sf3b3/smu1a/sart1/hnrnpk/prpf18/prpf4bb/paxbp1/syf2/lsm5/ddx39b/sf3b4/prmt7/larp7/coil/htatsf1/strap/cwc22/prpf4ba/prpf38b/celf2/bud31/sfswap/cwf19l2/rbmx2/rbm4.1/rbm17/rbm7/arglu1a/srsf2b/rbm22/rbmx/dazap1/rsrc1/sf1/zrsr2/snu13a/mettl14/luc7l3/qkia/zcrb1/rnps1/trnau1apb/cdc40/scaf11/scnm1/zmat2",159
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","159/5295","238/18773",0.668067226890756,2.36857904634942,13.3179567061127,1.86035214554828e-35,8.27590940176761e-33,6.58536684303856e-33,"cirbpb/srrm1/hnrnpul1/txnl4a/srsf1b/prpf40a/sf3a2/hnrpkl/sf3a1/rbm4.2/rbm25b/pqbp1/magoh/sf3b2/snrpg/ddx39ab/hnrnpa1b/sf3a3/lsm7/snrnp70/puf60a/prpf39/srsf2a/isy1/dhx37/prpf6/snrpd3l/srsf7a/khdrbs1b/u2af2b/phf5a/ddx23/lsm6/prpf8/rbm6/prpf19/sf3b1/snrpe/sde2/srsf1a/snrpd2/ilf3b/puf60b/prpf31/eif4a3/snrnp200/lsm8/snrpd1/dhx38/snrpb/gpkow/srsf9/rbm4.3/slu7/qki2/usp39/wtap/ddx39aa/zgc:158803/srsf10b/snu13b/nsrp1/hnrnpua/snrpc/luc7l/sart3/sf3b6/clns1a/mfap1/srpk1b/cirbpa/bcas2/celf1/sf3b5/lsm4/u2af2a/ybx1/gemin8/zgc:77262/prpf38a/rbm8a/gemin2/hnrnpa1a/snrpb2/arglu1b/ncbp2/khdc4/hnrnpul1l/hnrnpub/snrpf/eftud2/aqr/u2af1/rbfox3a/cactin/srpk1a/dbr1/snrnp25/aar2/snip1/dhx8/casc3/trnau1apa/fam50a/ddx46/yju2/rbpms2a/snw1/rbm15/crnkl1/tra2b/tssc4/ik/sf3b3/smu1a/sart1/hnrnpk/prpf18/prpf4bb/paxbp1/syf2/lsm5/ddx39b/sf3b4/prmt7/larp7/coil/htatsf1/strap/cwc22/prpf4ba/prpf38b/celf2/bud31/sfswap/cwf19l2/rbmx2/rbm4.1/rbm17/rbm7/arglu1a/srsf2b/rbm22/rbmx/dazap1/rsrc1/sf1/zrsr2/snu13a/mettl14/luc7l3/qkia/zcrb1/rnps1/trnau1apb/cdc40/scaf11/scnm1/zmat2",159
"GO:0000398","mRNA splicing, via spliceosome","159/5295","238/18773",0.668067226890756,2.36857904634942,13.3179567061127,1.86035214554828e-35,8.27590940176761e-33,6.58536684303856e-33,"cirbpb/srrm1/hnrnpul1/txnl4a/srsf1b/prpf40a/sf3a2/hnrpkl/sf3a1/rbm4.2/rbm25b/pqbp1/magoh/sf3b2/snrpg/ddx39ab/hnrnpa1b/sf3a3/lsm7/snrnp70/puf60a/prpf39/srsf2a/isy1/dhx37/prpf6/snrpd3l/srsf7a/khdrbs1b/u2af2b/phf5a/ddx23/lsm6/prpf8/rbm6/prpf19/sf3b1/snrpe/sde2/srsf1a/snrpd2/ilf3b/puf60b/prpf31/eif4a3/snrnp200/lsm8/snrpd1/dhx38/snrpb/gpkow/srsf9/rbm4.3/slu7/qki2/usp39/wtap/ddx39aa/zgc:158803/srsf10b/snu13b/nsrp1/hnrnpua/snrpc/luc7l/sart3/sf3b6/clns1a/mfap1/srpk1b/cirbpa/bcas2/celf1/sf3b5/lsm4/u2af2a/ybx1/gemin8/zgc:77262/prpf38a/rbm8a/gemin2/hnrnpa1a/snrpb2/arglu1b/ncbp2/khdc4/hnrnpul1l/hnrnpub/snrpf/eftud2/aqr/u2af1/rbfox3a/cactin/srpk1a/dbr1/snrnp25/aar2/snip1/dhx8/casc3/trnau1apa/fam50a/ddx46/yju2/rbpms2a/snw1/rbm15/crnkl1/tra2b/tssc4/ik/sf3b3/smu1a/sart1/hnrnpk/prpf18/prpf4bb/paxbp1/syf2/lsm5/ddx39b/sf3b4/prmt7/larp7/coil/htatsf1/strap/cwc22/prpf4ba/prpf38b/celf2/bud31/sfswap/cwf19l2/rbmx2/rbm4.1/rbm17/rbm7/arglu1a/srsf2b/rbm22/rbmx/dazap1/rsrc1/sf1/zrsr2/snu13a/mettl14/luc7l3/qkia/zcrb1/rnps1/trnau1apb/cdc40/scaf11/scnm1/zmat2",159
"GO:0006325","chromatin organization","209/5295","375/18773",0.557333333333333,1.97598086244885,11.9659492739921,1.58512629979931e-29,6.1701041219688e-27,4.90972014437838e-27,"npm1a/hmgn3/psip1b/lmnb2/zgc:110425/smarcad1a/setb/nasp/rbbp4/ddx39ab/setdb1a/anp32e/uhrf1/smarca4a/banf1/lmnb1/hcfc1b/seta/trip12/mbd3b/rbb4l/h2az2b/nap1l4a/chd4b/hdgfl2/h2ax/ssrp1b/kmt2ca/smarca5/ssrp1a/sirt2/kdm1a/tet3/pole3/kdm7ab/hcfc1a/tada2a/prmt1/supt4h1/dnmt3bb.1/kmt2bb/tdrd3/kmt2d/mis18a/nap1l4b/eny2/smarcb1a/hdac9b/apex1/cbx5/sart3/eed/baz1b/nsd1b/dek/znf644a/nr3c1/ing1/ing4/atrxl/usp22/brd4/brd3a/yeats4/cabin1/chd1/h2az2a/babam1/phf2/dnmt1/ehmt1a/chaf1a/hells/kmt2cb/dicer1/actl6a/mbd3a/vps72a/rnf8/atf7ip/npm3/glyr1/nsd2/psip1a/setd2/ruvbl1/smarca2/supt6h/prmt9/znhit1/fam50a/arid1b/mysm1/brd9/mettl23/lrwd1/ash1l/chrac1/nap1l1/cbx3b/si:dkey-108k21.21/rnf40/hmgn7/smyd5/bag6/setd1ba/cbx1a/hat1/chd7/setdb1b/kat6a/rnf20/arid1aa/kansl3/setd1a/ubn2a/kdm5c/bahd1/kdm5bb/kmt2e/h1-0/rnf168/waca/lmnl3/dmap1/atrx/hdac6/srcap/ing3/cbx3a/phf8/kmt5aa/kdm2aa/tasorb/hpf1/pbrm1/pbrm1l/chd6/mbd1a/unga/dnmt3bb.2/atad2b/suv39h1b/ep400/prmt7/smarcb1b/trrap/hdac10/kdm5ba/tonsl/znf644b/chd4a/asf1bb/kdm7aa/atad2/nsd1a/rrp8/setd7/mbd1b/kdm2ab/kat2a/dnajc2/bag6l/daxx/carm1/ppm1da/jarid2b/nbn/sirt7/ezh1/rbl1/chd2/hdac1/chd8/ino80e/kdm2bb/hmgn2/smarcad1b/chd1l/npm1b/pphln1/macroh2a2/bend3/sirt1/babam2/msl1a/kdm4b/riox1/h1-10/asf1ba/ino80/setd3/suz12a/nrde2/prmt3/kmt5b/smyd2a/macroh2a1/ing5b/rnf2/h1m/cenpn/kdm8/banp/pcgf1/spty2d1/meaf6/bmi1b/si:ch211-13c6.2",209
"GO:0016072","rRNA metabolic process","118/5295","179/18773",0.659217877094972,2.33720438275806,11.2671330423588,7.37302538569293e-26,2.55106678344975e-23,2.02995342197908e-23,"rpf2/fbl/rnaset2/gnl3/pes/ncl/nop2/wdr43/mphosph6/abt1/nop10/ebna1bp2/trmt112/polr2eb/pwp2h/dkc1/nop56/gar1/pwp1/exosc8/eif6/dhx37/nhp2/nol11/utp3/bud23/rrp1/wdr3/utp11/lsm6/pin4/sde2/ltv1/ftsj3/exosc9/nat10/rrp36/tsr1/ppan/ddx18/gnl2/bxdc2/pelo/snu13b/imp3/nsun5/pak1ip1/ddx52/ddx10/rpf1/mak16/imp4/riok2/exosc3/pdcd11/wdr75/ddx27/bms1/tsr2/dcaf13/exosc2/wdr18/ngdn/utp15/utp25/utp23/utp6/tfb2m/ddx51/polr1e/wdr36/mphosph10/mettl5/rexo1/exosc5/rexo4/chd7/sart1/drosha/fcf1/srfbp1/wdr55/ddx49/nob1/rrs1/rrp15/eri1/c1d/wdr12/exosc10/emg1/rrp8/wbp11/riok1/bop1/esf1/heatr1/rpusd4/nsa2/krr1/utp4/riok3/kdm2bb/mtrex/ybey/mrto4/macroh2a2/rcl1/ddx54/nsun3/snu13a/exosc7/dimt1l/macroh2a1/kri1/wdr46/nol9/rbm34",118
"GO:0006364","rRNA processing","109/5295","161/18773",0.677018633540373,2.40031554437269,11.1845329896078,1.87928457416763e-25,5.852092163958e-23,4.65666935535853e-23,"rpf2/fbl/gnl3/pes/ncl/nop2/wdr43/mphosph6/abt1/nop10/ebna1bp2/trmt112/pwp2h/dkc1/nop56/gar1/pwp1/exosc8/eif6/dhx37/nhp2/nol11/utp3/bud23/rrp1/wdr3/utp11/lsm6/pin4/sde2/ltv1/ftsj3/exosc9/nat10/rrp36/tsr1/ppan/ddx18/gnl2/bxdc2/snu13b/imp3/nsun5/pak1ip1/ddx52/ddx10/rpf1/mak16/imp4/riok2/exosc3/pdcd11/wdr75/ddx27/bms1/tsr2/dcaf13/exosc2/wdr18/ngdn/utp15/utp25/utp23/utp6/tfb2m/ddx51/wdr36/mphosph10/mettl5/rexo1/rexo4/sart1/drosha/fcf1/srfbp1/wdr55/ddx49/nob1/rrs1/rrp15/eri1/c1d/wdr12/exosc10/emg1/rrp8/wbp11/riok1/bop1/esf1/heatr1/rpusd4/nsa2/krr1/utp4/riok3/mtrex/ybey/mrto4/rcl1/ddx54/nsun3/snu13a/exosc7/dimt1l/kri1/wdr46/nol9/rbm34",109
