"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016197","endosomal transport","62/2141","178/18773",0.348314606741573,3.05413830563267,9.87945436446829,1.3255913407839e-16,3.89193617654153e-13,3.44235140811987e-13,"vps26b/ezrb/zgc:153184/washc2c/snx7/ankfy1/coro1ca/vps25/chmp1b/snx8a/vps28/chmp5b/tbc1d10aa/rab11a/ap5m1/snx17/bloc1s1/gripap1/bloc1s2/tbc1d5/rab7a/itsn1/vps35l/chmp2bb/vti1a/arl1/itsn2b/tmem50a/plekha3/vcp/stam/arhgap1/vps35/vti1b/vps4a/vps4b/ap5s1/wash1/ptpn23b/snx5/chmp7/zfyve16/snx12/chmp2a/rab11fip3/snx1a/eps15/hgs/nf2b/vps36/snx3/snx27b/scrib/mvb12a/ap3d1/wdr81/rab8b/rab8a/zfyve9a/map2k2b/dennd10/vps16",62
"GO:0048193","Golgi vesicle transport","62/2141","186/18773",0.333333333333333,2.92277751829363,9.45523280598838,1.45212217617474e-15,2.13171535462452e-12,1.88546600453846e-12,"kdelr2a/copa/lman2/ankfy1/ergic3/tmed3/tmed2/snx8a/gosr2/copg2/bcap31/ap1ar/tfg/tmed10/nbas/lman1/yipf6/trappc2l/tmed7/vti1a/cog2/kdelr3/llgl2/golga5/arcn1b/blzf1/ap3s2/cog8/rabggtb/rer1/trappc2/arcn1a/pef1/vti1b/cope/stx5a/creb3l2/rabggta/exoc6/copz2/uso1/copb2/scfd1/trappc5/gosr1/ergic2/stx18/snx12/snx1a/snx3/sec24b/ap3d1/yipf4/copb1/mia3/cnstb/golga4/dop1b/exoc8/tex261/cog4/exoc2",62
"GO:0006886","intracellular protein transport","93/2141","388/18773",0.239690721649485,2.10168795774207,7.86745044796845,1.63990499331021e-12,1.60492035345292e-09,1.41952477841975e-09,"vps26b/tram1/kpna4/copa/vps25/tmed3/rab32a/tmed2/nup50/snx8a/vps28/copg2/snx11/arf1/bcap31/ap3b1a/rab11a/cltca/chm/xpo7/ap1s2/snx17/gripap1/tmed10/tomm22/timm13/tomm20a/arf5/tmed7/vti1a/arl1/sh3tc2/kpna3/sec61b/vps18/ap3s2/vcp/stam/clta/rabl3/rab18a/rab43/vps8/vps35/agk/vti1b/srp54/stx5a/oaz1a/stxbp2/exoc6/nkd1/vps37c/kif13a/copz2/uso1/copb2/scfd1/ptpn23b/rab5ab/vps33b/stx18/dnajc27/gnptab/vps26c/sytl1/vps36/rab18b/rilpl2/pex10/snx27b/rab3aa/os9/cltb/rab1ba/scrib/sec24b/ap3d1/arf2a/tomm70a/copb1/pttg1ipb/si:ch211-266g18.9/zgc:113278/nup35/ap3m1/napaa/vps37a/fam91a1/pex3/nup107/arl4d/vps16",93
"GO:0034976","response to endoplasmic reticulum stress","46/2141","135/18773",0.340740740740741,2.98772812981127,8.3160211001143,2.69482028461777e-12,1.97799808890944e-09,1.74950569530317e-09,"hspa5/hsp90b1/calr3b/calr/canx/p4hb/ufc1/pdia6/atf6/pdia4/calr3a/atf4a/usp19/herpud2/ppp1r15a/rnf121/pdia3/ufm1/tmtc4/vcp/eif2ak3/jkamp/ddrgk1/derl1/creb3l2/serp1/ufd1l/bag6l/parp16/usp14/tmub1/uggt1/sigmar1/nck1a/ube2g2/ube4b/ptpn1/os9/sel1l/trappc11/mia3/edem1/psmc6/ern1/clgn/parp6b",46
"GO:0033365","protein localization to organelle","84/2141","342/18773",0.245614035087719,2.15362553979531,7.7249350018958,5.04161707900603e-12,2.68818327508272e-09,2.37765242350102e-09,"ezrb/tram1/spcs3/kpna4/insig1/zgc:153184/ssr3/washc2c/kdelr2a/vps25/nup50/vps28/wdr83os/bcap31/timm17a/lmnb2/spcs2/emc3/timm13/hspd1/sgta/vrk1/arl1/dclk2a/lmnl3/kpna3/kdelr3/lmbrd1/zfand6/sec61b/ccdc47/emc10/glmp/vcp/rer1/stam/lmnb1/get1/emc2/vps8/get4/agk/ddrgk1/srp54/tomm40l/nkd1/nipblb/vps37c/ptpn23b/gas8/entr1/tasorb/mapre1a/bag6l/myo7aa/emc6/dnajc15/gnptab/rab11fip3/tomm34/dnajc19/kdelr2b/grpel1/nf2b/vps36/nipbla/mmgt1/pex10/sgtb/lamtor4/srp19/scrib/ap3d1/tomm70a/pttg1ipb/rab3gap2/zgc:113278/nup35/vps37a/efcab7/pex3/nup107/tomm5/srp72",84
"GO:0043632","modification-dependent macromolecule catabolic process","98/2141","426/18773",0.230046948356808,2.017128146428,7.61884800947588,5.49356255125895e-12,2.68818327508272e-09,2.37765242350102e-09,"uchl3/trib3/cul3a/vps25/fbxo9/vps28/dis3l2/psmc4/edn1/nedd8l/rnf111/rnf144ab/fbxl14a/hectd1/mylipa/ubb/maea/ccdc22/klhl4/ube2a/psma8/fzr1b/psmc2/tnfaip1/psmc1b/ankib1a/vcp/stam/rnf145b/ubr4/rad23aa/ube2d2l/psmb5/rnf213a/trip12/ufd1l/kbtbd2/vps37c/spsb3a/psma5/trim3b/otud7b/ube2al/fem1c/rnf146/psmd8/cul3b/gid8b/nub1/psmd14/klhl20/ptpn23b/zgc:66427/wwp2/cul4b/ubqln4/armc8/bag6l/axin2/usp14/cop1/nedd4l/shrprbck1r/ndfip1l/psmd4b/psma6b/psmd3/vps36/ube4b/hectd3/ube2l3b/itchb/fbxo11a/ddb1/fbxl7/trim71/psmc1a/psma4/wdr81/cdc27/rnf11b/nsfl1c/kctd10/psmc3/psma3/znrf2a/keap1a/anapc10/rnf6/psmc6/klhl22/rnf144b/vps37a/eloca/agap3/psmb7/rnf144aa/rnf14",98
"GO:0019941","modification-dependent protein catabolic process","97/2141","424/18773",0.22877358490566,2.00596287222511,7.51709516597924,9.90366859480268e-12,4.1538815706201e-09,3.67403765765086e-09,"uchl3/trib3/cul3a/vps25/fbxo9/vps28/psmc4/edn1/nedd8l/rnf111/rnf144ab/fbxl14a/hectd1/mylipa/ubb/maea/ccdc22/klhl4/ube2a/psma8/fzr1b/psmc2/tnfaip1/psmc1b/ankib1a/vcp/stam/rnf145b/ubr4/rad23aa/ube2d2l/psmb5/rnf213a/trip12/ufd1l/kbtbd2/vps37c/spsb3a/psma5/trim3b/otud7b/ube2al/fem1c/rnf146/psmd8/cul3b/gid8b/nub1/psmd14/klhl20/ptpn23b/zgc:66427/wwp2/cul4b/ubqln4/armc8/bag6l/axin2/usp14/cop1/nedd4l/shrprbck1r/ndfip1l/psmd4b/psma6b/psmd3/vps36/ube4b/hectd3/ube2l3b/itchb/fbxo11a/ddb1/fbxl7/trim71/psmc1a/psma4/wdr81/cdc27/rnf11b/nsfl1c/kctd10/psmc3/psma3/znrf2a/keap1a/anapc10/rnf6/psmc6/klhl22/rnf144b/vps37a/eloca/agap3/psmb7/rnf144aa/rnf14",97
"GO:0006511","ubiquitin-dependent protein catabolic process","95/2141","414/18773",0.229468599033816,2.01205698723112,7.4708840393626,1.35415441255101e-11,4.96974669406219e-09,4.39565649442544e-09,"uchl3/trib3/cul3a/vps25/fbxo9/vps28/psmc4/edn1/rnf111/rnf144ab/fbxl14a/hectd1/mylipa/maea/ccdc22/klhl4/ube2a/psma8/fzr1b/psmc2/tnfaip1/psmc1b/ankib1a/vcp/stam/rnf145b/ubr4/rad23aa/ube2d2l/psmb5/rnf213a/trip12/ufd1l/kbtbd2/vps37c/spsb3a/psma5/trim3b/otud7b/ube2al/fem1c/rnf146/psmd8/cul3b/gid8b/nub1/psmd14/klhl20/ptpn23b/zgc:66427/wwp2/cul4b/ubqln4/armc8/bag6l/axin2/usp14/cop1/nedd4l/shrprbck1r/ndfip1l/psmd4b/psma6b/psmd3/vps36/ube4b/hectd3/ube2l3b/itchb/fbxo11a/ddb1/fbxl7/trim71/psmc1a/psma4/wdr81/cdc27/rnf11b/nsfl1c/kctd10/psmc3/psma3/znrf2a/keap1a/anapc10/rnf6/psmc6/klhl22/rnf144b/vps37a/eloca/agap3/psmb7/rnf144aa/rnf14",95
"GO:0006457","protein folding","47/2141","156/18773",0.301282051282051,2.64174121845771,7.38760250724556,2.00807770306947e-10,6.55079570690219e-08,5.79406747774549e-08,"hspa5/hsp90b1/dnajb11/calr3b/calr/canx/p4hb/hsp90aa1.2/ptges3b/erp44/pdia4/hspe1/dnajc3a/tbcb/st13/calr3a/ppid/ppig/hspd1/fkbp11/dnajc3b/hspa4b/ppih/pdia3/fkbp16/pdia5/nudc/clpxa/dnaja1/ero1b/hspa9/nudcd3/hspa14/cwc27/tbca/grpel1/ppifb/dnajb12a/ppil2/ttc4/hspa13/zgc:122979/hspa4a/cdc37l1/tor2a/clgn/dnajb2",47
"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","33/2141","89/18773",0.370786516853933,3.25117948664123,7.63768187157301,2.5670008761988e-10,7.53671457251969e-08,6.66609595956047e-08,"copa/lman2/ergic3/tmed3/tmed2/copg2/bcap31/tfg/tmed10/lman1/yipf6/trappc2l/tmed7/arcn1b/rabggtb/trappc2/arcn1a/pef1/cope/stx5a/creb3l2/rabggta/uso1/copb2/scfd1/trappc5/gosr1/ergic2/sec24b/yipf4/copb1/mia3/tex261",33
