"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048514","blood vessel morphogenesis","65/867","448/18773",0.145089285714286,3.14159303427253,10.0953061148553,1.71715317111789e-16,2.9740477213928e-13,2.53015495588311e-13,"kdrl/fn1a/meis1a/abca1a/sox11b/calcrla/meis1b/calcrlb/notch1b/amotl2a/igfbp2a/kremen1/pdgfab/nrp2b/bmpr2b/angpt1/sat1b/rab13/ackr3b/bcar1/cemip2/igf2b/hapln1b/gas6/ramp2/fbn2b/cxcl12b/ptena/sdc2/prkcz/wnt5b/elmo1/unc5b/cxxc5a/scube2/ephb3a/lpar1/si:ch73-334d15.2/yap1/nrp2a/rspo3/plxnb2a.1/ptprb/wnk1b/perp/f3a/hspa12b/sema3e/lgals2b/wwtr1/sox7/tnfrsf19/tnfrsf21/hhex/hmga2/itgb1a/reck/fbxw7/amot/hs6st2/kdr/smo/tbx16l/srpx2/ndst1b",65
"GO:0001525","angiogenesis","57/867","360/18773",0.158333333333333,3.42836409073433,10.2368963821939,2.56937168154885e-16,2.9740477213928e-13,2.53015495588311e-13,"kdrl/fn1a/meis1a/abca1a/sox11b/calcrla/meis1b/calcrlb/notch1b/amotl2a/igfbp2a/kremen1/pdgfab/nrp2b/bmpr2b/angpt1/sat1b/rab13/ackr3b/bcar1/cemip2/igf2b/hapln1b/gas6/ramp2/cxcl12b/ptena/sdc2/prkcz/wnt5b/elmo1/unc5b/cxxc5a/scube2/ephb3a/lpar1/si:ch73-334d15.2/nrp2a/rspo3/plxnb2a.1/ptprb/wnk1b/f3a/hspa12b/sema3e/lgals2b/tnfrsf19/tnfrsf21/hhex/hmga2/itgb1a/reck/fbxw7/amot/hs6st2/kdr/srpx2",57
"GO:0002040","sprouting angiogenesis","28/867","146/18773",0.191780821917808,4.15259673571282,8.41470554939061,1.19000150781168e-10,9.18284496861349e-08,7.81225551268652e-08,"kdrl/fn1a/abca1a/sox11b/bmpr2b/bcar1/cemip2/igf2b/hapln1b/gas6/cxcl12b/sdc2/prkcz/cxxc5a/scube2/rspo3/plxnb2a.1/f3a/hspa12b/sema3e/lgals2b/tnfrsf19/tnfrsf21/hhex/hmga2/itgb1a/reck/srpx2",28
"GO:0040007","growth","49/867","406/18773",0.120689655172414,2.61327208368134,7.23131123597792,7.73242562828304e-10,4.47514133236881e-07,3.80720219750462e-07,"fn1a/slit2/dkk1a/cthrc1a/lef1/gata4/zeb2b/lfng/notch1b/igfbp2a/gpc4/akap12b/bmpr2b/sema3d/epha4a/col4a5/smad2/kdm6bb/igf2b/hapln1b/plxnb1a/tgif1/dcn/wnt5b/junbb/lin28b/extl3/ppp1cb/gemin5/yap1/mdka/epha4b/col4a6/myo10l1/cebpd/acvr1ba/becn1/casp3a/hhex/fcho2/wt1b/sdcbp2/dusp6/igf1rb/faf1/dvl3a/wwc1/vasna/wfdc1",49
"GO:0048589","developmental growth","46/867","381/18773",0.120734908136483,2.6142519382309,7.0046244652044,2.54404835211916e-09,1.17789438703117e-06,1.00208725617157e-06,"fn1a/slit2/dkk1a/cthrc1a/lef1/gata4/zeb2b/lfng/notch1b/igfbp2a/gpc4/akap12b/bmpr2b/sema3d/epha4a/col4a5/smad2/kdm6bb/igf2b/hapln1b/plxnb1a/tgif1/dcn/wnt5b/junbb/extl3/ppp1cb/gemin5/yap1/mdka/epha4b/col4a6/myo10l1/cebpd/acvr1ba/becn1/casp3a/hhex/fcho2/wt1b/sdcbp2/dusp6/igf1rb/faf1/dvl3a/wwc1",46
"GO:0007169","cell surface receptor protein tyrosine kinase signaling pathway","42/867","342/18773",0.12280701754386,2.65911896234242,6.81367887848833,7.63945878596743e-09,2.73345674841362e-06,2.3254734915457e-06,"kdrl/fgf10b/efna1b/efnb3b/igfbp2a/pdgfab/nrp2b/abl1/angpt1/epha4a/ngfb/bcar1/cemip2/ntrk3a/igf2b/rerea/irs1/efna5b/cblc/extl3/ephb3a/igfbp1a/nrp2a/anks1ab/src/epha4b/fgfr2/blk/errfi1a/mvb12bb/iqgap1/dusp6/igf1rb/supt5h/epha7/mvb12ba/akt1s1/kdr/ephb2b/hgfb/nck2b/hgfa",42
"GO:0048562","embryonic organ morphogenesis","52/867","477/18773",0.109014675052411,2.36047577250163,6.62273621535518,8.26531198224422e-09,2.73345674841362e-06,2.3254734915457e-06,"fn1a/tmsb4x/nkd1/gata4/ece1/edn1/sox11b/meis1b/eya1/bmpr2b/sema3d/wls/pls3/epha4a/cemip2/plxna2/sparc/zfpm1/crim1/rerea/bves/camk2g1/sox11a/cacnb2a/msx3/fbn2b/loxl3b/nr3c1/vdrb/chsy1/wnt5b/ep300b/cxxc5a/pkp2/zic2a/kdm6a/scn5lab/mmp14a/bmp2b/sox4a/bmpr1aa/wnt11/kras/hoxa4a/igf1rb/ep300a/hs6st2/hdac4/wwc1/smo/tbx16l/foxn4",52
"GO:0031099","regeneration","32/867","225/18773",0.142222222222222,3.07951300781751,6.90509866058086,1.46286669102208e-08,4.23317048714513e-06,3.60134681434514e-06,"dkk1a/lef1/gata4/lfng/ccn2a/notch1b/bmpr2b/sema3d/epha4a/kdm6bb/igf2b/hapln1b/il6st/ptena/tgif1/wnt5b/junbb/igfbp1a/fhl1b/gemin5/yap1/mdka/epha4b/cebpd/acvr1ba/becn1/wt1b/sdcbp2/dusp6/igf1rb/sfpq/faf1",32
"GO:0000122","negative regulation of transcription by RNA polymerase II","32/867","227/18773",0.140969162995595,3.05238073462088,6.84559594380767,1.81622652246623e-08,4.67173822167702e-06,3.97445593395826e-06,"zbtb16a/gata4/sox11b/zeb2b/dnajb1b/zfpm2b/raraa/id2b/smad2/gli3/sox11a/id1/rarab/nr2f6a/atxn1a/znfl2a/tgif1/vdrb/thrb/thrab/mier1b/sox4a/patz1/irf4a/id2a/nr2f1a/sin3b/per3/hhex/hdac4/cbx6b/ncor1",32
"GO:0016055","Wnt signaling pathway","37/867","291/18773",0.127147766323024,2.75310843965644,6.63202757775813,2.38804746272042e-08,5.52832987619777e-06,4.70319663447359e-06,"notum1a/nkd1/dkk1a/ndrg2/metap2b/lef1/nkd2a/rab8b/amotl2a/kremen1/lypd6/net1/wls/znrf3/axin2/cemip2/tcf7/zgc:113363/nid1a/tet2/nxn/notum1b/wif1/tle2a/wnt5b/daam2/rspo3/csnk1da/ppm1ba/wnt11/tmem170b/reck/ankrd6b/rnf146/dvl3a/bambib/tmem237b",37
