"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001667","ameboidal-type cell migration","15/300","212/18773",0.0707547169811321,4.42759433962264,6.3959321366948,1.71519892476748e-06,0.00128936370634298,0.00114556351945512,"amotl2a/cyt1/amotl2b/nrarpa/tns1b/churc1/cdh2/s1pr1/plod3/capzb/nusap1/celsr1a/lef1/aldh1l1/eaf1",15
"GO:0045103","intermediate filament-based process","7/300","39/18773",0.17948717948718,11.2317094017094,8.15102879769353,2.46218403502798e-06,0.00128936370634298,0.00114556351945512,"krt18a.1/krt8/krt4/krt18b/pleca/krt5/zgc:136930",7
"GO:0045104","intermediate filament cytoskeleton organization","7/300","39/18773",0.17948717948718,11.2317094017094,8.15102879769353,2.46218403502798e-06,0.00128936370634298,0.00114556351945512,"krt18a.1/krt8/krt4/krt18b/pleca/krt5/zgc:136930",7
"GO:0031424","keratinization","4/300","14/18773",0.285714285714286,17.8790476190476,8.05108291994308,5.6387743145199e-05,0.0188828567592713,0.0167768890500812,"krt8/krt4/krt5/zgc:136930",4
"GO:0040011","locomotion","19/300","426/18773",0.0446009389671361,2.79097809076682,4.76496513408808,6.00982073815127e-05,0.0188828567592713,0.0167768890500812,"amotl2a/kdrl/lgals3b/amotl2b/ackr4b/tmsb4x/plvapb/cnn2/si:dkey-12h9.6/ccn1/churc1/s1pr1/stk24b/lef1/maco1a/arpin/dpysl2b/aldh1l1/crkl",19
"GO:2000145","regulation of cell motility","15/300","291/18773",0.0515463917525773,3.22560137457045,4.87603234043781,7.38986292117819e-05,0.0193491244152849,0.017191154795583,"amotl2a/kdrl/amotl2b/tmsb4x/plvapb/cnn2/ccn1/churc1/s1pr1/stk24b/lef1/arpin/dpysl2b/aldh1l1/crkl",15
"GO:0030334","regulation of cell migration","14/300","270/18773",0.0518518518518519,3.24471604938272,4.73444858301087,0.00012030101682197,0.0239159555611071,0.0212486562859915,"amotl2a/kdrl/amotl2b/tmsb4x/plvapb/cnn2/ccn1/churc1/s1pr1/stk24b/lef1/arpin/dpysl2b/aldh1l1",14
"GO:0035329","hippo signaling","5/300","31/18773",0.161290322580645,10.0930107526882,6.4569551500216,0.000121787170266618,0.0239159555611071,0.0212486562859915,"yap1/amotl2a/amotl2b/si:dkey-6n21.12/wwc3",5
"GO:0040012","regulation of locomotion","15/300","310/18773",0.0483870967741935,3.02790322580645,4.58800754194657,0.000148941340772474,0.0259985384837285,0.0230989728496258,"amotl2a/kdrl/amotl2b/tmsb4x/plvapb/cnn2/ccn1/churc1/s1pr1/stk24b/lef1/arpin/dpysl2b/aldh1l1/crkl",15
"GO:0030216","keratinocyte differentiation","4/300","21/18773",0.19047619047619,11.9193650793651,6.38014313074042,0.000308650587282023,0.0484890072620058,0.0430811240774698,"krt8/krt4/krt5/zgc:136930",4
