"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006414","translational elongation","5/110","63/18773",0.0793650793650794,13.544733044733,7.65694790172298,3.38045411893308e-05,0.0234567478354601,0.0216667650853857,"eef1a1l1/rack1/eef1g/eef1db/eef2b",5
"GO:0045103","intermediate filament-based process","4/110","39/18773",0.102564102564103,17.5039627039627,7.92074745409601,7.83633001184634e-05,0.0234567478354601,0.0216667650853857,"krt8/krt18a.1/krt4/vim",4
"GO:0045104","intermediate filament cytoskeleton organization","4/110","39/18773",0.102564102564103,17.5039627039627,7.92074745409601,7.83633001184634e-05,0.0234567478354601,0.0216667650853857,"krt8/krt18a.1/krt4/vim",4
"GO:0006412","translation","11/110","473/18773",0.0232558139534884,3.96892177589852,5.02070457818592,0.000104595353720507,0.0234816569102539,0.0216897733504631,"zgc:171772/eef1a1l1/faua/uba52/rack1/eef1g/eef1db/eif3m/nck2a/eef2b/dap1b",11
"GO:0045109","intermediate filament organization","3/110","22/18773",0.136363636363636,23.2723140495868,8.02463619863172,0.000277942845067146,0.0453304284462521,0.0418712666928222,"krt8/krt4/vim",3
"GO:0048514","blood vessel morphogenesis","10/110","448/18773",0.0223214285714286,3.80945616883117,4.62061904242106,0.00030287591389478,0.0453304284462521,0.0418712666928222,"kdrl/yap1/rack1/tspan18b/bcar1/thbs1b/nme2b.1/dab2/stag2b/ldb2a",10
"GO:0097190","apoptotic signaling pathway","6/110","168/18773",0.0357142857142857,6.09512987012987,5.09279211939961,0.000466864106702696,0.0598919954027172,0.0553216415160487,"slc25a5/lgals3b/casp9/uacaa/nck2a/dap1b",6
"GO:0001525","angiogenesis","8/110","360/18773",0.0222222222222222,3.79252525252525,4.10721058147574,0.00126903930616123,0.142449662116599,0.131579338586191,"kdrl/rack1/tspan18b/bcar1/thbs1b/nme2b.1/dab2/ldb2a",8
"GO:0045765","regulation of angiogenesis","4/110","87/18773",0.0459770114942529,7.8466039707419,4.91402712023567,0.00170969026014689,0.161626515141194,0.1492928073277,"tspan18b/bcar1/thbs1b/nme2b.1",4
"GO:0018108","peptidyl-tyrosine phosphorylation","2/110","11/18773",0.181818181818182,31.0297520661157,7.64837918059343,0.00180776940694747,0.161626515141194,0.1492928073277,"kdrl/fer",2
"GO:0022603","regulation of anatomical structure morphogenesis","7/110","301/18773",0.0232558139534884,3.96892177589852,3.98644641040223,0.0019798348179879,0.161626515141194,0.1492928073277,"rack1/tspan18b/bcar1/thbs1b/nme2b.1/casp9/plxnb1b",7
