"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016071","mRNA metabolic process","300/4963","474/18773",0.632911392405063,2.39404504727388,18.4281980558653,3.96411752242572e-65,1.22253384391609e-61,9.7600746157408e-62,"snu13b/hnrnpa0b/rbmx/prpf4/hnrnpa1b/dkc1/lsm5/snrpg/sf3a2/prpf39/snrpd3l/sf3a1/sf3b5/rbm4.3/cirbpa/hnrpkl/nudt21/mrto4/cnot3b/u2af2b/snrpc/cnot6a/exosc3/slu7/slbp/sf3b4/larp1b/thoc5/safb/luc7l3/bcas2/etf1b/exosc2/sf3a3/cpsf6/hnrnpa0a/hnrnpk/srsf7a/srsf9/plrg1/snrpd1/hnrnpul1/pqbp1/snrpe/dhx37/rbm8a/magoh/txnl4a/virma/srsf10b/igf2bp2b/sb:cb81/ddx39ab/eftud2/srsf1b/sf3b3/wtap/prpf40a/upf1/igf2bp1/khdrbs1a/rbm7/snip1/gemin2/cpsf4/cnot8/exosc5/cpsf2/sart3/ddx23/bud31/dis3l2/prpf19/zmat5/ppil1/sart1/larp7/srsf2a/rbm39b/u2af1/lsm7/srek1ip1/prpf31/snrnp27/rbpms2a/cnot2/snrnp200/hnrnpl2/fip1l1b/syncripl/cnot3a/dhx34/snd1/pelo/snrpf/khdrbs1b/pum1/ilf3b/parn/ik/htatsf1/gemin8/hnrnpl/hnrnpul1l/gpatch1/lsm8/snrnp70/rprd1b/ythdf1/zcrb1/eif4a3/edc3/mfap1/dicer1/fmr1/syncrip/ncbp2/cnot1/hbs1l/prpf38a/sf3b6/exosc9/snw1/arl6ip4/zgc:158803/strap/thoc2/sf3b2/dbr1/exosc6/rbm4.2/smg7/ddx39aa/rbm17/srsf1a/cdc40/tfip11/u2af2a/isy1/thoc1/srrt/prpf38b/dhx16/dhx38/cpsf3/cdk12/gemin4/aar2/upf3b/snrpb/rnmt/tnrc6c2/clns1a/cwc25/cdc5l/srsf2b/ptbp1a/lsm4/yju2/tdrd3/bud13/rbm4.1/cwf19l1/smg6/tent2/tra2a/scaf11/cactin/dhx9/txnl4b/fam50a/prpf8/ddx46/arglu1b/rbm22/celf2/thoc6/gpkow/zcchc7/prpf4bb/smg8/puf60b/cnot9/nsrp1/wbp11/snrpd2/thoc7/rida/usp39/puf60a/smn1/ythdf3/cstf2/snrpb2/snrnp25/sf1/crnkl1/rbm5/hnrnpub/prkrip1/lgals3a/prmt7/cpsf1/srpk1a/pabpc1a/ddx5/xrn1/rbfox2/exosc7/fxr1/xrn2/tssc4/papola/luc7l/patl1/mettl14/sltm/cstf1/dcp1b/qki2/tnrc6c1/exosc8/celf1/prpf4ba/pus1/angel2/cwc22/dcps/smndc1/pabpc1b/rprd2a/rc3h1b/dis3/gemin5/zfp36l1a/tut1/ddx20/rbm39a/jmjd6/hnrnpua/sf3b1/sde2/rbm6/tnpo3/srpk1b/rngtt/coil/ncbp3/prpf6/rbmx2/pum2/lsm6/rnps1/snu13a/fxr2/cwf19l2/fastk/pus7l/zrsr2/tra2b/prpf18/tbrg4/mettl16/lsm3/rbfox3a/zfp36l2/rpusd4/pde12/cript/exosc10/igf2bp3/snapc3/ddx39b/zgc:77262/ppwd1/cmtr1/rbm24a/syf2/qkia/paxbp1/arglu1a/tent5ba/dcp2/rprd2b/nbas/smu1a/tbp/khdc4/pnn/ythdf2/wdr83/ptbp2b/mettl3/xab2/srrm4/ptbp3/hnrnpa0l/smg5/znf326/smg1",300
"GO:0006397","mRNA processing","230/4963","334/18773",0.688622754491018,2.60477835383032,17.7398596691229,5.42239273865098e-60,8.36132960299981e-57,6.67525085037086e-57,"snu13b/rbmx/prpf4/hnrnpa1b/lsm5/snrpg/sf3a2/prpf39/snrpd3l/sf3a1/sf3b5/rbm4.3/cirbpa/hnrpkl/nudt21/u2af2b/snrpc/slu7/slbp/sf3b4/thoc5/safb/luc7l3/bcas2/sf3a3/cpsf6/hnrnpk/srsf7a/srsf9/plrg1/snrpd1/hnrnpul1/pqbp1/snrpe/dhx37/rbm8a/magoh/txnl4a/virma/srsf10b/ddx39ab/eftud2/srsf1b/sf3b3/wtap/prpf40a/khdrbs1a/rbm7/snip1/gemin2/cpsf4/cpsf2/sart3/ddx23/bud31/prpf19/zmat5/ppil1/sart1/larp7/srsf2a/rbm39b/u2af1/lsm7/srek1ip1/prpf31/snrnp27/rbpms2a/snrnp200/hnrnpl2/fip1l1b/snrpf/khdrbs1b/ilf3b/ik/htatsf1/gemin8/hnrnpl/hnrnpul1l/gpatch1/lsm8/snrnp70/rprd1b/zcrb1/eif4a3/mfap1/fmr1/ncbp2/prpf38a/sf3b6/snw1/arl6ip4/zgc:158803/strap/thoc2/sf3b2/dbr1/rbm4.2/ddx39aa/rbm17/srsf1a/cdc40/tfip11/u2af2a/isy1/thoc1/srrt/prpf38b/dhx16/dhx38/cpsf3/cdk12/gemin4/aar2/snrpb/rnmt/clns1a/cwc25/cdc5l/srsf2b/ptbp1a/lsm4/yju2/tdrd3/bud13/rbm4.1/cwf19l1/tent2/tra2a/scaf11/cactin/dhx9/txnl4b/fam50a/prpf8/ddx46/arglu1b/rbm22/celf2/thoc6/gpkow/prpf4bb/puf60b/nsrp1/wbp11/snrpd2/thoc7/usp39/puf60a/smn1/cstf2/snrpb2/snrnp25/sf1/crnkl1/rbm5/hnrnpub/prkrip1/lgals3a/prmt7/srpk1a/pabpc1a/ddx5/rbfox2/xrn2/tssc4/papola/luc7l/mettl14/sltm/cstf1/qki2/celf1/prpf4ba/cwc22/dcps/smndc1/pabpc1b/rprd2a/gemin5/tut1/ddx20/rbm39a/jmjd6/hnrnpua/sf3b1/sde2/rbm6/tnpo3/srpk1b/rngtt/coil/ncbp3/prpf6/rbmx2/lsm6/rnps1/snu13a/cwf19l2/pus7l/zrsr2/tra2b/prpf18/mettl16/lsm3/rbfox3a/rpusd4/cript/snapc3/ddx39b/zgc:77262/ppwd1/cmtr1/rbm24a/syf2/qkia/paxbp1/arglu1a/rprd2b/smu1a/khdc4/pnn/wdr83/ptbp2b/mettl3/xab2/srrm4/ptbp3/hnrnpa0l/znf326",230
"GO:0022613","ribonucleoprotein complex biogenesis","217/4963","319/18773",0.68025078369906,2.57311061099787,16.9879085712308,3.40441351705124e-55,3.49973709552867e-52,2.79400814609924e-52,"fbl/snu13b/pwp2h/wdr3/npm1a/ebna1bp2/fcf1/rpf2/dkc1/snrpg/sf3a2/trmt112/prpf39/dcaf13/snrpd3l/eif5/gar1/nop2/mphosph10/gnl3/bysl/mphosph6/wdr18/pes/c1qbp/ddx27/mrto4/nhp2/gnl2/u2af2b/snrpc/exosc3/mak16/imp4/srfbp1/emg1/eif2s2/znf593/luc7l3/rrp1/eif3c/exosc2/bxdc2/eif6/tsr2/nol6/polr1c/nop16/ddx18/denr/pak1ip1/ncl/pin4/snrpd1/nop56/noc2l/pdcd11/snrpe/rrp15/dhx37/wdr36/ruvbl1/sdad1/rrs1/wdr43/mcts1/lsg1/noc4l/polr1d/gemin2/rrp7a/sart3/ddx52/sart1/riok2/utp15/prpf31/ddx54/c1d/krr1/snrnp200/rrp36/tma16/znf622/snrpf/bms1/ruvbl2/gemin8/eri1/rexo4/ddx10/ptges3a/nip7/mtrex/esf1/gnl3l/ddx28/utp3/nsun5/ptges3b/dimt1l/eif3s10/nol11/nop10/heatr1/mpv17l2/imp3/tsr3/tsr1/exosc9/znhit3/zgc:158803/strap/exosc6/eif2d/u2af2a/ddx51/isy1/ftsj3/utp23/rexo1/rpf1/bud23/gemin4/aar2/eif3ja/nol10/clns1a/nop14/rrp8/lsm4/yju2/heatr3/scaf11/ltv1/prpf8/ddx46/celf2/pop5/puf60b/wbp11/snrpd2/urb2/pop4/usp39/eri2/puf60a/smn1/wdr74/crnkl1/utp6/prmt7/xpo1a/eif3i/srpk1a/nat10/gtpbp10/wdr12/exosc7/mettl5/riok1/tssc4/luc7l/drosha/rsl24d1/pwp1/rbfa/rbm34/exosc8/kri1/celf1/ppan/ngdn/wdr46/gemin5/ddx20/wdr75/sf3b1/utp25/ran/ddx31/sde2/eif3ba/srpk1b/kat2b/coil/prpf6/rcl1/bop1/xpo1b/eif3ha/eif3jb/lsm6/snu13a/npm1b/nob1/sbds/prpf18/ddx49/mettl16/nup88/rpusd4/grwd1/exosc10/tfb1m/zcchc4/pno1/eif3eb/tfb2m/khdc4/ybey/ythdf2/abt1/tarbp2/xab2/nom1/efl1",217
"GO:0008380","RNA splicing","216/4963","320/18773",0.675,2.55324904291759,16.8001501822483,4.75612267568255e-54,3.66697058295124e-51,2.92751866800565e-51,"snu13b/rbmx/hmga1a/prpf4/hnrnpa1b/lsm5/snrpg/sf3a2/prpf39/snrpd3l/sf3a1/sf3b5/rbm4.3/cirbpa/hnrpkl/u2af2b/snrpc/slu7/sf3b4/thoc5/luc7l3/bcas2/sf3a3/usb1/hnrnpk/srsf7a/srsf9/plrg1/snrpd1/rtraf/hnrnpul1/pqbp1/snrpe/dhx37/rbm8a/magoh/txnl4a/virma/srsf10b/ddx39ab/eftud2/srsf1b/sf3b3/wtap/prpf40a/khdrbs1a/rbm7/snip1/gemin2/sart3/ddx23/bud31/hnrnph1l/prpf19/zmat5/ppil1/sart1/larp7/srsf2a/u2af1/lsm7/srek1ip1/prpf31/snrnp27/rbpms2a/snrnp200/hnrnpl2/snrpf/khdrbs1b/ilf3b/ik/htatsf1/gemin8/trpt1/hnrnpl/hnrnpul1l/lsm8/snrnp70/zcrb1/eif4a3/mfap1/fmr1/ncbp2/prpf38a/sf3b6/snw1/arl6ip4/zgc:158803/strap/sf3b2/dbr1/rbm4.2/ddx39aa/rbm17/srsf1a/cdc40/tfip11/u2af2a/isy1/thoc1/prpf38b/dhx16/dhx38/mbnl2/cdk12/gemin4/aar2/snrpb/clns1a/cwc25/cdc5l/srsf2b/ptbp1a/lsm4/yju2/bud13/rbm4.1/rnf113a/cwf19l1/tra2a/scaf11/cactin/acin1b/txnl4b/fam50a/prpf8/ddx46/arglu1b/rbm22/celf2/thoc6/grsf1/gpkow/prpf4bb/puf60b/nsrp1/wbp11/snrpd2/thoc7/hnrnph1/usp39/puf60a/smn1/snrpb2/snrnp25/sf1/crnkl1/rbm5/hnrnpub/prkrip1/lgals3a/prmt7/srpk1a/ddx5/rbfox2/tsen34/mbnl3/tssc4/luc7l/mettl14/qki2/celf1/prpf4ba/dyrk1ab/cwc22/smndc1/zbtb8os/gemin5/ddx20/jmjd6/hnrnpua/sf3b1/sde2/rbm6/tnpo3/srpk1b/coil/rbm12/prpf6/rbmx2/lsm6/rnps1/snu13a/cwf19l2/zrsr2/tra2b/prpf18/mettl16/lsm3/rbfox3a/rpusd4/cript/snapc3/ddx39b/zgc:77262/ppwd1/ints11/rbm24a/syf2/qkia/paxbp1/arglu1a/smu1a/tsen15/khdc4/pnn/wdr83/ptbp2b/xab2/aff2/srrm4/ptbp3/hnrnpa0l/srsf11/ints5/znf326",216
"GO:0000375","RNA splicing, via transesterification reactions","167/4963","238/18773",0.701680672268908,2.65417111837683,15.3958328807569,1.60418915185078e-45,7.06759906329688e-43,5.64240364838944e-43,"snu13b/rbmx/prpf4/hnrnpa1b/lsm5/snrpg/sf3a2/prpf39/snrpd3l/sf3a1/sf3b5/rbm4.3/cirbpa/hnrpkl/u2af2b/snrpc/slu7/sf3b4/luc7l3/bcas2/sf3a3/hnrnpk/srsf7a/srsf9/plrg1/snrpd1/hnrnpul1/pqbp1/snrpe/dhx37/rbm8a/magoh/txnl4a/srsf10b/ddx39ab/eftud2/srsf1b/sf3b3/wtap/prpf40a/khdrbs1a/rbm7/snip1/gemin2/sart3/ddx23/bud31/prpf19/ppil1/sart1/larp7/srsf2a/u2af1/lsm7/prpf31/rbpms2a/snrnp200/snrpf/khdrbs1b/ilf3b/ik/htatsf1/gemin8/hnrnpul1l/lsm8/snrnp70/zcrb1/eif4a3/mfap1/ncbp2/prpf38a/sf3b6/snw1/zgc:158803/strap/sf3b2/dbr1/rbm4.2/ddx39aa/rbm17/srsf1a/cdc40/tfip11/u2af2a/isy1/prpf38b/dhx38/gemin4/aar2/snrpb/clns1a/cwc25/cdc5l/srsf2b/lsm4/yju2/bud13/rbm4.1/cwf19l1/tra2a/scaf11/cactin/txnl4b/fam50a/prpf8/ddx46/arglu1b/rbm22/celf2/gpkow/prpf4bb/puf60b/nsrp1/snrpd2/usp39/puf60a/smn1/snrpb2/snrnp25/sf1/crnkl1/hnrnpub/prmt7/srpk1a/ddx5/rbfox2/tssc4/luc7l/mettl14/qki2/celf1/prpf4ba/cwc22/gemin5/ddx20/jmjd6/hnrnpua/sf3b1/sde2/rbm6/srpk1b/coil/prpf6/rbmx2/lsm6/rnps1/snu13a/cwf19l2/zrsr2/tra2b/prpf18/mettl16/lsm3/rbfox3a/ddx39b/zgc:77262/rbm24a/syf2/qkia/paxbp1/arglu1a/smu1a/khdc4/wdr83/xab2/srrm4/hnrnpa0l",167
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","167/4963","238/18773",0.701680672268908,2.65417111837683,15.3958328807569,1.60418915185078e-45,7.06759906329688e-43,5.64240364838944e-43,"snu13b/rbmx/prpf4/hnrnpa1b/lsm5/snrpg/sf3a2/prpf39/snrpd3l/sf3a1/sf3b5/rbm4.3/cirbpa/hnrpkl/u2af2b/snrpc/slu7/sf3b4/luc7l3/bcas2/sf3a3/hnrnpk/srsf7a/srsf9/plrg1/snrpd1/hnrnpul1/pqbp1/snrpe/dhx37/rbm8a/magoh/txnl4a/srsf10b/ddx39ab/eftud2/srsf1b/sf3b3/wtap/prpf40a/khdrbs1a/rbm7/snip1/gemin2/sart3/ddx23/bud31/prpf19/ppil1/sart1/larp7/srsf2a/u2af1/lsm7/prpf31/rbpms2a/snrnp200/snrpf/khdrbs1b/ilf3b/ik/htatsf1/gemin8/hnrnpul1l/lsm8/snrnp70/zcrb1/eif4a3/mfap1/ncbp2/prpf38a/sf3b6/snw1/zgc:158803/strap/sf3b2/dbr1/rbm4.2/ddx39aa/rbm17/srsf1a/cdc40/tfip11/u2af2a/isy1/prpf38b/dhx38/gemin4/aar2/snrpb/clns1a/cwc25/cdc5l/srsf2b/lsm4/yju2/bud13/rbm4.1/cwf19l1/tra2a/scaf11/cactin/txnl4b/fam50a/prpf8/ddx46/arglu1b/rbm22/celf2/gpkow/prpf4bb/puf60b/nsrp1/snrpd2/usp39/puf60a/smn1/snrpb2/snrnp25/sf1/crnkl1/hnrnpub/prmt7/srpk1a/ddx5/rbfox2/tssc4/luc7l/mettl14/qki2/celf1/prpf4ba/cwc22/gemin5/ddx20/jmjd6/hnrnpua/sf3b1/sde2/rbm6/srpk1b/coil/prpf6/rbmx2/lsm6/rnps1/snu13a/cwf19l2/zrsr2/tra2b/prpf18/mettl16/lsm3/rbfox3a/ddx39b/zgc:77262/rbm24a/syf2/qkia/paxbp1/arglu1a/smu1a/khdc4/wdr83/xab2/srrm4/hnrnpa0l",167
"GO:0000398","mRNA splicing, via spliceosome","167/4963","238/18773",0.701680672268908,2.65417111837683,15.3958328807569,1.60418915185078e-45,7.06759906329688e-43,5.64240364838944e-43,"snu13b/rbmx/prpf4/hnrnpa1b/lsm5/snrpg/sf3a2/prpf39/snrpd3l/sf3a1/sf3b5/rbm4.3/cirbpa/hnrpkl/u2af2b/snrpc/slu7/sf3b4/luc7l3/bcas2/sf3a3/hnrnpk/srsf7a/srsf9/plrg1/snrpd1/hnrnpul1/pqbp1/snrpe/dhx37/rbm8a/magoh/txnl4a/srsf10b/ddx39ab/eftud2/srsf1b/sf3b3/wtap/prpf40a/khdrbs1a/rbm7/snip1/gemin2/sart3/ddx23/bud31/prpf19/ppil1/sart1/larp7/srsf2a/u2af1/lsm7/prpf31/rbpms2a/snrnp200/snrpf/khdrbs1b/ilf3b/ik/htatsf1/gemin8/hnrnpul1l/lsm8/snrnp70/zcrb1/eif4a3/mfap1/ncbp2/prpf38a/sf3b6/snw1/zgc:158803/strap/sf3b2/dbr1/rbm4.2/ddx39aa/rbm17/srsf1a/cdc40/tfip11/u2af2a/isy1/prpf38b/dhx38/gemin4/aar2/snrpb/clns1a/cwc25/cdc5l/srsf2b/lsm4/yju2/bud13/rbm4.1/cwf19l1/tra2a/scaf11/cactin/txnl4b/fam50a/prpf8/ddx46/arglu1b/rbm22/celf2/gpkow/prpf4bb/puf60b/nsrp1/snrpd2/usp39/puf60a/smn1/snrpb2/snrnp25/sf1/crnkl1/hnrnpub/prmt7/srpk1a/ddx5/rbfox2/tssc4/luc7l/mettl14/qki2/celf1/prpf4ba/cwc22/gemin5/ddx20/jmjd6/hnrnpua/sf3b1/sde2/rbm6/srpk1b/coil/prpf6/rbmx2/lsm6/rnps1/snu13a/cwf19l2/zrsr2/tra2b/prpf18/mettl16/lsm3/rbfox3a/ddx39b/zgc:77262/rbm24a/syf2/qkia/paxbp1/arglu1a/smu1a/khdc4/wdr83/xab2/srrm4/hnrnpa0l",167
"GO:0016072","rRNA metabolic process","133/4963","179/18773",0.743016759776536,2.81052863817951,14.5906981168988,5.92504194734919e-41,2.28410367070311e-38,1.82350962037497e-38,"fbl/snu13b/pwp2h/wdr3/ebna1bp2/fcf1/rpf2/dkc1/trmt112/dcaf13/gar1/nop2/mphosph10/gnl3/bysl/mphosph6/wdr18/pes/ddx27/mrto4/nhp2/gnl2/exosc3/mak16/imp4/srfbp1/emg1/rrp1/exosc2/bxdc2/eif6/tsr2/nol6/ddx18/pak1ip1/ncl/pin4/nop56/pdcd11/rrp15/dhx37/wdr36/rrs1/wdr43/polr2eb/polr1d/rrp7a/exosc5/polr1e/ddx52/sart1/polr1a/riok2/utp15/ddx54/c1d/krr1/rrp36/pelo/bms1/eri1/rexo4/ddx10/mtrex/esf1/gnl3l/utp3/nsun5/dimt1l/nol11/nop10/heatr1/imp3/tsr3/tsr1/exosc9/znhit3/exosc6/ddx51/ftsj3/utp23/rexo1/rpf1/bud23/gemin4/nol10/rrp8/ltv1/pop5/wbp11/pop4/eri2/rnaset2/utp6/nat10/ddx11/xrn1/wdr12/exosc7/mettl5/riok1/drosha/pwp1/rbfa/rbm34/exosc8/kri1/kdm2bb/ppan/ngdn/wdr46/dis3/wdr75/utp25/sde2/kat2b/rcl1/bop1/lsm6/snu13a/nob1/ddx49/mettl16/rpusd4/macroh2a1/exosc10/tfb1m/zcchc4/tfb2m/ybey/ythdf2/abt1/chd7",133
"GO:0042254","ribosome biogenesis","152/4963","226/18773",0.672566371681416,2.54404362191723,13.9993386817439,4.9767384698572e-38,1.70536238233773e-35,1.36147266444397e-35,"fbl/snu13b/pwp2h/wdr3/npm1a/ebna1bp2/fcf1/rpf2/dkc1/trmt112/dcaf13/gar1/nop2/mphosph10/gnl3/bysl/mphosph6/wdr18/pes/c1qbp/ddx27/mrto4/nhp2/gnl2/exosc3/mak16/imp4/srfbp1/emg1/znf593/rrp1/exosc2/bxdc2/eif6/tsr2/nol6/polr1c/nop16/ddx18/pak1ip1/ncl/pin4/nop56/noc2l/pdcd11/rrp15/dhx37/wdr36/sdad1/rrs1/wdr43/lsg1/noc4l/polr1d/rrp7a/ddx52/sart1/riok2/utp15/ddx54/c1d/krr1/rrp36/tma16/znf622/bms1/eri1/rexo4/ddx10/nip7/mtrex/esf1/gnl3l/ddx28/utp3/nsun5/dimt1l/nol11/nop10/heatr1/mpv17l2/imp3/tsr3/tsr1/exosc9/znhit3/exosc6/ddx51/ftsj3/utp23/rexo1/rpf1/bud23/gemin4/nol10/nop14/rrp8/heatr3/ltv1/pop5/wbp11/urb2/pop4/eri2/wdr74/utp6/xpo1a/nat10/gtpbp10/wdr12/exosc7/mettl5/riok1/drosha/rsl24d1/pwp1/rbfa/rbm34/exosc8/kri1/ppan/ngdn/wdr46/wdr75/utp25/ran/ddx31/sde2/kat2b/rcl1/bop1/xpo1b/lsm6/snu13a/npm1b/nob1/sbds/ddx49/mettl16/nup88/rpusd4/grwd1/exosc10/tfb1m/zcchc4/pno1/tfb2m/ybey/ythdf2/abt1/nom1/efl1",152
"GO:0006364","rRNA processing","120/4963","161/18773",0.745341614906832,2.81932261467781,13.8981407351749,2.67164072194739e-37,8.23933998648575e-35,6.57786068277362e-35,"fbl/snu13b/pwp2h/wdr3/ebna1bp2/fcf1/rpf2/dkc1/trmt112/dcaf13/gar1/nop2/mphosph10/gnl3/bysl/mphosph6/wdr18/pes/ddx27/mrto4/nhp2/gnl2/exosc3/mak16/imp4/srfbp1/emg1/rrp1/exosc2/bxdc2/eif6/tsr2/nol6/ddx18/pak1ip1/ncl/pin4/nop56/pdcd11/rrp15/dhx37/wdr36/rrs1/wdr43/rrp7a/ddx52/sart1/riok2/utp15/ddx54/c1d/krr1/rrp36/bms1/eri1/rexo4/ddx10/mtrex/esf1/gnl3l/utp3/nsun5/dimt1l/nol11/nop10/heatr1/imp3/tsr3/tsr1/exosc9/znhit3/exosc6/ddx51/ftsj3/utp23/rexo1/rpf1/bud23/gemin4/nol10/rrp8/ltv1/pop5/wbp11/pop4/eri2/utp6/nat10/wdr12/exosc7/mettl5/riok1/drosha/pwp1/rbfa/rbm34/exosc8/kri1/ppan/ngdn/wdr46/wdr75/utp25/sde2/kat2b/rcl1/bop1/lsm6/snu13a/nob1/ddx49/mettl16/rpusd4/exosc10/tfb1m/zcchc4/tfb2m/ybey/ythdf2/abt1",120
