"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016071","mRNA metabolic process","252/4167","474/18773",0.531645569620253,2.39514813498464,16.4322559150218,3.48942739012025e-50,1.06427535398668e-46,8.62806835725523e-47,"snu13b/hnrnpa0b/rbmx/prpf4/hnrnpa1b/dkc1/lsm5/snrpg/sf3a2/prpf39/snrpd3l/sf3a1/sf3b5/rbm4.3/cirbpa/hnrpkl/nudt21/mrto4/cnot3b/u2af2b/snrpc/cnot6a/exosc3/slu7/slbp/sf3b4/larp1b/thoc5/safb/luc7l3/bcas2/etf1b/exosc2/sf3a3/cpsf6/hnrnpa0a/hnrnpk/srsf7a/srsf9/plrg1/snrpd1/hnrnpul1/pqbp1/snrpe/dhx37/rbm8a/magoh/txnl4a/virma/srsf10b/igf2bp2b/sb:cb81/ddx39ab/eftud2/srsf1b/sf3b3/wtap/prpf40a/upf1/igf2bp1/khdrbs1a/rbm7/snip1/gemin2/cpsf4/cnot8/exosc5/cpsf2/sart3/ddx23/bud31/dis3l2/prpf19/zmat5/ppil1/sart1/larp7/srsf2a/rbm39b/u2af1/lsm7/srek1ip1/prpf31/snrnp27/rbpms2a/cnot2/snrnp200/hnrnpl2/fip1l1b/syncripl/cnot3a/dhx34/snd1/pelo/snrpf/khdrbs1b/pum1/ilf3b/parn/ik/htatsf1/gemin8/hnrnpl/hnrnpul1l/gpatch1/lsm8/snrnp70/rprd1b/ythdf1/zcrb1/eif4a3/edc3/mfap1/dicer1/fmr1/syncrip/ncbp2/cnot1/hbs1l/prpf38a/sf3b6/exosc9/arl6ip4/zgc:158803/strap/thoc2/sf3b2/dbr1/exosc6/smg7/ddx39aa/rbm17/srsf1a/cdc40/tfip11/u2af2a/isy1/thoc1/srrt/prpf38b/dhx16/dhx38/cpsf3/cdk12/gemin4/aar2/snrpb/rnmt/tnrc6c2/clns1a/cwc25/cdc5l/srsf2b/ptbp1a/lsm4/yju2/tdrd3/bud13/rbm4.1/cwf19l1/smg6/tent2/tra2a/scaf11/cactin/dhx9/txnl4b/fam50a/prpf8/ddx46/celf2/thoc6/gpkow/zcchc7/prpf4bb/smg8/puf60b/cnot9/nsrp1/wbp11/snrpd2/rida/usp39/puf60a/smn1/ythdf3/snrnp25/hnrnpub/prkrip1/prmt7/cpsf1/pabpc1a/ddx5/xrn1/rbfox2/exosc7/fxr1/tssc4/papola/mettl14/sltm/cstf1/dcp1b/qki2/tnrc6c1/celf1/prpf4ba/pus1/angel2/cwc22/dcps/smndc1/pabpc1b/rc3h1b/dis3/gemin5/zfp36l1a/tut1/ddx20/jmjd6/sde2/tnpo3/srpk1b/rngtt/coil/rbmx2/pum2/rnps1/snu13a/cwf19l2/fastk/pus7l/zrsr2/prpf18/tbrg4/mettl16/rpusd4/pde12/cript/exosc10/snapc3/ddx39b/ppwd1/cmtr1/qkia/tent5ba/khdc4/xab2/srrm4/ptbp3/znf326/smg1",252
"GO:0022613","ribonucleoprotein complex biogenesis","192/4167","319/18773",0.601880877742947,2.71156940673586,16.4681939583015,3.32886354140923e-49,5.07651690064908e-46,4.11552655724752e-46,"fbl/snu13b/pwp2h/wdr3/npm1a/ebna1bp2/fcf1/rpf2/dkc1/snrpg/sf3a2/trmt112/prpf39/dcaf13/snrpd3l/eif5/gar1/nop2/mphosph10/gnl3/bysl/mphosph6/wdr18/pes/c1qbp/ddx27/mrto4/nhp2/gnl2/u2af2b/snrpc/exosc3/mak16/imp4/srfbp1/emg1/eif2s2/znf593/luc7l3/rrp1/eif3c/exosc2/bxdc2/eif6/tsr2/nol6/polr1c/nop16/ddx18/denr/pak1ip1/ncl/pin4/snrpd1/nop56/noc2l/pdcd11/snrpe/rrp15/dhx37/wdr36/ruvbl1/sdad1/rrs1/wdr43/mcts1/lsg1/noc4l/polr1d/gemin2/rrp7a/sart3/ddx52/sart1/riok2/utp15/prpf31/ddx54/c1d/krr1/snrnp200/rrp36/tma16/znf622/snrpf/bms1/ruvbl2/gemin8/eri1/rexo4/ddx10/ptges3a/nip7/mtrex/esf1/gnl3l/ddx28/utp3/nsun5/ptges3b/dimt1l/eif3s10/nol11/nop10/heatr1/mpv17l2/imp3/tsr3/tsr1/exosc9/znhit3/zgc:158803/strap/exosc6/eif2d/u2af2a/ddx51/isy1/ftsj3/utp23/rexo1/rpf1/bud23/gemin4/aar2/eif3ja/nol10/clns1a/nop14/rrp8/lsm4/yju2/heatr3/scaf11/ltv1/prpf8/ddx46/celf2/pop5/puf60b/wbp11/snrpd2/urb2/pop4/usp39/eri2/puf60a/smn1/wdr74/utp6/prmt7/xpo1a/eif3i/gtpbp10/wdr12/exosc7/mettl5/tssc4/drosha/rbfa/kri1/celf1/ppan/gemin5/ddx20/utp25/ran/ddx31/sde2/eif3ba/srpk1b/kat2b/coil/rcl1/bop1/xpo1b/eif3ha/snu13a/nob1/prpf18/mettl16/nup88/rpusd4/exosc10/tfb1m/zcchc4/khdc4/ybey/abt1/xab2/nom1/efl1",192
"GO:0006397","mRNA processing","193/4167","334/18773",0.577844311377245,2.60328083932926,15.791214342174,1.05490469457818e-45,1.07248643948781e-42,8.69463553531278e-43,"snu13b/rbmx/prpf4/hnrnpa1b/lsm5/snrpg/sf3a2/prpf39/snrpd3l/sf3a1/sf3b5/rbm4.3/cirbpa/hnrpkl/nudt21/u2af2b/snrpc/slu7/slbp/sf3b4/thoc5/safb/luc7l3/bcas2/sf3a3/cpsf6/hnrnpk/srsf7a/srsf9/plrg1/snrpd1/hnrnpul1/pqbp1/snrpe/dhx37/rbm8a/magoh/txnl4a/virma/srsf10b/ddx39ab/eftud2/srsf1b/sf3b3/wtap/prpf40a/khdrbs1a/rbm7/snip1/gemin2/cpsf4/cpsf2/sart3/ddx23/bud31/prpf19/zmat5/ppil1/sart1/larp7/srsf2a/rbm39b/u2af1/lsm7/srek1ip1/prpf31/snrnp27/rbpms2a/snrnp200/hnrnpl2/fip1l1b/snrpf/khdrbs1b/ilf3b/ik/htatsf1/gemin8/hnrnpl/hnrnpul1l/gpatch1/lsm8/snrnp70/rprd1b/zcrb1/eif4a3/mfap1/fmr1/ncbp2/prpf38a/sf3b6/arl6ip4/zgc:158803/strap/thoc2/sf3b2/dbr1/ddx39aa/rbm17/srsf1a/cdc40/tfip11/u2af2a/isy1/thoc1/srrt/prpf38b/dhx16/dhx38/cpsf3/cdk12/gemin4/aar2/snrpb/rnmt/clns1a/cwc25/cdc5l/srsf2b/ptbp1a/lsm4/yju2/tdrd3/bud13/rbm4.1/cwf19l1/tent2/tra2a/scaf11/cactin/dhx9/txnl4b/fam50a/prpf8/ddx46/celf2/thoc6/gpkow/prpf4bb/puf60b/nsrp1/wbp11/snrpd2/usp39/puf60a/smn1/snrnp25/hnrnpub/prkrip1/prmt7/pabpc1a/ddx5/rbfox2/tssc4/papola/mettl14/sltm/cstf1/qki2/celf1/prpf4ba/cwc22/dcps/smndc1/pabpc1b/gemin5/tut1/ddx20/jmjd6/sde2/tnpo3/srpk1b/rngtt/coil/rbmx2/rnps1/snu13a/cwf19l2/pus7l/zrsr2/prpf18/mettl16/rpusd4/cript/snapc3/ddx39b/ppwd1/cmtr1/qkia/khdc4/xab2/srrm4/ptbp3/znf326",193
"GO:0008380","RNA splicing","185/4167","320/18773",0.578125,2.60454538636909,15.4630399971906,6.95578112716931e-44,5.3037831094666e-41,4.29977101782124e-41,"snu13b/rbmx/hmga1a/prpf4/hnrnpa1b/lsm5/snrpg/sf3a2/prpf39/snrpd3l/sf3a1/sf3b5/rbm4.3/cirbpa/hnrpkl/u2af2b/snrpc/slu7/sf3b4/thoc5/luc7l3/bcas2/sf3a3/usb1/hnrnpk/srsf7a/srsf9/plrg1/snrpd1/rtraf/hnrnpul1/pqbp1/snrpe/dhx37/rbm8a/magoh/txnl4a/virma/srsf10b/ddx39ab/eftud2/srsf1b/sf3b3/wtap/prpf40a/khdrbs1a/rbm7/snip1/gemin2/sart3/ddx23/bud31/hnrnph1l/prpf19/zmat5/ppil1/sart1/larp7/srsf2a/u2af1/lsm7/srek1ip1/prpf31/snrnp27/rbpms2a/snrnp200/hnrnpl2/snrpf/khdrbs1b/ilf3b/ik/htatsf1/gemin8/trpt1/hnrnpl/hnrnpul1l/lsm8/snrnp70/zcrb1/eif4a3/mfap1/fmr1/ncbp2/prpf38a/sf3b6/arl6ip4/zgc:158803/strap/sf3b2/dbr1/ddx39aa/rbm17/srsf1a/cdc40/tfip11/u2af2a/isy1/thoc1/prpf38b/dhx16/dhx38/mbnl2/cdk12/gemin4/aar2/snrpb/clns1a/cwc25/cdc5l/srsf2b/ptbp1a/lsm4/yju2/bud13/rbm4.1/rnf113a/cwf19l1/tra2a/scaf11/cactin/acin1b/txnl4b/fam50a/prpf8/ddx46/celf2/thoc6/grsf1/gpkow/prpf4bb/puf60b/nsrp1/wbp11/snrpd2/hnrnph1/usp39/puf60a/smn1/snrnp25/hnrnpub/prkrip1/prmt7/ddx5/rbfox2/tsen34/mbnl3/tssc4/mettl14/qki2/celf1/prpf4ba/dyrk1ab/cwc22/smndc1/zbtb8os/gemin5/ddx20/jmjd6/sde2/tnpo3/srpk1b/coil/rbm12/rbmx2/rnps1/snu13a/cwf19l2/zrsr2/prpf18/mettl16/rpusd4/cript/snapc3/ddx39b/ppwd1/ints11/qkia/tsen15/khdc4/xab2/aff2/srrm4/ptbp3/ints5/znf326",185
"GO:0016072","rRNA metabolic process","120/4167","179/18773",0.670391061452514,3.02021871769811,14.5057392887532,6.82923595799287e-38,4.16583393437565e-35,3.37723689796321e-35,"fbl/snu13b/pwp2h/wdr3/ebna1bp2/fcf1/rpf2/dkc1/trmt112/dcaf13/gar1/nop2/mphosph10/gnl3/bysl/mphosph6/wdr18/pes/ddx27/mrto4/nhp2/gnl2/exosc3/mak16/imp4/srfbp1/emg1/rrp1/exosc2/bxdc2/eif6/tsr2/nol6/ddx18/pak1ip1/ncl/pin4/nop56/pdcd11/rrp15/dhx37/wdr36/rrs1/wdr43/polr2eb/polr1d/rrp7a/exosc5/polr1e/ddx52/sart1/polr1a/riok2/utp15/ddx54/c1d/krr1/rrp36/pelo/bms1/eri1/rexo4/ddx10/mtrex/esf1/gnl3l/utp3/nsun5/dimt1l/nol11/nop10/heatr1/imp3/tsr3/tsr1/exosc9/znhit3/exosc6/ddx51/ftsj3/utp23/rexo1/rpf1/bud23/gemin4/nol10/rrp8/ltv1/pop5/wbp11/pop4/eri2/utp6/ddx11/xrn1/wdr12/exosc7/mettl5/drosha/rbfa/kri1/kdm2bb/ppan/dis3/utp25/sde2/kat2b/rcl1/bop1/snu13a/nob1/mettl16/rpusd4/macroh2a1/exosc10/tfb1m/zcchc4/ybey/abt1/chd7",120
"GO:0000375","RNA splicing, via transesterification reactions","142/4167","238/18773",0.596638655462185,2.68795235876928,13.9976052920871,4.84997000908957e-36,1.8490510659654e-33,1.49902362517782e-33,"snu13b/rbmx/prpf4/hnrnpa1b/lsm5/snrpg/sf3a2/prpf39/snrpd3l/sf3a1/sf3b5/rbm4.3/cirbpa/hnrpkl/u2af2b/snrpc/slu7/sf3b4/luc7l3/bcas2/sf3a3/hnrnpk/srsf7a/srsf9/plrg1/snrpd1/hnrnpul1/pqbp1/snrpe/dhx37/rbm8a/magoh/txnl4a/srsf10b/ddx39ab/eftud2/srsf1b/sf3b3/wtap/prpf40a/khdrbs1a/rbm7/snip1/gemin2/sart3/ddx23/bud31/prpf19/ppil1/sart1/larp7/srsf2a/u2af1/lsm7/prpf31/rbpms2a/snrnp200/snrpf/khdrbs1b/ilf3b/ik/htatsf1/gemin8/hnrnpul1l/lsm8/snrnp70/zcrb1/eif4a3/mfap1/ncbp2/prpf38a/sf3b6/zgc:158803/strap/sf3b2/dbr1/ddx39aa/rbm17/srsf1a/cdc40/tfip11/u2af2a/isy1/prpf38b/dhx38/gemin4/aar2/snrpb/clns1a/cwc25/cdc5l/srsf2b/lsm4/yju2/bud13/rbm4.1/cwf19l1/tra2a/scaf11/cactin/txnl4b/fam50a/prpf8/ddx46/celf2/gpkow/prpf4bb/puf60b/nsrp1/snrpd2/usp39/puf60a/smn1/snrnp25/hnrnpub/prmt7/ddx5/rbfox2/tssc4/mettl14/qki2/celf1/prpf4ba/cwc22/gemin5/ddx20/jmjd6/sde2/srpk1b/coil/rbmx2/rnps1/snu13a/cwf19l2/zrsr2/prpf18/mettl16/ddx39b/qkia/khdc4/xab2/srrm4",142
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","142/4167","238/18773",0.596638655462185,2.68795235876928,13.9976052920871,4.84997000908957e-36,1.8490510659654e-33,1.49902362517782e-33,"snu13b/rbmx/prpf4/hnrnpa1b/lsm5/snrpg/sf3a2/prpf39/snrpd3l/sf3a1/sf3b5/rbm4.3/cirbpa/hnrpkl/u2af2b/snrpc/slu7/sf3b4/luc7l3/bcas2/sf3a3/hnrnpk/srsf7a/srsf9/plrg1/snrpd1/hnrnpul1/pqbp1/snrpe/dhx37/rbm8a/magoh/txnl4a/srsf10b/ddx39ab/eftud2/srsf1b/sf3b3/wtap/prpf40a/khdrbs1a/rbm7/snip1/gemin2/sart3/ddx23/bud31/prpf19/ppil1/sart1/larp7/srsf2a/u2af1/lsm7/prpf31/rbpms2a/snrnp200/snrpf/khdrbs1b/ilf3b/ik/htatsf1/gemin8/hnrnpul1l/lsm8/snrnp70/zcrb1/eif4a3/mfap1/ncbp2/prpf38a/sf3b6/zgc:158803/strap/sf3b2/dbr1/ddx39aa/rbm17/srsf1a/cdc40/tfip11/u2af2a/isy1/prpf38b/dhx38/gemin4/aar2/snrpb/clns1a/cwc25/cdc5l/srsf2b/lsm4/yju2/bud13/rbm4.1/cwf19l1/tra2a/scaf11/cactin/txnl4b/fam50a/prpf8/ddx46/celf2/gpkow/prpf4bb/puf60b/nsrp1/snrpd2/usp39/puf60a/smn1/snrnp25/hnrnpub/prmt7/ddx5/rbfox2/tssc4/mettl14/qki2/celf1/prpf4ba/cwc22/gemin5/ddx20/jmjd6/sde2/srpk1b/coil/rbmx2/rnps1/snu13a/cwf19l2/zrsr2/prpf18/mettl16/ddx39b/qkia/khdc4/xab2/srrm4",142
"GO:0000398","mRNA splicing, via spliceosome","142/4167","238/18773",0.596638655462185,2.68795235876928,13.9976052920871,4.84997000908957e-36,1.8490510659654e-33,1.49902362517782e-33,"snu13b/rbmx/prpf4/hnrnpa1b/lsm5/snrpg/sf3a2/prpf39/snrpd3l/sf3a1/sf3b5/rbm4.3/cirbpa/hnrpkl/u2af2b/snrpc/slu7/sf3b4/luc7l3/bcas2/sf3a3/hnrnpk/srsf7a/srsf9/plrg1/snrpd1/hnrnpul1/pqbp1/snrpe/dhx37/rbm8a/magoh/txnl4a/srsf10b/ddx39ab/eftud2/srsf1b/sf3b3/wtap/prpf40a/khdrbs1a/rbm7/snip1/gemin2/sart3/ddx23/bud31/prpf19/ppil1/sart1/larp7/srsf2a/u2af1/lsm7/prpf31/rbpms2a/snrnp200/snrpf/khdrbs1b/ilf3b/ik/htatsf1/gemin8/hnrnpul1l/lsm8/snrnp70/zcrb1/eif4a3/mfap1/ncbp2/prpf38a/sf3b6/zgc:158803/strap/sf3b2/dbr1/ddx39aa/rbm17/srsf1a/cdc40/tfip11/u2af2a/isy1/prpf38b/dhx38/gemin4/aar2/snrpb/clns1a/cwc25/cdc5l/srsf2b/lsm4/yju2/bud13/rbm4.1/cwf19l1/tra2a/scaf11/cactin/txnl4b/fam50a/prpf8/ddx46/celf2/gpkow/prpf4bb/puf60b/nsrp1/snrpd2/usp39/puf60a/smn1/snrnp25/hnrnpub/prmt7/ddx5/rbfox2/tssc4/mettl14/qki2/celf1/prpf4ba/cwc22/gemin5/ddx20/jmjd6/sde2/srpk1b/coil/rbmx2/rnps1/snu13a/cwf19l2/zrsr2/prpf18/mettl16/ddx39b/qkia/khdc4/xab2/srrm4",142
"GO:0042254","ribosome biogenesis","135/4167","226/18773",0.597345132743363,2.69113515166574,13.6614587535724,2.12708427525219e-34,7.20845226613242e-32,5.84388416674549e-32,"fbl/snu13b/pwp2h/wdr3/npm1a/ebna1bp2/fcf1/rpf2/dkc1/trmt112/dcaf13/gar1/nop2/mphosph10/gnl3/bysl/mphosph6/wdr18/pes/c1qbp/ddx27/mrto4/nhp2/gnl2/exosc3/mak16/imp4/srfbp1/emg1/znf593/rrp1/exosc2/bxdc2/eif6/tsr2/nol6/polr1c/nop16/ddx18/pak1ip1/ncl/pin4/nop56/noc2l/pdcd11/rrp15/dhx37/wdr36/sdad1/rrs1/wdr43/lsg1/noc4l/polr1d/rrp7a/ddx52/sart1/riok2/utp15/ddx54/c1d/krr1/rrp36/tma16/znf622/bms1/eri1/rexo4/ddx10/nip7/mtrex/esf1/gnl3l/ddx28/utp3/nsun5/dimt1l/nol11/nop10/heatr1/mpv17l2/imp3/tsr3/tsr1/exosc9/znhit3/exosc6/ddx51/ftsj3/utp23/rexo1/rpf1/bud23/gemin4/nol10/nop14/rrp8/heatr3/ltv1/pop5/wbp11/urb2/pop4/eri2/wdr74/utp6/xpo1a/gtpbp10/wdr12/exosc7/mettl5/drosha/rbfa/kri1/ppan/utp25/ran/ddx31/sde2/kat2b/rcl1/bop1/xpo1b/snu13a/nob1/mettl16/nup88/rpusd4/exosc10/tfb1m/zcchc4/ybey/abt1/nom1/efl1",135
"GO:0006364","rRNA processing","108/4167","161/18773",0.670807453416149,3.02209462994513,13.7631951161969,2.90254997756448e-34,8.85277743157166e-32,7.17693673399891e-32,"fbl/snu13b/pwp2h/wdr3/ebna1bp2/fcf1/rpf2/dkc1/trmt112/dcaf13/gar1/nop2/mphosph10/gnl3/bysl/mphosph6/wdr18/pes/ddx27/mrto4/nhp2/gnl2/exosc3/mak16/imp4/srfbp1/emg1/rrp1/exosc2/bxdc2/eif6/tsr2/nol6/ddx18/pak1ip1/ncl/pin4/nop56/pdcd11/rrp15/dhx37/wdr36/rrs1/wdr43/rrp7a/ddx52/sart1/riok2/utp15/ddx54/c1d/krr1/rrp36/bms1/eri1/rexo4/ddx10/mtrex/esf1/gnl3l/utp3/nsun5/dimt1l/nol11/nop10/heatr1/imp3/tsr3/tsr1/exosc9/znhit3/exosc6/ddx51/ftsj3/utp23/rexo1/rpf1/bud23/gemin4/nol10/rrp8/ltv1/pop5/wbp11/pop4/eri2/utp6/wdr12/exosc7/mettl5/drosha/rbfa/kri1/ppan/utp25/sde2/kat2b/rcl1/bop1/snu13a/nob1/mettl16/rpusd4/exosc10/tfb1m/zcchc4/ybey/abt1",108
