"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045892","negative regulation of DNA-templated transcription","15/239","346/18773",0.0433526011560694,3.40526519457276,5.12794480806854,3.96916621198463e-05,0.0242516055552261,0.0233136289082887,"dnmt3bb.2/skia/ncor2/ehmt1b/impact/dnmt3ab/rarab/scaf4b/sox4a/cry1b/rcor3/ppardb/scml2/nelfa/atxn1a",15
"GO:1902679","negative regulation of RNA biosynthetic process","15/239","346/18773",0.0433526011560694,3.40526519457276,5.12794480806854,3.96916621198463e-05,0.0242516055552261,0.0233136289082887,"dnmt3bb.2/skia/ncor2/ehmt1b/impact/dnmt3ab/rarab/scaf4b/sox4a/cry1b/rcor3/ppardb/scml2/nelfa/atxn1a",15
"GO:0051253","negative regulation of RNA metabolic process","15/239","382/18773",0.0392670157068063,3.08435015005805,4.67379146398266,0.000120420626019157,0.0376444728375371,0.0361885017544073,"dnmt3bb.2/skia/ncor2/ehmt1b/impact/dnmt3ab/rarab/scaf4b/sox4a/cry1b/rcor3/ppardb/scml2/nelfa/atxn1a",15
"GO:0045934","negative regulation of nucleobase-containing compound metabolic process","16/239","427/18773",0.0374707259953162,2.94325497535594,4.61256686796467,0.000123222497013215,0.0376444728375371,0.0361885017544073,"dnmt3bb.2/skia/ncor2/ehmt1b/si:ch73-368j24.11/impact/dnmt3ab/rarab/scaf4b/sox4a/cry1b/rcor3/ppardb/scml2/nelfa/atxn1a",16
"GO:0001946","lymphangiogenesis","5/239","51/18773",0.0980392156862745,7.70079579949134,5.44132911770304,0.000467473307924357,0.0973612989067193,0.0935956667929183,"lyve1a/lpar1/wnt5b/notch1b/mcamb",5
"GO:0001945","lymph vessel development","6/239","78/18773",0.0769230769230769,6.04216285806244,5.06723539310023,0.000478042384157378,0.0973612989067193,0.0935956667929183,"lyve1a/lpar1/wnt5b/notch1b/mcamb/mmp2",6
"GO:0036303","lymph vessel morphogenesis","5/239","54/18773",0.0925925925925926,7.27297381063071,5.24202002972245,0.000610184199310188,0.104496298361915,0.100454706668876,"lyve1a/lpar1/wnt5b/notch1b/mcamb",5
"GO:0000122","negative regulation of transcription by RNA polymerase II","10/239","227/18773",0.0440528634361234,3.46026947818554,4.23487039501225,0.000684100152942163,0.104496298361915,0.100454706668876,"dnmt3bb.2/skia/ncor2/ehmt1b/impact/rarab/scaf4b/sox4a/ppardb/atxn1a",10
"GO:0043085","positive regulation of catalytic activity","6/239","88/18773",0.0681818181818182,5.35555344237352,4.65058702664041,0.000907756175085966,0.123253116217228,0.118486069169116,"wnt5b/abr/ralgapa2/asap2a/ralgapa1/zgc:114200",6
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT","4/239","39/18773",0.102564102564103,8.05621714408325,5.0090875970238,0.00148516355868816,0.151239155726411,0.145389695745262,"jak2b/stat1a/stat5a/stat2",4
