"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"ebf3a.1",1943.71944698979,8,0,0,4.08647629414519
"rgcc",1848.9213973279,8,0,0,2.12646220007838
"gpm6ab",1715.67764217345,8,0,0,3.69287261167637
"bmp6",1433.88383701759,8,0,0,3.62336957325587
"cxcl12a",1081.69790743713,8,0,0,1.10335008249811
"prox1a",1059.36346133112,8,0,0,2.21639565114343
"rab8b",1035.68429999925,8,0,0,1.02453918247007
"fn1a",990.825293534716,8,0,0,1.05351294524089
"edn1",981.467944449324,8,0,0,3.7571504176132
"ptmaa",943.082990982356,8,0,0,0.597233505636635
"igfbp1a",923.58631492335,8,0,0,2.1338383686356
"cdh6",906.761848885056,8,0,0,1.23802914240792
"selenop",893.279863238924,8,0,0,1.10644079983776
"ralgapa2",885.779252997809,8,0,0,0.611462215732976
"cebpb",882.350951281934,8,0,0,1.41693654464574
"ebf3a",876.206532888437,8,0,0,0.75582154962614
"mrc1b",861.731858267945,8,0,0,1.55144997274056
"emid1",809.759459036578,8,0,0,2.67319779238892
"si:ch211-222l21.1",752.672534236807,8,0,0,0.445350440367337
"sdk1a",749.553942556228,8,0,0,1.21974264500703
"tanc2a",700.51182482543,8,0,0,1.62423311902194
"ptn",695.273761881521,8,0,0,2.27733732120864
"edn2",691.762787039741,8,0,0,2.12421446077092
"lyve1a",689.320187019528,8,0,0,4.78598402762249
"svild",685.87410849935,8,0,0,1.26367202493435
"adma",683.005019389057,8,0,0,2.98507850111212
"hist1h4l.11",680.49245598876,8,0,0,1.95786455104277
"socs3a",672.068317097757,8,0,0,2.64321855101357
"exoc3l2a",671.374008750053,8,0,0,1.11327916920607
"sparc",657.711345472622,8,0,0,1.82636124690561
"nkd1",650.612908833451,8,0,0,1.44752335309077
"smad1",641.634882938202,8,0,0,1.24995526608037
"afap1l1b",637.436872212373,8,0,0,0.858443950986922
"cldn11a",634.966740372516,8,0,0,1.18925818484019
"tubb2b",629.976744290482,8,0,0,0.964293826433617
"cirbpa",626.179186399514,8,0,0,0.570087762111572
"h3f3b.1",610.722651935741,8,0,0,0.636115758679854
"nkain4",603.746072682234,8,0,0,1.86858862077703
"celsr1b",603.531181398709,8,0,0,1.19211377764292
"rbfox3a",601.387394413231,8,0,0,1.17274460877184
"podxl",600.497857521613,8,0,0,2.51671780536143
"sema3fb",597.424442885069,8,0,0,1.76413178478819
"tgm2b",596.499431091288,8,0,0,3.50629016214523
"smad6b",589.351440905181,8,0,0,1.3330637175034
"krt94",587.637525413166,8,0,0,5.6750028446883
"LO018188.1",583.915137271369,8,0,0,2.63893826760186
"arhgap36",572.853559687376,8,0,0,1.48232479218995
"hapln1b",569.571898913808,8,0,0,0.770776146440619
"slit2",563.077853912209,8,0,0,1.65823827448157
"eef2b",544.288009931454,8,0,0,0.685197497702137
"arpc5lb",538.930633368703,8,0,0,1.77712623987557
"pcna",534.329890735669,8,0,0,0.879727760010724
"flt4",532.091659929309,8,0,0,0.7994834480765
"id2b",531.132033719482,8,0,0,2.79192463966996
"stmn1a",524.675512212979,8,0,0,1.09729805683862
"tshz2",522.28805260654,8,0,0,1.82442376332354
"tuba8l4",514.008491007443,8,0,0,0.733557356409237
"igdcc3",510.331944374646,8,0,0,1.47734928962731
"daam1b",502.095945322299,8,0,0,2.02570976138571
"pmp22b",497.74705890811,8,0,0,2.9614688248542
"bahcc1b",491.981841784773,8,0,0,1.14644823480192
"hs3st3b1b",486.153030612438,8,0,0,2.87344964907007
"colec12",472.751390989933,8,0,0,2.99994542109737
"prdx1",469.708220260512,8,0,0,2.95065432766033
"nrp2a",469.475431454041,8,0,0,1.37826717442946
"rnf220a",468.629640066807,8,0,0,1.0952103369465
"got1",467.640326280875,8,0,0,1.93836928896603
"nhsl2",464.807734313856,8,0,0,0.7810108644033
"BX537310.2",460.57419350553,8,0,0,0.67676458435878
"cct4",460.447572205626,8,0,0,0.601714185945132
"hmga1a",457.70513701233,8,0,0,0.541669496662563
"nr2f5",454.709244022975,8,0,0,1.31473205835852
"agap1",454.434771244827,8,0,0,0.549575282892856
"hist1h4l.16",450.226989038956,8,0,0,1.57621159483892
"adam12",449.230998644725,8,0,0,0.66507457086325
"crip2",440.204990405503,8,0,0,0.590546488342847
"cyp26b1",439.879829054716,8,0,0,2.22695720571683
"ism2a",437.733047115848,8,0,0,1.61004201075262
"seta",435.33028839784,8,0,0,0.557116239186259
"CU929160.1",433.18941328048,8,0,0,0.754652856739803
"atrnl1a",430.640080023019,8,0,0,0.943734469431478
"setb",428.409082750924,8,0,0,0.554940883235048
"pclaf",428.061531221682,8,0,0,1.11628148796121
"add3a",427.034678008828,8,0,0,0.576849588413523
"cyp1a",427.014562538248,8,0,0,0.757262334112242
"zgc:113363",426.046991893567,8,0,0,0.618307520054317
"myh10",425.01820914387,8,0,0,0.822014426345226
"syncrip",420.168917196394,8,0,0,0.569936496890747
"magi2a",419.143893602623,8,0,0,2.15336955046735
"akap12b",418.777042197541,8,0,0,0.338895503079587
"si:ch211-250c4.4",417.972351223144,8,0,0,0.797180287490016
"postnb",414.698966802353,8,0,0,0.652724554607901
"hnrnpabb",414.638809028669,8,0,0,0.483769229098665
