"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"rgcc",1780.56563620546,8,0,0,1.30764979661688
"ebf3a.1",1613.94212889833,8,0,0,1.60307402785969
"bmp6",1545.77504290405,8,0,0,2.30777349495634
"gpm6ab",1406.12403809614,8,0,0,2.81428933721852
"cdh6",1336.6067924709,8,0,0,1.43555158308191
"prox1a",1229.59302823399,8,0,0,1.98110872021096
"ralgapa2",1218.13877866904,8,0,0,1.52912802511237
"rbpjb",1111.27769052748,8,0,0,0.827411720077341
"ebf3a",1063.34682626134,8,0,0,1.19598830314416
"fn1a",1054.55973665605,8,0,0,3.27191225224928
"flt4",1047.94664983987,8,0,0,1.21197477465694
"cxcl12a",1035.48158737339,8,0,0,2.86948774579712
"ptmaa",1019.66608894424,8,0,0,1.17328965666617
"rab8b",994.507050837142,8,0,0,1.63074077285833
"edn1",960.084202810995,8,0,0,2.94805665950813
"igfbp1a",954.170680494885,8,0,0,3.56058031412157
"svild",938.597879686091,8,0,0,0.635715017552166
"add3a",925.00882497827,8,0,0,0.615092173821467
"emid1",924.549130053879,8,0,0,1.59941872791987
"cirbpa",882.977922958412,8,0,0,0.509201909251725
"si:ch211-222l21.1",873.315357280441,8,0,0,1.16827926544224
"nrp2a",866.098582673367,8,0,0,0.872148687605799
"afap1l1b",862.853717066927,8,0,0,0.798700485248937
"zeb2b",847.920520314495,8,0,0,1.80546793508827
"h3f3b.1",833.323472197363,8,0,0,0.479194125932617
"smad1",831.849011439823,8,0,0,1.46848627561526
"osr2",817.483021790888,8,0,0,3.12393805648217
"sdk1a",814.182309552538,8,0,0,3.20210412681671
"selenop",798.737105005017,8,0,0,1.24267417454704
"tubb2b",785.016787339152,8,0,0,0.678921338193023
"cebpb",781.584609678755,8,0,0,2.17295227814169
"mrc1b",768.747463975944,8,0,0,4.37570524804208
"hist1h4l.11",750.449248916611,8,0,0,0.841685472739933
"si:ch73-386h18.1",736.553704551625,8,0,0,0.772689747229539
"socs3a",715.079202173055,8,0,0,1.31355264483727
"celsr1b",707.535070164259,8,0,0,1.58429344488282
"adma",704.383560953332,8,0,0,2.81600876994983
"sema6e",701.175792026211,8,0,0,0.762818009621034
"rnf220a",698.367691376924,8,0,0,1.80932048268218
"tuba8l4",689.222602603865,8,0,0,0.480007622097508
"edn2",680.731508761008,8,0,0,4.31437280987012
"tanc2a",678.185192305499,8,0,0,0.92880275779815
"eya1",676.451339807508,8,0,0,1.54063508548607
"arpc5lb",676.049413833159,8,0,0,2.20902691794514
"pcna",653.89463705123,8,0,0,0.758730439852744
"nkd1",648.378853701561,8,0,0,2.11945096386934
"hmga1a",648.358424039383,8,0,0,0.466335178882875
"slit2",643.593662897412,8,0,0,2.07886524538475
"mafa",643.47054020471,8,0,0,1.20539377141581
"ptn",629.757855748632,8,0,0,1.86682355075989
"rbfox3a",629.172333655341,8,0,0,3.38855110241444
"exoc3l2a",621.520221415054,8,0,0,1.08492949895814
"stmn1a",620.770327504449,8,0,0,0.64819478954292
"bnc2",619.849558002058,8,0,0,0.702017476949613
"smad6b",615.8563769138,8,0,0,2.24985354636668
"setb",614.675150365704,8,0,0,0.496616784651046
"lyve1a",613.561655997057,8,0,0,2.59882376621204
"sparc",610.297985627874,8,0,0,0.683110909992565
"zgc:113363",607.249923621311,8,0,0,0.739536260183728
"arhgap36",589.295972333167,8,0,0,2.22609555992534
"nkain4",588.782851810542,8,0,0,1.92670281190803
"tgm2b",584.126958302226,8,0,0,2.68764439875148
"sema3fb",580.498683803238,8,0,0,2.59930936342705
"cldn11a",580.349065353968,8,0,0,1.1674183016573
"agap1",580.10915622275,8,0,0,0.440408134384781
"hnrnpabb",579.842451427836,8,0,0,0.454070351942959
"seta",577.843053452801,8,0,0,0.446987627354792
"LO018188.1",562.022129437113,8,0,0,2.41866262905902
"chd4a",559.654777483181,8,0,0,0.543340854042736
"hapln1b",559.632782114467,8,0,0,2.84705046926516
"trps1",558.0298570212,8,0,0,1.32142192184308
"akap12b",557.158626111577,8,0,0,0.771925629646503
"hspg2",555.968121549202,8,0,0,1.18738153627704
"anp32b",544.438801266051,8,0,0,0.466243472162319
"ddx39ab",543.321802723261,8,0,0,0.516052539945734
"BX537310.2",540.895585847461,8,0,0,2.56817286815363
"npm1a",540.261387039525,8,0,0,0.767945244277467
"igdcc3",539.103649954671,8,0,0,2.63333155724541
"krt94",534.559870288648,8,0,0,2.25135959145073
"ncl",532.040771524169,8,0,0,0.592303959849812
"hs3st3b1b",525.319026680621,8,0,0,1.18912883776177
"pxk",525.17669382932,8,0,0,1.67749465074486
"mcamb",524.318108338039,8,0,0,0.533861855206869
"eif4a1a",524.285954750596,8,0,0,0.475060170889166
"podxl",521.050427273971,8,0,0,0.836896903770917
"abcf1",520.144771407004,8,0,0,0.51923320411014
"macf1a",516.566401594884,8,0,0,0.760485714968652
"srgap1a",516.190055753056,8,0,0,0.871923130069669
"tubb4b",514.388256288397,8,0,0,0.357613363769804
"id2b",512.304878506516,8,0,0,2.63995546613463
"C7H16orf87",511.32442995742,8,0,0,1.10656660867862
"tshz2",511.062521766349,8,0,0,1.7246411778051
