"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"ebf3a.1",1779.03205870687,8,0,0,2.28022219486217
"rgcc",1571.1107903114,8,0,0,1.91662332302455
"cdh6",1229.35599815426,8,0,0,2.93747684143104
"spns2",1169.07653718166,8,0,0,1.62804964522083
"h3f3b.1",1162.03829224351,8,0,0,1.9577515547113
"tubb2b",1025.70576617229,8,0,0,2.31591588154739
"add3a",983.855454942339,8,0,0,1.35902569523619
"mrc1b",931.545569255803,8,0,0,3.3250356899069
"tuba8l4",884.672124898573,8,0,0,1.52351958919356
"si:ch211-222l21.1",861.520564557381,8,0,0,1.76702238392255
"rbpjb",860.380687970811,8,0,0,1.31781942866628
"hmga1a",847.59804655802,8,0,0,2.19492712262534
"nrp2a",821.379227968754,8,0,0,1.2869349064069
"svild",820.666463333362,8,0,0,0.789354384175376
"hist1h4l.11",802.731948448216,8,0,0,1.64728549562663
"emid1",795.648481215867,8,0,0,2.19323359322613
"cirbpa",794.728502959983,8,0,0,1.28265635255868
"prox1a",781.359550631419,8,0,0,2.60834693533743
"zeb2b",759.149300333592,8,0,0,2.92939255755804
"flt4",742.988304775424,8,0,0,0.560318364272365
"marcksl1a",707.418521890431,8,0,0,0.998049777564478
"selenop",707.24052885216,8,0,0,1.50340524463789
"mafa",704.265659853133,8,0,0,1.15780100075191
"sema6e",698.868633199339,8,0,0,1.09349549433286
"stmn1a",693.869211557775,8,0,0,2.84164215129739
"tubb4b",680.678909416666,8,0,0,1.1471343749466
"seta",678.239101577183,8,0,0,1.8542767066886
"cebpb",661.655863854755,8,0,0,1.88156501351112
"setb",627.121557170992,8,0,0,1.85945913526932
"bnc2",618.180366099524,8,0,0,1.45322779643171
"hnrnpabb",606.525929114238,8,0,0,1.6300065051992
"hmgb2b",600.033364986923,8,0,0,2.00543955589809
"sparc",593.505018746712,8,0,0,1.43850668861038
"pcna",574.472234484886,8,0,0,2.07669109724705
"smad1",574.405601358793,8,0,0,0.859975096805216
"si:ch73-281n10.2",570.000927269189,8,0,0,2.25669374559218
"hist1h4l.16",561.557820713529,8,0,0,1.94688432463224
"sema3fb",560.230268541758,8,0,0,2.42482226626752
"celsr1b",557.855449321103,8,0,0,0.870568582608844
"cldn11a",548.58290978165,8,0,0,2.02182752515568
"anp32b",546.755300983171,8,0,0,1.64687260613994
"hmgb2a",545.526417244276,8,0,0,2.03210643503388
"zgc:113363",544.292320287497,8,0,0,1.51689582346763
"daam1b",537.031931923222,8,0,0,1.43046144576948
"prdx1",533.006117238785,8,0,0,0.739960748754158
"podxl",531.859640955131,8,0,0,0.682469166188598
"agap1",524.865510814647,8,0,0,0.557117851643042
"tfpia",523.267570514272,8,0,0,2.82199135242578
"eya1",521.923294175823,8,0,0,1.02391582256007
"si:ch73-386h18.1",518.711008712998,8,0,0,0.990980618801246
"tanc2a",518.667198350224,8,0,0,0.771528151344589
"osr2",516.313364188183,8,0,0,3.40346343932622
"eif4a1a",514.14208131307,8,0,0,1.10068632182876
"ralgapa2",510.700292016011,8,0,0,0.369706805086558
"pmp22b",495.242626719669,8,0,0,0.82943976220386
"pclaf",489.748046213022,8,0,0,2.29821473880934
"cbx3a",489.710873774286,8,0,0,1.40661892936639
