"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"rgcc",1774.19790898301,8,0,0,1.1038043667213
"ebf3a.1",1618.76747128557,8,0,0,1.53578762143932
"bmp6",1546.33045392005,8,0,0,2.03626715584441
"gpm6ab",1415.65933215831,8,0,0,2.39627618228871
"cdh6",1346.32228333073,8,0,0,1.25417743002705
"prox1a",1234.2281065824,8,0,0,1.8742179182695
"ralgapa2",1198.33811687463,8,0,0,0.910552347491085
"flt4",1072.6638257291,8,0,0,1.20783806116677
"ebf3a",1065.23860179516,8,0,0,0.671888372353913
"fn1a",1056.94105033874,8,0,0,1.73648577115111
"ptmaa",1020.9391001415,8,0,0,0.524692933626697
"cxcl12a",1007.24149705452,8,0,0,0.792183801411051
"rab8b",992.457767388109,8,0,0,0.417896449845794
"svild",971.705133978346,8,0,0,1.00878981792595
"igfbp1a",966.141884782169,8,0,0,1.18987061597591
"rbpjb",963.371337185511,8,0,0,2.15266387951294
"add3a",959.663343083356,8,0,0,1.15514388877754
"edn1",956.213953408502,8,0,0,1.71454334976316
"emid1",921.977574762504,8,0,0,2.50794268432264
"cirbpa",892.314507927191,8,0,0,0.475615465401704
"si:ch211-222l21.1",889.777037542497,8,0,0,0.564210702791935
"nrp2a",877.729408791753,8,0,0,1.39521450876259
"zeb2b",851.184166145521,8,0,0,2.99955017322639
"afap1l1b",841.088331350406,8,0,0,0.629110624879363
"h3f3b.1",833.047734759448,8,0,0,0.509633562751716
"smad1",828.393581979408,8,0,0,0.857476249016755
"sdk1a",813.875840970325,8,0,0,1.82916177201966
"tubb2b",797.48671372,8,0,0,0.6451359849432
"mrc1b",796.967217845225,8,0,0,1.54367639364709
"selenop",794.939008578119,8,0,0,0.910446440954359
"cebpb",787.462370629869,8,0,0,0.901937940559596
"hist1h4l.11",758.150033752142,8,0,0,0.937842427840827
"si:ch73-386h18.1",725.4306146303,8,0,0,1.28122151322121
"rnf220a",712.135062330841,8,0,0,1.65223564740611
"socs3a",709.338819043843,8,0,0,1.12376571107968
"celsr1b",706.215646114348,8,0,0,0.905180030590232
"adma",705.247814887877,8,0,0,1.80929823119609
"tuba8l4",700.191957066657,8,0,0,0.514246032796743
"mafa",696.143870300703,8,0,0,3.97605399763184
"sema6e",691.011777613759,8,0,0,1.45242405938136
"edn2",680.813100374661,8,0,0,2.15796960412865
"tanc2a",678.19421663611,8,0,0,0.70276053215561
