"Gene","waldStat","df","pvalue","FDR"
"icn",55.2028411536206,5,1.18576148899763e-10,2.34425046374831e-07
"zgc:153409",50.0244933550861,5,1.3698960854569e-09,1.19938544018705e-06
"ablim1b",40.248849548141,2,1.82000825521555e-09,1.19938544018705e-06
"pfn1",33.5976391932196,5,2.86299716323324e-06,0.00141503634792803
"hapln3",30.9054965693418,5,9.77841169613747e-06,0.00386638398465275
"loxl1",26.8602984364723,5,6.07289173030212e-05,0.0200101782513455
"tcima",25.8143903358601,5,9.69443876789322e-05,0.0257651918524631
"timp2a",25.6512960572278,5,0.00010425975458761,0.0257651918524631
"lyve1a",25.2060161655194,5,0.000127133313582828,0.0279269512170279
"strbp",24.8537033080349,5,0.000148694341481237,0.0293968713108405
"klf12b",16.6310710666249,2,0.000244685821074286,0.0439767152967149
"kdrl",23.110366660478,5,0.000321553850199385,0.0529759968203487
"angpt2a",18.3495931694175,3,0.00037253786757363,0.0566544126302359
"tns1b",21.1930036546152,5,0.000744784965855949,0.101692685749872
"pdgfd",21.1118692743323,5,0.000771568177161397,0.101692685749872
"ifi30",13.9524586216204,2,0.000933817709327545,0.115384850708785
"bcl2a",20.4171177029133,5,0.00104334625522207,0.121335032151413
"bahcc1a",20.1775180458149,5,0.00115740043822066,0.127121148131235
"hist1h2a6",19.7337441332543,5,0.00140195067814564,0.145876657404943
"hsp70.2",12.8533773223148,2,0.00161779905556592,0.155771954805871
"cd82a",19.2408998509786,5,0.00173329340665651,0.155771954805871
"atp8a1",19.2407219568713,5,0.0017334259007229,0.155771954805871
"cdh6",19.1075202089854,5,0.00183547760099045,0.156115899573875
"ch25h",12.5291617264724,2,0.00190251066352753,0.156115899573875
"hist1h4l.10",18.909300907113,5,0.00199835193792641,0.156115899573875
"il13ra2",18.8462004117754,5,0.00205311754624216,0.156115899573875
"nuf2",18.7573585219801,5,0.00213272891836191,0.156163150800056
"hist1h4l.20",18.5783260185303,5,0.00230247160698971,0.162044352329288
"lpar1",18.5037965493986,5,0.00237697835991368,0.162044352329288
"med6",18.2563125568627,5,0.00264174731137623,0.174091147819694
"si:ch211-152c2.3",17.7105263584334,5,0.0033319551228288,0.212492750897824
"tomm40l",17.6073446527755,5,0.00348098777597328,0.215059776034349
"zgc:173552",11.1016264010933,2,0.00388429724615047,0.222435372573903
"dut",17.2732328002213,5,0.00400972124947663,0.222435372573903
"fam102aa",17.2289358260169,5,0.00408546869413917,0.222435372573903
"prcp",17.1561294498893,5,0.00421301645521155,0.222435372573903
"si:dkey-261h17.1",17.1473561155078,5,0.00422864658135735,0.222435372573903
"nr5a2",17.0494229625212,5,0.00440701249106557,0.222435372573903
"meox1",16.9880000062455,5,0.00452261160991352,0.222435372573903
"hsp70.1",10.7853740095773,2,0.00454973174550743,0.222435372573903
"zgc:173587",16.941045119099,5,0.00461297434270613,0.222435372573903
"smad6b",16.8682074645117,5,0.00475664758767924,0.223902197162901
"nfatc1",16.4772427184706,5,0.00560573036401235,0.257637354483321
"hist1h4l.16",16.4232830796228,5,0.00573396236584023,0.257637354483321
"si:ch211-130m23.3",10.2021749556038,2,0.00609012009268606,0.267559276072007
"igfbp1a",16.1282317772111,5,0.00648734465730161,0.278814791032289
"prkd3",16.0674133626036,5,0.00665421822235035,0.279901902672056
"hsp70.3",9.88714243396381,2,0.00712909331825651,0.29362953104569
"tmem198b",15.7209194650927,5,0.0076877197662103,0.302431078520032
"rassf2a",9.70596544328983,2,0.00780506246655144,0.302431078520032
"CABZ01075125.1",9.65820892396003,2,0.0079936767029013,0.302431078520032
"mpp7a",15.5932170853382,5,0.00810671655783612,0.302431078520032
"slc25a32a",15.5929363483118,5,0.00810766169021837,0.302431078520032
"kirrel3l",15.4930743579815,5,0.00845074457551565,0.309391148625823
"elk3",15.2950576774743,5,0.0091732683242518,0.325896787495311
"zgc:194989",15.2636287475206,5,0.00929333182020509,0.325896787495311
"tspan9a",15.2370353052405,5,0.00939611375176164,0.325896787495311
"cldn11a",14.9113263284702,5,0.0107480229610353,0.361257272357379
"ptprub",14.8968955362265,5,0.0108120925746281,0.361257272357379
"foxn3",14.8610667507628,5,0.0109727698757929,0.361257272357379
"ppp1r9ala",14.8228882465874,5,0.0111465319240264,0.361257272357379
"si:ch211-191c10.1",8.9023013143268,2,0.0116651366719691,0.370672002476187
"CU862020.1",8.85215505821876,2,0.0119613156885117,0.370672002476187
"eya1",14.598163549621,5,0.01222465970093,0.370672002476187
"tshz2",14.5204953145076,5,0.0126202471646867,0.370672002476187
"edn2",14.5095878806289,5,0.0126767848358338,0.370672002476187
"skia",14.5038678025939,5,0.0127065322433281,0.370672002476187
"ckap2l",14.4956347724735,5,0.0127494669541632,0.370672002476187
"hmgn2",14.4248510616513,5,0.0131244375858046,0.376043668219358
"hbegfa",14.3525866654794,5,0.0135182504452096,0.38179401614542
"fabp11a",14.273494981526,5,0.0139623670636179,0.388783094151726
"arhgap36",14.1552864050794,5,0.0146525304535077,0.399770932729623
"hist1h4l.21",14.1371334457439,5,0.0147613950881449,0.399770932729623
"sparc",13.9199091650759,5,0.016126247643692,0.405758572257558
"rbpms2a",13.9044728947035,5,0.0162277395052789,0.405758572257558
"ctdspla",13.9037547860305,5,0.0162324759666371,0.405758572257558
"smad3a",13.8973623471463,5,0.0162746976885511,0.405758572257558
"mibp",13.8772211050032,5,0.0164084235450159,0.405758572257558
"apoeb",13.8628509868498,5,0.0165044798817431,0.405758572257558
"ENSDARG00000115101",13.8597851818229,5,0.0165250431993974,0.405758572257558
"cyp1a",13.8283023422038,5,0.0167376434918144,0.405758572257558
"sh3gl3a",13.7997873937555,5,0.0169324767549656,0.405758572257558
"hist2h3c",10.1878668577188,3,0.0170348818904286,0.405758572257558
"pclaf",13.7389984893845,5,0.0173551544475082,0.406707704646166
"nupr1b",8.09264625991664,2,0.0174865523611278,0.406707704646166
"zfpm2b",13.6915828386232,5,0.0176918880119222,0.406707704646166
"FP236812.1",13.6301421588028,5,0.0181375989111446,0.412161299394632
"si:dkey-88l16.3",7.95871908861951,2,0.0186976104948612,0.420058817594779
"spns2",13.5220437138487,5,0.0189481673635826,0.420904796379807
"adarb2",7.84645802913232,2,0.019777130886124,0.434437641798523
"ptn",13.3407344002559,5,0.0203865882887388,0.44290423128392
"BX005003.1",13.2915542110076,5,0.0207945213897259,0.446856182472697
"RASSF5",11.5450974129456,4,0.0210749274046269,0.448012166440295
"smad1",13.2123349822088,5,0.0214681672625734,0.448302347868512
"calcrla",13.2037871203694,5,0.0215420956234237,0.448302347868512
"ppp1r14aa",11.2493775780954,4,0.0238997950948932,0.492186405235456
"palm3",12.8749096730815,5,0.0245796281961004,0.495729217761583
"BX005396.2",7.4023073921678,2,0.0246950194820327,0.495729217761583
"ehd4",12.8501659364826,5,0.0248240731200793,0.495729217761583
"mmp15b",12.8018161451083,5,0.0253084652384624,0.495846215918158
"robo1",12.7987937600361,5,0.0253390438808599,0.495846215918158
"col27a1b",7.29696225920559,2,0.0260306359303737,0.495846215918158
"cebpb",7.29645974175918,2,0.02603717717646,0.495846215918158
"slit2",12.7262249084804,5,0.0260839688697463,0.495846215918158
"h1-10",7.23685407661028,2,0.0268248377671889,0.505073373959357
"kntc1",12.5755623331285,5,0.0276980496531674,0.50984585424285
"slc22a16",10.8885616784267,4,0.0278453917428241,0.50984585424285
"hmox1a",7.14046667168723,2,0.0281492846768507,0.50984585424285
"efnb3b",7.13367555608626,2,0.0282450296618352,0.50984585424285
"diaph3",12.5155033752129,5,0.0283677511212511,0.50984585424285
"oaz2b",12.4537200343165,5,0.0290728224826764,0.517810540975236
"cxadr",12.3684164550754,5,0.030073878152282,0.526208598648998
"traf4a",12.3681825762216,5,0.0300766674999174,0.526208598648998
"mad2l1",12.2955485174806,5,0.0309549908761219,0.536824710193797
"eno1a",12.2732878252529,5,0.0312290429183245,0.53686798130024
"dnajb1b",6.87184069348282,2,0.0321957653245087,0.543937407229987
"ogna",12.1827125119648,5,0.0323681772951138,0.543937407229987
"rcan1a",12.1751030863947,5,0.032465662141193,0.543937407229987
"kcnq5b",12.0954409418185,5,0.0335031650938163,0.556603003281302
"h3f3b.1",12.0650157262802,5,0.0339076935997246,0.557313754017708
"efna1b",6.75634436509512,2,0.0341097441760965,0.557313754017708
"cxcl18b",11.9550826228554,5,0.0354084628803896,0.57379123864369
"ccnb1",11.8648739512571,5,0.036686971541305,0.582075134647224
"tm4sf18",11.8617849211332,5,0.0367315198896782,0.582075134647224
"slc29a2",11.8568407190823,5,0.0368029296059196,0.582075134647224
"thy1",6.55136372100848,2,0.0377910921889753,0.592521682702545
"ect2",11.7710752783652,5,0.0380628496222677,0.592521682702545
"plvapb",11.6782200706566,5,0.039473079074138,0.607384755130363
"kif26ab",11.6502976157382,5,0.0399067579788271,0.607384755130363
"tnn",6.44078839593513,2,0.0399393111618347,0.607384755130363
"agrn",11.5337808127393,5,0.0417657126467271,0.626641118859566
"osbpl3b",11.5089795823301,5,0.0421718606057413,0.626641118859566
"frem2a",11.5081440094858,5,0.0421856090092386,0.626641118859566
"rapgef4",11.4751752727617,5,0.0427314743574653,0.626641118859566
"bmp6",11.4647864802854,5,0.0429048641255482,0.626641118859566
"ppp2r5b",6.28812443573827,2,0.0431073303818417,0.626641118859566
"itga2.2",11.3739861662259,5,0.044448947103636,0.641427506743711
"bcar3",11.3298443401892,5,0.0452184497196659,0.64780344272304
"celsr1b",11.2376443206815,5,0.0468665538383244,0.661384433608277
"itga9",11.2278352147511,5,0.047045197884339,0.661384433608277
"igfbp5b",6.10297058943586,2,0.047288634644313,0.661384433608277
"fkbp1ab",11.2027708806351,5,0.0475045976592693,0.661384433608277
"si:ch211-113a14.12",11.0516834005084,5,0.0503648287989487,0.682873232945855
"pcbp3",5.96957799569993,2,0.0505501686181818,0.682873232945855
"spsb4a",11.038170563823,5,0.0506284040262124,0.682873232945855
"mpp2b",11.0361035699066,5,0.0506688363600708,0.682873232945855
"plecb",11.0306787250659,5,0.050775096228144,0.682873232945855
"si:ch211-227m13.1",10.8968913484872,5,0.0534630867025324,0.714165691965585
"flrt2",10.8014362514268,5,0.0554621927011539,0.733971439777576
"hoxa4a",9.22617284687851,4,0.0556882731242471,0.733971439777576
