"Gene","waldStat","df","pvalue","FDR"
"icn",204.187146561021,5,0,0
"zgc:153409",158.398439801764,5,0,0
"meox1",122.101018284477,5,0,0
"si:dkey-251i10.2",112.306741960002,5,0,0
"hapln3",107.552684126613,5,0,0
"ptn",92.5673229908187,5,0,0
"loxl1",79.6614376977473,5,9.99200722162641e-16,2.81774603649865e-13
"nfatc1",72.1593611411523,5,3.64153152077051e-14,8.98547902750124e-12
"cdh6",69.8559112865797,5,1.09801057135428e-13,2.40830318650372e-11
"lyve1a",66.8382178718576,5,4.65516514225328e-13,9.18929599080798e-11
"pclaf",65.0007658533716,5,1.12032605414925e-12,1.90630955465565e-10
"rgcc",64.9300785128992,5,1.15885079310374e-12,1.90630955465565e-10
"timp2a",58.5667736009455,5,2.40288899888697e-11,3.64869452600221e-09
"dut",57.5977091559238,5,3.80768749863591e-11,5.36883937307664e-09
"cebpb",56.1766759542817,5,7.47346629026424e-11,9.83508163798774e-09
"gpm6ab",55.6424441459419,5,9.62770974055616e-11,1.18781868924112e-08
"ch25h",41.5944043116782,2,9.28730869986794e-10,1.04350340368597e-07
"tubb2b",50.7975659186529,5,9.51522860503928e-10,1.04350340368597e-07
"kif26ab",48.037244428124,5,3.49028306256827e-09,3.62622040289987e-07
"mgat4b",46.3554187587032,5,7.68794317096422e-09,7.58799990974168e-07
"fam102aa",44.9692819666993,5,1.47189034294115e-08,1.38357692236468e-06
"mrc1b",44.1248248671658,5,2.18493684256416e-08,1.95183009939988e-06
"sema3d",44.0392003284715,5,2.27416880882458e-08,1.95183009939988e-06
"zgc:113363",42.6739247683264,5,4.30226048120375e-08,3.53860924579008e-06
"cycsb",42.2768188005521,5,5.17745550876469e-08,4.0881188697206e-06
"ace",42.0289127368131,5,5.81158363655021e-08,4.41233311482697e-06
"tshz2",40.1072862519157,5,1.42079036868914e-07,1.03221024935762e-05
"prox1a",40.0425849821116,5,1.46412801327322e-07,1.03221024935762e-05
"svild",38.469047209791,5,3.03701782611299e-07,2.06726661680932e-05
"tuba8l4",37.7349106124689,5,4.2653183962571e-07,2.80657950473717e-05
"aqp1a.1",36.7572791897754,5,6.69936373598468e-07,4.26598194026895e-05
"rapgef4",36.6367484825573,5,7.08239340840855e-07,4.36895143381202e-05
"eya1",36.0630420145847,5,9.22626957500228e-07,5.51898670941045e-05
"igfbp1a",35.5925271491681,5,1.14579054022457e-06,6.65232507765675e-05
"nhsl2",35.3206184333072,5,1.29845528273886e-06,7.32328779464719e-05
"celsr1b",34.7324457015434,5,1.70142700373077e-06,9.3294914037904e-05
"calcrla",34.6231265153815,5,1.78901034586509e-06,9.54461195334512e-05
"zgc:162730",34.5354688519848,5,1.86246726063821e-06,9.67502729605219e-05
"dnajb1b",26.2072350066893,2,2.0378453620129e-06,0.000102930551977493
"pcna",34.2887414380302,5,2.08572547066854e-06,0.000102930551977493
"si:ch211-147k10.5",33.687028815113,5,2.74815671541528e-06,0.00013231369161536
"hmgn2",33.5725620405367,5,2.89606284054056e-06,0.000136114953505406
"fabp7a",25.3731837252862,2,3.09231096140561e-06,0.000141958647391039
"kif26aa",33.3367354270551,5,3.22619572901139e-06,0.000144738872024284
"hist1h4l.16",33.0747747193171,5,3.63693107008345e-06,0.000159540042940994
"bmp6",32.6842553002805,5,4.34763605527966e-06,0.000186570295067871
"hspd1",32.2182602308302,5,5.3783059007495e-06,0.000225888847831479
"nkain4",31.1729401777856,5,8.65879705169714e-06,0.000356093028751045
"sh3gl3a",31.0258589056841,5,9.25776650306798e-06,0.000372955736266453
"socs3a",30.8214879594496,5,1.01589372593081e-05,0.000401074842997482
"marcksl1a",30.7375578976274,5,1.05537911799791e-05,0.00040849379978978
"nrp2b",30.6477130381049,5,1.09933750036539e-05,0.000417325428023324
"snu13b",30.306539346256,5,1.28346812520164e-05,0.000478031335688308
"tmsb1",29.559464391685,5,1.80052088439853e-05,0.000658190412185684
"adam8a",29.4812249389683,5,1.86540785729328e-05,0.000669511838235805
"ddx39ab",29.3956773780331,5,1.9390144823328e-05,0.000671047664431084
"krt91",29.3757264920665,5,1.95659098408685e-05,0.000671047664431084
"atp11a",29.3587518126673,5,1.97166993601838e-05,0.000671047664431084
"syne1b",29.1745870766986,5,2.1428689374825e-05,0.000716953098744145
"ptprub",28.889820364463,5,2.43705859434007e-05,0.000801792277537883
"si:ch211-156b7.4",28.7968875406739,5,2.54148322234027e-05,0.000822440636213064
"tp53inp2",28.7565262932566,5,2.58820704649443e-05,0.000824051727383871
"emilin1b",28.6214421285108,5,2.75087343628577e-05,0.000861940343369542
"hmgb2b",28.4485417318854,5,2.97395514350374e-05,0.000917279289574434
"CABZ01005379.1",28.0855088732807,5,3.50242490998465e-05,0.00106365950343226
"hoxb8a",28.0201250683117,5,3.60705273316775e-05,0.00107883668110199
"ranbp1",27.7459676301429,5,4.0805753491191e-05,0.00120224712524793
"ap1s3b",27.431679341716,5,4.69963322705658e-05,0.00136427588091319
"pbk",27.2459783254373,5,5.10827624685684e-05,0.00146141120453556
"mpp2b",27.0698505885174,5,5.52833002174236e-05,0.00154782646588472
"nifk",27.0542460119947,5,5.56715699482346e-05,0.00154782646588472
"si:ch73-335l21.4",19.3362583545655,2,6.32681080985353e-05,0.00173460063036818
"selenop",26.6357857939576,5,6.71540467955811e-05,0.00181591901882845
"SAMD5",26.5389644673444,5,7.01286627216025e-05,0.00187072946233031
"h3f3b.1",26.4685324356924,5,7.23742068000632e-05,0.00190488912297766
"nrp2a",25.9779257495927,5,9.01199346082793e-05,0.00234074672258873
"parp1",25.8192420803605,5,9.67347398205254e-05,0.00247992696630801
"nasp",25.5441163227372,5,0.000109362122999945,0.00276770295899862
"klf17",25.4976480726253,5,0.000111650391670715,0.00278984649567077
"iqsec1b",25.4358512991284,5,0.000114767082666889,0.00283187776480549
"col4a2",25.3161066139237,5,0.000121053529976711,0.00295011936017319
"rrm2.1",25.0602696041203,5,0.000135649365578305,0.00326551033721433
"tuba1b",24.9748459652116,5,0.00014090065373662,0.00335105892139864
"cnbpa",24.7994250449828,5,0.000152323282767153,0.00357959714502809
"hells",24.7517485622946,5,0.000155583049091579,0.00361318751655031
"si:ch211-152c2.3",24.4566585471596,5,0.000177351230598921,0.00407082940932872
"npl",24.2561927505436,5,0.000193831212242035,0.00439796336742272
"cldn5b",24.1777143145964,5,0.000200687592098014,0.00450178757728955
"col4a1",24.0812766672295,5,0.000209442190666542,0.00464538072332308
"si:ch211-288g17.3",23.94907082639,5,0.000222060438645588,0.00483269918546839
"nhp2",23.9417166747118,5,0.000222784005003862,0.00483269918546839
"cyp26b1",23.8025104305785,5,0.000236928463714592,0.00508366073231092
"pdgfd",23.5722927669614,5,0.000262293178636241,0.00556738424331119
"lbr",23.3528011540654,5,0.000288968245740984,0.00606833316056066
"ppp1r9ala",23.048594852092,5,0.000330421029293593,0.00686580117711108
"bicd1a",22.8708737824238,5,0.000357301781081065,0.0073470178734794
"mical2a",22.7871408102745,5,0.000370704208824124,0.00754402173421465
"hmgb2a",22.7412374754209,5,0.000378261002023206,0.00761925732646743
"hsp70.2",18.2538296826701,3,0.000389884954543729,0.00777406969969011
"CABZ01021592.1",22.6337343291008,5,0.000396558989949281,0.0078280744615988
"thrab",22.3309340025078,5,0.000452927547065385,0.00885226710799079
"arpp19b",22.2372588064025,5,0.000471916681184625,0.00913297577116128
"rapgef5b",22.1321299718292,5,0.000494164243853068,0.00947068172199957
