"score",".y.","p","p.adj","p.format","p.signif","method","L3_celltype","group1","group2","sig_sign"
"hippo_1","score",3.86020570415315e-15,3.9e-15,"3.9e-15","****","Kruskal-Wallis",NA,NA,NA,NA
"hippo_1","score",0.00038763986774687,0.0012,"0.00039","***","Wilcoxon","LEC","meox1_mutant","wildtype","**"
"hippo_1","score",3.26906212012291e-07,1.3e-06,"3.3e-07","****","Wilcoxon","mVEC","meox1_mutant","wildtype","****"
"hippo_1","score",0.766167222063812,0.77,"0.76617","ns","Wilcoxon","pre_muLEC","meox1_mutant","wildtype","ns"
"hippo_1","score",0.0552741661446286,0.11,"0.05527","ns","Wilcoxon","hmVEC","meox1_mutant","wildtype","ns"
"mapk_1","score",0.109095022077375,0.11,"0.11","ns","Kruskal-Wallis",NA,NA,NA,NA
"mapk_1","score",0.580401607940335,0.92,"0.580","ns","Wilcoxon","LEC","meox1_mutant","wildtype","ns"
"mapk_1","score",0.328388647845342,0.92,"0.328","ns","Wilcoxon","mVEC","meox1_mutant","wildtype","ns"
"mapk_1","score",0.305998400268223,0.92,"0.306","ns","Wilcoxon","pre_muLEC","meox1_mutant","wildtype","ns"
"mapk_1","score",0.0345055177438285,0.14,"0.035","*","Wilcoxon","hmVEC","meox1_mutant","wildtype","ns"
"wnt_1","score",0.264127637215868,0.26,"0.26","ns","Kruskal-Wallis",NA,NA,NA,NA
"wnt_1","score",0.801228343280648,1,"0.80","ns","Wilcoxon","LEC","meox1_mutant","wildtype","ns"
"wnt_1","score",0.665211703832612,1,"0.67","ns","Wilcoxon","mVEC","meox1_mutant","wildtype","ns"
"wnt_1","score",0.681741419048908,1,"0.68","ns","Wilcoxon","pre_muLEC","meox1_mutant","wildtype","ns"
"wnt_1","score",0.316244127773572,1,"0.32","ns","Wilcoxon","hmVEC","meox1_mutant","wildtype","ns"
"ap1_1","score",0.753087759486527,0.75,"0.75","ns","Kruskal-Wallis",NA,NA,NA,NA
"ap1_1","score",0.674202118763931,0.67,"0.674","ns","Wilcoxon","LEC","meox1_mutant","wildtype","ns"
"ap1_1","score",0.0319307053377362,0.13,"0.032","*","Wilcoxon","mVEC","meox1_mutant","wildtype","ns"
"ap1_1","score",0.26108563683777,0.52,"0.261","ns","Wilcoxon","pre_muLEC","meox1_mutant","wildtype","ns"
"ap1_1","score",0.0480523165721324,0.14,"0.048","*","Wilcoxon","hmVEC","meox1_mutant","wildtype","ns"
"EMBO_LEC_score_1","score",1.36605790058474e-08,1.4e-08,"1.4e-08","****","Kruskal-Wallis",NA,NA,NA,NA
"EMBO_LEC_score_1","score",6.9627106125958e-06,2.1e-05,"7.0e-06","****","Wilcoxon","LEC","meox1_mutant","wildtype","****"
"EMBO_LEC_score_1","score",0.0261539688727891,0.052,"0.026","*","Wilcoxon","mVEC","meox1_mutant","wildtype","ns"
"EMBO_LEC_score_1","score",0.0817666935595825,0.082,"0.082","ns","Wilcoxon","pre_muLEC","meox1_mutant","wildtype","ns"
"EMBO_LEC_score_1","score",2.39878738366326e-06,9.6e-06,"2.4e-06","****","Wilcoxon","hmVEC","meox1_mutant","wildtype","****"
"LEC_dev_score_1","score",0.925538634644323,0.93,"0.93","ns","Kruskal-Wallis",NA,NA,NA,NA
"LEC_dev_score_1","score",0.761120793590702,1,"0.76","ns","Wilcoxon","LEC","meox1_mutant","wildtype","ns"
"LEC_dev_score_1","score",0.141039386044829,0.56,"0.14","ns","Wilcoxon","mVEC","meox1_mutant","wildtype","ns"
"LEC_dev_score_1","score",0.155252552130902,0.56,"0.16","ns","Wilcoxon","pre_muLEC","meox1_mutant","wildtype","ns"
"LEC_dev_score_1","score",0.835167845555473,1,"0.84","ns","Wilcoxon","hmVEC","meox1_mutant","wildtype","ns"
"EMBO_VEC_score_1","score",1.72415145534315e-05,1.7e-05,"1.7e-05","****","Kruskal-Wallis",NA,NA,NA,NA
"EMBO_VEC_score_1","score",0.712328948331936,1,"0.71","ns","Wilcoxon","LEC","meox1_mutant","wildtype","ns"
"EMBO_VEC_score_1","score",0.334621232992856,1,"0.33","ns","Wilcoxon","mVEC","meox1_mutant","wildtype","ns"
"EMBO_VEC_score_1","score",0.147227338504575,0.59,"0.15","ns","Wilcoxon","pre_muLEC","meox1_mutant","wildtype","ns"
"EMBO_VEC_score_1","score",0.843261866015916,1,"0.84","ns","Wilcoxon","hmVEC","meox1_mutant","wildtype","ns"
"EMBO_transient_score","score",3.44443121015365e-09,3.4e-09,"3.4e-09","****","Kruskal-Wallis",NA,NA,NA,NA
"EMBO_transient_score","score",0.000792548660701305,0.0032,"0.00079","***","Wilcoxon","LEC","meox1_mutant","wildtype","**"
"EMBO_transient_score","score",0.802268204649858,0.8,"0.80227","ns","Wilcoxon","mVEC","meox1_mutant","wildtype","ns"
"EMBO_transient_score","score",0.0221169451822414,0.044,"0.02212","*","Wilcoxon","pre_muLEC","meox1_mutant","wildtype","*"
"EMBO_transient_score","score",0.00622975939746469,0.019,"0.00623","**","Wilcoxon","hmVEC","meox1_mutant","wildtype","*"
"EMBO_dev_transient_score","score",2.39594944471591e-05,2.4e-05,"2.4e-05","****","Kruskal-Wallis",NA,NA,NA,NA
"EMBO_dev_transient_score","score",0.512897578445423,1,"0.51","ns","Wilcoxon","LEC","meox1_mutant","wildtype","ns"
"EMBO_dev_transient_score","score",0.406068882357108,1,"0.41","ns","Wilcoxon","mVEC","meox1_mutant","wildtype","ns"
