"cat","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes","GOTerm","cluster"
"GO_Biological_Process_2018","phosphate ion transport (GO:0006817)","2 out of 13",0.0018624644288082,0.119838441219442,0.00279883766172084,0.164592315081514,-3.5837703268619,22.5270595761895,"slc20a1b;slc20a2","GO:0006817","iVEC"
"GO_Biological_Process_2018","regulation of axon regeneration (GO:0048679)","2 out of 11",0.0013218685995547,0.119838441219442,0.00209336173883295,0.164592315081514,-3.07968875443884,20.4143603718391,"socs3a;il6st","GO:0048679","iVEC"
"GO_Biological_Process_2018","O-glycan processing (GO:0016266)","1 out of 7",0.0344844487396332,0.223137293785518,0.0418681279444112,0.247322889515362,-5.66186565804879,19.0648991195262,"c1galt1b","GO:0016266","iVEC"
"GO_Biological_Process_2018","O-glycan processing, core 1 (GO:0016267)","1 out of 6",0.0296311484917149,0.223137293785518,0.0367301618352458,0.247322889515362,-5.25423741796716,18.4892892480794,"c1galt1b","GO:0016267","iVEC"
"GO_Biological_Process_2018","phosphate ion transmembrane transport (GO:0035435)","2 out of 9",0.000870888277895954,0.119838441219442,0.00148619487852721,0.164592315081514,-2.19267412180202,15.4495749730873,"slc20a1b;slc20a2","GO:0035435","iVEC"
"GO_Biological_Process_2018","regulation of granulocyte chemotaxis (GO:0071622)","1 out of 7",0.0344844487396332,0.223137293785518,0.0418681279444112,0.247322889515362,-4.45085225827678,14.9871181029055,"cxcl12a","GO:0071622","iVEC"
"GO_Biological_Process_2018","regulation of neutrophil migration (GO:1902622)","1 out of 9",0.0441190702995301,0.223137293785518,0.0520635549644554,0.247322889515362,-4.6948557436527,14.6520023173526,"cxcl12a","GO:1902622","iVEC"
"GO_Biological_Process_2018","positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)","1 out of 7",0.0344844487396332,0.223137293785518,0.0418681279444112,0.247322889515362,-4.27904301284859,14.4085939679794,"il6st","GO:0042531","iVEC"
"GO_Biological_Process_2018","positive regulation of axon regeneration (GO:0048680)","1 out of 7",0.0344844487396332,0.223137293785518,0.0418681279444112,0.247322889515362,-4.19193111709408,14.1152667142129,"il6st","GO:0048680","iVEC"
"GO_Biological_Process_2018","positive regulation of neuron projection regeneration (GO:0070572)","1 out of 7",0.0344844487396332,0.223137293785518,0.0418681279444112,0.247322889515362,-4.12203440280439,13.8799072254506,"il6st","GO:0070572","iVEC"
"GO_Biological_Process_2018","positive regulation of axon extension (GO:0045773)","1 out of 9",0.0441190702995301,0.223137293785518,0.0520635549644554,0.247322889515362,-4.3758406305823,13.6563998044751,"cxcl12a","GO:0045773","iVEC"
"GO_Biological_Process_2018","positive regulation of response to wounding (GO:1903036)","1 out of 8",0.0393137167418041,0.223137293785518,0.0469792130227138,0.247322889515362,-4.17109046837936,13.4984070369546,"il6st","GO:1903036","iVEC"
"GO_Biological_Process_2018","regulation of insulin-like growth factor receptor signaling pathway (GO:0043567)","1 out of 10",0.0489006266463782,0.223137293785518,0.0571212909733589,0.247322889515362,-4.46426146541926,13.4729851558443,"igfbp1a","GO:0043567","iVEC"
"GO_Biological_Process_2018","T cell chemotaxis (GO:0010818)","1 out of 6",0.0296311484917149,0.223137293785518,0.0367301618352458,0.247322889515362,-3.82726666260125,13.4678802507832,"cxcl20","GO:0010818","iVEC"
"GO_Biological_Process_2018","lymphoid lineage cell migration into thymus (GO:0097535)","1 out of 8",0.0393137167418041,0.223137293785518,0.0469792130227138,0.247322889515362,-4.07548514185655,13.1890108198049,"cxcl12a","GO:0097535","iVEC"
"GO_Biological_Process_2018","hematopoietic stem cell migration (GO:0035701)","1 out of 11",0.0536585024501079,0.223137293785518,0.0621525575605183,0.247322889515362,-4.50662691207792,13.1824035234304,"cxcl12a","GO:0035701","iVEC"
"GO_Biological_Process_2018","regulation of neutrophil chemotaxis (GO:0090022)","1 out of 9",0.0441190702995301,0.223137293785518,0.0520635549644554,0.247322889515362,-4.21930583145578,13.1678761171076,"cxcl12a","GO:0090022","iVEC"
"GO_Biological_Process_2018","lymphoid lineage cell migration (GO:0097534)","1 out of 8",0.0393137167418041,0.223137293785518,0.0469792130227138,0.247322889515362,-4.06243860876999,13.1467898669489,"cxcl12a","GO:0097534","iVEC"
"GO_Biological_Process_2018","posterior lateral line neuromast hair cell development (GO:0035677)","1 out of 8",0.0393137167418041,0.223137293785518,0.0469792130227138,0.247322889515362,-4.0129560902338,12.9866554413164,"socs3a","GO:0035677","iVEC"
"GO_Biological_Process_2018","regulation of tyrosine phosphorylation of STAT protein (GO:0042509)","1 out of 8",0.0393137167418041,0.223137293785518,0.0469792130227138,0.247322889515362,-3.8735952231713,12.5356583404639,"il6st","GO:0042509","iVEC"
"GO_Biological_Process_2018","nephron tubule development (GO:0072080)","1 out of 7",0.0344844487396332,0.223137293785518,0.0418681279444112,0.247322889515362,-3.65210240960353,12.2975302167916,"ponzr1","GO:0072080","iVEC"
"GO_Biological_Process_2018","positive regulation of response to external stimulus (GO:0032103)","1 out of 8",0.0393137167418041,0.223137293785518,0.0469792130227138,0.247322889515362,-3.69458230350037,11.9563399888457,"il6st","GO:0032103","iVEC"
"GO_Biological_Process_2018","T cell migration (GO:0072678)","1 out of 7",0.0344844487396332,0.223137293785518,0.0418681279444112,0.247322889515362,-3.54420669089774,11.934218701332,"cxcl20","GO:0072678","iVEC"
"GO_Biological_Process_2018","regulation of DNA methylation (GO:0044030)","1 out of 7",0.0344844487396332,0.223137293785518,0.0418681279444112,0.247322889515362,-3.53687306296711,11.9095245660201,"cebpb","GO:0044030","iVEC"
"GO_Biological_Process_2018","multivesicular body sorting pathway (GO:0071985)","1 out of 7",0.0344844487396332,0.223137293785518,0.0418681279444112,0.247322889515362,-3.50477499266888,11.8014424409528,"chmp2bb","GO:0071985","iVEC"
"GO_Biological_Process_2018","peptide transport (GO:0015833)","2 out of 27",0.0080082037507525,0.223137293785518,0.0103191853829758,0.247322889515362,-2.38838334102705,11.5294161376588,"scamp4;chmp2bb","GO:0015833","iVEC"
"GO_Biological_Process_2018","inorganic anion transmembrane transport (GO:0098661)","3 out of 51",0.00212233810878701,0.119838441219442,0.0029250520408047,0.164592315081514,-1.8634092094619,11.4697251566668,"slc12a7b;slc20a1b;slc20a2","GO:0098661","iVEC"
"GO_Biological_Process_2018","3'-UTR-mediated mRNA destabilization (GO:0061158)","1 out of 10",0.0489006266463782,0.223137293785518,0.0571212909733589,0.247322889515362,-3.76710180815749,11.3689816635983,"zfp36l1b","GO:0061158","iVEC"
"GO_Biological_Process_2018","glycosphingolipid metabolic process (GO:0006687)","1 out of 7",0.0344844487396332,0.223137293785518,0.0418681279444112,0.247322889515362,-3.3514695523214,11.2852251848008,"st3gal5","GO:0006687","iVEC"
"GO_Biological_Process_2018","phosphatidylinositol metabolic process (GO:0046488)","3 out of 52",0.00224416556590716,0.119838441219442,0.00308225309141412,0.164592315081514,-1.80764698395213,11.0256009008237,"socs3a;pik3c3;tpte","GO:0046488","iVEC"
