"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.66922334928716e-28,1.27050725925006,0.988,0.85,8.00000766845079e-24,"iVEC","cd63"
1.80040947420522e-25,1.44296920351283,0.988,0.766,3.92543277660963e-21,"iVEC","sele"
3.78275224166508e-23,1.51855835598275,0.892,0.426,8.24753471250238e-19,"iVEC","grinab"
2.05741217522756e-22,1.42043203535782,0.952,0.608,4.48577576564865e-18,"iVEC","cxcl12a"
1.2605694034513e-20,1.51296355970099,1,0.92,2.74841947034486e-16,"iVEC","ctsla"
1.19097017004161e-18,1.49914376954422,0.651,0.231,2.59667226174173e-14,"iVEC","abca1a"
7.67663361654164e-16,1.2372552798869,0.807,0.455,1.67373642741457e-11,"iVEC","snx5"
1.01709077756155e-15,1.47985413110737,0.639,0.248,2.21756302231745e-11,"iVEC","tmem176l.1"
5.2853782687922e-14,1.01211238208808,0.663,0.268,1.15237102394476e-09,"iVEC","cebpb"
7.43931979535919e-13,1.1997297927975,0.482,0.162,1.62199489498216e-08,"iVEC","slc20a1b"
1.05810747945689e-12,1.07814632781332,0.819,0.444,2.30699173745985e-08,"iVEC","cxcl20"
3.23365514310946e-12,1.35801902030855,0.506,0.2,7.05033830852156e-08,"iVEC","igfbp1a"
2.06104921302125e-11,1.42570381616254,0.386,0.127,4.49370559915023e-07,"iVEC","acvr2aa"
1.28799918970006e-10,1.03796034048966,0.41,0.139,2.80822463330304e-06,"iVEC","cyp3c1"
1.61697040186226e-10,1.4783472017821,0.398,0.142,3.52548056718027e-06,"iVEC","il6st"
1.7668709963608e-10,1.05881948069236,0.53,0.212,3.85230883336546e-06,"iVEC","exoc3l2a"
2.12122205661937e-10,0.798417231610692,0.928,0.689,4.62490045004722e-06,"iVEC","sypl2a"
3.18588083930067e-10,1.05749326797351,0.747,0.449,6.94617599392725e-06,"iVEC","sdcbp2"
3.37381846225494e-10,1.43959601194498,0.313,0.097,7.35593639325444e-06,"iVEC","lgals9l3"
3.62626660526158e-10,1.46351814950943,0.181,0.039,7.90634907945182e-06,"iVEC","si:dkey-286j15.3"
4.01762893542292e-10,1.22270700285274,0.446,0.173,8.75963636790259e-06,"iVEC","tfec"
5.04796260438501e-10,1.03143912630457,0.675,0.331,1.10060728663406e-05,"iVEC","hbegfa"
5.99765558547286e-10,1.05368312357655,0.602,0.273,1.30766884730065e-05,"iVEC","kars1"
1.32073253150606e-09,1.06136603481671,0.494,0.203,2.87959313844266e-05,"iVEC","hspd1"
2.31250846417475e-09,1.09364218988616,0.614,0.302,5.0419622044402e-05,"iVEC","jak1"
3.88614129299678e-09,1.33950596922718,0.277,0.086,8.47295386112088e-05,"iVEC","cbr1l"
4.19046596021852e-09,0.544651054369973,0.988,0.832,9.13647293306443e-05,"iVEC","stab2"
4.56408178684507e-09,1.38527715383547,0.253,0.075,9.9510675198583e-05,"iVEC","slc16a9b"
4.58189709849791e-09,1.34774976213844,0.325,0.11,9.989910243855e-05,"iVEC","nrros"
5.67429048024941e-09,0.970062223062903,0.41,0.157,0.00012371655534087,"iVEC","mpp1"
6.50678336892187e-09,0.877996099352067,0.855,0.52,0.0001418673977926,"iVEC","socs3a"
7.41441986378943e-09,0.902814996942069,0.771,0.42,0.0001616565962902,"iVEC","zfp36l1b"
8.34745804121816e-09,1.41308362050944,0.265,0.083,0.00018199962767267,"iVEC","rapgef5b"
1.04342521551169e-08,0.958182818419898,0.386,0.143,0.00022749799973801,"iVEC","lrrc59"
1.29176307936467e-08,1.04492914429252,0.602,0.302,0.00028164310419387,"iVEC","plekhg5a"
1.880753031747e-08,-0.806495178712487,0.928,0.938,0.00041006058351179,"iVEC","si:ch211-222l21.1"
2.20194164756179e-08,1.46561113644914,0.205,0.056,0.00048008933741789,"iVEC","c1galt1b"
2.38211987519203e-08,0.468740336881959,1,0.943,0.00051937359638811,"iVEC","cpn1.1"
3.07331385596956e-08,1.15254837062671,0.578,0.289,0.00067007462001704,"iVEC","gsta.1"
3.77287369840993e-08,0.702307920928353,0.566,0.256,0.00082259965246431,"iVEC","lgals3b"
4.0194758426675e-08,0.715629951577011,0.807,0.485,0.00087636631797679,"iVEC","tpte"
4.10981962060859e-08,1.0015128316915,0.361,0.137,0.00089606397188129,"iVEC","si:dkey-17m8.1"
5.24857850458218e-08,1.25046416003293,0.253,0.081,0.00114434757135405,"iVEC","ldha"
5.9299306997495e-08,1.34708862619744,0.253,0.082,0.00129290279046638,"iVEC","slc12a7b"
6.06075925322202e-08,1.39407347684188,0.181,0.048,0.00132142733998,"iVEC","bmp1a"
6.43195055812134e-08,0.91724086024026,0.506,0.231,0.00140235818018719,"iVEC","nenf"
6.53995263927182e-08,1.04375685660433,0.349,0.131,0.00142590587394043,"iVEC","lifrb"
7.1707741581983e-08,1.08320022716865,0.325,0.117,0.00156344388971198,"iVEC","slc25a43"
8.74239535656334e-08,1.08541006526889,0.566,0.302,0.0019061044595915,"iVEC","f13a1b"
1.04000567167836e-07,0.690815883508497,0.867,0.515,0.00226752436596033,"iVEC","degs1"
1.29489961508277e-07,0.948942619849458,0.373,0.147,0.00282326963076497,"iVEC","scamp4"
1.43468777660585e-07,1.15727848363253,0.277,0.096,0.00312804975933374,"iVEC","yars1"
1.43940163855162e-07,1.05588242621873,0.506,0.238,0.00313832739253409,"iVEC","DAB2"
1.54980218237488e-07,1.06346095499806,0.675,0.443,0.00337903369823194,"iVEC","rgcc"
1.61079454426182e-07,1.42329394492802,0.181,0.05,0.00351201534485404,"iVEC","mboat7"
1.75280427384623e-07,1.32118879017369,0.253,0.087,0.00382163915826693,"iVEC","anxa1a"
1.88811431938342e-07,1.45861834008944,0.181,0.05,0.00411665565055168,"iVEC","rcc1l"
2.00745743415889e-07,0.707571626015652,0.855,0.522,0.00437685944369662,"iVEC","pfkfb4b"
2.12305146969871e-07,1.48660543864596,0.181,0.05,0.0046288891193841,"iVEC","gramd2aa"
2.34614509930871e-07,0.647169756330013,0.819,0.5,0.00511530016002279,"iVEC","hif1al"
2.3673407565531e-07,0.976318994749647,0.325,0.121,0.00516151305151272,"iVEC","ENSDARG00000059507"
2.40806442741391e-07,0.709438102013159,0.88,0.595,0.00525030287109054,"iVEC","pim1"
2.4921547169126e-07,1.11854070155353,0.289,0.103,0.00543364492928454,"iVEC","pgp"
2.79946843513939e-07,1.39113312788413,0.193,0.056,0.00610368102913442,"iVEC","abhd4"
2.98625283675752e-07,1.46667045795506,0.337,0.138,0.00651092705998242,"iVEC","si:ch211-15b10.6"
3.21322106442368e-07,0.912143057701662,0.506,0.235,0.00700578588676294,"iVEC","higd1a"
3.73095713754764e-07,0.658085343522422,0.964,0.765,0.00813460584699511,"iVEC","srgn"
3.97048593342754e-07,1.34943440788651,0.072,0.011,0.00865685048065207,"iVEC","serpine1"
4.25772641776323e-07,1.07622320224151,0.349,0.142,0.00928312090864916,"iVEC","ENSDARG00000071353"
4.28691171495844e-07,1.05937771970765,0.361,0.15,0.00934675361212389,"iVEC","si:ch211-250c4.4"
4.39792463385033e-07,0.732926230945457,0.651,0.337,0.00958879507918388,"iVEC","si:zfos-464b6.2"
4.50690201178931e-07,1.03798987622607,0.349,0.141,0.00982639845630424,"iVEC","ptpn11b"
5.15687536140231e-07,1.18022656939678,0.289,0.109,0.0112435353504655,"iVEC","snx7"
5.18295882781551e-07,0.923983844618695,0.434,0.193,0.0113004051322862,"iVEC","itm2bb"
5.7015491693585e-07,0.786544815078853,0.47,0.213,0.0124310876539523,"iVEC","chmp2bb"
6.43905684716509e-07,0.809420251699204,0.53,0.276,0.0140390756438741,"iVEC","lyve1a"
6.70528126415375e-07,0.768952207034411,0.843,0.629,0.0146195247402344,"iVEC","ponzr1"
6.99180096666372e-07,1.41783277040648,0.145,0.037,0.0152442236476169,"iVEC","gde1"
7.03256249390612e-07,0.842051097896282,0.422,0.183,0.0153330960054635,"iVEC","tomm20a"
7.22059013360356e-07,1.04590536451538,0.265,0.094,0.0157430526682958,"iVEC","st3gal5"
7.62215516608883e-07,0.982264069849068,0.458,0.213,0.0166185849086235,"iVEC","slc20a2"
7.65338338472002e-07,0.474618087985645,0.988,0.828,0.0166866717937051,"iVEC","ywhabl"
1.07305018666644e-06,0.611652135176943,0.88,0.631,0.0233957132198884,"iVEC","mcamb"
1.09934116868328e-06,0.552452497805693,1,0.876,0.0239689355008016,"iVEC","plvapb"
1.11063036012894e-06,0.94884781470306,0.506,0.256,0.0242150737418913,"iVEC","tax1bp1b"
1.11837554075771e-06,1.32914711508464,0.181,0.054,0.0243839419151404,"iVEC","mgat1a"
1.19232923914666e-06,0.93851590376559,0.313,0.123,0.0259963544011146,"iVEC","si:ch211-212k18.7"
1.21432165460145e-06,0.935933197710355,0.349,0.145,0.0264758550352754,"iVEC","sik1"
1.24681489057205e-06,0.792761150390915,0.759,0.474,0.0271843050591424,"iVEC","pde4ba"
1.35074212012715e-06,1.19174625962906,0.373,0.171,0.0294502304451323,"iVEC","pkma"
1.39059453074742e-06,0.950597123318752,0.265,0.096,0.0303191325538859,"iVEC","glud1b"
1.44366353771428e-06,1.02018123902908,0.301,0.117,0.0314761961127845,"iVEC","tsg101b"
1.49253857279222e-06,-0.405727019981258,1,0.997,0.0325418185025888,"iVEC","rpl37.1"
1.70923244699312e-06,1.04207004513287,0.253,0.09,0.037266395041791,"iVEC","kitlga"
1.78773829152725e-06,0.66219120669761,0.41,0.175,0.0389780579701686,"iVEC","tmem176l.3a"
1.8132451223726e-06,1.07083827649426,0.386,0.179,0.0395341834030897,"iVEC","aco2"
1.85561016885719e-06,1.37396633587095,0.169,0.05,0.0404578685115934,"iVEC","si:dkey-73n10.1"
2.08089625543627e-06,1.06943306625121,0.193,0.06,0.0453697810572769,"iVEC","pik3c3"
2.14556853228614e-06,0.810230124766163,0.434,0.2,0.0467798307094346,"iVEC","fam3a"
2.15378931210022e-06,0.807480222534296,0.422,0.19,0.0469590683717211,"iVEC","clpp"
