"score",".y.","p","p.adj","p.format","p.signif","method","L3_celltype","group1","group2","sig_sign"
"hippo_1","score",1.1225365103217e-52,1.1e-52,"<2e-16","****","Kruskal-Wallis",NA,NA,NA,NA
"hippo_1","score",2.58844019032056e-07,5.2e-07,"2.6e-07","****","Wilcoxon","mVEC","yap1_mutant","wildtype","****"
"hippo_1","score",4.5281653004592e-26,1.8e-25,"< 2e-16","****","Wilcoxon","preLEC","yap1_mutant","wildtype","****"
"hippo_1","score",1.38755176070336e-08,4.2e-08,"1.4e-08","****","Wilcoxon","LEC","yap1_mutant","wildtype","****"
"hippo_1","score",3.09780809417783e-30,1.5e-29,"< 2e-16","****","Wilcoxon","hmVEC","yap1_mutant","wildtype","****"
"hippo_1","score",0.000832922220698071,0.00083,"0.00083","***","Wilcoxon","cVEC","yap1_mutant","wildtype","***"
"mapk_1","score",0.63541010832806,0.64,"0.64","ns","Kruskal-Wallis",NA,NA,NA,NA
"mapk_1","score",0.301607419884963,0.6,"0.302","ns","Wilcoxon","mVEC","yap1_mutant","wildtype","ns"
"mapk_1","score",0.0693382347829199,0.28,"0.069","ns","Wilcoxon","preLEC","yap1_mutant","wildtype","ns"
"mapk_1","score",0.119912773917711,0.36,"0.120","ns","Wilcoxon","LEC","yap1_mutant","wildtype","ns"
"mapk_1","score",0.0347070056653561,0.17,"0.035","*","Wilcoxon","hmVEC","yap1_mutant","wildtype","ns"
"mapk_1","score",0.985702197481879,0.99,"0.986","ns","Wilcoxon","cVEC","yap1_mutant","wildtype","ns"
"wnt_1","score",0.95528275602955,0.96,"0.96","ns","Kruskal-Wallis",NA,NA,NA,NA
"wnt_1","score",0.178244351990026,0.71,"0.178","ns","Wilcoxon","mVEC","yap1_mutant","wildtype","ns"
"wnt_1","score",0.734735710478044,1,"0.735","ns","Wilcoxon","preLEC","yap1_mutant","wildtype","ns"
"wnt_1","score",0.898766325994314,1,"0.899","ns","Wilcoxon","LEC","yap1_mutant","wildtype","ns"
