Log2FC	FDR	RawPval	AUC	Group_01_mean	Background_mean	MeanDiff	Chr	Start	End	PeakScore	distToGeneStart	nearestGene	peakType	distToTSS	nearestTSS	GC	Status_Group_01	GeneDist	PeakID
6.36553288071432	0.730760590014218	0.00125607519594205	0.545871559633027	0.747292427431196	0	0.747292427431196	chr24	29248395	29248895	23.93471	103393	prmt6	Distal	103144	ENSDART00000194454	0.3992	open	prmt6_103393	chr24:29248395-29248895
6.22232202499015	0.730760590014218	0.000384084245134769	0.555045871559633	0.675807554067818	0	0.675807554067818	chr19	25699479	25699979	10.34873	6000	bloc1s4	Exonic	6000	ENSDART00000136187	0.3852	open	bloc1s4_6000	chr19:25699479-25699979
6.14215919555549	0.730760590014218	0.00408883774060521	0.536697247706422	0.63878488437715	0	0.63878488437715	chr14	416824	417324	4.33746	34480		Intronic	3683	ENSDART00000179907	0.4551	open	_34480	chr14:416824-417324
6.0522680280818	0.730760590014218	0.0445113657254602	0.518348623853211	0.599644019234275	0	0.599644019234275	chr19	26857668	26858168	4.33746	11184	prrt1	Distal	5707	ENSDART00000145568	0.4611	open	prrt1_11184	chr19:26857668-26858168
6.03209357712289	0.730760590014218	0.00738153816995141	0.532110091743119	0.591189636847034	0	0.591189636847034	chr06	4074313	4074813	10.34873	40730	sema5bb	Intronic	10175	ENSDART00000087661	0.501	open	sema5bb_40730	chr06:4074313-4074813
5.91622939948163	0.730760590014218	0.0242824248832986	0.522935779816514	0.544859171627674	0	0.544859171627674	chr14	37944521	37945021	10.34873	98079	ENSDARG00000117449	Intronic	98079	ENSDART00000195003	0.481	open	ENSDARG00000117449_98079	chr14:37944521-37945021
5.82965951124773	0.730760590014218	0.0242824248832986	0.522935779816514	0.512591812819269	0	0.512591812819269	chr18	5590776	5591276	2.54724	7931	cyp1a	Intronic	4519	ENSDART00000191825	0.4172	open	cyp1a_7931	chr18:5590776-5591276
5.77390697684509	0.730760590014218	0.0445113657254602	0.518348623853211	0.492812946911261	0	0.492812946911261	chr07	40819151	40819651	10.34873	51229		Distal	51229	ENSDART00000116040	0.4092	open	_51229	chr07:40819151-40819651
5.74272125461032	0.730760590014218	0.00408883774060521	0.536697247706422	0.482078281852896	0	0.482078281852896	chr05	65710392	65710892	17.66765	36006		Intronic	19129	ENSDART00000189255	0.3992	open	_36006	chr05:65710392-65710892
5.70208229266936	0.730760590014218	0.0445113657254602	0.518348623853211	0.468433377093702	0	0.468433377093702	chr13	23237506	23238006	30.00477	10224		Intronic	10224	ENSDART00000138023	0.4092	open	_10224	chr13:23237506-23238006
5.69539884968851	0.730760590014218	0.0133570309308565	0.527522935779816	0.466225924182217	0	0.466225924182217	chr23	31570404	31570904	8.26211	14957	tcf21	Distal	14957	ENSDART00000053539	0.4192	open	tcf21_14957	chr23:31570404-31570904
5.67902777697916	0.730760590014218	0.00226665806423496	0.541284403669725	0.460861782631594	0	0.460861782631594	chr08	1340311	1340811	8.26211	55776	fbxl17	Distal	48830	ENSDART00000192775	0.493	open	fbxl17_55776	chr08:1340311-1340811
5.65582991908051	0.730760590014218	0.0133570309308565	0.527522935779816	0.453364263078198	0	0.453364263078198	chr04	27343486	27343986	4.33746	54677	tafa5a	Intronic	7083	ENSDART00000145806	0.3333	open	tafa5a_54677	chr04:27343486-27343986
5.62957124014954	0.730760590014218	0.00226665806423496	0.541284403669725	0.445021691109427	0	0.445021691109427	chr20	34624784	34625284	27.34682	25598		Intronic	19989	ENSDART00000153376	0.4072	open	_25598	chr20:34624784-34625284
5.58950326443858	0.730760590014218	0.0242824248832986	0.522935779816514	0.43258086277619	0	0.43258086277619	chr18	40315645	40316145	6.2477	39102	sema6dl	Distal	39102	ENSDART00000049171	0.4591	open	sema6dl_39102	chr18:40315645-40316145
5.58484496333246	0.730760590014218	0.0242824248832986	0.522935779816514	0.431156785002157	0	0.431156785002157	chr01	1240741	1241241	6.2477	22299		Distal	22299	ENSDART00000187355	0.4591	open	_22299	chr01:1240741-1241241
5.57548640587723	0.730760590014218	0.0242824248832986	0.522935779816514	0.428309664246595	0	0.428309664246595	chr18	27761529	27762029	6.92227	25054		Intronic	23429	ENSDART00000187816	0.3952	open	_25054	chr18:27761529-27762029
5.57224426187557	0.730760590014218	0.0445113657254602	0.518348623853211	0.427327617837054	0	0.427327617837054	chr15	24907901	24908401	4.33746	327		Distal	327	ENSDART00000116582	0.4631	open	_327	chr15:24907901-24908401
5.55808633424929	0.730760590014218	0.0445113657254602	0.518348623853211	0.423064944236904	0	0.423064944236904	chr23	20894669	20895169	4.33746	31773	pax7b	Intronic	31773	ENSDART00000129992	0.489	open	pax7b_31773	chr23:20894669-20895169
