id	seqid	source	start	end	score	strand	gene_id	gene_name	gene_biotype
rpl.834	834	4	ensembl_havana	391297	398451	.	+	ENSDARG00000025073	rpl18a	protein_coding
rpl.2282	2282	4	ensembl_havana	1821637	1824836	.	-	ENSDARG00000079391	mrpl42	protein_coding
rpl.67284	67284	7	ensembl_havana	12959846	12968701	.	-	ENSDARG00000011201	rplp2l	protein_coding
rpl.68563	68563	7	ensembl_havana	14536083	14543964	.	+	ENSDARG00000016307	mrpl46	protein_coding
rpl.79268	79268	7	ensembl_havana	24114694	24117202	.	+	ENSDARG00000090568	mrpl52	protein_coding
rpl.112502	112502	7	ensembl	58837286	58843193	.	-	ENSDARG00000101306	mrpl15	protein_coding
rpl.113140	113140	7	ensembl_havana	59649399	59664545	.	+	ENSDARG00000029500	rpl34	protein_coding
rpl.116739	116739	7	ensembl_havana	67467702	67477495	.	+	ENSDARG00000099380	rpl13	protein_coding
rpl.120290	120290	7	ensembl	72577898	72585111	.	+	ENSDARG00000003846	mrpl21	protein_coding
rpl.122503	122503	5	ensembl_havana	1950660	1963498	.	-	ENSDARG00000051783	rplp0	protein_coding
rpl.135142	135142	5	ensembl_havana	22510639	22515186	.	+	ENSDARG00000058105	rpl36a	protein_coding
rpl.139301	139301	5	ensembl_havana	25072894	25075179	.	+	ENSDARG00000002264	mrpl41	protein_coding
rpl.151458	151458	5	ensembl_havana	32882688	32887020	.	+	ENSDARG00000006691	rpl12	protein_coding
rpl.151968	151968	5	ensembl_havana	33284144	33287691	.	-	ENSDARG00000019230	rpl7a	protein_coding
rpl.157888	157888	5	ensembl_havana	38825225	38834564	.	+	ENSDARG00000054606	mrpl1	protein_coding
rpl.194375	194375	3	ensembl_havana	16229911	16232442	.	+	ENSDARG00000013307	rpl19	protein_coding
rpl.208414	208414	3	ensembl_havana	29867213	29871364	.	-	ENSDARG00000003599	rpl3	protein_coding
rpl.208564	208564	3	ensembl_havana	29893966	29899230	.	-	ENSDARG00000015128	rpl27	protein_coding
rpl.214485	214485	3	ensembl_havana	33423986	33427803	.	-	ENSDARG00000053457	rpl23	protein_coding
rpl.228528	228528	3	ensembl_havana	50054187	50066528	.	-	ENSDARG00000038768	mrpl12	protein_coding
rpl.262971	262971	6	ensembl_havana	29086594	29097393	.	+	ENSDARG00000015862	rpl5b	protein_coding
rpl.263348	263348	6	ensembl_havana	29397554	29402578	.	-	ENSDARG00000075743	mrpl47	protein_coding
rpl.282124	282124	6	ensembl	49508805	49510553	.	-	ENSDARG00000101406	rplp2	protein_coding
rpl.297726	297726	2	ensembl_havana	10687276	10703621	.	-	ENSDARG00000020197	rpl5a	protein_coding
rpl.298221	298221	2	ensembl_havana	10914023	10931770	.	+	ENSDARG00000062916	mrpl37	protein_coding
rpl.310685	310685	2	ensembl_havana	24317465	24320183	.	+	ENSDARG00000092954	mrpl34	protein_coding
rpl.315660	315660	2	ensembl_havana	30177476	30182353	.	-	ENSDARG00000007320	rpl7	protein_coding
rpl.335194	335194	2	ensembl_havana	49860722	49871576	.	+	ENSDARG00000076360	rpl37	protein_coding
rpl.340735	340735	1	ensembl_havana	6408	12027	.	-	ENSDARG00000099104	rpl24	protein_coding
rpl.342391	342391	1	ensembl_havana	524388	532429	.	+	ENSDARG00000075325	mrpl16	protein_coding
rpl.342438	342438	1	ensembl_havana	532766	591331	.	+	ENSDARG00000041570	mrpl39	protein_coding
