Log2FC	FDR	RawPval	AUC	Group_01_mean	Background_mean	MeanDiff	Chr	Start	End	PeakScore	distToGeneStart	nearestGene	peakType	distToTSS	nearestTSS	GC	Status_Group_01	GeneDist	PeakID
5.64160991601302	0.761633472398867	0.0449203126741728	0.510752688172043	0.263022637948482	0	0.263022637948482	chr09	6081781	6082281	2.59504	72828		Intronic	761	ENSDART00000192045	0.3313	open	_72828	chr09:6081781-6082281
5.60357242223712	0.761633472398867	0.0024393365069132	0.524193548387097	0.256038616163665	0	0.256038616163665	chr09	14303867	14304367	18.7816	12184		Distal	12184	ENSDART00000183119	0.4132	open	_12184	chr09:14303867-14304367
5.58690478109847	0.761633472398867	0.0024393365069132	0.524193548387097	0.253035834705576	0	0.253035834705576	chr19	37153053	37153553	9.93397	1132	cx39.4	Distal	1132	ENSDART00000103155	0.4032	open	cx39.4_1132	chr19:37153053-37153553
5.58091530493471	0.761633472398867	0.00769418969280449	0.518817204301075	0.251965237548861	0	0.251965237548861	chr18	34953443	34953943	20.4643	92124		Distal	92124	ENSDART00000192825	0.3333	open	_92124	chr18:34953443-34953943
5.50550154944206	0.761633472398867	0.00432600746876827	0.521505376344086	0.238858803745378	0	0.238858803745378	chr13	44722269	44722769	10.54458	36580	zfand3	Intronic	16054	ENSDART00000074761	0.3832	open	zfand3_36580	chr13:44722269-44722769
5.48214155841446	0.761633472398867	0.0449203126741728	0.510752688172043	0.234936014181182	0	0.234936014181182	chr19	22481363	22481863	13.75812	94471	eppk1	Intronic	2724	ENSDART00000090679	0.4172	open	eppk1_94471	chr19:22481363-22481863
5.39804077627849	0.761633472398867	0.00432604332469888	0.521505376344086	0.221327689482523	0	0.221327689482523	chr09	25688175	25688675	14.22299	119585	zeb2a	Intronic	87390	ENSDART00000147229	0.4092	open	zeb2a_119585	chr09:25688175-25688675
5.36852719559378	0.761633472398867	0.0247208348828	0.513440860215054	0.216737063108342	0	0.216737063108342	chr11	23921731	23922231	2.54724	11034	cntn2	Distal	11034	ENSDART00000000486	0.485	open	cntn2_11034	chr11:23921731-23922231
5.35911046565985	0.761633472398867	0.0247208348828	0.513440860215054	0.215292010153406	0	0.215292010153406	chr15	34657805	34658305	10.68569	10429	bag6	Exonic	1	ENSDART00000110964	0.3593	open	bag6_10429	chr15:34657805-34658305
5.33189900046823	0.761633472398867	0.0829874655175872	0.508064516129032	0.211168869521784	0	0.211168869521784	chr05	25700675	25701175	9.61538	20082	zfand5a	Distal	19750	ENSDART00000134773	0.4451	open	zfand5a_20082	chr05:25700675-25701175
5.31054199900687	0.761633472398867	0.000440705065574133	0.532258064516129	0.207986843376587	0	0.207986843376587	chr01	18591092	18591592	20.46923	725	fam114a1	Intronic	725	ENSDART00000082063	0.3653	open	fam114a1_725	chr01:18591092-18591592
5.30287202040044	0.761633472398867	0.0137453970913015	0.516129032258065	0.206855524147273	0	0.206855524147273	chr07	27247199	27247699	8.07177	2562	sox6	Distal	2562	ENSDART00000188542	0.4012	open	sox6_2562	chr07:27247199-27247699
5.2890639196163	0.761633472398867	0.0829874655175872	0.508064516129032	0.204833932950289	0	0.204833932950289	chr06	206888	207388	7.72419	4770	mgat3b	Distal	4770	ENSDART00000168232	0.4371	open	mgat3b_4770	chr06:206888-207388
5.26871199069208	0.761633472398867	0.00769418969280449	0.518817204301075	0.201889339691898	0	0.201889339691898	chr04	13392717	13393217	9.61538	19062	cand1	Distal	19062	ENSDART00000003694	0.483	open	cand1_19062	chr04:13392717-13393217
5.24801671381625	0.761633472398867	0.00432604332469888	0.521505376344086	0.198937363301796	0	0.198937363301796	chr17	41318577	41319077	2.82057	16166	fosl2	Distal	16166	ENSDART00000059480	0.3772	open	fosl2_16166	chr17:41318577-41319077
5.24509594973988	0.761633472398867	0.0137453970913015	0.516129032258065	0.198524144666354	0	0.198524144666354	chr12	34885826	34886326	16.56855	1866	bicral	Intronic	744	ENSDART00000156850	0.3792	open	bicral_1866	chr12:34885826-34886326
5.22115538215726	0.761633472398867	0.0137453970913015	0.516129032258065	0.195168470853124	0	0.195168470853124	chr12	26660749	26661249	11.3469	39092	arhgap12b	Intronic	9778	ENSDART00000144355	0.3892	open	arhgap12b_39092	chr12:26660749-26661249
5.21159650854285	0.761633472398867	0.0449203126741728	0.510752688172043	0.193844112061451	0	0.193844112061451	chr09	44215668	44216168	6.2477	73717	cerkl	Intronic	73717	ENSDART00000110411	0.503	open	cerkl_73717	chr09:44215668-44216168
5.20504469684065	0.761633472398867	0.00769418969280449	0.518817204301075	0.192941429555533	0	0.192941429555533	chr07	43838941	43839441	13.87562	17999		Intronic	1226	ENSDART00000174592	0.3772	open	_17999	chr07:43838941-43839441
5.17242768704052	0.761633472398867	0.0449203126741728	0.510752688172043	0.188508088490717	0	0.188508088490717	chr12	36187376	36187876	9.79243	27872		Distal	27872	ENSDART00000161132	0.4471	open	_27872	chr12:36187376-36187876
5.16153381820601	0.761633472398867	0.0449203126741728	0.510752688172043	0.187049570185604	0	0.187049570185604	chr18	50164838	50165338	10.67064	12398	loxl1	Distal	12398	ENSDART00000006078	0.4012	open	loxl1_12398	chr18:50164838-50165338
