Log2FC	FDR	RawPval	AUC	Group_01_mean	Background_mean	MeanDiff	Chr	Start	End	PeakScore	distToGeneStart	nearestGene	peakType	distToTSS	nearestTSS	GC	Status_Group_01	GeneDist	PeakID
6.24917235447203	0.692510984013761	0.000216857773295912	0.556034482758621	0.647117288894691	0	0.647117288894691	chr18	49304200	49304700	10.54458	14372	sb:cb81	Intronic	14372	ENSDART00000098419	0.3433	open	sb:cb81_14372	chr18:49304200-49304700
6.0248073906127	0.692510984013761	0.00742659734203352	0.530172413793103	0.55267247495786	0	0.55267247495786	chr14	33046517	33047017	23.21289	1811	kdrl	Promoter	1811	ENSDART00000170626	0.3333	open	kdrl_1811	chr14:33046517-33047017
5.85605399337814	0.692510984013761	0.0243461149022933	0.521551724137931	0.490711908252371	0	0.490711908252371	chr03	45265500	45266000	10.37697	14825	usp31	Exonic	14825	ENSDART00000109017	0.4351	open	usp31_14825	chr03:45265500-45266000
5.84327374272943	0.692510984013761	0.00412284168053681	0.53448275862069	0.486308057906885	0	0.486308057906885	chr14	897681	898181	20.46072	1260	rgs14a	Intronic	56	ENSDART00000167395	0.475	open	rgs14a_1260	chr14:897681-898181
5.78575203238861	0.692510984013761	0.0445709376294221	0.517241379310345	0.46696296507568	0	0.46696296507568	chr20	15310589	15311089	8.50753	146356	prdx6	Distal	146354	ENSDART00000063877	0.4192	open	prdx6_146356	chr20:15310589-15311089
5.74015822866942	0.692510984013761	0.0243461149022933	0.521551724137931	0.452168007365551	0	0.452168007365551	chr18	30369866	30370366	14.28161	129372	gins2	Intronic	222	ENSDART00000158871	0.507	open	gins2_129372	chr18:30369866-30370366
5.73791608755562	0.692510984013761	0.0445709376294221	0.517241379310345	0.45145243627143	0	0.45145243627143	chr20	14800805	14801305	4.42276	9830	pigc	Intronic	9830	ENSDART00000010550	0.3673	open	pigc_9830	chr20:14800805-14801305
5.62375047641292	0.692510984013761	0.00229125725893678	0.538793103448276	0.416448465956776	0	0.416448465956776	chr16	9680533	9681033	19.59138	4800	mal2	Distal	4800	ENSDART00000113724	0.3453	open	mal2_4800	chr16:9680533-9681033
5.61061064804344	0.692510984013761	0.0134132506960206	0.525862068965517	0.412594583134436	0	0.412594583134436	chr04	21427614	21428114	6.37117	38960	pawr	Intronic	38615	ENSDART00000139962	0.4291	open	pawr_38960	chr04:21427614-21428114
5.56101414957784	0.692510984013761	0.00742659734203352	0.530172413793103	0.398360255566568	0	0.398360255566568	chr07	6853047	6853547	16.56855	26236	prkd4	Distal	26236	ENSDART00000157731	0.3273	open	prkd4_26236	chr07:6853047-6853547
5.5478398575084	0.692510984013761	0.0445709376294221	0.517241379310345	0.394660735349902	0	0.394660735349902	chr20	182169	182669	10.34873	421	si:ch211-241j12.3	Intronic	421	ENSDART00000064546	0.521	open	si:ch211-241j12.3_421	chr20:182169-182669
5.53057734810477	0.692510984013761	0.0243461149022933	0.521551724137931	0.389864042250504	0	0.389864042250504	chr25	29499954	29500454	14.28161	27842	il17rel	Distal	25221	ENSDART00000130410	0.3972	open	il17rel_27842	chr25:29499954-29500454
5.52408965391105	0.692510984013761	0.0243461149022933	0.521551724137931	0.388076108641357	0	0.388076108641357	chr08	10995086	10995586	10.34873	9402	trim33	Intronic	9389	ENSDART00000192594	0.4591	open	trim33_9402	chr08:10995086-10995586
5.51060669045791	0.692510984013761	0.0243461149022933	0.521551724137931	0.384385978303563	0	0.384385978303563	chr25	20565562	20566062	10.55737	9046	adal	Distal	9046	ENSDART00000067288	0.4212	open	adal_9046	chr25:20565562-20566062
5.50909432463368	0.692510984013761	0.0134132506960206	0.525862068965517	0.383974208380815	0	0.383974208380815	chr06	44263160	44263660	6.37117	66310	ppp4r2b	Intronic	16803	ENSDART00000157215	0.4731	open	ppp4r2b_66310	chr06:44263160-44263660
5.49764780071422	0.692510984013761	0.00742659734203352	0.530172413793103	0.380871635456002	0	0.380871635456002	chr09	1315616	1316116	20.46072	2064		Intronic	2064	ENSDART00000193467	0.3114	open	_2064	chr09:1315616-1316116
5.48080774634894	0.692510984013761	0.00742659734203352	0.530172413793103	0.376351664549393	0	0.376351664549393	chr20	6131444	6131944	4.42276	129	pum2	Exonic	7	ENSDART00000145964	0.4132	open	pum2_129	chr20:6131444-6131944
5.47361979933419	0.692510984013761	0.0243461149022933	0.521551724137931	0.374438385013509	0	0.374438385013509	chr06	68498	68998	2.59504	527	sowahcb	Exonic	527	ENSDART00000082955	0.6846	open	sowahcb_527	chr06:68498-68998
5.46354826685885	0.692510984013761	0.0134132506960206	0.525862068965517	0.371773541330017	0	0.371773541330017	chr23	5775767	5776267	20.46072	16774	phlda3	Intronic	7403	ENSDART00000131521	0.4511	open	phlda3_16774	chr23:5775767-5776267
5.44006820934992	0.692510984013761	0.0243461149022933	0.521551724137931	0.36563268083332	0	0.36563268083332	chr12	17026361	17026861	16.3029	1643	ifit10	Exonic	1643	ENSDART00000152678	0.4212	open	ifit10_1643	chr12:17026361-17026861
5.42500449732959	0.692510984013761	0.00742659734203352	0.530172413793103	0.361745293242276	0	0.361745293242276	chr20	2315708	2316208	14.28161	34024	si:ch73-18b11.2	Intronic	16987	ENSDART00000136067	0.485	open	si:ch73-18b11.2_34024	chr20:2315708-2316208
5.40599350670701	0.692510984013761	0.0134132506960206	0.525862068965517	0.356896842332911	0	0.356896842332911	chr16	10858486	10858986	4.42276	17572	dedd1	Exonic	500	ENSDART00000145839	0.4232	open	dedd1_17572	chr16:10858486-10858986
