Log2FC	FDR	RawPval	AUC	Group_01_mean	Background_mean	MeanDiff	Chr	Start	End	PeakScore	distToGeneStart	nearestGene	peakType	distToTSS	nearestTSS	GC	Status_Group_01	GeneDist	PeakID
6.15575798397717	0.689561883010968	0.00405040290575218	0.53921568627451	0.689180710573088	0	0.689180710573088	chr02	25311535	25312035	12.51159	3805	fndc3ba	Distal	3805	ENSDART00000161386	0.3074	open	fndc3ba_3805	chr02:25311535-25312035
5.85933793346986	0.689561883010968	0.00733050781725831	0.534313725490196	0.559358608098749	0	0.559358608098749	chr17	10796485	10796985	10.55737	17149	fbxo34	Exonic	17119	ENSDART00000157062	0.3812	open	fbxo34_17149	chr17:10796485-10796985
5.71991210096663	0.689561883010968	0.00123669015591584	0.549019607843137	0.506927585815411	0	0.506927585815411	chr02	39090041	39090541	18.65806	4	nmnat3	Promoter	4	ENSDART00000145268	0.3553	open	nmnat3_4	chr02:39090041-39090541
5.71510682573216	0.689561883010968	0.00405040290575218	0.53921568627451	0.505209338765061	0	0.505209338765061	chr11	25633711	25634211	20.78505	79	grm6b	Promoter	79	ENSDART00000033657	0.4411	open	grm6b_79	chr11:25633711-25634211
5.62507329712824	0.689561883010968	0.0242100831922843	0.524509803921569	0.474051507606425	0	0.474051507606425	chr21	19867411	19867911	8.65855	23465	fybb	Distal	9033	ENSDART00000147010	0.3253	open	fybb_23465	chr21:19867411-19867911
5.59063947509411	0.689561883010968	0.0242100831922843	0.524509803921569	0.46263971653708	0	0.46263971653708	chr15	16287693	16288193	10.27501	35806	nxn	Intronic	35806	ENSDART00000028500	0.497	open	nxn_35806	chr15:16287693-16288193
5.58821682086499	0.689561883010968	0.0162500532621867	0.534698193002691	0.613053286830206	0.00314303256927632	0.609910254260929	chr07	11789751	11790251	43.84494	100309		Distal	100206	ENSDART00000171902	0.3812	open	_100309	chr07:11789751-11790251
5.57428605567546	0.689561883010968	0.0444436339124513	0.519607843137255	0.457314651311254	0	0.457314651311254	chr18	49289565	49290065	12.44984	3293	si:zfos-464b6.2	Intronic	3293	ENSDART00000174038	0.4172	open	si:zfos-464b6.2_3293	chr18:49289565-49290065
5.53886670277107	0.689561883010968	0.0132932574270143	0.529411764705882	0.445986136361014	0	0.445986136361014	chr20	13881762	13882262	41.14387	1118	nek2	Promoter	1118	ENSDART00000003248	0.3812	open	nek2_1118	chr20:13881762-13882262
5.53557634279156	0.689561883010968	0.00733050781725831	0.534313725490196	0.444947798790228	0	0.444947798790228	chr23	37819570	37820070	16.56855	4174	irx7	Distal	4174	ENSDART00000011627	0.4112	open	irx7_4174	chr23:37819570-37820070
5.52382220376566	0.689561883010968	0.0132932574270143	0.529411764705882	0.44125783026363	0	0.44125783026363	chr24	39791147	39791647	8.65855	3923	ENSDARG00000085781	Intronic	3923	ENSDART00000121181	0.4012	open	ENSDARG00000085781_3923	chr24:39791147-39791647
